[ 00:00:03.186 -->  00:00:13.024] D SPEAKER_01
[ 00:00:13.362 -->  00:00:13.530] F SPEAKER_01
[ 00:00:46.909 -->  00:01:36.977] H SPEAKER_01
[ 00:01:39.930 -->  00:01:44.048] K SPEAKER_01
[ 00:01:44.419 -->  00:01:57.194] L SPEAKER_02
[ 00:01:57.531 -->  00:03:43.388] M SPEAKER_01
[ 00:03:43.675 -->  00:04:00.162] N SPEAKER_02
[ 00:04:00.449 -->  00:04:11.974] O SPEAKER_02
[ 00:04:12.227 -->  00:04:35.380] P SPEAKER_02
[ 00:04:35.785 -->  00:05:00.912] Q SPEAKER_02
[ 00:05:01.165 -->  00:05:48.060] R SPEAKER_02
[ 00:05:48.381 -->  00:05:50.609] S SPEAKER_02
[ 00:05:50.862 -->  00:05:52.684] T SPEAKER_02
[ 00:05:52.971 -->  00:05:57.004] U SPEAKER_01
[ 00:05:57.139 -->  00:06:01.695] V SPEAKER_02
[ 00:05:57.173 -->  00:05:57.409] W SPEAKER_01
[ 00:06:02.016 -->  00:06:08.682] X SPEAKER_01
[ 00:06:09.053 -->  00:07:52.480] Y SPEAKER_02
[ 00:07:52.699 -->  00:08:10.266] Z SPEAKER_02
[ 00:08:10.384 -->  00:08:12.561] AA SPEAKER_02
[ 00:08:12.679 -->  00:08:15.278] AB SPEAKER_02
[ 00:08:15.548 -->  00:08:16.949] AC SPEAKER_02
[ 00:08:17.354 -->  00:08:43.054] AD SPEAKER_02
[ 00:08:43.425 -->  00:08:53.685] AE SPEAKER_01
[ 00:08:54.023 -->  00:09:01.819] AF SPEAKER_02
[ 00:09:02.123 -->  00:09:03.237] AG SPEAKER_02
[ 00:09:03.473 -->  00:09:15.117] AH SPEAKER_02
[ 00:09:15.454 -->  00:09:20.095] AJ SPEAKER_02
[ 00:09:20.500 -->  00:10:10.551] AK SPEAKER_02
[ 00:10:10.973 -->  00:11:00.889] AN SPEAKER_01
[ 00:11:01.345 -->  00:12:18.312] AO SPEAKER_02
[ 00:12:18.565 -->  00:12:26.952] AP SPEAKER_02
[ 00:12:27.053 -->  00:12:50.644] AQ SPEAKER_02
[ 00:12:50.796 -->  00:12:59.453] AR SPEAKER_02
[ 00:12:59.740 -->  00:13:28.259] AS SPEAKER_01
[ 00:13:28.748 -->  00:13:33.068] AT SPEAKER_02
[ 00:13:33.338 -->  00:13:36.173] AU SPEAKER_02
[ 00:13:36.190 -->  00:15:01.527] AV SPEAKER_02
[ 00:15:01.797 -->  00:15:14.402] AW SPEAKER_02
[ 00:15:14.655 -->  00:15:15.651] AX SPEAKER_02
[ 00:15:15.921 -->  00:15:16.917] AY SPEAKER_02
[ 00:15:17.153 -->  00:15:20.258] AZ SPEAKER_02
[ 00:15:20.460 -->  00:15:23.852] BA SPEAKER_02
[ 00:15:24.224 -->  00:15:42.651] BB SPEAKER_02
[ 00:15:43.039 -->  00:16:21.734] BC SPEAKER_02
[ 00:16:21.970 -->  00:16:25.244] BD SPEAKER_02
[ 00:16:25.598 -->  00:16:35.925] BE SPEAKER_02
[ 00:16:36.364 -->  00:16:57.036] BF SPEAKER_01
[ 00:16:57.407 -->  00:17:42.480] BG SPEAKER_02
[ 00:17:42.953 -->  00:18:11.185] BH SPEAKER_01
[ 00:18:11.573 -->  00:18:32.717] BI SPEAKER_02
[ 00:18:32.903 -->  00:18:43.180] BJ SPEAKER_02
[ 00:18:43.484 -->  00:19:01.439] BK SPEAKER_02
[ 00:19:01.540 -->  00:19:19.343] BL SPEAKER_02
[ 00:19:19.647 -->  00:19:23.579] BM SPEAKER_02
[ 00:19:23.764 -->  00:19:31.442] BN SPEAKER_02
[ 00:19:31.560 -->  00:19:37.804] BO SPEAKER_02
[ 00:19:38.040 -->  00:19:43.373] BP SPEAKER_02
[ 00:19:43.694 -->  00:19:46.917] BQ SPEAKER_02
[ 00:19:47.085 -->  00:19:49.802] BR SPEAKER_02
[ 00:19:49.971 -->  00:19:59.084] BS SPEAKER_02
[ 00:19:59.455 -->  00:20:04.939] BT SPEAKER_02
[ 00:20:04.956 -->  00:20:06.171] BU SPEAKER_02
[ 00:20:06.407 -->  00:20:07.200] BV SPEAKER_02
[ 00:20:07.437 -->  00:20:10.525] BW SPEAKER_02
[ 00:20:10.913 -->  00:20:18.439] BX SPEAKER_02
[ 00:20:18.524 -->  00:20:24.548] BY SPEAKER_02
[ 00:20:24.599 -->  00:20:29.020] BZ SPEAKER_01
[ 00:20:29.408 -->  00:20:48.865] CA SPEAKER_02
[ 00:20:48.966 -->  00:21:00.812] CB SPEAKER_02
[ 00:21:00.947 -->  00:21:05.419] CC SPEAKER_02
