[ 00:00:03.186 -->  00:00:13.024] B SPEAKER_03
[ 00:00:13.362 -->  00:00:13.547] D SPEAKER_03
[ 00:00:46.909 -->  00:01:14.280] F SPEAKER_03
[ 00:01:14.500 -->  00:01:57.531] G SPEAKER_03
[ 00:02:00.029 -->  00:02:01.868] H SPEAKER_03
[ 00:02:01.986 -->  00:02:03.269] I SPEAKER_02
[ 00:02:03.302 -->  00:02:17.444] J SPEAKER_03
[ 00:02:17.781 -->  00:02:25.544] K SPEAKER_02
[ 00:02:24.767 -->  00:03:12.068] L SPEAKER_03
[ 00:03:12.490 -->  00:03:34.225] M SPEAKER_02
[ 00:03:34.444 -->  00:05:40.889] N SPEAKER_02
[ 00:05:41.057 -->  00:05:44.804] P SPEAKER_02
[ 00:05:45.175 -->  00:05:46.795] Q SPEAKER_02
[ 00:05:47.149 -->  00:06:54.970] R SPEAKER_02
[ 00:06:54.970 -->  00:07:05.905] S SPEAKER_03
[ 00:07:06.242 -->  00:07:21.717] T SPEAKER_03
[ 00:07:22.054 -->  00:08:48.977] U SPEAKER_02
[ 00:08:48.977 -->  00:09:38.168] V SPEAKER_03
[ 00:09:38.573 -->  00:11:39.769] W SPEAKER_02
[ 00:11:40.124 -->  00:12:10.667] X SPEAKER_02
[ 00:12:04.913 -->  00:12:05.622] Y SPEAKER_03
[ 00:12:10.769 -->  00:12:13.654] Z SPEAKER_03
[ 00:12:13.806 -->  00:14:16.943] AA SPEAKER_02
[ 00:14:16.943 -->  00:14:16.960] AE SPEAKER_03
[ 00:14:16.960 -->  00:14:16.977] AF SPEAKER_02
[ 00:14:16.977 -->  00:15:20.106] AG SPEAKER_03
[ 00:15:20.393 -->  00:16:45.612] AH SPEAKER_02
[ 00:16:45.747 -->  00:18:54.419] AL SPEAKER_02
[ 00:18:54.503 -->  00:19:41.989] AM SPEAKER_03
[ 00:19:42.327 -->  00:21:17.384] AN SPEAKER_02
[ 00:21:17.721 -->  00:21:42.966] AO SPEAKER_02
[ 00:21:42.966 -->  00:22:07.350] AP SPEAKER_03
[ 00:22:07.553 -->  00:24:22.334] AQ SPEAKER_02
[ 00:24:22.485 -->  00:24:35.344] AR SPEAKER_03
[ 00:24:35.614 -->  00:27:02.376] AS SPEAKER_02
[ 00:27:02.477 -->  00:27:54.874] AU SPEAKER_03
[ 00:27:54.959 -->  00:28:14.534] AV SPEAKER_03
[ 00:28:14.685 -->  00:28:36.944] AW SPEAKER_03
[ 00:28:37.585 -->  00:29:05.024] AX SPEAKER_03
[ 00:29:05.024 -->  00:30:55.859] AY SPEAKER_02
[ 00:30:56.010 -->  00:31:17.138] BA SPEAKER_03
[ 00:31:17.307 -->  00:33:16.613] BB SPEAKER_02
[ 00:33:16.613 -->  00:33:58.429] BC SPEAKER_03
[ 00:33:58.564 -->  00:36:46.977] BD SPEAKER_02
[ 00:33:58.784 -->  00:33:58.800] BE SPEAKER_03
[ 00:34:07.002 -->  00:34:07.356] BF SPEAKER_03
[ 00:36:46.977 -->  00:37:16.052] BH SPEAKER_03
[ 00:37:16.069 -->  00:37:44.824] BI SPEAKER_03
[ 00:37:45.246 -->  00:37:47.457] BJ SPEAKER_03
[ 00:37:47.727 -->  00:37:49.482] BK SPEAKER_03
[ 00:37:49.785 -->  00:37:55.000] BL SPEAKER_03
[ 00:37:55.219 -->  00:38:00.265] BM SPEAKER_03
[ 00:38:00.535 -->  00:38:00.990] BN SPEAKER_02
