[ 00:00:03.186 -->  00:00:13.024] D SPEAKER_02
[ 00:00:13.362 -->  00:00:13.514] F SPEAKER_02
[ 00:00:46.943 -->  00:00:53.524] I SPEAKER_02
[ 00:00:53.541 -->  00:01:06.332] J SPEAKER_02
[ 00:01:07.041 -->  00:01:17.031] K SPEAKER_02
[ 00:01:17.757 -->  00:01:52.620] L SPEAKER_02
[ 00:01:53.447 -->  00:02:29.779] M SPEAKER_02
[ 00:02:31.804 -->  00:02:34.032] N SPEAKER_02
[ 00:02:34.133 -->  00:02:35.685] O SPEAKER_01
[ 00:02:36.107 -->  00:02:45.996] P SPEAKER_02
[ 00:02:46.401 -->  00:02:51.734] Q SPEAKER_02
[ 00:02:53.050 -->  00:02:54.889] R SPEAKER_02
[ 00:02:54.957 -->  00:03:00.239] S SPEAKER_01
[ 00:03:00.239 -->  00:03:01.335] T SPEAKER_02
[ 00:03:02.129 -->  00:03:06.432] U SPEAKER_01
[ 00:03:06.432 -->  00:03:10.212] V SPEAKER_02
[ 00:03:10.127 -->  00:03:27.070] W SPEAKER_01
[ 00:03:27.711 -->  00:03:37.515] X SPEAKER_01
[ 00:03:37.988 -->  00:03:44.198] Y SPEAKER_01
[ 00:03:44.367 -->  00:03:50.172] Z SPEAKER_01
[ 00:03:50.172 -->  00:03:50.526] AA SPEAKER_02
[ 00:03:50.526 -->  00:03:50.543] AB SPEAKER_01
[ 00:03:50.543 -->  00:03:50.627] AC SPEAKER_02
[ 00:03:50.627 -->  00:03:50.965] AD SPEAKER_01
[ 00:03:50.965 -->  00:03:53.766] AE SPEAKER_02
[ 00:03:52.804 -->  00:03:53.412] AF SPEAKER_01
[ 00:03:54.289 -->  00:04:02.339] AG SPEAKER_02
[ 00:04:02.457 -->  00:04:08.886] AH SPEAKER_01
[ 00:04:09.342 -->  00:04:12.767] AI SPEAKER_01
[ 00:04:13.442 -->  00:04:21.357] AJ SPEAKER_01
[ 00:04:21.779 -->  00:04:25.491] AK SPEAKER_01
[ 00:04:25.626 -->  00:04:29.575] AL SPEAKER_01
[ 00:04:29.879 -->  00:04:33.135] AM SPEAKER_01
[ 00:04:33.810 -->  00:04:44.880] AN SPEAKER_01
[ 00:04:45.100 -->  00:04:48.120] AO SPEAKER_01
[ 00:04:48.323 -->  00:04:54.735] AP SPEAKER_02
[ 00:04:54.803 -->  00:05:13.045] AQ SPEAKER_01
[ 00:05:13.652 -->  00:05:14.462] AR SPEAKER_01
[ 00:05:14.665 -->  00:05:21.364] AS SPEAKER_01
[ 00:05:22.208 -->  00:05:31.962] AT SPEAKER_01
[ 00:05:32.434 -->  00:05:35.657] AU SPEAKER_01
[ 00:05:36.180 -->  00:05:48.195] AV SPEAKER_01
[ 00:05:48.668 -->  00:05:49.545] AW SPEAKER_01
[ 00:05:49.934 -->  00:05:52.026] AX SPEAKER_01
[ 00:05:52.364 -->  00:05:54.034] AY SPEAKER_01
[ 00:05:54.034 -->  00:06:14.925] AZ SPEAKER_02
[ 00:06:14.976 -->  00:06:17.457] BA SPEAKER_01
[ 00:06:17.727 -->  00:06:19.347] BB SPEAKER_01
[ 00:06:19.819 -->  00:06:24.764] BC SPEAKER_01
[ 00:06:25.253 -->  00:06:28.645] BD SPEAKER_01
[ 00:06:29.084 -->  00:06:35.969] BE SPEAKER_01
[ 00:06:36.559 -->  00:06:38.382] BF SPEAKER_01
[ 00:06:38.905 -->  00:06:44.760] BG SPEAKER_01
[ 00:06:45.165 -->  00:06:47.309] BH SPEAKER_01
[ 00:06:47.714 -->  00:06:49.182] BI SPEAKER_01
[ 00:06:49.772 -->  00:06:53.907] BJ SPEAKER_01
[ 00:06:53.974 -->  00:06:53.991] BK SPEAKER_01
[ 00:06:54.177 -->  00:06:57.299] BL SPEAKER_01
[ 00:06:57.805 -->  00:07:08.031] BM SPEAKER_01
[ 00:07:08.520 -->  00:07:13.009] BN SPEAKER_01
[ 00:07:14.646 -->  00:07:16.620] BO SPEAKER_02
[ 00:07:17.009 -->  00:07:23.607] BP SPEAKER_02
[ 00:07:24.417 -->  00:07:30.205] BQ SPEAKER_02
[ 00:07:30.745 -->  00:07:34.019] BR SPEAKER_02
[ 00:07:34.019 -->  00:07:35.892] BS SPEAKER_01
[ 00:07:36.465 -->  00:07:44.194] BT SPEAKER_01
[ 00:07:45.460 -->  00:07:52.362] BU SPEAKER_01
[ 00:07:52.817 -->  00:07:56.445] BV SPEAKER_01
[ 00:07:57.255 -->  00:08:03.314] BW SPEAKER_01
[ 00:08:03.702 -->  00:08:05.372] BX SPEAKER_01
[ 00:08:05.811 -->  00:08:10.485] BY SPEAKER_01
[ 00:08:10.975 -->  00:08:15.362] BZ SPEAKER_01
[ 00:08:15.835 -->  00:08:27.242] CA SPEAKER_01
[ 00:08:27.327 -->  00:08:34.060] CB SPEAKER_01
[ 00:08:34.296 -->  00:08:37.907] CC SPEAKER_01
[ 00:08:38.414 -->  00:08:42.666] CD SPEAKER_01
[ 00:08:43.223 -->  00:08:47.020] CE SPEAKER_01
[ 00:08:47.374 -->  00:08:50.631] CF SPEAKER_01
[ 00:08:51.019 -->  00:09:32.768] CG SPEAKER_02
[ 00:09:32.819 -->  00:09:44.682] CH SPEAKER_01
[ 00:09:45.070 -->  00:09:48.968] CI SPEAKER_01
