[ 00:00:03.186 -->  00:00:13.024] B SPEAKER_01
[ 00:00:13.345 -->  00:00:13.514] D SPEAKER_01
[ 00:00:46.842 -->  00:00:53.744] G SPEAKER_01
[ 00:00:54.351 -->  00:01:16.305] H SPEAKER_01
[ 00:01:17.149 -->  00:01:45.854] I SPEAKER_01
[ 00:01:46.107 -->  00:02:01.497] J SPEAKER_01
[ 00:02:04.720 -->  00:02:06.812] K SPEAKER_01
[ 00:02:07.032 -->  00:02:08.365] L SPEAKER_02
[ 00:02:08.804 -->  00:02:19.384] M SPEAKER_01
[ 00:02:19.924 -->  00:02:28.125] N SPEAKER_02
[ 00:02:28.632 -->  00:02:29.205] O SPEAKER_02
[ 00:02:29.509 -->  00:02:33.306] P SPEAKER_02
[ 00:02:33.593 -->  00:02:35.078] Q SPEAKER_02
[ 00:02:35.415 -->  00:02:36.158] R SPEAKER_02
[ 00:02:36.614 -->  00:02:39.904] S SPEAKER_02
[ 00:02:40.005 -->  00:02:45.422] T SPEAKER_02
[ 00:02:46.182 -->  00:02:51.750] U SPEAKER_02
[ 00:02:52.324 -->  00:02:54.855] V SPEAKER_02
[ 00:02:55.041 -->  00:03:01.184] W SPEAKER_02
[ 00:03:01.808 -->  00:03:04.086] X SPEAKER_02
[ 00:03:04.626 -->  00:03:10.667] Y SPEAKER_02
[ 00:03:11.174 -->  00:03:12.709] Z SPEAKER_02
[ 00:03:12.962 -->  00:03:17.485] AA SPEAKER_02
[ 00:03:18.244 -->  00:03:23.762] AB SPEAKER_02
[ 00:03:24.319 -->  00:03:32.149] AC SPEAKER_02
[ 00:03:32.774 -->  00:03:33.263] AD SPEAKER_02
[ 00:03:33.651 -->  00:03:38.663] AE SPEAKER_02
[ 00:03:39.422 -->  00:03:40.114] AF SPEAKER_02
[ 00:03:40.384 -->  00:03:42.240] AG SPEAKER_02
[ 00:03:42.730 -->  00:03:53.310] AH SPEAKER_02
[ 00:03:53.817 -->  00:03:58.137] AI SPEAKER_02
[ 00:03:58.727 -->  00:03:59.757] AJ SPEAKER_02
