[ 00:00:03.186 -->  00:00:13.024] B SPEAKER_02
[ 00:00:13.362 -->  00:00:13.547] D SPEAKER_02
[ 00:00:46.926 -->  00:00:51.735] F SPEAKER_02
[ 00:00:52.022 -->  00:01:15.327] G SPEAKER_02
[ 00:01:15.647 -->  00:01:55.236] H SPEAKER_02
[ 00:01:55.236 -->  00:01:55.270] I SPEAKER_01
[ 00:01:55.270 -->  00:01:55.354] J SPEAKER_02
[ 00:01:55.354 -->  00:01:55.455] K SPEAKER_01
[ 00:01:55.455 -->  00:01:55.472] L SPEAKER_02
[ 00:01:55.472 -->  00:01:55.489] M SPEAKER_01
[ 00:01:58.172 -->  00:02:47.667] N SPEAKER_01
[ 00:02:48.173 -->  00:02:52.982] O SPEAKER_01
[ 00:02:53.472 -->  00:03:08.895] P SPEAKER_01
[ 00:03:08.912 -->  00:03:16.793] Q SPEAKER_01
[ 00:03:17.417 -->  00:03:28.504] R SPEAKER_01
[ 00:03:29.179 -->  00:03:33.094] S SPEAKER_01
[ 00:03:33.364 -->  00:03:41.042] T SPEAKER_01
[ 00:03:41.565 -->  00:03:46.679] U SPEAKER_01
[ 00:03:47.151 -->  00:04:19.112] V SPEAKER_01
[ 00:04:19.365 -->  00:04:20.867] W SPEAKER_01
[ 00:04:21.863 -->  00:04:51.175] X SPEAKER_01
[ 00:04:51.512 -->  00:04:54.702] Y SPEAKER_01
[ 00:04:55.174 -->  00:05:15.576] Z SPEAKER_01
[ 00:05:15.880 -->  00:05:24.165] AA SPEAKER_01
[ 00:05:24.874 -->  00:05:40.568] AB SPEAKER_01
[ 00:05:41.361 -->  00:05:49.090] AC SPEAKER_01
[ 00:05:49.495 -->  00:06:28.375] AD SPEAKER_01
[ 00:06:28.982 -->  00:06:33.032] AE SPEAKER_01
[ 00:06:33.539 -->  00:06:41.858] AF SPEAKER_01
[ 00:06:42.398 -->  00:06:48.220] AG SPEAKER_01
[ 00:06:48.827 -->  00:06:52.590] AH SPEAKER_02
[ 00:06:52.928 -->  00:06:55.223] AI SPEAKER_02
[ 00:06:55.662 -->  00:07:07.339] AJ SPEAKER_02
[ 00:07:07.896 -->  00:07:28.770] AK SPEAKER_02
[ 00:07:28.939 -->  00:07:32.466] AL SPEAKER_02
[ 00:07:33.529 -->  00:07:47.434] AM SPEAKER_01
[ 00:07:47.924 -->  00:08:11.194] AN SPEAKER_01
[ 00:08:11.869 -->  00:08:14.738] AO SPEAKER_01
[ 00:08:15.126 -->  00:08:18.096] AP SPEAKER_01
[ 00:08:18.164 -->  00:08:30.499] AQ SPEAKER_01
[ 00:08:31.225 -->  00:08:37.840] AR SPEAKER_01
[ 00:08:38.363 -->  00:08:53.078] AS SPEAKER_01
[ 00:08:53.280 -->  00:08:54.715] AT SPEAKER_01
[ 00:08:55.019 -->  00:09:01.617] AU SPEAKER_01
[ 00:09:02.444 -->  00:09:11.708] AV SPEAKER_01
[ 00:09:11.978 -->  00:09:18.542] AW SPEAKER_01
[ 00:09:18.694 -->  00:09:25.005] AX SPEAKER_01
[ 00:09:25.647 -->  00:09:33.561] AY SPEAKER_01
[ 00:09:33.983 -->  00:10:35.172] AZ SPEAKER_01
[ 00:10:35.729 -->  00:10:41.736] BA SPEAKER_01
[ 00:10:42.057 -->  00:10:55.911] BB SPEAKER_01
[ 00:10:56.738 -->  00:11:00.113] BC SPEAKER_01
[ 00:11:00.670 -->  00:11:35.027] BD SPEAKER_01
[ 00:11:35.179 -->  00:11:39.263] BE SPEAKER_01
[ 00:11:39.989 -->  00:11:56.324] BF SPEAKER_01
[ 00:11:56.931 -->  00:12:29.010] BG SPEAKER_01
[ 00:12:29.534 -->  00:12:31.373] BH SPEAKER_01
[ 00:12:31.575 -->  00:12:33.094] BI SPEAKER_01
[ 00:12:33.634 -->  00:12:35.018] BJ SPEAKER_01
[ 00:12:35.220 -->  00:12:43.371] BK SPEAKER_01
[ 00:12:43.439 -->  00:12:52.230] BL SPEAKER_01
[ 00:12:52.433 -->  00:12:56.449] BM SPEAKER_01
[ 00:12:56.669 -->  00:13:01.208] BN SPEAKER_01
[ 00:13:01.697 -->  00:13:09.983] BO SPEAKER_01
[ 00:13:10.590 -->  00:13:13.290] BP SPEAKER_01
[ 00:13:13.358 -->  00:13:15.754] BQ SPEAKER_01
[ 00:13:16.075 -->  00:13:31.296] BR SPEAKER_01
[ 00:13:31.684 -->  00:13:35.768] BS SPEAKER_02
[ 00:13:35.852 -->  00:13:43.919] BT SPEAKER_02
[ 00:13:44.644 -->  00:13:48.593] BU SPEAKER_02
[ 00:13:49.015 -->  00:14:02.127] BV SPEAKER_02
[ 00:14:02.144 -->  00:14:13.433] BW SPEAKER_02
[ 00:14:14.277 -->  00:14:30.561] BX SPEAKER_02
[ 00:14:30.831 -->  00:14:38.340] BY SPEAKER_02
[ 00:14:39.150 -->  00:14:43.960] BZ SPEAKER_01
[ 00:14:44.550 -->  00:14:48.229] CA SPEAKER_01
[ 00:14:48.719 -->  00:15:02.252] CB SPEAKER_01
[ 00:15:02.455 -->  00:15:16.647] CC SPEAKER_01
[ 00:15:17.237 -->  00:15:24.105] CD SPEAKER_01
[ 00:15:18.689 -->  00:15:18.824] CF SPEAKER_02
[ 00:15:24.747 -->  00:15:29.067] CH SPEAKER_01
[ 00:15:29.438 -->  00:15:46.077] CI SPEAKER_01
[ 00:15:46.667 -->  00:16:08.470] CJ SPEAKER_01
[ 00:16:08.807 -->  00:16:11.102] CK SPEAKER_01
[ 00:16:11.811 -->  00:16:14.410] CL SPEAKER_01
[ 00:16:15.372 -->  00:16:27.404] CM SPEAKER_01
[ 00:16:27.707 -->  00:16:53.307] CN SPEAKER_01
[ 00:16:54.015 -->  00:17:10.199] CO SPEAKER_01
[ 00:17:11.127 -->  00:17:17.826] CP SPEAKER_01
[ 00:17:18.062 -->  00:17:18.771] CQ SPEAKER_01
[ 00:17:18.974 -->  00:17:36.152] CR SPEAKER_01
[ 00:17:37.047 -->  00:17:37.755] CS SPEAKER_01
[ 00:17:38.059 -->  00:17:44.978] CT SPEAKER_01
[ 00:17:45.636 -->  00:17:54.715] CU SPEAKER_01
[ 00:17:55.727 -->  00:18:02.730] CV SPEAKER_01
[ 00:18:03.692 -->  00:18:57.490] CW SPEAKER_01
[ 00:18:57.625 -->  00:19:14.871] CX SPEAKER_01
[ 00:19:15.411 -->  00:19:20.457] CY SPEAKER_01
[ 00:19:20.727 -->  00:19:27.544] CZ SPEAKER_01
[ 00:19:27.848 -->  00:19:31.442] DA SPEAKER_01
[ 00:19:31.932 -->  00:19:46.697] DB SPEAKER_01
[ 00:19:47.237 -->  00:19:59.151] DC SPEAKER_02
[ 00:19:59.624 -->  00:20:15.300] DD SPEAKER_02
[ 00:20:15.959 -->  00:20:18.574] DE SPEAKER_02
[ 00:20:18.760 -->  00:20:21.527] DF SPEAKER_02
[ 00:20:22.304 -->  00:20:24.615] DG SPEAKER_02
[ 00:20:25.358 -->  00:20:31.416] DH SPEAKER_02
