[ 00:00:03.186 -->  00:00:13.024] B SPEAKER_01
[ 00:00:13.362 -->  00:00:13.564] D SPEAKER_01
[ 00:00:46.842 -->  00:01:18.668] F SPEAKER_01
[ 00:01:22.499 -->  00:01:23.798] G SPEAKER_01
[ 00:01:23.798 -->  00:01:23.899] H SPEAKER_02
[ 00:01:23.899 -->  00:01:23.984] I SPEAKER_01
[ 00:01:23.984 -->  00:01:24.794] J SPEAKER_02
[ 00:01:24.000 -->  00:01:24.777] K SPEAKER_01
[ 00:01:24.794 -->  00:01:24.878] L SPEAKER_01
[ 00:01:24.878 -->  00:01:24.895] M SPEAKER_02
[ 00:01:24.895 -->  00:01:24.962] N SPEAKER_01
[ 00:01:24.962 -->  00:01:29.080] O SPEAKER_02
[ 00:01:29.603 -->  00:01:30.413] P SPEAKER_02
[ 00:01:31.071 -->  00:01:34.429] Q SPEAKER_02
[ 00:01:34.784 -->  00:01:36.825] R SPEAKER_02
[ 00:01:37.416 -->  00:01:38.040] S SPEAKER_02
[ 00:01:38.496 -->  00:01:42.630] T SPEAKER_02
[ 00:01:43.221 -->  00:01:45.195] U SPEAKER_02
[ 00:01:45.837 -->  00:01:48.014] V SPEAKER_02
[ 00:01:48.689 -->  00:01:49.769] W SPEAKER_02
[ 00:01:50.477 -->  00:01:54.224] X SPEAKER_02
[ 00:01:54.797 -->  00:01:56.805] Y SPEAKER_02
[ 00:01:57.160 -->  00:01:58.881] Z SPEAKER_02
[ 00:01:59.269 -->  00:02:01.058] AA SPEAKER_02
[ 00:01:59.995 -->  00:02:03.049] AB SPEAKER_01
[ 00:02:01.800 -->  00:02:02.425] AC SPEAKER_02
[ 00:02:03.049 -->  00:02:05.091] AD SPEAKER_02
[ 00:02:04.264 -->  00:02:04.990] AE SPEAKER_01
[ 00:02:05.091 -->  00:02:05.175] AF SPEAKER_01
[ 00:02:05.175 -->  00:02:05.209] AG SPEAKER_02
[ 00:02:05.310 -->  00:02:06.627] AH SPEAKER_02
[ 00:02:06.998 -->  00:02:10.238] AI SPEAKER_02
[ 00:02:10.609 -->  00:02:19.722] AJ SPEAKER_02
[ 00:02:20.110 -->  00:02:22.624] AN SPEAKER_02
[ 00:02:23.012 -->  00:02:24.902] AO SPEAKER_02
[ 00:02:25.527 -->  00:02:29.020] AP SPEAKER_02
[ 00:02:29.492 -->  00:02:32.024] AQ SPEAKER_02
[ 00:02:32.462 -->  00:02:35.955] AR SPEAKER_02
[ 00:02:36.765 -->  00:02:39.010] AS SPEAKER_02
[ 00:02:39.432 -->  00:02:44.292] AT SPEAKER_02
[ 00:02:44.697 -->  00:02:47.481] AU SPEAKER_02
[ 00:02:48.105 -->  00:02:52.004] AV SPEAKER_02
[ 00:02:52.965 -->  00:02:54.552] AW SPEAKER_02
[ 00:02:55.075 -->  00:02:55.784] AX SPEAKER_02
[ 00:02:56.087 -->  00:02:58.754] AY SPEAKER_02
[ 00:02:59.378 -->  00:03:02.297] AZ SPEAKER_01
[ 00:03:02.618 -->  00:03:09.115] BA SPEAKER_01
[ 00:03:09.537 -->  00:03:13.148] BB SPEAKER_01
[ 00:03:13.705 -->  00:03:15.932] BC SPEAKER_01
[ 00:03:16.506 -->  00:03:18.126] BD SPEAKER_01
[ 00:03:18.379 -->  00:03:24.741] BE SPEAKER_01
[ 00:03:24.741 -->  00:03:27.407] BF SPEAKER_02
[ 00:03:24.960 -->  00:03:26.294] BG SPEAKER_01
[ 00:03:27.407 -->  00:03:28.589] BH SPEAKER_01
[ 00:03:29.010 -->  00:03:37.009] BI SPEAKER_01
[ 00:03:37.279 -->  00:03:46.898] BJ SPEAKER_01
[ 00:03:47.674 -->  00:03:59.267] BL SPEAKER_01
[ 00:03:57.006 -->  00:03:57.057] BM SPEAKER_02
