[ 00:00:03.034 -->  00:00:03.068] B SPEAKER_02
[ 00:00:03.186 -->  00:00:13.024] C SPEAKER_02
[ 00:00:13.362 -->  00:00:13.497] E SPEAKER_02
[ 00:00:46.859 -->  00:01:01.827] G SPEAKER_02
[ 00:01:01.877 -->  00:01:22.397] H SPEAKER_02
[ 00:01:23.106 -->  00:01:52.604] I SPEAKER_02
[ 00:01:52.975 -->  00:02:00.062] J SPEAKER_02
[ 00:02:03.387 -->  00:02:08.027] K SPEAKER_02
[ 00:02:08.027 -->  00:02:15.149] L SPEAKER_01
[ 00:02:15.419 -->  00:02:17.055] M SPEAKER_01
[ 00:02:17.494 -->  00:02:17.967] N SPEAKER_01
[ 00:02:17.967 -->  00:02:18.557] O SPEAKER_02
[ 00:02:18.557 -->  00:02:18.625] P SPEAKER_01
[ 00:02:18.625 -->  00:02:24.025] Q SPEAKER_02
[ 00:02:24.025 -->  00:02:37.964] R SPEAKER_01
[ 00:02:37.964 -->  00:02:56.425] S SPEAKER_02
[ 00:02:56.425 -->  00:02:57.977] T SPEAKER_01
[ 00:02:57.977 -->  00:02:58.534] U SPEAKER_02
[ 00:02:58.534 -->  00:03:17.991] V SPEAKER_01
[ 00:02:58.602 -->  00:02:58.720] W SPEAKER_02
[ 00:03:17.468 -->  00:03:47.792] X SPEAKER_02
[ 00:03:20.522 -->  00:03:21.687] Y SPEAKER_01
[ 00:03:36.300 -->  00:03:36.874] AB SPEAKER_01
[ 00:03:48.164 -->  00:03:49.632] AC SPEAKER_02
[ 00:03:50.104 -->  00:04:09.730] AD SPEAKER_02
[ 00:04:10.135 -->  00:04:12.700] AE SPEAKER_02
[ 00:04:13.105 -->  00:04:14.033] AF SPEAKER_02
[ 00:04:14.033 -->  00:04:14.269] AG SPEAKER_01
[ 00:04:14.927 -->  00:04:27.263] AH SPEAKER_01
[ 00:04:27.989 -->  00:04:43.564] AI SPEAKER_01
[ 00:04:44.205 -->  00:05:01.739] AJ SPEAKER_01
[ 00:05:02.211 -->  00:05:12.150] AK SPEAKER_01
[ 00:05:12.404 -->  00:05:19.339] AL SPEAKER_01
[ 00:05:20.082 -->  00:05:24.098] AM SPEAKER_01
[ 00:05:24.857 -->  00:05:33.734] AN SPEAKER_01
[ 00:05:34.797 -->  00:05:38.864] AO SPEAKER_01
[ 00:05:39.539 -->  00:05:42.036] AP SPEAKER_01
[ 00:05:42.525 -->  00:06:05.745] AQ SPEAKER_01
[ 00:06:06.134 -->  00:06:19.178] AR SPEAKER_01
[ 00:06:19.667 -->  00:06:26.164] AS SPEAKER_01
[ 00:06:26.333 -->  00:06:57.670] AT SPEAKER_01
[ 00:06:57.771 -->  00:08:03.634] AU SPEAKER_01
[ 00:08:03.820 -->  00:08:16.510] AV SPEAKER_01
[ 00:08:17.134 -->  00:08:21.370] AW SPEAKER_01
[ 00:08:21.674 -->  00:08:23.699] AX SPEAKER_01
[ 00:08:24.441 -->  00:08:33.807] AY SPEAKER_01
[ 00:08:33.992 -->  00:08:51.914] AZ SPEAKER_01
[ 00:08:52.673 -->  00:08:55.052] BA SPEAKER_01
[ 00:08:55.508 -->  00:09:01.229] BB SPEAKER_01
[ 00:09:01.853 -->  00:09:03.591] BC SPEAKER_01
[ 00:09:04.452 -->  00:09:06.375] BD SPEAKER_01
[ 00:09:07.236 -->  00:09:22.845] BE SPEAKER_01
[ 00:09:23.723 -->  00:09:27.975] BF SPEAKER_01
[ 00:09:28.245 -->  00:09:29.325] BG SPEAKER_01
[ 00:09:29.865 -->  00:09:31.182] BH SPEAKER_01
[ 00:09:31.587 -->  00:09:39.670] BI SPEAKER_01
[ 00:09:39.670 -->  00:09:48.630] BJ SPEAKER_02
[ 00:09:49.170 -->  00:09:52.849] BK SPEAKER_02
[ 00:09:53.052 -->  00:09:59.177] BL SPEAKER_02
[ 00:09:59.279 -->  00:10:05.860] BM SPEAKER_01
[ 00:10:06.332 -->  00:10:13.791] BN SPEAKER_01
[ 00:10:14.314 -->  00:10:49.617] BO SPEAKER_01
[ 00:10:49.887 -->  00:11:37.103] BP SPEAKER_01
[ 00:11:37.440 -->  00:11:39.330] BQ SPEAKER_01
[ 00:11:39.820 -->  00:11:44.039] BR SPEAKER_01
[ 00:11:44.207 -->  00:11:48.426] BS SPEAKER_01
[ 00:11:49.000 -->  00:11:58.500] BT SPEAKER_01
[ 00:11:58.720 -->  00:12:01.977] BU SPEAKER_01
[ 00:12:02.854 -->  00:12:06.229] BV SPEAKER_01
[ 00:12:06.820 -->  00:12:10.279] BW SPEAKER_01
[ 00:12:10.904 -->  00:12:12.237] BX SPEAKER_01
[ 00:12:12.507 -->  00:12:18.025] BY SPEAKER_01
[ 00:12:18.480 -->  00:12:21.754] BZ SPEAKER_01
[ 00:12:22.260 -->  00:12:25.298] CA SPEAKER_01
[ 00:12:25.770 -->  00:12:27.728] CB SPEAKER_01
[ 00:12:27.728 -->  00:12:27.779] CC SPEAKER_02
[ 00:12:27.779 -->  00:12:27.812] CD SPEAKER_01
[ 00:12:27.812 -->  00:12:27.846] CE SPEAKER_02
[ 00:12:27.846 -->  00:12:28.909] CF SPEAKER_01
[ 00:12:28.909 -->  00:12:49.480] CG SPEAKER_02
[ 00:12:50.037 -->  00:12:51.606] CH SPEAKER_02
[ 00:12:52.298 -->  00:13:00.449] CI SPEAKER_01
[ 00:13:00.938 -->  00:13:01.545] CJ SPEAKER_01
[ 00:13:01.596 -->  00:13:06.456] CK SPEAKER_01
[ 00:13:07.047 -->  00:13:12.497] CL SPEAKER_01
[ 00:13:13.071 -->  00:13:17.290] CM SPEAKER_01
[ 00:13:17.526 -->  00:13:23.989] CN SPEAKER_01
[ 00:13:24.377 -->  00:13:25.643] CO SPEAKER_01
[ 00:13:25.913 -->  00:13:27.094] CP SPEAKER_01
[ 00:13:27.449 -->  00:13:28.950] CQ SPEAKER_01
[ 00:13:29.102 -->  00:13:33.119] CR SPEAKER_01
[ 00:13:33.372 -->  00:13:33.945] CS SPEAKER_01
[ 00:13:34.148 -->  00:13:40.290] CT SPEAKER_01
[ 00:13:40.560 -->  00:13:55.410] CU SPEAKER_01
[ 00:13:56.220 -->  00:13:58.279] CV SPEAKER_01
[ 00:13:58.920 -->  00:14:02.650] CW SPEAKER_01
[ 00:14:03.359 -->  00:14:22.984] CX SPEAKER_01
[ 00:14:23.423 -->  00:14:26.967] CY SPEAKER_01
[ 00:14:27.287 -->  00:14:28.772] CZ SPEAKER_01
[ 00:14:29.380 -->  00:14:30.915] DA SPEAKER_01
[ 00:14:31.067 -->  00:14:55.114] DB SPEAKER_01
[ 00:14:55.654 -->  00:14:57.494] DC SPEAKER_01
[ 00:14:57.730 -->  00:15:03.045] DD SPEAKER_01
[ 00:15:03.501 -->  00:15:07.770] DE SPEAKER_01
[ 00:15:08.648 -->  00:15:21.692] DF SPEAKER_01
[ 00:15:22.097 -->  00:15:26.232] DG SPEAKER_01
[ 00:15:26.586 -->  00:15:32.830] DH SPEAKER_01
