[ 00:00:02.595 -->  00:00:02.967] C SPEAKER_01
[ 00:00:03.186 -->  00:00:13.024] D SPEAKER_02
[ 00:00:13.345 -->  00:00:13.497] F SPEAKER_02
[ 00:00:46.977 -->  00:01:28.135] H SPEAKER_02
[ 00:01:28.675 -->  00:01:54.072] I SPEAKER_02
[ 00:01:57.025 -->  00:02:09.023] J SPEAKER_02
[ 00:02:09.023 -->  00:02:09.563] K SPEAKER_01
[ 00:02:09.614 -->  00:05:14.969] L SPEAKER_01
[ 00:05:14.969 -->  00:05:23.440] M SPEAKER_02
[ 00:05:23.440 -->  00:07:15.962] N SPEAKER_01
[ 00:07:15.962 -->  00:07:45.122] O SPEAKER_02
[ 00:07:45.122 -->  00:07:45.173] P SPEAKER_01
[ 00:07:45.443 -->  00:07:45.460] Q SPEAKER_02
[ 00:07:45.460 -->  00:08:44.978] R SPEAKER_01
[ 00:08:44.978 -->  00:08:56.082] S SPEAKER_02
[ 00:08:56.082 -->  00:09:22.964] T SPEAKER_01
[ 00:09:22.964 -->  00:09:51.111] U SPEAKER_02
[ 00:09:51.111 -->  00:11:09.968] V SPEAKER_01
[ 00:11:09.968 -->  00:11:26.775] W SPEAKER_02
[ 00:11:26.944 -->  00:11:29.813] X SPEAKER_02
[ 00:11:29.813 -->  00:11:29.880] Y SPEAKER_01
[ 00:11:29.880 -->  00:11:30.032] Z SPEAKER_02
[ 00:11:30.032 -->  00:13:17.965] AA SPEAKER_01
[ 00:13:17.965 -->  00:13:42.029] AB SPEAKER_02
[ 00:13:42.029 -->  00:14:58.034] AC SPEAKER_01
[ 00:14:58.084 -->  00:17:25.420] AD SPEAKER_01
[ 00:17:25.555 -->  00:17:34.026] AE SPEAKER_02
[ 00:17:34.026 -->  00:18:23.504] AF SPEAKER_01
[ 00:18:23.740 -->  00:18:25.410] AG SPEAKER_02
[ 00:18:24.955 -->  00:22:38.080] AH SPEAKER_01
[ 00:22:38.080 -->  00:22:38.282] AJ SPEAKER_02
[ 00:22:38.282 -->  00:22:38.316] AK SPEAKER_01
[ 00:22:38.316 -->  00:23:25.718] AL SPEAKER_02
[ 00:23:25.904 -->  00:23:38.678] AM SPEAKER_02
[ 00:23:38.678 -->  00:27:06.443] AN SPEAKER_01
[ 00:27:06.443 -->  00:27:52.461] AP SPEAKER_02
[ 00:27:52.765 -->  00:30:45.379] AQ SPEAKER_01
[ 00:30:45.548 -->  00:30:45.970] AR SPEAKER_01
[ 00:30:45.970 -->  00:31:35.025] AS SPEAKER_02
[ 00:31:35.025 -->  00:32:39.420] AT SPEAKER_01
[ 00:32:39.657 -->  00:34:15.304] AU SPEAKER_01
[ 00:34:15.304 -->  00:35:17.438] AV SPEAKER_02
[ 00:35:17.522 -->  00:39:26.969] AW SPEAKER_01
[ 00:39:26.969 -->  00:40:41.033] BB SPEAKER_02
[ 00:40:41.033 -->  00:41:58.472] BC SPEAKER_01
[ 00:41:58.472 -->  00:43:01.484] BD SPEAKER_02
[ 00:43:01.484 -->  00:48:42.966] BE SPEAKER_01
[ 00:48:42.966 -->  00:49:04.077] BG SPEAKER_02
[ 00:49:04.380 -->  00:49:07.553] BH SPEAKER_02
[ 00:49:07.553 -->  00:50:28.857] BI SPEAKER_01
[ 00:50:28.857 -->  00:51:04.024] BJ SPEAKER_02
[ 00:51:04.024 -->  00:53:29.976] BK SPEAKER_01
[ 00:53:29.976 -->  00:54:27.030] BO SPEAKER_02
[ 00:54:27.030 -->  00:56:18.962] BP SPEAKER_01
[ 00:56:18.962 -->  00:56:32.209] BQ SPEAKER_02
[ 00:56:32.597 -->  00:56:41.119] BR SPEAKER_02
[ 00:56:41.271 -->  00:56:46.755] BS SPEAKER_02
[ 00:56:46.755 -->  00:56:46.890] BT SPEAKER_01
[ 00:56:46.890 -->  00:56:47.025] BU SPEAKER_02
[ 00:56:47.025 -->  00:57:13.671] BV SPEAKER_01
[ 00:57:16.405 -->  00:57:37.397] BW SPEAKER_02
