[00:00:003.19 --> 00:00:008.29] [Interviewer]  Hello and welcome everyone. I'm Corey Hofstein and this is Flirting with Models, the podcast
[00:00:008.29 --> 00:00:013.15] [Interviewer]  that pulls back the curtain to discover the human factor behind the quantitative strategy.
[00:00:015.21 --> 00:00:019.77] [Interviewer]  Corey Hofstein is the co-founder and chief investment officer of Newfound Research. Due
[00:00:019.77 --> 00:00:023.85] [Interviewer]  to industry regulations, he will not discuss any of Newfound Research's funds on this podcast.
[00:00:024.11 --> 00:00:028.39] [Interviewer]  All opinions expressed by podcast participants are solely their own opinion and do not reflect
[00:00:028.39 --> 00:00:032.89] [Interviewer]  the opinion of Newfound Research. This podcast is for informational purposes only and should
[00:00:032.89 --> 00:00:036.87] [Interviewer]  not be relied upon as a basis for investment decisions. Clients of Newfound Research may
[00:00:036.87 --> 00:00:040.87] [Interviewer]  maintain positions and securities discussed in this podcast. For more information, visit
[00:00:040.87 --> 00:00:051.25] [Interviewer]  thinknewfound.com. How do you come to a rational conclusion as to what a company is worth?
[00:00:051.61 --> 00:00:058.19] [Interviewer]  A seemingly simple question with little to no clear answer. For John Allberg, a background
[00:00:058.19 --> 00:01:002.41] [Interviewer]  in computer science and a passion for machine learning, let him to view the
[00:01:002.41 --> 00:01:002.87] [Interviewer]  problem as a rational conclusion.
[00:01:002.89 --> 00:01:010.51] [Interviewer]  If it is true that you can use publicly available information to buy companies for less than their
[00:01:010.51 --> 00:01:016.55] [Interviewer]  economic worth, he thought, then you should be able to see it in the data. And thus was born
[00:01:016.55 --> 00:01:021.67] [Interviewer]  Euclidean, an investment firm that marries machine learning with deep value mentality.
[00:01:022.95 --> 00:01:028.73] [Interviewer]  Our conversation spanned more than two and a half hours and covered everything from the basics of
[00:01:028.73 --> 00:01:032.87] [Interviewer]  machine learning to the evolution of Euclidean's process over the years.
[00:01:032.89 --> 00:01:033.05] [Interviewer]  The conversation has been a long and difficult one. It has been a long and difficult one.
