[ 00:00:00.030 -->  00:00:01.769] A SPEAKER_01
[ 00:00:02.055 -->  00:00:02.072] B SPEAKER_01
[ 00:00:02.072 -->  00:00:03.287] C SPEAKER_02
[ 00:00:03.540 -->  00:00:09.329] D SPEAKER_01
[ 00:00:12.619 -->  00:00:22.947] F SPEAKER_01
[ 00:00:56.292 -->  00:01:02.046] H SPEAKER_01
[ 00:01:02.654 -->  00:01:20.187] I SPEAKER_01
[ 00:01:20.625 -->  00:01:28.607] J SPEAKER_01
[ 00:01:29.468 -->  00:01:41.179] K SPEAKER_01
[ 00:01:41.584 -->  00:01:52.080] L SPEAKER_01
[ 00:01:52.941 -->  00:02:03.555] M SPEAKER_01
[ 00:02:04.129 -->  00:02:09.833] N SPEAKER_01
[ 00:02:10.103 -->  00:02:35.027] O SPEAKER_01
[ 00:02:35.787 -->  00:02:48.190] P SPEAKER_01
[ 00:02:50.924 -->  00:02:54.096] Q SPEAKER_01
[ 00:02:54.366 -->  00:02:55.092] R SPEAKER_02
[ 00:02:55.142 -->  00:02:56.054] S SPEAKER_02
[ 00:02:56.121 -->  00:03:04.069] T SPEAKER_01
[ 00:03:04.154 -->  00:03:43.422] U SPEAKER_01
[ 00:03:43.759 -->  00:03:53.969] V SPEAKER_01
[ 00:03:54.340 -->  00:03:56.972] W SPEAKER_02
[ 00:03:57.310 -->  00:04:00.128] X SPEAKER_02
[ 00:04:00.364 -->  00:04:03.621] Y SPEAKER_02
[ 00:04:04.279 -->  00:04:09.494] Z SPEAKER_02
[ 00:04:10.270 -->  00:04:16.649] AA SPEAKER_02
[ 00:04:16.969 -->  00:04:19.703] AB SPEAKER_02
[ 00:04:20.260 -->  00:04:22.960] AC SPEAKER_02
[ 00:04:24.293 -->  00:04:36.089] AD SPEAKER_02
[ 00:04:36.713 -->  00:04:40.425] AE SPEAKER_02
[ 00:04:41.472 -->  00:04:50.162] AF SPEAKER_02
[ 00:04:50.567 -->  00:04:54.516] AG SPEAKER_02
[ 00:04:54.938 -->  00:04:59.680] AH SPEAKER_02
[ 00:04:59.916 -->  00:05:02.717] AI SPEAKER_02
[ 00:05:03.612 -->  00:05:04.979] AJ SPEAKER_02
[ 00:05:05.704 -->  00:05:13.281] AK SPEAKER_02
[ 00:05:13.939 -->  00:05:16.943] AL SPEAKER_02
[ 00:05:17.449 -->  00:05:24.975] AM SPEAKER_02
[ 00:05:25.819 -->  00:05:33.531] AN SPEAKER_02
