[ 00:00:00.030 -->  00:00:09.784] A SPEAKER_01
[ 00:00:02.680 -->  00:00:02.882] B SPEAKER_02
[ 00:00:12.754 -->  00:00:23.082] F SPEAKER_01
[ 00:00:56.427 -->  00:01:20.102] H SPEAKER_01
[ 00:01:20.541 -->  00:01:29.839] I SPEAKER_01
[ 00:01:30.261 -->  00:01:42.597] J SPEAKER_01
[ 00:01:43.221 -->  00:01:54.629] K SPEAKER_01
[ 00:01:55.067 -->  00:02:05.429] L SPEAKER_01
[ 00:02:05.901 -->  00:02:11.706] M SPEAKER_01
[ 00:02:14.406 -->  00:02:16.144] N SPEAKER_01
[ 00:02:16.397 -->  00:02:17.899] O SPEAKER_02
[ 00:02:18.456 -->  00:02:35.331] P SPEAKER_01
[ 00:02:35.719 -->  00:03:09.199] Q SPEAKER_01
[ 00:03:09.570 -->  00:03:36.317] R SPEAKER_01
[ 00:03:36.621 -->  00:04:04.026] S SPEAKER_02
[ 00:04:04.178 -->  00:05:01.604] T SPEAKER_02
[ 00:05:01.789 -->  00:05:03.510] U SPEAKER_02
[ 00:05:04.236 -->  00:05:38.104] V SPEAKER_02
[ 00:05:38.475 -->  00:05:43.302] X SPEAKER_02
[ 00:05:43.808 -->  00:05:56.363] Y SPEAKER_02
[ 00:05:56.717 -->  00:06:56.033] Z SPEAKER_02
[ 00:06:56.455 -->  00:07:37.124] AA SPEAKER_02
[ 00:07:37.815 -->  00:07:57.627] AB SPEAKER_02
[ 00:07:57.829 -->  00:08:05.035] AC SPEAKER_02
[ 00:08:05.744 -->  00:08:56.655] AD SPEAKER_02
[ 00:08:57.060 -->  00:09:00.098] AE SPEAKER_02
[ 00:09:00.334 -->  00:09:21.057] AF SPEAKER_02
[ 00:09:21.360 -->  00:09:29.342] AG SPEAKER_02
[ 00:09:29.528 -->  00:09:49.947] AH SPEAKER_02
[ 00:09:50.234 -->  00:10:06.501] AI SPEAKER_02
[ 00:10:06.940 -->  00:10:49.667] AJ SPEAKER_02
[ 00:10:49.971 -->  00:11:32.462] AK SPEAKER_02
[ 00:11:33.120 -->  00:11:42.115] AL SPEAKER_02
[ 00:11:42.368 -->  00:12:07.731] AM SPEAKER_01
[ 00:12:07.967 -->  00:12:19.965] AO SPEAKER_01
[ 00:12:20.067 -->  00:12:25.956] AP SPEAKER_01
[ 00:12:26.327 -->  00:13:02.693] AQ SPEAKER_01
[ 00:13:02.946 -->  00:14:22.815] AR SPEAKER_02
[ 00:14:23.085 -->  00:15:26.333] AS SPEAKER_02
[ 00:15:26.569 -->  00:16:44.144] AT SPEAKER_02
[ 00:16:44.346 -->  00:18:26.018] AW SPEAKER_02
[ 00:18:26.288 -->  00:18:42.150] AY SPEAKER_02
[ 00:18:42.235 -->  00:18:44.817] AZ SPEAKER_02
[ 00:18:45.019 -->  00:18:58.182] BA SPEAKER_02
[ 00:18:58.266 -->  00:19:01.860] BB SPEAKER_02
[ 00:19:01.928 -->  00:19:05.657] BC SPEAKER_02
[ 00:19:06.096 -->  00:19:19.039] BD SPEAKER_01
[ 00:19:19.461 -->  00:19:54.713] BE SPEAKER_01
[ 00:19:55.101 -->  00:19:58.088] BF SPEAKER_01
[ 00:19:58.409 -->  00:20:20.515] BG SPEAKER_01
[ 00:20:20.970 -->  00:20:38.858] BH SPEAKER_01
[ 00:20:39.010 -->  00:20:57.488] BI SPEAKER_01
[ 00:20:58.146 -->  00:22:51.040] BJ SPEAKER_02
