[ 00:00:00.030 -->  00:00:02.055] A SPEAKER_01
[ 00:00:02.427 -->  00:00:03.355] B SPEAKER_02
[ 00:00:03.827 -->  00:00:08.856] C SPEAKER_01
[ 00:00:11.927 -->  00:00:22.238] G SPEAKER_01
[ 00:00:55.600 -->  00:01:01.017] J SPEAKER_01
[ 00:01:01.422 -->  00:01:23.022] K SPEAKER_01
[ 00:01:23.376 -->  00:01:32.590] L SPEAKER_01
[ 00:01:33.130 -->  00:01:42.023] M SPEAKER_01
[ 00:01:42.816 -->  00:01:53.009] N SPEAKER_01
[ 00:01:53.245 -->  00:01:55.911] O SPEAKER_01
[ 00:01:58.493 -->  00:02:00.282] P SPEAKER_01
[ 00:02:00.383 -->  00:02:01.784] Q SPEAKER_02
[ 00:02:01.969 -->  00:02:23.384] R SPEAKER_01
[ 00:02:23.603 -->  00:03:40.536] S SPEAKER_02
[ 00:03:41.076 -->  00:03:55.875] T SPEAKER_02
[ 00:03:56.179 -->  00:04:11.569] U SPEAKER_02
[ 00:04:11.569 -->  00:04:27.550] V SPEAKER_01
[ 00:04:12.734 -->  00:04:13.510] W SPEAKER_02
[ 00:04:28.005 -->  00:04:46.804] X SPEAKER_01
[ 00:04:46.804 -->  00:04:46.838] Y SPEAKER_02
[ 00:04:46.922 -->  00:04:47.378] Z SPEAKER_02
[ 00:04:47.378 -->  00:04:47.969] AA SPEAKER_01
[ 00:04:47.969 -->  00:06:23.785] AB SPEAKER_02
[ 00:05:53.039 -->  00:05:53.207] AD SPEAKER_01
[ 00:06:24.122 -->  00:06:41.588] AE SPEAKER_01
[ 00:06:42.010 -->  00:07:34.812] AF SPEAKER_02
[ 00:07:35.065 -->  00:07:36.027] AG SPEAKER_02
[ 00:07:36.027 -->  00:07:36.077] AH SPEAKER_01
[ 00:07:36.145 -->  00:08:10.435] AI SPEAKER_01
[ 00:08:10.587 -->  00:09:23.014] AJ SPEAKER_02
[ 00:09:23.234 -->  00:09:57.321] AK SPEAKER_02
[ 00:09:57.726 -->  00:10:04.223] AM SPEAKER_01
[ 00:10:04.797 -->  00:10:36.809] AN SPEAKER_01
[ 00:10:37.079 -->  00:11:41.912] AO SPEAKER_02
[ 00:11:42.132 -->  00:12:03.867] AP SPEAKER_02
[ 00:12:04.440 -->  00:12:10.009] AQ SPEAKER_02
[ 00:12:10.532 -->  00:12:46.341] AR SPEAKER_02
[ 00:12:46.864 -->  00:13:12.059] AS SPEAKER_01
[ 00:13:12.379 -->  00:13:34.975] AT SPEAKER_01
[ 00:13:34.975 -->  00:14:21.077] AU SPEAKER_02
[ 00:14:21.499 -->  00:14:57.662] AW SPEAKER_02
[ 00:14:57.848 -->  00:16:40.245] AX SPEAKER_02
[ 00:16:40.583 -->  00:17:04.815] AY SPEAKER_01
[ 00:17:05.322 -->  00:17:06.722] AZ SPEAKER_01
[ 00:17:07.144 -->  00:17:15.042] BA SPEAKER_01
[ 00:17:15.548 -->  00:17:18.855] BB SPEAKER_01
[ 00:17:18.872 -->  00:17:39.460] BC SPEAKER_01
[ 00:17:39.696 -->  00:17:43.172] BD SPEAKER_01
[ 00:17:43.172 -->  00:18:09.092] BE SPEAKER_02
[ 00:18:09.329 -->  00:19:03.987] BF SPEAKER_02
[ 00:19:04.763 -->  00:19:55.725] BG SPEAKER_02
[ 00:19:56.097 -->  00:20:56.020] BH SPEAKER_02
[ 00:20:56.762 -->  00:21:41.954] BI SPEAKER_02
[ 00:21:42.460 -->  00:21:45.075] BJ SPEAKER_02
[ 00:21:45.582 -->  00:22:03.165] BK SPEAKER_01
[ 00:22:03.925 -->  00:22:12.025] BL SPEAKER_01
[ 00:22:12.379 -->  00:22:27.381] BM SPEAKER_01
[ 00:22:27.854 -->  00:22:34.249] BN SPEAKER_01
[ 00:22:34.249 -->  00:22:56.406] BO SPEAKER_02
[ 00:22:56.693 -->  00:23:36.518] BP SPEAKER_02
