[ 00:00:00.030 -->  00:00:07.388] A SPEAKER_01
[ 00:00:10.493 -->  00:00:20.854] C SPEAKER_01
[ 00:00:23.065 -->  00:00:23.082] D SPEAKER_01
[ 00:00:54.216 -->  00:01:08.644] F SPEAKER_01
[ 00:01:09.285 -->  00:01:16.812] G SPEAKER_01
[ 00:01:17.841 -->  00:01:45.212] H SPEAKER_01
[ 00:01:46.140 -->  00:02:00.957] I SPEAKER_01
[ 00:02:02.104 -->  00:02:13.562] J SPEAKER_01
[ 00:02:14.372 -->  00:02:22.945] K SPEAKER_01
[ 00:02:23.164 -->  00:02:34.082] L SPEAKER_01
[ 00:02:34.740 -->  00:02:37.592] M SPEAKER_01
[ 00:02:40.039 -->  00:02:42.520] N SPEAKER_01
[ 00:02:42.520 -->  00:02:42.722] O SPEAKER_00
[ 00:02:42.722 -->  00:02:56.324] P SPEAKER_01
[ 00:02:56.324 -->  00:03:01.740] Q SPEAKER_00
[ 00:03:01.977 -->  00:03:11.258] R SPEAKER_00
[ 00:03:11.579 -->  00:03:23.610] S SPEAKER_00
[ 00:03:23.695 -->  00:03:34.529] T SPEAKER_00
[ 00:03:34.613 -->  00:03:44.299] U SPEAKER_00
[ 00:03:44.839 -->  00:03:48.687] V SPEAKER_00
[ 00:03:48.805 -->  00:04:06.726] W SPEAKER_00
[ 00:04:07.080 -->  00:04:37.101] X SPEAKER_00
[ 00:04:37.709 -->  00:05:31.894] Y SPEAKER_00
[ 00:05:32.063 -->  00:06:01.425] Z SPEAKER_01
[ 00:06:01.560 -->  00:06:27.531] AA SPEAKER_00
[ 00:06:27.750 -->  00:06:31.362] AB SPEAKER_00
[ 00:06:32.087 -->  00:06:50.346] AC SPEAKER_00
[ 00:06:51.207 -->  00:06:55.493] AD SPEAKER_00
[ 00:06:55.830 -->  00:07:10.056] AE SPEAKER_00
[ 00:07:10.512 -->  00:07:27.032] AF SPEAKER_01
[ 00:07:27.387 -->  00:07:37.090] AG SPEAKER_01
[ 00:07:37.866 -->  00:08:06.351] AH SPEAKER_00
[ 00:08:07.026 -->  00:08:08.342] AI SPEAKER_00
[ 00:08:08.579 -->  00:08:39.645] AJ SPEAKER_00
[ 00:08:19.379 -->  00:08:19.480] AK SPEAKER_01
[ 00:08:39.899 -->  00:08:41.535] AL SPEAKER_00
[ 00:08:42.008 -->  00:08:43.628] AM SPEAKER_00
[ 00:08:44.202 -->  00:08:50.361] AN SPEAKER_00
[ 00:08:50.597 -->  00:09:10.594] AO SPEAKER_00
[ 00:09:10.965 -->  00:10:05.961] AP SPEAKER_00
[ 00:10:06.619 -->  00:10:09.539] AQ SPEAKER_00
[ 00:10:09.825 -->  00:10:37.349] AR SPEAKER_00
[ 00:10:37.686 -->  00:12:10.347] AS SPEAKER_00
[ 00:12:10.532 -->  00:12:36.233] AT SPEAKER_00
[ 00:12:36.402 -->  00:12:39.051] AU SPEAKER_00
[ 00:12:39.254 -->  00:12:43.844] AV SPEAKER_00
[ 00:12:44.130 -->  00:13:18.049] AW SPEAKER_01
[ 00:13:18.319 -->  00:13:22.335] AX SPEAKER_01
[ 00:13:22.335 -->  00:13:32.781] AY SPEAKER_00
[ 00:13:33.355 -->  00:14:03.713] AZ SPEAKER_00
[ 00:14:03.983 -->  00:14:25.634] BA SPEAKER_00
[ 00:14:25.887 -->  00:14:46.221] BB SPEAKER_00
[ 00:14:46.930 -->  00:15:17.575] BC SPEAKER_00
[ 00:15:17.929 -->  00:15:46.566] BD SPEAKER_01
[ 00:15:46.735 -->  00:16:05.399] BE SPEAKER_00
[ 00:16:05.685 -->  00:16:18.392] BF SPEAKER_00
[ 00:16:18.696 -->  00:16:37.107] BG SPEAKER_00
[ 00:16:37.343 -->  00:18:13.311] BH SPEAKER_00
[ 00:18:13.429 -->  00:18:38.033] BI SPEAKER_00
[ 00:18:38.489 -->  00:18:53.760] BJ SPEAKER_00
[ 00:18:41.543 -->  00:18:41.830] BK SPEAKER_01
[ 00:18:45.036 -->  00:18:45.374] BL SPEAKER_01
[ 00:18:53.879 -->  00:19:30.025] BM SPEAKER_01
[ 00:19:30.160 -->  00:19:44.149] BN SPEAKER_00
[ 00:19:44.723 -->  00:19:50.309] BO SPEAKER_00
[ 00:19:50.764 -->  00:19:54.713] BP SPEAKER_00
[ 00:19:55.202 -->  00:20:34.015] BQ SPEAKER_00
[ 00:20:34.454 -->  00:20:40.326] BR SPEAKER_00
[ 00:20:40.579 -->  00:20:43.212] BS SPEAKER_00
[ 00:20:43.583 -->  00:20:56.172] BT SPEAKER_00
[ 00:20:56.543 -->  00:22:00.263] BU SPEAKER_00
[ 00:22:00.719 -->  00:22:04.060] BV SPEAKER_00
[ 00:22:04.431 -->  00:22:31.060] BW SPEAKER_00
[ 00:22:31.499 -->  00:22:43.682] BX SPEAKER_00
[ 00:22:43.800 -->  00:22:57.925] BY SPEAKER_00
[ 00:22:58.515 -->  00:23:16.724] BZ SPEAKER_00
[ 00:23:16.977 -->  00:23:39.370] CA SPEAKER_00
[ 00:23:39.640 -->  00:23:42.255] CB SPEAKER_00
[ 00:23:42.745 -->  00:24:03.248] CC SPEAKER_00
[ 00:24:03.974 -->  00:24:11.939] CD SPEAKER_00
[ 00:24:12.124 -->  00:24:43.394] CE SPEAKER_00
[ 00:24:43.562 -->  00:25:01.889] CF SPEAKER_00
[ 00:25:01.956 -->  00:25:13.836] CG SPEAKER_00
[ 00:25:13.971 -->  00:25:45.645] CH SPEAKER_00
[ 00:25:46.287 -->  00:25:55.264] CI SPEAKER_00
[ 00:25:55.534 -->  00:26:06.537] CJ SPEAKER_00
[ 00:26:07.364 -->  00:27:18.019] CK SPEAKER_01
[ 00:27:18.104 -->  00:27:37.881] CL SPEAKER_00
[ 00:27:38.472 -->  00:27:40.092] CM SPEAKER_00
[ 00:27:40.328 -->  00:28:02.080] CN SPEAKER_00
[ 00:28:02.215 -->  00:28:15.158] CO SPEAKER_00
[ 00:28:15.580 -->  00:28:25.097] CP SPEAKER_00
[ 00:28:25.654 -->  00:28:27.696] CQ SPEAKER_00
[ 00:28:28.101 -->  00:28:28.489] CR SPEAKER_00
[ 00:28:28.675 -->  00:28:42.411] CS SPEAKER_00
[ 00:28:42.917 -->  00:28:52.148] CT SPEAKER_00
[ 00:28:52.570 -->  00:29:38.166] CU SPEAKER_01
[ 00:29:20.194 -->  00:29:20.245] CV SPEAKER_00
[ 00:29:20.262 -->  00:29:20.515] CX SPEAKER_00
[ 00:29:38.166 -->  00:29:41.811] CY SPEAKER_00
[ 00:29:42.368 -->  00:30:00.644] CZ SPEAKER_00
[ 00:30:01.099 -->  00:30:20.978] DA SPEAKER_00
[ 00:30:21.164 -->  00:30:30.276] DB SPEAKER_00
[ 00:30:30.884 -->  00:30:41.430] DC SPEAKER_00
[ 00:30:42.038 -->  00:30:47.826] DD SPEAKER_00
[ 00:30:48.029 -->  00:31:01.630] DE SPEAKER_00
[ 00:31:01.664 -->  00:31:33.760] DF SPEAKER_00
[ 00:31:33.929 -->  00:31:36.544] DG SPEAKER_00
[ 00:31:37.000 -->  00:31:44.357] DH SPEAKER_00
[ 00:31:44.762 -->  00:31:53.335] DI SPEAKER_00
[ 00:31:53.993 -->  00:31:59.595] DJ SPEAKER_00
[ 00:32:00.574 -->  00:32:14.260] DK SPEAKER_00
[ 00:32:14.445 -->  00:32:25.060] DL SPEAKER_00
[ 00:32:25.229 -->  00:32:28.334] DM SPEAKER_00
[ 00:32:28.789 -->  00:33:01.949] DN SPEAKER_01
[ 00:33:02.016 -->  00:33:07.602] DO SPEAKER_00
[ 00:33:08.159 -->  00:33:09.272] DP SPEAKER_00
[ 00:33:09.846 -->  00:33:14.369] DQ SPEAKER_00
[ 00:33:15.044 -->  00:33:22.485] DR SPEAKER_00
[ 00:33:23.076 -->  00:33:36.762] DS SPEAKER_00
[ 00:33:36.812 -->  00:34:06.816] DT SPEAKER_00
[ 00:34:07.744 -->  00:34:10.275] DU SPEAKER_00
[ 00:34:11.069 -->  00:34:13.229] DV SPEAKER_00
[ 00:34:13.397 -->  00:34:15.709] DW SPEAKER_00
[ 00:34:16.064 -->  00:34:35.774] DX SPEAKER_00
[ 00:34:36.972 -->  00:34:37.799] DY SPEAKER_00
[ 00:34:38.288 -->  00:34:46.202] DZ SPEAKER_00
[ 00:34:46.455 -->  00:34:52.581] EA SPEAKER_00
[ 00:34:53.492 -->  00:35:01.677] EB SPEAKER_00
[ 00:35:02.014 -->  00:35:08.072] EC SPEAKER_00
[ 00:35:08.933 -->  00:35:22.669] ED SPEAKER_00
[ 00:35:22.889 -->  00:35:27.023] EE SPEAKER_00
[ 00:35:27.495 -->  00:35:34.684] EF SPEAKER_00
[ 00:35:35.005 -->  00:35:59.440] EG SPEAKER_01
