[ 00:00:00.030 -->  00:00:09.362] A SPEAKER_01
[ 00:00:09.970 -->  00:00:10.274] B SPEAKER_02
[ 00:00:10.290 -->  00:00:10.341] C SPEAKER_02
[ 00:00:10.560 -->  00:00:10.594] D SPEAKER_02
[ 00:00:10.645 -->  00:00:10.881] E SPEAKER_02
[ 00:00:10.965 -->  00:00:11.421] F SPEAKER_02
[ 00:00:11.792 -->  00:00:12.332] G SPEAKER_02
[ 00:00:12.434 -->  00:00:22.761] H SPEAKER_01
[ 00:00:56.123 -->  00:01:20.035] K SPEAKER_01
[ 00:01:20.271 -->  00:01:31.628] L SPEAKER_01
[ 00:01:35.138 -->  00:01:52.992] M SPEAKER_01
[ 00:01:52.992 -->  00:02:14.035] N SPEAKER_02
[ 00:02:14.035 -->  00:03:03.529] O SPEAKER_01
[ 00:03:03.884 -->  00:03:14.970] P SPEAKER_02
[ 00:03:15.342 -->  00:03:16.034] Q SPEAKER_02
[ 00:03:16.034 -->  00:03:16.675] R SPEAKER_01
[ 00:03:16.675 -->  00:03:16.709] S SPEAKER_02
[ 00:03:16.709 -->  00:04:06.000] T SPEAKER_01
[ 00:04:06.321 -->  00:04:24.023] U SPEAKER_02
[ 00:04:24.023 -->  00:04:24.445] V SPEAKER_01
[ 00:04:24.445 -->  00:04:24.462] W SPEAKER_02
[ 00:04:24.462 -->  00:04:24.479] X SPEAKER_01
[ 00:04:24.816 -->  00:05:25.701] Y SPEAKER_01
[ 00:05:26.022 -->  00:06:15.162] Z SPEAKER_01
[ 00:06:15.330 -->  00:06:34.905] AA SPEAKER_01
[ 00:06:35.226 -->  00:07:16.215] AB SPEAKER_01
[ 00:07:16.469 -->  00:07:47.670] AC SPEAKER_01
[ 00:07:47.907 -->  00:07:58.707] AD SPEAKER_02
[ 00:07:59.145 -->  00:08:05.035] AE SPEAKER_02
[ 00:08:05.035 -->  00:08:05.440] AF SPEAKER_01
[ 00:08:05.440 -->  00:08:05.794] AG SPEAKER_02
