[ 00:00:00.030 -->  00:00:06.797] A SPEAKER_00
[ 00:00:09.666 -->  00:00:20.027] C SPEAKER_00
[ 00:00:22.221 -->  00:00:22.238] D SPEAKER_00
[ 00:00:53.355 -->  00:00:56.393] F SPEAKER_00
[ 00:00:56.460 -->  00:01:07.024] G SPEAKER_00
[ 00:01:07.716 -->  00:01:18.651] H SPEAKER_00
[ 00:01:19.140 -->  00:01:29.265] I SPEAKER_00
[ 00:01:29.822 -->  00:01:39.323] J SPEAKER_00
[ 00:01:40.352 -->  00:01:55.624] K SPEAKER_00
[ 00:01:56.215 -->  00:02:09.175] L SPEAKER_00
[ 00:02:09.512 -->  00:02:16.279] M SPEAKER_00
[ 00:02:16.414 -->  00:02:19.924] N SPEAKER_00
[ 00:02:21.105 -->  00:02:21.325] Q SPEAKER_03
[ 00:02:22.962 -->  00:02:25.122] S SPEAKER_00
[ 00:02:25.324 -->  00:02:28.530] T SPEAKER_03
[ 00:02:28.699 -->  00:02:38.014] U SPEAKER_00
[ 00:02:38.318 -->  00:04:39.345] V SPEAKER_03
[ 00:04:40.206 -->  00:04:43.328] W SPEAKER_03
[ 00:04:43.463 -->  00:05:01.637] X SPEAKER_00
[ 00:05:01.772 -->  00:05:33.987] Y SPEAKER_03
[ 00:05:34.409 -->  00:06:04.193] Z SPEAKER_03
[ 00:06:05.256 -->  00:06:25.725] AA SPEAKER_03
[ 00:06:26.130 -->  00:06:30.687] AB SPEAKER_03
[ 00:06:31.379 -->  00:06:35.429] AC SPEAKER_03
[ 00:06:36.222 -->  00:07:32.669] AD SPEAKER_03
[ 00:07:33.614 -->  00:07:40.144] AE SPEAKER_03
[ 00:07:40.431 -->  00:07:41.241] AF SPEAKER_03
[ 00:07:41.832 -->  00:08:03.972] AG SPEAKER_03
[ 00:08:05.204 -->  00:08:18.282] AH SPEAKER_03
[ 00:08:18.737 -->  00:08:57.550] AI SPEAKER_03
[ 00:08:57.617 -->  00:09:17.209] AJ SPEAKER_03
[ 00:09:17.800 -->  00:09:53.440] AK SPEAKER_03
[ 00:09:53.625 -->  00:09:55.819] AL SPEAKER_03
[ 00:09:55.937 -->  00:09:59.954] AM SPEAKER_03
[ 00:10:00.527 -->  00:10:04.274] AN SPEAKER_03
[ 00:10:04.763 -->  00:10:15.833] AO SPEAKER_03
[ 00:10:16.154 -->  00:10:24.574] AP SPEAKER_03
[ 00:10:24.794 -->  00:10:31.105] AQ SPEAKER_00
[ 00:10:31.712 -->  00:10:43.542] AR SPEAKER_00
[ 00:10:43.947 -->  00:10:44.689] AS SPEAKER_00
[ 00:10:44.841 -->  00:10:48.638] AT SPEAKER_00
[ 00:10:48.705 -->  00:11:15.098] AU SPEAKER_03
[ 00:11:15.604 -->  00:12:13.165] AV SPEAKER_03
[ 00:12:13.384 -->  00:12:18.261] AW SPEAKER_03
[ 00:12:18.801 -->  00:12:27.779] AX SPEAKER_03
[ 00:12:28.605 -->  00:13:27.854] AY SPEAKER_03
[ 00:13:28.697 -->  00:13:40.982] AZ SPEAKER_03
[ 00:13:41.438 -->  00:13:43.682] BA SPEAKER_03
[ 00:13:43.851 -->  00:13:49.622] BB SPEAKER_00
[ 00:13:49.791 -->  00:14:23.271] BC SPEAKER_03
[ 00:14:23.575 -->  00:14:38.425] BD SPEAKER_00
[ 00:14:38.729 -->  00:14:55.890] BE SPEAKER_00
[ 00:14:55.941 -->  00:16:12.149] BF SPEAKER_03
[ 00:16:12.317 -->  00:16:14.072] BG SPEAKER_03
[ 00:16:14.241 -->  00:18:05.447] BH SPEAKER_03
[ 00:18:06.629 -->  00:18:47.061] BI SPEAKER_03
[ 00:18:47.770 -->  00:19:12.559] BJ SPEAKER_03
[ 00:19:12.897 -->  00:19:16.305] BK SPEAKER_03
[ 00:19:16.913 -->  00:19:22.279] BL SPEAKER_03
[ 00:19:22.701 -->  00:19:25.874] BM SPEAKER_03
[ 00:19:26.093 -->  00:19:47.541] BN SPEAKER_03
[ 00:19:47.777 -->  00:20:31.737] BO SPEAKER_03
[ 00:20:32.564 -->  00:21:12.186] BP SPEAKER_03
[ 00:21:12.760 -->  00:22:07.401] BQ SPEAKER_03
[ 00:22:07.435 -->  00:22:12.683] BR SPEAKER_03
[ 00:22:13.358 -->  00:22:21.930] BS SPEAKER_03
[ 00:22:22.504 -->  00:23:19.407] BT SPEAKER_03
[ 00:23:19.575 -->  00:23:21.027] BU SPEAKER_00
[ 00:23:21.297 -->  00:23:29.144] BV SPEAKER_00
[ 00:23:29.599 -->  00:23:39.353] BW SPEAKER_00
[ 00:23:40.079 -->  00:23:50.085] BX SPEAKER_00
[ 00:23:50.204 -->  00:25:19.455] BY SPEAKER_03
[ 00:25:19.574 -->  00:25:21.548] CA SPEAKER_03
[ 00:25:21.936 -->  00:26:01.339] CB SPEAKER_03
[ 00:26:01.491 -->  00:26:37.452] CC SPEAKER_00
[ 00:26:37.519 -->  00:26:38.920] CD SPEAKER_03
[ 00:26:39.055 -->  00:26:50.277] CE SPEAKER_00
[ 00:26:50.412 -->  00:26:52.369] CF SPEAKER_03
[ 00:26:52.690 -->  00:27:26.676] CG SPEAKER_03
[ 00:27:27.132 -->  00:27:36.531] CH SPEAKER_03
[ 00:27:36.683 -->  00:27:50.588] CI SPEAKER_03
[ 00:27:50.689 -->  00:27:59.312] CJ SPEAKER_00
[ 00:27:55.752 -->  00:27:56.055] CK SPEAKER_03
[ 00:27:59.532 -->  00:28:33.569] CL SPEAKER_03
[ 00:28:34.311 -->  00:28:46.377] CM SPEAKER_03
[ 00:28:47.237 -->  00:29:26.016] CN SPEAKER_03
[ 00:29:26.151 -->  00:29:55.395] CO SPEAKER_00
[ 00:29:55.412 -->  00:29:57.184] CP SPEAKER_03
[ 00:29:57.859 -->  00:29:59.817] CQ SPEAKER_03
[ 00:29:59.935 -->  00:30:41.700] CR SPEAKER_03
[ 00:30:42.105 -->  00:30:43.050] CS SPEAKER_03
[ 00:30:43.557 -->  00:31:46.939] CT SPEAKER_03
[ 00:31:47.192 -->  00:31:51.124] CU SPEAKER_03
[ 00:31:52.339 -->  00:32:19.390] CV SPEAKER_03
[ 00:32:19.609 -->  00:32:30.038] CW SPEAKER_03
[ 00:32:30.578 -->  00:32:35.151] CX SPEAKER_03
[ 00:32:35.742 -->  00:32:57.190] CY SPEAKER_03
[ 00:32:57.747 -->  00:33:07.399] CZ SPEAKER_03
[ 00:33:07.754 -->  00:33:33.404] DA SPEAKER_03
[ 00:33:34.619 -->  00:34:01.635] DB SPEAKER_03
[ 00:34:02.074 -->  00:34:40.971] DC SPEAKER_03
[ 00:34:41.123 -->  00:34:44.160] DD SPEAKER_03
[ 00:34:44.380 -->  00:34:49.594] DE SPEAKER_03
[ 00:34:50.404 -->  00:34:51.855] DF SPEAKER_03
[ 00:34:52.379 -->  00:34:56.665] DG SPEAKER_03
[ 00:34:56.969 -->  00:35:15.025] DH SPEAKER_03
[ 00:35:16.223 -->  00:35:19.379] DI SPEAKER_03
[ 00:35:19.581 -->  00:35:37.452] DJ SPEAKER_00
[ 00:35:37.502 -->  00:35:42.042] DK SPEAKER_00
[ 00:35:42.059 -->  00:36:08.890] DL SPEAKER_00
[ 00:36:08.940 -->  00:36:30.743] DM SPEAKER_03
[ 00:36:31.047 -->  00:37:15.327] DN SPEAKER_03
[ 00:37:15.968 -->  00:37:19.309] DO SPEAKER_03
[ 00:37:19.529 -->  00:37:21.098] DP SPEAKER_03
[ 00:37:21.689 -->  00:37:27.089] DQ SPEAKER_03
[ 00:37:27.325 -->  00:38:53.910] DR SPEAKER_03
[ 00:38:53.978 -->  00:39:10.229] DS SPEAKER_03
[ 00:39:10.279 -->  00:39:10.296] DT SPEAKER_03
[ 00:39:10.347 -->  00:39:16.422] DU SPEAKER_03
[ 00:39:16.776 -->  00:39:35.490] DV SPEAKER_03
[ 00:39:35.490 -->  00:39:35.507] DW SPEAKER_00
[ 00:39:35.744 -->  00:40:06.439] DX SPEAKER_00
[ 00:40:06.760 -->  00:40:22.234] DY SPEAKER_00
[ 00:40:22.555 -->  00:41:12.640] DZ SPEAKER_03
[ 00:41:12.792 -->  00:41:36.332] EA SPEAKER_03
[ 00:41:36.383 -->  00:41:45.715] EB SPEAKER_03
[ 00:41:45.934 -->  00:42:14.571] EC SPEAKER_03
[ 00:42:15.449 -->  00:42:18.756] ED SPEAKER_03
[ 00:42:19.397 -->  00:42:21.422] EE SPEAKER_03
[ 00:42:21.810 -->  00:42:23.177] EF SPEAKER_03
[ 00:42:23.430 -->  00:42:29.033] EG SPEAKER_03
[ 00:42:29.050 -->  00:42:36.947] EH SPEAKER_03
[ 00:42:37.589 -->  00:42:45.132] EI SPEAKER_03
[ 00:42:45.469 -->  00:42:46.094] EJ SPEAKER_03
[ 00:42:46.347 -->  00:42:54.582] EK SPEAKER_03
[ 00:42:55.375 -->  00:42:57.771] EL SPEAKER_03
[ 00:42:58.210 -->  00:43:00.471] EM SPEAKER_03
[ 00:43:01.180 -->  00:43:09.719] EN SPEAKER_03
[ 00:43:10.039 -->  00:43:15.996] EO SPEAKER_03
[ 00:43:16.418 -->  00:43:19.185] EP SPEAKER_03
[ 00:43:19.422 -->  00:43:21.396] EQ SPEAKER_03
[ 00:43:21.666 -->  00:44:44.556] ER SPEAKER_03
[ 00:44:44.624 -->  00:45:11.151] ES SPEAKER_03
[ 00:45:11.674 -->  00:45:25.022] ET SPEAKER_03
[ 00:45:25.056 -->  00:45:28.836] EU SPEAKER_03
[ 00:45:29.174 -->  00:45:30.692] EV SPEAKER_03
[ 00:45:30.895 -->  00:45:37.054] EW SPEAKER_03
[ 00:45:37.442 -->  00:45:56.190] EX SPEAKER_03
[ 00:45:56.916 -->  00:46:01.371] EY SPEAKER_03
[ 00:46:01.725 -->  00:46:03.582] EZ SPEAKER_03
[ 00:46:03.970 -->  00:46:03.987] FA SPEAKER_03
[ 00:46:04.392 -->  00:46:44.925] FB SPEAKER_03
[ 00:46:45.347 -->  00:47:07.386] FC SPEAKER_03
[ 00:47:07.690 -->  00:47:14.271] FD SPEAKER_03
[ 00:47:14.524 -->  00:47:16.026] FE SPEAKER_03
[ 00:47:16.397 -->  00:47:23.316] FF SPEAKER_03
[ 00:47:23.687 -->  00:47:25.105] FG SPEAKER_03
[ 00:47:25.425 -->  00:47:28.800] FH SPEAKER_03
[ 00:47:30.420 -->  00:47:32.277] FI SPEAKER_03
[ 00:47:32.783 -->  00:47:36.141] FJ SPEAKER_03
[ 00:47:36.495 -->  00:47:39.162] FK SPEAKER_03
[ 00:47:39.499 -->  00:47:52.375] FL SPEAKER_03
[ 00:47:52.510 -->  00:48:26.766] FM SPEAKER_03
[ 00:48:27.002 -->  00:49:00.297] FN SPEAKER_03
[ 00:49:01.360 -->  00:49:04.617] FO SPEAKER_03
[ 00:49:05.174 -->  00:49:12.295] FP SPEAKER_03
[ 00:49:12.497 -->  00:49:30.081] FQ SPEAKER_03
[ 00:49:30.975 -->  00:49:38.991] FR SPEAKER_03
[ 00:49:39.514 -->  00:49:40.949] FS SPEAKER_03
[ 00:49:41.792 -->  00:49:51.040] FT SPEAKER_03
[ 00:49:51.259 -->  00:49:58.684] FU SPEAKER_00
[ 00:49:59.309 -->  00:50:34.746] FV SPEAKER_00
[ 00:50:35.877 -->  00:50:53.258] FW SPEAKER_00
[ 00:50:53.427 -->  00:52:19.557] FX SPEAKER_03
[ 00:52:19.675 -->  00:52:38.271] FY SPEAKER_00
[ 00:52:38.355 -->  00:54:11.961] FZ SPEAKER_03
[ 00:54:13.294 -->  00:54:32.903] GA SPEAKER_03
[ 00:54:33.527 -->  00:54:39.434] GB SPEAKER_03
[ 00:54:39.822 -->  00:54:43.028] GC SPEAKER_03
[ 00:54:43.146 -->  00:55:01.928] GD SPEAKER_03
[ 00:55:02.316 -->  00:55:02.991] GE SPEAKER_03
[ 00:55:03.447 -->  00:55:09.488] GF SPEAKER_03
[ 00:55:09.944 -->  00:55:47.541] GG SPEAKER_03
[ 00:55:47.980 -->  00:56:18.692] GH SPEAKER_03
[ 00:56:18.827 -->  00:56:42.503] GI SPEAKER_03
[ 00:56:42.992 -->  00:57:36.486] GJ SPEAKER_00
[ 00:57:36.570 -->  00:58:08.650] GK SPEAKER_03
[ 00:58:08.650 -->  00:58:27.145] GL SPEAKER_00
[ 00:58:27.111 -->  00:59:30.392] GM SPEAKER_03
[ 00:59:30.527 -->  00:59:30.814] GN SPEAKER_03
[ 00:59:30.983 -->  00:59:31.017] GO SPEAKER_03
[ 00:59:31.253 -->  00:59:58.557] GP SPEAKER_03
[ 00:59:59.333 -->  01:00:05.594] GQ SPEAKER_03
[ 01:00:06.150 -->  01:00:11.483] GR SPEAKER_03
[ 01:00:12.023 -->  01:00:18.081] GS SPEAKER_03
[ 01:00:18.824 -->  01:00:33.437] GT SPEAKER_03
[ 01:00:34.214 -->  01:01:05.230] GU SPEAKER_03
[ 01:01:05.652 -->  01:01:15.389] GV SPEAKER_03
[ 01:01:15.675 -->  01:01:21.835] GW SPEAKER_03
[ 01:01:22.172 -->  01:01:24.029] GX SPEAKER_03
[ 01:01:24.147 -->  01:01:31.403] GY SPEAKER_00
[ 01:01:31.926 -->  01:01:34.997] GZ SPEAKER_00
[ 01:01:35.250 -->  01:01:46.455] HA SPEAKER_00
[ 01:01:46.607 -->  01:02:01.170] HB SPEAKER_03
[ 01:02:02.976 -->  01:02:26.939] HC SPEAKER_03
[ 01:02:27.225 -->  01:02:56.706] HD SPEAKER_03
[ 01:02:57.972 -->  01:03:06.004] HE SPEAKER_03
[ 01:03:06.139 -->  01:03:10.037] HF SPEAKER_03
[ 01:03:11.708 -->  01:03:52.208] HG SPEAKER_03
[ 01:03:52.495 -->  01:03:54.334] HH SPEAKER_03
[ 01:03:54.604 -->  01:03:59.397] HI SPEAKER_03
[ 01:03:59.751 -->  01:04:05.742] HJ SPEAKER_03
[ 01:04:06.855 -->  01:04:07.665] HK SPEAKER_03
[ 01:04:08.172 -->  01:04:32.894] HL SPEAKER_03
[ 01:04:33.164 -->  01:05:08.550] HM SPEAKER_00
[ 01:05:08.685 -->  01:06:47.742] HN SPEAKER_03
[ 01:06:48.349 -->  01:07:01.124] HO SPEAKER_03
[ 01:07:01.664 -->  01:07:27.651] HP SPEAKER_03
[ 01:07:27.938 -->  01:07:46.028] HQ SPEAKER_03
[ 01:07:47.260 -->  01:09:32.273] HR SPEAKER_03
[ 01:09:32.914 -->  01:09:36.272] HS SPEAKER_03
[ 01:09:36.846 -->  01:09:45.655] HT SPEAKER_03
[ 01:09:45.739 -->  01:09:50.228] HU SPEAKER_03
[ 01:09:51.257 -->  01:10:31.757] HV SPEAKER_03
[ 01:10:32.584 -->  01:10:34.238] HW SPEAKER_03
[ 01:10:34.660 -->  01:10:48.582] HX SPEAKER_03
[ 01:10:49.290 -->  01:11:10.165] HY SPEAKER_03
[ 01:11:10.384 -->  01:11:13.371] HZ SPEAKER_00
[ 01:11:14.063 -->  01:11:18.164] IA SPEAKER_00
[ 01:11:18.737 -->  01:11:23.378] IB SPEAKER_00
[ 01:11:24.795 -->  01:11:39.004] IC SPEAKER_00
[ 01:11:39.426 -->  01:12:08.215] ID SPEAKER_03
[ 01:12:09.413 -->  01:12:28.785] IE SPEAKER_03
[ 01:12:30.169 -->  01:14:23.569] IF SPEAKER_03
[ 01:14:24.885 -->  01:15:06.060] IG SPEAKER_03
[ 01:15:07.174 -->  01:15:45.295] IH SPEAKER_03
[ 01:15:45.936 -->  01:15:50.273] II SPEAKER_03
[ 01:15:50.307 -->  01:15:50.324] IJ SPEAKER_03
[ 01:15:50.408 -->  01:15:54.171] IK SPEAKER_03
[ 01:15:55.032 -->  01:15:59.875] IL SPEAKER_03
[ 01:16:00.668 -->  01:16:08.785] IM SPEAKER_03
[ 01:16:08.920 -->  01:16:53.402] IN SPEAKER_03
[ 01:16:53.723 -->  01:17:35.522] IO SPEAKER_00
[ 01:17:35.826 -->  01:17:44.449] IP SPEAKER_03
[ 01:17:44.685 -->  01:19:02.024] IQ SPEAKER_03
[ 01:19:02.344 -->  01:21:03.490] IR SPEAKER_03
[ 01:21:03.692 -->  01:22:03.852] IS SPEAKER_03
[ 01:22:05.100 -->  01:23:33.239] IT SPEAKER_03
[ 01:23:33.492 -->  01:23:46.047] IU SPEAKER_00
[ 01:23:46.080 -->  01:23:46.114] IV SPEAKER_00
[ 01:23:46.114 -->  01:23:48.207] IW SPEAKER_03
[ 01:23:48.207 -->  01:24:14.684] IX SPEAKER_00
[ 01:24:15.072 -->  01:24:19.510] IY SPEAKER_03
[ 01:24:19.763 -->  01:25:00.735] IZ SPEAKER_03
[ 01:25:01.613 -->  01:25:31.414] JA SPEAKER_03
[ 01:25:33.000 -->  01:25:59.359] JB SPEAKER_03
[ 01:25:59.477 -->  01:26:33.632] JC SPEAKER_03
[ 01:26:33.987 -->  01:26:36.383] JD SPEAKER_03
[ 01:26:37.058 -->  01:26:39.150] JE SPEAKER_03
[ 01:26:39.690 -->  01:28:14.494] JF SPEAKER_03
[ 01:28:14.984 -->  01:28:38.642] JG SPEAKER_00
[ 01:28:22.577 -->  01:28:23.674] JH SPEAKER_03
[ 01:28:38.862 -->  01:28:39.233] JI SPEAKER_03
