[ 00:00:00.030 -->  00:00:06.105] A SPEAKER_02
[ 00:00:06.629 -->  00:00:07.827] B SPEAKER_02
[ 00:00:11.219 -->  00:00:21.563] D SPEAKER_02
[ 00:00:54.908 -->  00:01:17.740] F SPEAKER_02
[ 00:01:18.162 -->  00:01:43.221] G SPEAKER_02
[ 00:01:43.845 -->  00:01:48.115] H SPEAKER_02
[ 00:01:48.621 -->  00:02:01.952] I SPEAKER_02
[ 00:02:02.442 -->  00:02:12.415] J SPEAKER_02
[ 00:02:12.465 -->  00:02:22.050] K SPEAKER_02
[ 00:02:22.962 -->  00:02:23.029] L SPEAKER_02
[ 00:02:25.915 -->  00:02:53.910] M SPEAKER_02
[ 00:02:54.029 -->  00:02:54.872] N SPEAKER_01
[ 00:02:54.974 -->  00:02:55.024] O SPEAKER_01
[ 00:02:55.109 -->  00:03:03.057] P SPEAKER_01
[ 00:03:03.512 -->  00:03:12.017] Q SPEAKER_01
[ 00:03:12.389 -->  00:04:40.139] R SPEAKER_01
[ 00:04:40.223 -->  00:05:17.297] S SPEAKER_02
[ 00:05:17.854 -->  00:11:48.494] T SPEAKER_01
[ 00:11:48.848 -->  00:12:21.704] U SPEAKER_01
[ 00:12:21.855 -->  00:14:29.110] V SPEAKER_01
[ 00:14:29.380 -->  00:14:37.260] W SPEAKER_02
[ 00:14:37.952 -->  00:15:06.657] X SPEAKER_02
[ 00:15:06.876 -->  00:15:35.850] Y SPEAKER_02
[ 00:15:36.087 -->  00:16:04.757] Z SPEAKER_02
[ 00:16:05.584 -->  00:16:21.582] AA SPEAKER_02
[ 00:16:21.818 -->  00:16:46.911] AB SPEAKER_02
[ 00:16:47.164 -->  00:21:16.388] AC SPEAKER_01
[ 00:21:16.472 -->  00:22:13.020] AD SPEAKER_01
[ 00:22:13.375 -->  00:22:15.079] AE SPEAKER_01
[ 00:22:15.164 -->  00:22:37.371] AG SPEAKER_01
[ 00:22:37.877 -->  00:22:42.974] AH SPEAKER_01
[ 00:22:43.345 -->  00:22:48.306] AI SPEAKER_01
[ 00:22:48.576 -->  00:23:24.672] AJ SPEAKER_01
[ 00:23:25.718 -->  00:25:05.652] AK SPEAKER_01
[ 00:25:05.719 -->  00:25:24.889] AL SPEAKER_01
[ 00:25:25.277 -->  00:26:30.111] AM SPEAKER_01
[ 00:26:30.212 -->  00:26:36.692] AN SPEAKER_02
[ 00:26:37.080 -->  00:26:56.774] AO SPEAKER_02
[ 00:26:57.246 -->  00:27:21.833] AP SPEAKER_02
[ 00:27:22.272 -->  00:28:03.784] AS SPEAKER_02
[ 00:28:03.953 -->  00:29:55.699] AT SPEAKER_01
[ 00:29:55.733 -->  00:29:59.327] AU SPEAKER_02
[ 00:29:59.479 -->  00:31:15.974] AV SPEAKER_01
[ 00:31:16.244 -->  00:31:40.459] AW SPEAKER_01
[ 00:31:40.459 -->  00:31:58.026] AX SPEAKER_02
[ 00:31:58.718 -->  00:32:26.528] AY SPEAKER_02
[ 00:32:27.237 -->  00:32:41.699] BA SPEAKER_02
[ 00:32:41.935 -->  00:32:48.887] BB SPEAKER_02
[ 00:32:49.275 -->  00:32:54.760] BC SPEAKER_02
[ 00:32:55.300 -->  00:33:07.332] BD SPEAKER_02
[ 00:33:07.889 -->  00:34:00.960] BF SPEAKER_01
[ 00:34:01.382 -->  00:34:06.732] BG SPEAKER_02
[ 00:34:06.782 -->  00:35:08.393] BH SPEAKER_01
[ 00:35:08.477 -->  00:35:52.639] BI SPEAKER_02
[ 00:35:52.909 -->  00:35:59.187] BJ SPEAKER_02
[ 00:35:59.170 -->  00:36:32.211] BK SPEAKER_01
[ 00:36:32.295 -->  00:39:45.480] BL SPEAKER_01
[ 00:39:45.531 -->  00:40:54.752] BN SPEAKER_01
[ 00:40:54.752 -->  00:41:01.975] BP SPEAKER_02
[ 00:41:02.481 -->  00:41:33.227] BQ SPEAKER_02
[ 00:41:33.379 -->  00:42:16.225] BR SPEAKER_02
[ 00:42:16.174 -->  00:43:14.764] BS SPEAKER_01
[ 00:43:14.916 -->  00:43:32.584] BT SPEAKER_02
[ 00:43:32.972 -->  00:43:58.825] BU SPEAKER_02
[ 00:43:59.010 -->  00:44:11.380] BV SPEAKER_01
[ 00:44:12.055 -->  00:45:06.730] BW SPEAKER_01
[ 00:45:06.730 -->  00:45:10.004] BX SPEAKER_02
[ 00:45:09.970 -->  00:45:17.547] BY SPEAKER_01
[ 00:45:18.475 -->  00:45:23.436] BZ SPEAKER_01
[ 00:45:23.925 -->  00:46:33.282] CA SPEAKER_01
