[ 00:00:00.030 -->  00:00:01.380] A SPEAKER_01
[ 00:00:01.785 -->  00:00:02.258] B SPEAKER_01
[ 00:00:02.967 -->  00:00:03.490] C SPEAKER_01
[ 00:00:04.300 -->  00:00:04.941] D SPEAKER_01
[ 00:00:05.464 -->  00:00:06.257] E SPEAKER_01
[ 00:00:06.527 -->  00:00:08.738] F SPEAKER_01
[ 00:00:09.177 -->  00:00:11.775] G SPEAKER_01
[ 00:00:11.910 -->  00:00:22.238] H SPEAKER_01
[ 00:00:55.583 -->  00:01:03.312] K SPEAKER_01
[ 00:01:03.970 -->  00:01:13.892] L SPEAKER_01
[ 00:01:14.584 -->  00:01:21.064] M SPEAKER_01
[ 00:01:21.655 -->  00:01:46.967] N SPEAKER_01
[ 00:01:48.081 -->  00:02:03.049] O SPEAKER_01
[ 00:02:03.404 -->  00:02:03.488] Q SPEAKER_02
[ 00:02:03.690 -->  00:02:03.809] S SPEAKER_02
[ 00:02:06.306 -->  00:02:08.112] U SPEAKER_01
[ 00:02:08.399 -->  00:02:09.462] V SPEAKER_02
[ 00:02:09.749 -->  00:02:23.569] W SPEAKER_01
[ 00:02:23.569 -->  00:02:24.109] X SPEAKER_02
[ 00:02:24.379 -->  00:02:29.830] Y SPEAKER_02
[ 00:02:30.471 -->  00:02:33.255] Z SPEAKER_02
[ 00:02:33.694 -->  00:02:36.124] AA SPEAKER_02
[ 00:02:36.597 -->  00:02:42.385] AB SPEAKER_02
[ 00:02:42.942 -->  00:02:49.067] AC SPEAKER_02
[ 00:02:49.405 -->  00:02:51.885] AD SPEAKER_02
[ 00:02:52.240 -->  00:02:53.303] AE SPEAKER_02
[ 00:02:54.383 -->  00:02:57.353] AF SPEAKER_02
[ 00:02:57.792 -->  00:03:01.167] AG SPEAKER_02
[ 00:03:01.707 -->  00:03:04.575] AH SPEAKER_02
[ 00:03:05.470 -->  00:03:08.777] AI SPEAKER_02
[ 00:03:09.452 -->  00:03:16.034] AJ SPEAKER_02
[ 00:03:16.759 -->  00:03:26.175] AK SPEAKER_02
[ 00:03:26.395 -->  00:04:05.072] AL SPEAKER_01
[ 00:04:05.140 -->  00:04:09.544] AM SPEAKER_02
[ 00:04:10.067 -->  00:04:12.632] AN SPEAKER_02
[ 00:04:12.970 -->  00:04:16.649] AO SPEAKER_02
[ 00:04:16.986 -->  00:04:20.007] AP SPEAKER_02
[ 00:04:20.682 -->  00:04:22.234] AQ SPEAKER_02
[ 00:04:22.369 -->  00:04:24.394] AR SPEAKER_02
[ 00:04:24.833 -->  00:04:27.887] AS SPEAKER_02
[ 00:04:28.427 -->  00:04:33.422] AT SPEAKER_02
[ 00:04:33.844 -->  00:04:37.455] AU SPEAKER_02
[ 00:04:37.860 -->  00:04:41.050] AV SPEAKER_02
[ 00:04:41.556 -->  00:04:43.227] AW SPEAKER_02
[ 00:04:43.784 -->  00:04:44.459] AX SPEAKER_02
[ 00:04:44.577 -->  00:04:51.023] AY SPEAKER_02
[ 00:04:51.580 -->  00:04:57.300] AZ SPEAKER_02
[ 00:04:57.739 -->  00:04:59.258] BA SPEAKER_02
[ 00:04:59.528 -->  00:05:02.684] BB SPEAKER_02
[ 00:05:03.443 -->  00:05:05.586] BC SPEAKER_02
[ 00:05:05.957 -->  00:05:09.214] BD SPEAKER_02
[ 00:05:09.417 -->  00:05:11.864] BE SPEAKER_02
[ 00:05:12.032 -->  00:05:12.707] BF SPEAKER_02
[ 00:05:13.146 -->  00:05:15.154] BG SPEAKER_02
[ 00:05:15.593 -->  00:05:17.213] BH SPEAKER_02
[ 00:05:17.753 -->  00:05:19.491] BI SPEAKER_02
[ 00:05:19.896 -->  00:05:22.579] BJ SPEAKER_02
[ 00:05:22.950 -->  00:05:25.532] BK SPEAKER_02
[ 00:05:26.309 -->  00:05:31.000] BL SPEAKER_02
[ 00:05:31.725 -->  00:05:35.961] BM SPEAKER_02
[ 00:05:36.535 -->  00:05:40.197] BN SPEAKER_02
[ 00:05:40.551 -->  00:05:45.344] BO SPEAKER_02
[ 00:05:46.137 -->  00:05:47.655] BP SPEAKER_02
[ 00:05:48.499 -->  00:05:49.309] BQ SPEAKER_02
[ 00:05:49.849 -->  00:05:53.798] BR SPEAKER_02
[ 00:05:54.152 -->  00:06:00.295] BS SPEAKER_02
[ 00:06:00.953 -->  00:06:02.742] BT SPEAKER_02
[ 00:06:03.130 -->  00:06:08.614] BU SPEAKER_02
[ 00:06:09.205 -->  00:06:15.668] BV SPEAKER_02
[ 00:06:15.972 -->  00:06:28.054] BW SPEAKER_02
[ 00:06:28.982 -->  00:06:29.995] BX SPEAKER_02
[ 00:06:30.518 -->  00:06:33.927] BY SPEAKER_02
[ 00:06:34.382 -->  00:06:36.677] BZ SPEAKER_02
[ 00:06:37.656 -->  00:06:41.115] CA SPEAKER_02
[ 00:06:41.858 -->  00:06:48.017] CB SPEAKER_02
[ 00:06:48.726 -->  00:06:49.857] CC SPEAKER_02
[ 00:06:50.430 -->  00:06:52.928] CD SPEAKER_02
[ 00:06:53.215 -->  00:06:54.278] CE SPEAKER_02
[ 00:06:54.615 -->  00:06:57.805] CF SPEAKER_02
[ 00:06:58.345 -->  00:07:02.918] CG SPEAKER_02
[ 00:07:03.407 -->  00:07:04.268] CH SPEAKER_02
[ 00:07:04.892 -->  00:07:07.491] CI SPEAKER_02
[ 00:07:07.862 -->  00:07:09.212] CJ SPEAKER_02
[ 00:07:09.499 -->  00:07:11.760] CK SPEAKER_02
[ 00:07:12.570 -->  00:07:14.730] CL SPEAKER_02
[ 00:07:15.034 -->  00:07:19.692] CM SPEAKER_02
[ 00:07:20.485 -->  00:07:26.070] CN SPEAKER_02
[ 00:07:26.644 -->  00:07:29.597] CO SPEAKER_02
[ 00:07:30.087 -->  00:07:30.745] CP SPEAKER_02
[ 00:07:31.032 -->  00:07:35.284] CQ SPEAKER_02
[ 00:07:35.453 -->  00:08:15.430] CR SPEAKER_01
[ 00:08:15.480 -->  00:08:16.797] CS SPEAKER_02
[ 00:08:17.134 -->  00:08:22.163] CT SPEAKER_02
[ 00:08:22.602 -->  00:08:26.685] CU SPEAKER_02
[ 00:08:27.141 -->  00:08:27.799] CV SPEAKER_02
[ 00:08:28.019 -->  00:08:31.664] CW SPEAKER_02
[ 00:08:32.204 -->  00:08:39.865] CX SPEAKER_02
[ 00:08:40.320 -->  00:08:41.249] CY SPEAKER_02
[ 00:08:41.485 -->  00:08:44.894] CZ SPEAKER_02
[ 00:08:45.214 -->  00:08:47.104] DA SPEAKER_02
[ 00:08:47.357 -->  00:08:50.969] DB SPEAKER_02
[ 00:08:51.644 -->  00:08:56.504] DC SPEAKER_02
[ 00:08:56.875 -->  00:09:00.689] DD SPEAKER_02
[ 00:09:01.009 -->  00:09:02.427] DE SPEAKER_02
[ 00:09:02.646 -->  00:09:05.363] DF SPEAKER_02
[ 00:09:05.582 -->  00:09:32.835] DG SPEAKER_01
[ 00:09:33.426 -->  00:09:43.686] DH SPEAKER_01
[ 00:09:43.737 -->  00:09:48.749] DI SPEAKER_02
[ 00:09:49.238 -->  00:09:53.220] DJ SPEAKER_02
[ 00:09:53.744 -->  00:09:58.958] DK SPEAKER_02
[ 00:09:59.363 -->  00:10:04.560] DL SPEAKER_02
[ 00:10:04.746 -->  00:10:09.910] DM SPEAKER_02
[ 00:10:10.568 -->  00:10:13.015] DN SPEAKER_02
[ 00:10:13.605 -->  00:10:16.829] DO SPEAKER_02
[ 00:10:17.369 -->  00:10:18.111] DP SPEAKER_02
[ 00:10:18.449 -->  00:10:19.360] DQ SPEAKER_02
[ 00:10:19.799 -->  00:10:27.055] DR SPEAKER_02
[ 00:10:27.662 -->  00:10:29.249] DS SPEAKER_02
[ 00:10:29.637 -->  00:10:33.990] DT SPEAKER_02
[ 00:10:34.733 -->  00:10:37.686] DU SPEAKER_02
[ 00:10:37.905 -->  00:10:38.378] DV SPEAKER_02
[ 00:10:38.901 -->  00:10:41.027] DW SPEAKER_02
[ 00:10:41.635 -->  00:10:42.833] DX SPEAKER_02
[ 00:10:43.457 -->  00:10:47.153] DY SPEAKER_02
[ 00:10:47.423 -->  00:10:49.515] DZ SPEAKER_02
