[ 00:00:00.030 -->  00:00:05.245] A SPEAKER_00
[ 00:00:08.215 -->  00:00:18.542] D SPEAKER_00
[ 00:00:20.770 -->  00:00:20.787] E SPEAKER_00
[ 00:00:51.938 -->  00:00:57.287] G SPEAKER_00
[ 00:00:57.912 -->  00:01:15.462] H SPEAKER_00
[ 00:01:16.356 -->  00:01:31.560] I SPEAKER_00
[ 00:01:32.860 -->  00:01:42.934] J SPEAKER_00
[ 00:01:43.322 -->  00:01:53.245] K SPEAKER_00
[ 00:01:54.291 -->  00:02:13.680] L SPEAKER_00
[ 00:02:14.254 -->  00:02:22.658] M SPEAKER_00
[ 00:02:25.729 -->  00:02:28.395] N SPEAKER_00
[ 00:02:28.547 -->  00:02:29.408] O SPEAKER_01
[ 00:02:29.880 -->  00:03:06.786] P SPEAKER_00
[ 00:03:07.039 -->  00:03:23.189] Q SPEAKER_01
[ 00:03:23.661 -->  00:03:26.513] R SPEAKER_01
[ 00:03:26.834 -->  00:03:32.217] S SPEAKER_01
[ 00:03:32.740 -->  00:03:34.056] T SPEAKER_01
[ 00:03:33.128 -->  00:03:33.347] U SPEAKER_00
[ 00:03:34.444 -->  00:03:40.907] V SPEAKER_01
[ 00:03:41.312 -->  00:03:45.362] W SPEAKER_01
[ 00:03:45.885 -->  00:03:53.564] X SPEAKER_01
[ 00:03:53.884 -->  00:03:58.002] Y SPEAKER_01
[ 00:03:58.559 -->  00:04:05.646] Z SPEAKER_01
[ 00:04:06.051 -->  00:04:08.498] AA SPEAKER_01
[ 00:04:08.734 -->  00:04:14.877] AB SPEAKER_01
[ 00:04:15.197 -->  00:04:20.513] AC SPEAKER_01
[ 00:04:20.614 -->  00:04:22.892] AD SPEAKER_01
[ 00:04:23.955 -->  00:04:26.976] AE SPEAKER_00
[ 00:04:25.947 -->  00:04:39.362] AF SPEAKER_01
[ 00:04:39.700 -->  00:04:58.279] AG SPEAKER_00
[ 00:04:58.279 -->  00:05:02.363] AH SPEAKER_01
[ 00:05:02.717 -->  00:05:07.290] AI SPEAKER_01
[ 00:05:07.695 -->  00:05:12.910] AJ SPEAKER_01
[ 00:05:13.146 -->  00:05:16.740] AK SPEAKER_01
[ 00:05:17.213 -->  00:05:22.259] AL SPEAKER_01
[ 00:05:22.545 -->  00:05:25.802] AM SPEAKER_01
[ 00:05:26.055 -->  00:05:28.418] AN SPEAKER_01
[ 00:05:28.654 -->  00:05:30.342] AO SPEAKER_01
[ 00:05:30.831 -->  00:05:35.219] AP SPEAKER_01
[ 00:05:35.286 -->  00:05:38.104] AQ SPEAKER_01
[ 00:05:38.340 -->  00:05:42.728] AR SPEAKER_01
[ 00:05:43.133 -->  00:05:44.247] AS SPEAKER_01
[ 00:05:44.770 -->  00:06:01.274] AT SPEAKER_01
[ 00:06:01.763 -->  00:06:03.045] AU SPEAKER_01
[ 00:06:01.915 -->  00:06:02.067] AV SPEAKER_00
[ 00:06:03.602 -->  00:06:10.285] AW SPEAKER_01
[ 00:06:10.487 -->  00:06:40.947] AX SPEAKER_01
[ 00:06:41.335 -->  00:06:54.329] AY SPEAKER_01
[ 00:06:54.818 -->  00:07:02.783] AZ SPEAKER_01
[ 00:07:02.935 -->  00:07:18.038] BA SPEAKER_00
[ 00:07:18.224 -->  00:08:04.191] BB SPEAKER_00
[ 00:08:04.191 -->  00:08:22.821] BC SPEAKER_01
[ 00:08:23.277 -->  00:08:38.532] BD SPEAKER_01
[ 00:08:38.869 -->  00:08:52.707] BE SPEAKER_01
[ 00:08:53.044 -->  00:09:01.043] BF SPEAKER_01
[ 00:09:01.077 -->  00:09:05.700] BG SPEAKER_01
[ 00:09:06.291 -->  00:09:09.919] BH SPEAKER_01
[ 00:09:10.425 -->  00:09:24.719] BI SPEAKER_01
[ 00:09:25.343 -->  00:09:36.396] BJ SPEAKER_01
[ 00:09:36.801 -->  00:09:44.040] BK SPEAKER_01
[ 00:09:44.682 -->  00:09:47.010] BL SPEAKER_01
