[ 00:03:15.325 -->  00:03:29.399] U SPEAKER_04
[ 00:03:29.871 -->  00:03:43.371] V SPEAKER_04
[ 00:03:43.827 -->  00:03:53.462] W SPEAKER_04
[ 00:03:53.631 -->  00:03:56.247] X SPEAKER_04
[ 00:03:56.854 -->  00:03:59.639] Y SPEAKER_04
[ 00:03:59.655 -->  00:04:03.267] Z SPEAKER_04
[ 00:04:03.840 -->  00:04:11.805] AA SPEAKER_04
[ 00:04:12.261 -->  00:04:12.278] AB SPEAKER_04
[ 00:04:12.278 -->  00:04:14.033] AC SPEAKER_03
[ 00:04:14.539 -->  00:04:19.264] AD SPEAKER_03
[ 00:04:19.686 -->  00:04:34.334] AE SPEAKER_03
[ 00:04:34.840 -->  00:04:42.450] AF SPEAKER_03
[ 00:04:42.855 -->  00:04:49.386] AG SPEAKER_03
[ 00:04:50.010 -->  00:04:54.702] AH SPEAKER_03
[ 00:04:55.022 -->  00:05:01.435] AI SPEAKER_03
[ 00:05:17.095 -->  00:05:27.389] AK SPEAKER_04
[ 00:05:27.507 -->  00:05:32.164] AL SPEAKER_04
[ 00:05:32.417 -->  00:05:35.826] AM SPEAKER_04
[ 00:05:36.214 -->  00:05:39.623] AN SPEAKER_04
[ 00:05:39.927 -->  00:05:43.369] AO SPEAKER_04
[ 00:05:43.859 -->  00:06:09.272] AP SPEAKER_04
[ 00:06:09.424 -->  00:06:25.219] AQ SPEAKER_04
[ 00:06:25.995 -->  00:06:29.067] AR SPEAKER_04
[ 00:06:29.252 -->  00:06:32.914] AS SPEAKER_04
[ 00:06:33.336 -->  00:06:37.757] AT SPEAKER_04
[ 00:06:37.909 -->  00:06:44.474] AU SPEAKER_04
[ 00:06:44.659 -->  00:06:53.063] AV SPEAKER_04
[ 00:06:53.215 -->  00:07:54.724] AW SPEAKER_04
[ 00:07:55.011 -->  00:09:54.452] AX SPEAKER_04
[ 00:09:54.638 -->  00:10:10.619] AY SPEAKER_04
[ 00:10:11.564 -->  00:10:28.152] AZ SPEAKER_04
[ 00:10:28.253 -->  00:11:07.994] BA SPEAKER_04
[ 00:11:08.432 -->  00:11:23.029] BB SPEAKER_04
[ 00:11:23.367 -->  00:11:29.459] BC SPEAKER_04
[ 00:11:29.492 -->  00:11:36.867] BD SPEAKER_04
[ 00:11:37.002 -->  00:11:41.474] BE SPEAKER_04
[ 00:12:23.239 -->  00:12:25.349] BH SPEAKER_04
[ 00:12:25.973 -->  00:12:33.212] BI SPEAKER_04
[ 00:12:33.347 -->  00:12:35.204] BJ SPEAKER_04
[ 00:12:35.457 -->  00:12:57.293] BK SPEAKER_04
[ 00:12:57.580 -->  00:13:23.989] BL SPEAKER_04
[ 00:13:24.344 -->  00:13:31.566] BM SPEAKER_04
[ 00:13:31.701 -->  00:13:41.860] BN SPEAKER_04
[ 00:13:42.265 -->  00:14:06.818] BO SPEAKER_04
[ 00:14:07.324 -->  00:14:18.732] BP SPEAKER_03
[ 00:14:19.154 -->  00:15:14.740] BQ SPEAKER_03
[ 00:16:23.084 -->  00:16:34.204] BV SPEAKER_04
[ 00:16:34.795 -->  00:16:43.064] BW SPEAKER_04
[ 00:16:43.148 -->  00:16:47.434] BX SPEAKER_04
[ 00:16:47.704 -->  00:17:09.810] BY SPEAKER_04
[ 00:17:09.895 -->  00:18:46.757] BZ SPEAKER_04
[ 00:18:46.994 -->  00:18:57.760] CA SPEAKER_04
[ 00:18:58.266 -->  00:18:59.312] CB SPEAKER_04
[ 00:18:59.684 -->  00:19:19.967] CC SPEAKER_04
[ 00:19:20.558 -->  00:19:27.679] CD SPEAKER_04
[ 00:19:28.135 -->  00:19:48.064] CE SPEAKER_04
[ 00:19:48.267 -->  00:19:50.460] CF SPEAKER_04
[ 00:19:51.152 -->  00:20:08.027] CG SPEAKER_04
[ 00:20:08.112 -->  00:20:12.651] CH SPEAKER_04
[ 00:20:12.870 -->  00:20:14.845] CI SPEAKER_04
[ 00:20:14.997 -->  00:20:15.756] CJ SPEAKER_04
[ 00:20:16.499 -->  00:20:18.119] CK SPEAKER_04
[ 00:20:18.473 -->  00:20:48.021] CL SPEAKER_04
[ 00:20:48.308 -->  00:21:18.582] CM SPEAKER_04
[ 00:21:19.240 -->  00:21:20.337] CN SPEAKER_04
[ 00:21:20.910 -->  00:21:32.554] CO SPEAKER_04
[ 00:21:32.875 -->  00:21:51.235] CR SPEAKER_04
[ 00:21:51.387 -->  00:21:59.520] CS SPEAKER_04
[ 00:21:59.588 -->  00:22:07.823] CT SPEAKER_04
[ 00:22:08.295 -->  00:22:26.487] CU SPEAKER_04
[ 00:22:27.381 -->  00:22:30.925] CV SPEAKER_04
[ 00:24:13.964 -->  00:24:15.803] DF SPEAKER_03
[ 00:24:16.512 -->  00:24:18.773] DG SPEAKER_03
[ 00:24:19.060 -->  00:24:23.144] DH SPEAKER_03
[ 00:24:23.565 -->  00:24:43.225] DI SPEAKER_03
[ 00:24:43.377 -->  00:24:54.413] DJ SPEAKER_03
[ 00:24:54.852 -->  00:25:14.039] DK SPEAKER_03
[ 00:25:14.477 -->  00:25:19.034] DL SPEAKER_03
[ 00:25:19.489 -->  00:25:24.332] DM SPEAKER_03
[ 00:25:24.670 -->  00:25:48.025] DN SPEAKER_03
[ 00:25:48.464 -->  00:26:11.751] DO SPEAKER_03
[ 00:26:12.038 -->  00:26:46.176] DP SPEAKER_03
[ 00:26:46.395 -->  00:26:50.310] DQ SPEAKER_03
[ 00:26:51.002 -->  00:27:01.853] DR SPEAKER_03
[ 00:27:01.920 -->  00:27:03.524] DS SPEAKER_03
[ 00:27:03.962 -->  00:27:06.949] DT SPEAKER_03
[ 00:27:07.152 -->  00:27:10.999] DU SPEAKER_03
[ 00:27:11.404 -->  00:27:14.408] DV SPEAKER_03
[ 00:27:14.847 -->  00:27:23.183] DW SPEAKER_03
[ 00:27:23.537 -->  00:27:25.275] DX SPEAKER_03
[ 00:27:25.579 -->  00:27:33.747] DY SPEAKER_03
[ 00:27:34.084 -->  00:27:47.989] DZ SPEAKER_03
[ 00:27:48.411 -->  00:27:56.190] EA SPEAKER_03
[ 00:27:56.444 -->  00:27:58.469] EB SPEAKER_03
[ 00:27:58.992 -->  00:28:02.451] EC SPEAKER_03
[ 00:28:02.721 -->  00:28:07.682] ED SPEAKER_03
[ 00:28:08.121 -->  00:28:23.309] EE SPEAKER_03
[ 00:28:23.764 -->  00:28:53.380] EF SPEAKER_03
[ 00:28:53.447 -->  00:29:03.353] EG SPEAKER_03
[ 00:29:03.792 -->  00:29:06.239] EH SPEAKER_03
[ 00:29:06.947 -->  00:29:21.527] EI SPEAKER_03
[ 00:29:21.949 -->  00:29:35.483] EJ SPEAKER_03
[ 00:29:35.770 -->  00:29:44.123] EK SPEAKER_03
[ 00:29:44.393 -->  00:29:45.270] EL SPEAKER_03
[ 00:29:45.625 -->  00:29:58.349] EM SPEAKER_03
[ 00:31:14.657 -->  00:31:20.783] EU SPEAKER_03
[ 00:31:20.834 -->  00:31:39.852] EV SPEAKER_03
[ 00:31:40.257 -->  00:31:48.627] EW SPEAKER_03
[ 00:31:48.947 -->  00:32:06.126] EX SPEAKER_03
[ 00:32:06.717 -->  00:32:10.328] EY SPEAKER_03
[ 00:32:10.800 -->  00:32:46.829] EZ SPEAKER_03
[ 00:32:46.964 -->  00:32:58.624] FA SPEAKER_03
[ 00:32:59.012 -->  00:33:05.222] FB SPEAKER_03
[ 00:33:05.307 -->  00:33:17.170] FC SPEAKER_03
[ 00:33:17.355 -->  00:33:25.979] FD SPEAKER_03
[ 00:33:26.316 -->  00:33:31.935] FE SPEAKER_03
[ 00:33:32.172 -->  00:33:42.938] FF SPEAKER_03
[ 00:33:43.174 -->  00:33:49.823] FG SPEAKER_04
[ 00:33:50.025 -->  00:33:51.207] FH SPEAKER_04
[ 00:33:51.308 -->  00:33:56.337] FI SPEAKER_04
[ 00:33:56.624 -->  00:34:10.613] FJ SPEAKER_04
[ 00:34:11.018 -->  00:34:17.076] FK SPEAKER_04
[ 00:34:17.262 -->  00:34:21.683] FL SPEAKER_04
[ 00:34:21.835 -->  00:34:48.160] FM SPEAKER_04
[ 00:34:48.447 -->  00:36:16.534] FN SPEAKER_04
[ 00:36:16.754 -->  00:36:28.313] FP SPEAKER_04
[ 00:36:28.330 -->  00:36:41.020] FQ SPEAKER_04
[ 00:36:41.374 -->  00:36:52.039] FR SPEAKER_04
[ 00:36:52.259 -->  00:36:57.372] FS SPEAKER_04
[ 00:36:57.794 -->  00:37:01.067] FT SPEAKER_04
[ 00:37:01.185 -->  00:37:16.154] FU SPEAKER_04
