[ 00:00:00.030 -->  00:00:07.759] A SPEAKER_01
[ 00:00:10.628 -->  00:00:21.006] C SPEAKER_01
[ 00:00:54.300 -->  00:01:11.715] E SPEAKER_01
[ 00:01:12.357 -->  00:01:31.037] F SPEAKER_01
[ 00:01:31.712 -->  00:01:45.989] G SPEAKER_01
[ 00:01:47.085 -->  00:01:49.617] H SPEAKER_01
[ 00:01:49.836 -->  00:02:13.410] I SPEAKER_01
[ 00:02:13.697 -->  00:02:22.709] J SPEAKER_01
[ 00:02:22.979 -->  00:02:26.286] K SPEAKER_01
[ 00:02:29.104 -->  00:03:14.751] L SPEAKER_01
[ 00:03:15.055 -->  00:03:15.089] M SPEAKER_01
[ 00:03:15.089 -->  00:03:30.242] N SPEAKER_03
[ 00:03:31.035 -->  00:04:58.279] O SPEAKER_03
[ 00:04:58.279 -->  00:05:27.557] P SPEAKER_01
[ 00:05:27.659 -->  00:05:31.877] Q SPEAKER_03
[ 00:05:31.911 -->  00:05:33.700] R SPEAKER_03
[ 00:05:34.425 -->  00:05:36.704] S SPEAKER_03
[ 00:05:36.906 -->  00:06:00.059] T SPEAKER_03
[ 00:06:00.227 -->  00:06:17.541] U SPEAKER_03
[ 00:06:17.727 -->  00:06:20.275] V SPEAKER_03
[ 00:06:20.477 -->  00:06:23.228] W SPEAKER_03
[ 00:06:23.447 -->  00:06:32.509] X SPEAKER_03
[ 00:06:32.509 -->  00:06:32.526] Y SPEAKER_01
[ 00:06:32.543 -->  00:06:55.358] Z SPEAKER_01
[ 00:06:55.459 -->  00:07:21.379] AA SPEAKER_03
[ 00:06:59.577 -->  00:07:01.484] AB SPEAKER_01
[ 00:07:21.531 -->  00:07:42.355] AC SPEAKER_03
[ 00:07:42.473 -->  00:07:43.182] AD SPEAKER_03
[ 00:07:43.401 -->  00:07:48.329] AE SPEAKER_03
[ 00:07:48.396 -->  00:07:51.704] AF SPEAKER_03
[ 00:07:52.092 -->  00:07:55.990] AG SPEAKER_03
[ 00:07:56.445 -->  00:08:18.619] AH SPEAKER_03
[ 00:08:19.007 -->  00:08:34.043] AI SPEAKER_01
[ 00:08:34.279 -->  00:08:35.123] AJ SPEAKER_01
[ 00:08:35.849 -->  00:08:49.500] AK SPEAKER_03
[ 00:08:49.889 -->  00:08:53.685] AL SPEAKER_03
[ 00:08:53.955 -->  00:08:56.858] AM SPEAKER_03
[ 00:08:57.229 -->  00:09:03.304] AN SPEAKER_03
[ 00:09:03.743 -->  00:09:12.045] AO SPEAKER_03
[ 00:09:12.501 -->  00:09:14.880] AP SPEAKER_03
[ 00:09:14.880 -->  00:09:14.948] AQ SPEAKER_01
[ 00:09:14.948 -->  00:09:14.999] AR SPEAKER_03
[ 00:09:14.999 -->  00:09:32.987] AS SPEAKER_01
[ 00:09:32.970 -->  00:09:55.364] AT SPEAKER_03
[ 00:09:55.735 -->  00:10:02.232] AU SPEAKER_03
[ 00:10:02.519 -->  00:10:25.199] AV SPEAKER_03
[ 00:10:26.262 -->  00:10:37.028] AW SPEAKER_03
[ 00:10:37.028 -->  00:11:19.890] AX SPEAKER_01
[ 00:11:19.890 -->  00:11:28.868] AY SPEAKER_03
[ 00:11:29.374 -->  00:11:30.150] AZ SPEAKER_03
[ 00:11:30.420 -->  00:11:40.950] BA SPEAKER_03
[ 00:11:41.355 -->  00:12:01.656] BB SPEAKER_03
[ 00:12:01.859 -->  00:12:18.092] BC SPEAKER_03
[ 00:12:18.295 -->  00:12:22.497] BD SPEAKER_03
[ 00:12:22.497 -->  00:12:34.427] BE SPEAKER_01
[ 00:12:34.512 -->  00:12:41.768] BF SPEAKER_01
