[ 00:00:00.030 -->  00:00:03.034] A SPEAKER_02
[ 00:00:03.608 -->  00:00:03.962] B SPEAKER_02
[ 00:00:04.941 -->  00:00:07.422] C SPEAKER_01
[ 00:00:07.641 -->  00:00:17.969] D SPEAKER_02
[ 00:00:51.297 -->  00:00:59.144] F SPEAKER_02
[ 00:00:59.768 -->  00:01:16.137] G SPEAKER_02
[ 00:01:17.082 -->  00:01:25.266] H SPEAKER_02
[ 00:01:25.654 -->  00:01:35.796] I SPEAKER_02
[ 00:01:36.319 -->  00:01:48.520] J SPEAKER_02
[ 00:01:51.203 -->  00:02:06.137] K SPEAKER_02
[ 00:02:06.559 -->  00:02:08.331] L SPEAKER_01
[ 00:02:08.331 -->  00:02:18.456] M SPEAKER_02
[ 00:02:18.878 -->  00:02:22.236] N SPEAKER_01
[ 00:02:22.742 -->  00:02:26.421] O SPEAKER_01
[ 00:02:26.944 -->  00:02:31.011] P SPEAKER_01
[ 00:02:31.416 -->  00:02:34.200] Q SPEAKER_01
[ 00:02:34.926 -->  00:02:37.795] R SPEAKER_01
[ 00:02:38.217 -->  00:02:40.562] S SPEAKER_01
[ 00:02:41.018 -->  00:02:44.967] T SPEAKER_02
[ 00:02:45.270 -->  00:02:45.945] U SPEAKER_01
[ 00:02:46.350 -->  00:02:48.392] V SPEAKER_01
[ 00:02:48.780 -->  00:02:48.848] W SPEAKER_02
[ 00:02:48.848 -->  00:02:48.966] X SPEAKER_01
[ 00:02:48.966 -->  00:03:37.785] Y SPEAKER_02
[ 00:03:38.342 -->  00:03:40.469] Z SPEAKER_01
[ 00:03:40.907 -->  00:03:42.139] AA SPEAKER_01
[ 00:03:42.679 -->  00:03:47.151] AB SPEAKER_01
[ 00:03:47.505 -->  00:04:05.174] AC SPEAKER_01
[ 00:04:05.747 -->  00:04:07.553] AD SPEAKER_01
[ 00:04:07.874 -->  00:04:10.118] AE SPEAKER_01
[ 00:04:10.607 -->  00:04:12.700] AF SPEAKER_01
[ 00:04:12.953 -->  00:04:17.222] AG SPEAKER_01
[ 00:04:17.864 -->  00:04:22.521] AH SPEAKER_01
[ 00:04:23.314 -->  00:04:24.242] AI SPEAKER_01
[ 00:04:24.749 -->  00:04:29.609] AJ SPEAKER_01
[ 00:04:30.115 -->  00:04:31.887] AK SPEAKER_01
[ 00:04:32.427 -->  00:04:33.372] AL SPEAKER_01
[ 00:04:34.114 -->  00:04:34.739] AM SPEAKER_01
[ 00:04:35.042 -->  00:04:36.899] AN SPEAKER_01
[ 00:04:37.304 -->  00:04:39.919] AO SPEAKER_01
[ 00:04:40.594 -->  00:04:41.522] AP SPEAKER_01
[ 00:04:42.400 -->  00:04:45.201] AQ SPEAKER_01
[ 00:04:45.690 -->  00:04:47.108] AR SPEAKER_01
[ 00:04:47.850 -->  00:04:50.989] AS SPEAKER_01
[ 00:04:51.580 -->  00:04:52.002] AT SPEAKER_01
[ 00:04:52.390 -->  00:04:58.482] AU SPEAKER_01
[ 00:04:59.005 -->  00:05:02.312] AV SPEAKER_01
[ 00:05:02.819 -->  00:05:05.029] AW SPEAKER_01
[ 00:05:05.350 -->  00:05:07.155] AX SPEAKER_01
[ 00:05:07.527 -->  00:05:09.940] AY SPEAKER_01
[ 00:05:10.530 -->  00:05:11.897] AZ SPEAKER_01
[ 00:05:12.066 -->  00:05:12.454] BA SPEAKER_01
[ 00:05:12.674 -->  00:05:14.985] BB SPEAKER_01
[ 00:05:15.289 -->  00:05:15.947] BC SPEAKER_01
[ 00:05:16.319 -->  00:05:17.078] BD SPEAKER_01
[ 00:05:17.264 -->  00:05:19.896] BE SPEAKER_01
