[ 00:00:00.030 -->  00:00:04.570] A SPEAKER_01
[ 00:00:07.709 -->  00:00:18.036] C SPEAKER_01
[ 00:00:51.415 -->  00:01:07.429] E SPEAKER_01
[ 00:01:08.121 -->  00:01:11.226] F SPEAKER_01
[ 00:01:11.682 -->  00:01:44.959] G SPEAKER_01
[ 00:01:45.145 -->  00:01:48.081] H SPEAKER_01
[ 00:01:50.072 -->  00:02:50.552] J SPEAKER_01
[ 00:02:51.210 -->  00:03:08.963] K SPEAKER_01
[ 00:03:08.963 -->  00:04:05.089] L SPEAKER_02
[ 00:04:05.174 -->  00:04:49.049] M SPEAKER_02
[ 00:04:49.335 -->  00:05:32.974] N SPEAKER_02
[ 00:05:33.430 -->  00:06:03.535] P SPEAKER_01
[ 00:06:03.535 -->  00:06:56.556] Q SPEAKER_02
[ 00:06:56.759 -->  00:07:57.424] R SPEAKER_02
[ 00:07:57.424 -->  00:08:26.989] S SPEAKER_01
[ 00:08:26.989 -->  00:08:27.495] T SPEAKER_02
[ 00:08:27.394 -->  00:08:27.479] U SPEAKER_01
[ 00:08:27.495 -->  00:08:28.964] V SPEAKER_01
[ 00:08:28.964 -->  00:09:23.925] W SPEAKER_02
[ 00:09:24.297 -->  00:09:25.613] X SPEAKER_01
[ 00:09:25.866 -->  00:09:53.963] Y SPEAKER_01
[ 00:09:53.963 -->  00:12:10.161] Z SPEAKER_02
[ 00:12:10.279 -->  00:12:43.253] AA SPEAKER_02
[ 00:12:43.388 -->  00:12:48.535] AB SPEAKER_02
[ 00:12:48.552 -->  00:13:11.198] AC SPEAKER_02
[ 00:13:11.434 -->  00:14:11.290] AD SPEAKER_02
[ 00:14:11.526 -->  00:14:57.460] AF SPEAKER_01
[ 00:14:57.460 -->  00:14:57.544] AG SPEAKER_02
[ 00:14:57.544 -->  00:14:57.595] AH SPEAKER_01
[ 00:14:57.780 -->  00:15:41.099] AI SPEAKER_02
[ 00:15:41.453 -->  00:16:34.238] AJ SPEAKER_02
[ 00:16:34.643 -->  00:17:06.368] AK SPEAKER_02
[ 00:17:06.503 -->  00:17:58.883] AL SPEAKER_01
[ 00:17:58.917 -->  00:17:59.035] AM SPEAKER_01
[ 00:17:59.035 -->  00:17:59.507] AN SPEAKER_02
[ 00:17:59.507 -->  00:17:59.963] AO SPEAKER_01
[ 00:17:59.963 -->  00:18:09.869] AP SPEAKER_02
[ 00:18:10.223 -->  00:18:28.802] AQ SPEAKER_02
[ 00:18:29.157 -->  00:18:39.636] AT SPEAKER_02
[ 00:18:39.704 -->  00:18:45.407] AU SPEAKER_02
[ 00:18:45.694 -->  00:19:04.392] AV SPEAKER_02
[ 00:19:04.763 -->  00:19:08.678] AW SPEAKER_02
[ 00:19:08.999 -->  00:19:30.835] AX SPEAKER_01
[ 00:19:31.172 -->  00:19:31.189] AY SPEAKER_02
[ 00:19:31.189 -->  00:19:31.206] AZ SPEAKER_01
[ 00:19:31.206 -->  00:19:31.223] BA SPEAKER_02
[ 00:19:31.223 -->  00:19:32.978] BB SPEAKER_01
[ 00:19:32.978 -->  00:20:10.609] BC SPEAKER_02
[ 00:20:10.727 -->  00:21:49.311] BD SPEAKER_02
[ 00:21:49.902 -->  00:22:32.967] BE SPEAKER_01
[ 00:22:32.967 -->  00:22:49.504] BF SPEAKER_02
[ 00:22:49.538 -->  00:23:14.412] BG SPEAKER_02
[ 00:23:14.665 -->  00:27:01.920] BI SPEAKER_02
[ 00:27:02.376 -->  00:27:33.645] BJ SPEAKER_01
[ 00:27:33.645 -->  00:29:14.339] BK SPEAKER_02
[ 00:29:14.828 -->  00:29:55.767] BL SPEAKER_01
[ 00:29:55.969 -->  00:29:56.965] BM SPEAKER_01
[ 00:29:56.965 -->  00:31:28.545] BN SPEAKER_02
[ 00:31:28.799 -->  00:32:30.983] BO SPEAKER_02
[ 00:32:11.340 -->  00:32:11.374] BP SPEAKER_01
[ 00:32:11.391 -->  00:32:11.459] BR SPEAKER_01
[ 00:32:31.253 -->  00:33:14.014] BT SPEAKER_02
[ 00:33:14.402 -->  00:33:22.975] BU SPEAKER_01
[ 00:33:22.975 -->  00:33:28.830] BV SPEAKER_02
[ 00:33:29.084 -->  00:33:44.811] BW SPEAKER_02
[ 00:33:45.233 -->  00:34:09.938] BX SPEAKER_01
[ 00:34:09.938 -->  00:36:35.029] BY SPEAKER_02
[ 00:36:35.029 -->  00:36:35.738] CA SPEAKER_01
[ 00:36:35.974 -->  00:37:22.971] CB SPEAKER_01
[ 00:37:22.971 -->  00:37:23.072] CC SPEAKER_02
[ 00:37:23.072 -->  00:37:23.123] CD SPEAKER_01
[ 00:37:23.123 -->  00:37:23.174] CE SPEAKER_02
[ 00:37:23.174 -->  00:37:23.309] CF SPEAKER_01
[ 00:37:23.410 -->  00:37:23.427] CG SPEAKER_01
[ 00:37:23.427 -->  00:38:11.402] CH SPEAKER_02
[ 00:38:11.689 -->  00:39:02.922] CI SPEAKER_02
[ 00:39:03.327 -->  00:39:17.434] CK SPEAKER_02
[ 00:39:17.890 -->  00:40:18.353] CL SPEAKER_02
[ 00:40:19.163 -->  00:40:20.564] CN SPEAKER_01
[ 00:40:20.834 -->  00:40:35.751] CO SPEAKER_01
[ 00:40:36.173 -->  00:41:02.970] CP SPEAKER_01
[ 00:41:02.970 -->  00:41:39.572] CQ SPEAKER_02
[ 00:41:39.640 -->  00:41:58.658] CS SPEAKER_02
[ 00:41:58.810 -->  00:42:12.782] CU SPEAKER_02
[ 00:42:13.086 -->  00:42:19.009] CW SPEAKER_02
[ 00:42:19.499 -->  00:42:42.887] CY SPEAKER_02
[ 00:42:43.073 -->  00:42:48.034] CZ SPEAKER_02
[ 00:42:48.034 -->  00:42:55.695] DA SPEAKER_01
[ 00:42:55.695 -->  00:42:55.915] DB SPEAKER_02
[ 00:42:55.915 -->  00:42:55.965] DC SPEAKER_01
[ 00:42:55.965 -->  00:43:37.005] DD SPEAKER_02
[ 00:43:37.292 -->  00:43:38.440] DF SPEAKER_01
[ 00:43:38.794 -->  00:44:40.962] DG SPEAKER_01
[ 00:44:40.962 -->  00:45:04.418] DH SPEAKER_02
[ 00:45:04.688 -->  00:45:36.480] DI SPEAKER_02
[ 00:45:36.970 -->  00:46:03.042] DJ SPEAKER_02
[ 00:46:03.278 -->  00:46:46.849] DK SPEAKER_02
[ 00:46:47.085 -->  00:46:48.132] DN SPEAKER_02
[ 00:46:48.570 -->  00:47:21.342] DO SPEAKER_02
[ 00:47:21.510 -->  00:48:00.154] DP SPEAKER_02
[ 00:48:00.475 -->  00:48:28.977] DR SPEAKER_02
[ 00:48:29.264 -->  00:48:39.794] DS SPEAKER_02
[ 00:48:40.114 -->  00:49:07.097] DT SPEAKER_02
[ 00:49:07.637 -->  00:49:17.070] DV SPEAKER_01
[ 00:49:17.594 -->  00:50:09.839] DW SPEAKER_02
[ 00:50:10.142 -->  00:50:23.052] DY SPEAKER_02
[ 00:50:23.440 -->  00:50:36.299] DZ SPEAKER_02
[ 00:50:36.923 -->  00:50:47.993] EA SPEAKER_02
[ 00:50:48.044 -->  00:51:43.275] EB SPEAKER_02
[ 00:51:43.630 -->  00:52:18.966] ED SPEAKER_01
[ 00:52:17.549 -->  00:52:17.650] EE SPEAKER_02
[ 00:52:18.966 -->  00:52:43.469] EF SPEAKER_02
[ 00:52:43.975 -->  00:52:48.295] EG SPEAKER_01
[ 00:52:48.835 -->  00:52:50.455] EH SPEAKER_01
[ 00:52:50.455 -->  00:54:10.307] EI SPEAKER_02
[ 00:54:10.679 -->  00:54:24.212] EK SPEAKER_01
[ 00:54:24.212 -->  00:54:25.039] EL SPEAKER_02
