[ 00:00:00.115 -->  00:00:01.735] A SPEAKER_00
[ 00:00:02.309 -->  00:00:02.325] B SPEAKER_00
[ 00:00:02.511 -->  00:00:02.528] D SPEAKER_00
[ 00:00:03.068 -->  00:00:04.806] E SPEAKER_00
[ 00:00:05.295 -->  00:00:06.932] F SPEAKER_00
[ 00:00:08.350 -->  00:00:09.092] G SPEAKER_00
[ 00:00:12.299 -->  00:00:22.677] I SPEAKER_00
[ 00:00:51.702 -->  00:00:51.719] K SPEAKER_00
[ 00:00:55.971 -->  00:01:01.928] L SPEAKER_00
[ 00:01:02.299 -->  00:01:16.407] M SPEAKER_00
[ 00:01:17.115 -->  00:01:21.604] N SPEAKER_00
[ 00:01:21.790 -->  00:01:34.750] O SPEAKER_00
[ 00:01:35.054 -->  00:02:07.538] P SPEAKER_00
[ 00:02:07.960 -->  00:02:13.377] Q SPEAKER_00
[ 00:02:15.047 -->  00:02:57.319] R SPEAKER_00
[ 00:02:58.011 -->  00:03:00.205] S SPEAKER_02
[ 00:03:00.272 -->  00:03:14.414] T SPEAKER_02
[ 00:03:14.785 -->  00:03:16.422] U SPEAKER_02
[ 00:03:16.945 -->  00:03:21.315] V SPEAKER_02
[ 00:03:21.636 -->  00:03:25.197] W SPEAKER_02
[ 00:03:25.686 -->  00:03:26.918] Y SPEAKER_02
[ 00:03:27.120 -->  00:03:31.491] Z SPEAKER_02
[ 00:03:31.913 -->  00:03:33.482] AA SPEAKER_02
[ 00:03:34.090 -->  00:03:37.853] AB SPEAKER_02
[ 00:03:38.359 -->  00:03:50.897] AC SPEAKER_02
[ 00:03:51.420 -->  00:03:54.576] AD SPEAKER_02
[ 00:03:54.660 -->  00:03:55.403] AE SPEAKER_02
[ 00:03:55.707 -->  00:04:03.267] AF SPEAKER_02
[ 00:04:03.503 -->  00:04:06.692] AG SPEAKER_02
[ 00:04:06.912 -->  00:04:09.055] AH SPEAKER_02
[ 00:04:09.409 -->  00:04:09.494] AI SPEAKER_02
[ 00:04:10.253 -->  00:04:18.201] AJ SPEAKER_02
[ 00:04:18.640 -->  00:04:21.863] AK SPEAKER_02
[ 00:04:22.251 -->  00:04:25.322] AL SPEAKER_02
[ 00:04:25.980 -->  00:04:45.522] AM SPEAKER_00
[ 00:04:45.977 -->  00:04:54.044] AN SPEAKER_02
[ 00:04:54.432 -->  00:04:58.769] AP SPEAKER_02
[ 00:04:59.393 -->  00:05:00.017] AQ SPEAKER_02
[ 00:05:00.169 -->  00:05:03.831] AR SPEAKER_02
[ 00:05:04.219 -->  00:05:12.454] AS SPEAKER_02
[ 00:05:13.585 -->  00:05:14.209] AT SPEAKER_02
[ 00:05:14.530 -->  00:05:16.335] AU SPEAKER_02
[ 00:05:16.656 -->  00:05:17.837] AV SPEAKER_02
[ 00:05:18.192 -->  00:05:20.487] AW SPEAKER_02
[ 00:05:20.672 -->  00:05:24.722] AX SPEAKER_02
[ 00:05:25.077 -->  00:05:26.393] AY SPEAKER_02
[ 00:05:26.562 -->  00:05:27.017] AZ SPEAKER_02
