[ 00:00:00.030 -->  00:00:01.026] A SPEAKER_01
[ 00:00:01.448 -->  00:00:03.152] B SPEAKER_01
[ 00:00:06.308 -->  00:00:06.359] D SPEAKER_01
[ 00:00:06.494 -->  00:00:16.821] E SPEAKER_01
[ 00:00:50.250 -->  00:00:56.005] H SPEAKER_01
[ 00:00:56.410 -->  00:01:39.239] I SPEAKER_01
[ 00:01:40.639 -->  00:01:55.877] J SPEAKER_01
[ 00:01:56.282 -->  00:02:10.187] K SPEAKER_01
[ 00:02:10.440 -->  00:02:10.727] L SPEAKER_01
[ 00:02:10.727 -->  00:02:14.389] M SPEAKER_02
[ 00:02:14.541 -->  00:02:16.245] N SPEAKER_02
[ 00:02:16.752 -->  00:02:18.287] O SPEAKER_02
[ 00:02:18.659 -->  00:02:32.580] P SPEAKER_02
[ 00:02:33.458 -->  00:02:50.012] Q SPEAKER_02
[ 00:02:50.502 -->  00:02:54.315] R SPEAKER_02
[ 00:02:54.501 -->  00:03:05.352] S SPEAKER_02
[ 00:03:05.723 -->  00:03:07.664] T SPEAKER_02
[ 00:03:07.967 -->  00:03:14.025] U SPEAKER_02
[ 00:03:15.055 -->  00:03:17.333] V SPEAKER_02
[ 00:03:17.400 -->  00:03:19.594] W SPEAKER_02
[ 00:03:19.830 -->  00:03:26.800] X SPEAKER_02
[ 00:03:27.711 -->  00:03:36.182] Y SPEAKER_02
[ 00:03:36.486 -->  00:03:38.055] Z SPEAKER_02
[ 00:03:38.849 -->  00:03:48.940] AA SPEAKER_02
[ 00:03:49.277 -->  00:03:50.644] AB SPEAKER_02
[ 00:03:50.982 -->  00:03:59.723] AC SPEAKER_02
[ 00:03:59.757 -->  00:04:12.059] AD SPEAKER_02
[ 00:04:12.447 -->  00:04:33.034] AE SPEAKER_02
[ 00:04:33.625 -->  00:05:02.127] AF SPEAKER_02
[ 00:05:02.920 -->  00:05:09.872] AG SPEAKER_02
[ 00:05:10.159 -->  00:05:15.964] AH SPEAKER_02
[ 00:05:16.639 -->  00:05:35.387] AI SPEAKER_02
[ 00:05:36.197 -->  00:05:42.154] AJ SPEAKER_02
[ 00:05:42.255 -->  00:05:44.196] AK SPEAKER_02
[ 00:05:44.669 -->  00:05:45.867] AL SPEAKER_02
[ 00:05:46.390 -->  00:06:11.837] AM SPEAKER_02
[ 00:06:12.428 -->  00:06:22.587] AN SPEAKER_02
[ 00:06:23.414 -->  00:06:30.417] AO SPEAKER_02
[ 00:06:30.720 -->  00:06:41.639] AP SPEAKER_02
[ 00:06:42.246 -->  00:06:48.102] AQ SPEAKER_02
[ 00:06:48.372 -->  00:07:03.137] AR SPEAKER_02
[ 00:07:03.947 -->  00:07:17.447] AS SPEAKER_02
[ 00:07:17.835 -->  00:07:26.256] AT SPEAKER_02
[ 00:07:26.594 -->  00:07:31.740] AU SPEAKER_02
[ 00:07:31.977 -->  00:07:38.254] AV SPEAKER_02
[ 00:07:39.233 -->  00:07:47.519] AW SPEAKER_02
[ 00:07:47.789 -->  00:07:58.015] AX SPEAKER_02
[ 00:07:58.724 -->  00:08:02.875] AY SPEAKER_02
[ 00:08:03.044 -->  00:08:03.870] AZ SPEAKER_02
[ 00:08:04.107 -->  00:08:04.799] BA SPEAKER_02
[ 00:08:05.339 -->  00:08:15.869] BB SPEAKER_02
[ 00:08:16.392 -->  00:08:26.314] BC SPEAKER_02
[ 00:08:26.905 -->  00:08:34.904] BD SPEAKER_02
[ 00:08:35.730 -->  00:08:42.042] BE SPEAKER_02
[ 00:08:42.497 -->  00:08:43.071] BF SPEAKER_02
[ 00:08:43.240 -->  00:08:46.075] BG SPEAKER_02
[ 00:08:46.125 -->  00:08:55.305] BH SPEAKER_01
[ 00:08:55.761 -->  00:09:08.130] BI SPEAKER_01
