[ 00:00:00.030 -->  00:00:06.949] A SPEAKER_00
[ 00:00:07.067 -->  00:00:17.429] B SPEAKER_00
[ 00:00:50.740 -->  00:01:02.384] D SPEAKER_00
[ 00:01:02.789 -->  00:01:26.144] E SPEAKER_00
[ 00:01:26.346 -->  00:01:43.390] F SPEAKER_00
[ 00:01:43.474 -->  00:01:53.498] G SPEAKER_00
[ 00:01:53.903 -->  00:01:57.143] H SPEAKER_00
[ 00:01:59.978 -->  00:02:04.180] I SPEAKER_00
[ 00:02:04.500 -->  00:02:08.567] J SPEAKER_02
[ 00:02:09.529 -->  00:02:38.740] K SPEAKER_00
[ 00:02:39.533 -->  00:02:50.232] L SPEAKER_02
[ 00:02:50.535 -->  00:02:51.396] M SPEAKER_02
[ 00:02:51.734 -->  00:03:00.610] N SPEAKER_02
[ 00:03:01.015 -->  00:03:05.267] O SPEAKER_02
[ 00:03:05.402 -->  00:03:09.756] P SPEAKER_02
[ 00:03:10.313 -->  00:03:15.105] Q SPEAKER_02
[ 00:03:15.814 -->  00:03:18.329] R SPEAKER_02
[ 00:03:18.548 -->  00:03:27.374] S SPEAKER_02
[ 00:03:27.660 -->  00:03:28.184] T SPEAKER_02
[ 00:03:28.757 -->  00:03:40.890] U SPEAKER_02
[ 00:03:41.144 -->  00:03:49.649] V SPEAKER_02
[ 00:03:50.290 -->  00:03:58.862] W SPEAKER_02
[ 00:03:59.470 -->  00:04:01.647] X SPEAKER_02
[ 00:04:02.423 -->  00:04:09.899] Y SPEAKER_02
[ 00:04:10.692 -->  00:04:25.744] Z SPEAKER_02
[ 00:04:26.318 -->  00:04:29.474] AA SPEAKER_02
[ 00:04:30.604 -->  00:04:32.882] AB SPEAKER_02
[ 00:04:33.068 -->  00:04:41.168] AC SPEAKER_02
[ 00:04:41.573 -->  00:04:49.690] AD SPEAKER_02
[ 00:04:50.179 -->  00:04:57.351] AE SPEAKER_02
[ 00:04:58.127 -->  00:05:27.439] AF SPEAKER_00
[ 00:05:28.384 -->  00:05:33.750] AG SPEAKER_02
[ 00:05:34.071 -->  00:05:56.515] AH SPEAKER_02
[ 00:05:57.207 -->  00:06:06.488] AI SPEAKER_02
[ 00:06:06.775 -->  00:06:11.871] AJ SPEAKER_02
[ 00:06:12.141 -->  00:06:14.419] AK SPEAKER_02
[ 00:06:14.875 -->  00:06:16.394] AL SPEAKER_02
[ 00:06:17.339 -->  00:06:23.076] AM SPEAKER_02
[ 00:06:23.464 -->  00:06:24.224] AN SPEAKER_02
[ 00:06:24.764 -->  00:06:28.847] AO SPEAKER_02
[ 00:06:29.573 -->  00:06:48.085] AP SPEAKER_02
[ 00:06:48.540 -->  00:06:52.489] AQ SPEAKER_02
[ 00:06:53.232 -->  00:07:11.592] AR SPEAKER_02
[ 00:07:12.216 -->  00:07:21.430] AS SPEAKER_02
[ 00:07:21.936 -->  00:07:23.860] AT SPEAKER_02
[ 00:07:24.366 -->  00:07:34.542] AU SPEAKER_02
[ 00:07:35.554 -->  00:07:37.866] AV SPEAKER_02
[ 00:07:38.322 -->  00:07:40.330] AW SPEAKER_02
[ 00:07:40.819 -->  00:07:47.738] AX SPEAKER_02
[ 00:07:47.856 -->  00:08:00.732] AY SPEAKER_02
[ 00:08:01.255 -->  00:08:05.727] AZ SPEAKER_02
[ 00:08:06.402 -->  00:08:11.852] BA SPEAKER_02
[ 00:08:12.342 -->  00:08:24.374] BB SPEAKER_02
[ 00:08:24.829 -->  00:08:29.031] BC SPEAKER_02
[ 00:08:29.655 -->  00:09:01.583] BD SPEAKER_00
[ 00:09:02.224 -->  00:09:12.704] BE SPEAKER_02
[ 00:09:13.395 -->  00:09:15.184] BF SPEAKER_02
[ 00:09:15.437 -->  00:09:24.314] BG SPEAKER_02
[ 00:09:24.550 -->  00:09:27.672] BH SPEAKER_02
[ 00:09:28.060 -->  00:09:38.826] BI SPEAKER_02
[ 00:09:39.383 -->  00:09:42.910] BJ SPEAKER_02
[ 00:09:43.720 -->  00:09:53.254] BK SPEAKER_02
[ 00:09:53.389 -->  00:10:00.274] BL SPEAKER_02
[ 00:10:00.899 -->  00:10:05.455] BM SPEAKER_02
[ 00:10:06.079 -->  00:10:10.821] BN SPEAKER_02
[ 00:10:11.243 -->  00:10:14.567] BO SPEAKER_02
[ 00:10:14.685 -->  00:10:21.486] BP SPEAKER_02
[ 00:10:22.094 -->  00:10:28.304] BQ SPEAKER_02
[ 00:10:28.607 -->  00:10:34.227] BR SPEAKER_02
[ 00:10:34.919 -->  00:10:41.213] BS SPEAKER_00
[ 00:10:42.310 -->  00:10:43.694] BT SPEAKER_02
[ 00:10:44.132 -->  00:10:49.853] BU SPEAKER_02
[ 00:10:50.933 -->  00:10:53.312] BV SPEAKER_02
[ 00:10:53.970 -->  00:10:55.793] BW SPEAKER_02
