[ 00:00:00.030 -->  00:00:01.836] A SPEAKER_01
[ 00:00:02.477 -->  00:00:02.950] B SPEAKER_02
[ 00:00:03.473 -->  00:00:05.717] C SPEAKER_01
[ 00:00:06.291 -->  00:00:06.510] D SPEAKER_01
[ 00:00:07.017 -->  00:00:07.034] E SPEAKER_02
[ 00:00:07.034 -->  00:00:10.037] F SPEAKER_01
[ 00:00:10.139 -->  00:00:20.027] G SPEAKER_01
[ 00:00:20.348 -->  00:00:20.550] I SPEAKER_01
[ 00:00:53.828 -->  00:01:14.280] L SPEAKER_01
[ 00:01:14.820 -->  00:01:35.357] M SPEAKER_01
[ 00:01:35.864 -->  00:01:41.736] N SPEAKER_01
[ 00:01:42.090 -->  00:01:44.942] O SPEAKER_01
[ 00:01:45.364 -->  00:01:57.109] P SPEAKER_01
[ 00:01:57.413 -->  00:02:00.332] Q SPEAKER_01
[ 00:02:02.594 -->  00:02:05.766] R SPEAKER_01
[ 00:02:06.542 -->  00:02:06.576] S SPEAKER_02
[ 00:02:06.576 -->  00:02:06.981] T SPEAKER_01
[ 00:02:06.981 -->  00:02:07.032] U SPEAKER_02
[ 00:02:07.032 -->  00:02:07.116] V SPEAKER_01
[ 00:02:07.352 -->  00:02:19.924] W SPEAKER_01
[ 00:02:20.464 -->  00:02:31.180] X SPEAKER_02
[ 00:02:31.905 -->  00:02:36.867] Y SPEAKER_02
[ 00:02:37.457 -->  00:02:49.422] Z SPEAKER_02
[ 00:02:49.692 -->  00:02:58.804] AA SPEAKER_02
[ 00:02:59.395 -->  00:03:07.140] AC SPEAKER_02
[ 00:03:07.326 -->  00:03:09.267] AD SPEAKER_02
[ 00:03:09.469 -->  00:03:11.410] AE SPEAKER_02
[ 00:03:11.815 -->  00:03:20.640] AF SPEAKER_02
[ 00:03:21.248 -->  00:03:23.610] AG SPEAKER_02
[ 00:03:24.134 -->  00:03:34.208] AH SPEAKER_02
[ 00:03:34.495 -->  00:03:52.416] AI SPEAKER_01
[ 00:03:52.585 -->  00:04:05.612] AJ SPEAKER_02
[ 00:03:53.057 -->  00:03:53.159] AK SPEAKER_01
[ 00:04:06.017 -->  00:04:20.294] AL SPEAKER_02
[ 00:04:20.631 -->  00:04:21.812] AM SPEAKER_02
[ 00:04:22.184 -->  00:04:27.567] AN SPEAKER_02
[ 00:04:27.938 -->  00:04:35.025] AO SPEAKER_02
[ 00:04:35.447 -->  00:04:39.599] AP SPEAKER_02
[ 00:04:40.155 -->  00:04:42.180] AQ SPEAKER_01
[ 00:04:42.417 -->  00:04:49.133] AR SPEAKER_02
[ 00:04:50.179 -->  00:05:00.355] AS SPEAKER_02
[ 00:05:00.743 -->  00:05:05.265] AT SPEAKER_02
[ 00:05:05.721 -->  00:05:07.088] AU SPEAKER_02
[ 00:05:07.442 -->  00:05:12.235] AV SPEAKER_02
[ 00:05:12.522 -->  00:05:15.677] AW SPEAKER_02
[ 00:05:16.420 -->  00:05:19.221] AX SPEAKER_02
[ 00:05:19.322 -->  00:05:28.823] AY SPEAKER_02
[ 00:05:29.616 -->  00:05:34.915] AZ SPEAKER_02
[ 00:05:35.337 -->  00:05:37.227] BA SPEAKER_02
[ 00:05:37.935 -->  00:05:39.758] BB SPEAKER_02
[ 00:05:40.197 -->  00:05:42.863] BC SPEAKER_02
[ 00:05:43.184 -->  00:05:45.259] BD SPEAKER_02
[ 00:05:45.850 -->  00:05:46.559] BE SPEAKER_02
[ 00:05:47.014 -->  00:05:51.638] BF SPEAKER_02
[ 00:05:52.296 -->  00:05:56.886] BG SPEAKER_02
[ 00:05:57.527 -->  00:06:03.957] BH SPEAKER_02
[ 00:06:04.480 -->  00:06:12.090] BI SPEAKER_02
[ 00:06:13.238 -->  00:06:16.596] BJ SPEAKER_02
[ 00:06:17.001 -->  00:06:23.481] BK SPEAKER_02
[ 00:06:24.359 -->  00:06:36.660] BL SPEAKER_02
[ 00:06:37.319 -->  00:06:38.500] BM SPEAKER_02
[ 00:06:39.327 -->  00:06:48.692] BN SPEAKER_02
[ 00:06:49.435 -->  00:06:49.958] BO SPEAKER_02
[ 00:06:50.363 -->  00:07:04.184] BP SPEAKER_02
[ 00:07:04.200 -->  00:07:11.271] BQ SPEAKER_02
[ 00:07:11.912 -->  00:07:14.646] BR SPEAKER_02
[ 00:07:15.068 -->  00:07:21.852] BS SPEAKER_01
[ 00:07:21.902 -->  00:07:31.049] BT SPEAKER_02
[ 00:07:31.926 -->  00:07:38.693] BU SPEAKER_02
[ 00:07:39.014 -->  00:07:52.311] BV SPEAKER_02
[ 00:07:52.817 -->  00:08:08.933] BW SPEAKER_02
[ 00:08:09.203 -->  00:08:20.070] BX SPEAKER_02
[ 00:08:20.796 -->  00:08:25.605] BY SPEAKER_02
[ 00:08:26.145 -->  00:08:35.562] BZ SPEAKER_02
[ 00:08:36.338 -->  00:08:38.650] CA SPEAKER_02
[ 00:08:38.954 -->  00:08:40.489] CB SPEAKER_02
[ 00:08:41.249 -->  00:08:48.302] CC SPEAKER_02
[ 00:08:48.994 -->  00:08:52.133] CD SPEAKER_02
[ 00:08:53.078 -->  00:09:00.334] CE SPEAKER_02
[ 00:09:00.908 -->  00:09:09.075] CF SPEAKER_02
[ 00:09:09.750 -->  00:09:11.539] CG SPEAKER_02
[ 00:09:12.180 -->  00:09:19.504] CH SPEAKER_02
[ 00:09:19.994 -->  00:09:23.335] CI SPEAKER_02
[ 00:09:23.790 -->  00:09:31.030] CJ SPEAKER_02
[ 00:09:31.637 -->  00:09:33.342] CK SPEAKER_02
[ 00:09:33.865 -->  00:09:34.725] CL SPEAKER_02
[ 00:09:34.962 -->  00:09:40.092] CM SPEAKER_02
[ 00:09:41.189 -->  00:09:51.550] CN SPEAKER_02
[ 00:09:51.837 -->  00:09:58.587] CO SPEAKER_02
[ 00:09:58.890 -->  00:10:02.552] CP SPEAKER_02
[ 00:10:02.620 -->  00:10:13.251] CQ SPEAKER_02
[ 00:10:13.673 -->  00:10:18.617] CR SPEAKER_02
[ 00:10:18.972 -->  00:10:24.490] CS SPEAKER_02
[ 00:10:24.962 -->  00:10:30.447] CT SPEAKER_02
[ 00:10:30.835 -->  00:10:33.214] CU SPEAKER_02
[ 00:10:33.518 -->  00:10:39.306] CW SPEAKER_02
[ 00:10:39.930 -->  00:10:44.520] CX SPEAKER_02
[ 00:10:45.010 -->  00:10:50.292] CY SPEAKER_02
[ 00:10:50.697 -->  00:11:02.307] CZ SPEAKER_02
[ 00:11:03.032 -->  00:11:25.155] DA SPEAKER_02
[ 00:11:25.358 -->  00:11:31.990] DB SPEAKER_02
[ 00:11:32.260 -->  00:11:34.673] DC SPEAKER_02
[ 00:11:34.926 -->  00:12:06.111] DD SPEAKER_01
[ 00:12:06.246 -->  00:12:20.050] DE SPEAKER_02
[ 00:12:20.168 -->  00:12:32.318] DF SPEAKER_02
[ 00:12:32.706 -->  00:12:40.890] DG SPEAKER_02
[ 00:12:41.498 -->  00:12:49.024] DH SPEAKER_02
[ 00:12:49.733 -->  00:12:50.982] DI SPEAKER_02
[ 00:12:51.319 -->  00:13:02.440] DJ SPEAKER_02
[ 00:13:02.929 -->  00:13:04.296] DK SPEAKER_02
[ 00:13:04.684 -->  00:13:09.139] DL SPEAKER_02
[ 00:13:09.797 -->  00:13:16.328] DM SPEAKER_02
[ 00:13:16.868 -->  00:13:22.926] DN SPEAKER_02
[ 00:13:23.399 -->  00:13:25.829] DO SPEAKER_02
[ 00:13:25.930 -->  00:13:28.326] DP SPEAKER_02
[ 00:13:28.596 -->  00:13:30.267] DQ SPEAKER_02
[ 00:13:30.655 -->  00:13:42.265] DR SPEAKER_02
[ 00:13:42.805 -->  00:13:52.812] DS SPEAKER_02
[ 00:13:53.419 -->  00:13:58.701] DT SPEAKER_02
[ 00:13:59.157 -->  00:14:03.645] DU SPEAKER_02
[ 00:14:04.574 -->  00:14:06.042] DV SPEAKER_02
[ 00:14:06.295 -->  00:14:12.353] DW SPEAKER_02
[ 00:14:13.146 -->  00:14:16.234] DX SPEAKER_02
[ 00:14:16.859 -->  00:14:20.031] DY SPEAKER_02
[ 00:14:20.301 -->  00:14:26.224] DZ SPEAKER_02
[ 00:14:26.832 -->  00:14:29.565] EA SPEAKER_02
[ 00:14:30.595 -->  00:14:47.031] EB SPEAKER_02
[ 00:14:47.571 -->  00:14:47.993] EC SPEAKER_02
[ 00:14:48.415 -->  00:14:56.903] ED SPEAKER_02
[ 00:14:57.510 -->  00:15:00.278] EE SPEAKER_02
[ 00:15:00.717 -->  00:15:07.011] EF SPEAKER_02
[ 00:15:07.551 -->  00:15:10.049] EG SPEAKER_02
[ 00:15:10.538 -->  00:15:10.842] EH SPEAKER_02
[ 00:15:11.534 -->  00:15:17.659] EI SPEAKER_02
[ 00:15:18.014 -->  00:15:24.595] EJ SPEAKER_02
[ 00:15:25.152 -->  00:15:30.737] EK SPEAKER_02
[ 00:15:31.092 -->  00:15:32.172] EL SPEAKER_02
[ 00:15:33.066 -->  00:15:38.297] EM SPEAKER_02
[ 00:15:38.905 -->  00:15:51.662] EN SPEAKER_02
[ 00:15:52.607 -->  00:15:55.847] EO SPEAKER_02
[ 00:15:56.404 -->  00:15:58.868] EP SPEAKER_02
[ 00:15:59.205 -->  00:16:02.648] EQ SPEAKER_02
[ 00:16:03.677 -->  00:16:06.884] ER SPEAKER_02
[ 00:16:07.373 -->  00:16:12.081] ES SPEAKER_02
