[ 00:00:00.030 -->  00:00:05.025] A SPEAKER_01
[ 00:00:08.164 -->  00:00:08.198] D SPEAKER_01
[ 00:00:08.367 -->  00:00:18.694] E SPEAKER_01
[ 00:00:52.039 -->  00:01:27.004] G SPEAKER_01
[ 00:01:27.662 -->  00:01:39.846] H SPEAKER_01
[ 00:01:39.964 -->  00:02:23.046] I SPEAKER_01
[ 00:02:25.746 -->  00:02:41.052] J SPEAKER_01
[ 00:02:41.474 -->  00:02:59.091] K SPEAKER_02
[ 00:02:59.479 -->  00:03:07.343] L SPEAKER_02
[ 00:03:07.360 -->  00:03:36.537] M SPEAKER_02
[ 00:03:37.127 -->  00:04:16.868] N SPEAKER_02
[ 00:04:16.902 -->  00:04:28.849] O SPEAKER_02
[ 00:04:29.372 -->  00:04:48.104] P SPEAKER_02
[ 00:04:48.205 -->  00:04:54.162] Q SPEAKER_02
[ 00:04:54.465 -->  00:05:08.556] R SPEAKER_02
[ 00:05:08.894 -->  00:05:20.048] S SPEAKER_02
[ 00:05:20.487 -->  00:05:29.954] T SPEAKER_02
[ 00:05:30.240 -->  00:05:32.738] U SPEAKER_02
[ 00:05:33.295 -->  00:07:01.602] V SPEAKER_02
[ 00:07:02.243 -->  00:07:02.277] W SPEAKER_02
[ 00:07:02.277 -->  00:07:02.344] X SPEAKER_01
[ 00:07:02.344 -->  00:07:02.378] Y SPEAKER_02
[ 00:07:02.378 -->  00:07:02.395] Z SPEAKER_01
[ 00:07:02.395 -->  00:07:03.407] AA SPEAKER_02
[ 00:07:03.407 -->  00:07:34.407] AB SPEAKER_01
[ 00:07:34.559 -->  00:07:52.902] AC SPEAKER_02
[ 00:07:53.087 -->  00:08:04.326] AD SPEAKER_02
[ 00:08:04.917 -->  00:08:37.772] AE SPEAKER_02
[ 00:08:38.397 -->  00:08:44.843] AF SPEAKER_02
[ 00:08:45.450 -->  00:08:47.492] AG SPEAKER_02
[ 00:08:47.594 -->  00:08:48.201] AH SPEAKER_02
[ 00:08:48.741 -->  00:08:59.558] AI SPEAKER_02
[ 00:09:00.132 -->  00:09:05.819] AJ SPEAKER_02
[ 00:09:06.629 -->  00:09:22.643] AK SPEAKER_02
[ 00:09:23.402 -->  00:09:27.250] AL SPEAKER_02
[ 00:09:27.756 -->  00:09:35.738] AM SPEAKER_02
[ 00:09:36.379 -->  00:09:45.829] AN SPEAKER_02
[ 00:09:46.133 -->  00:09:50.706] AO SPEAKER_02
[ 00:09:51.195 -->  00:09:54.081] AP SPEAKER_02
[ 00:09:54.840 -->  00:09:56.376] AQ SPEAKER_02
[ 00:09:56.629 -->  00:10:05.505] AR SPEAKER_02
[ 00:10:05.792 -->  00:10:14.483] AS SPEAKER_02
[ 00:10:14.804 -->  00:11:04.889] AT SPEAKER_01
[ 00:11:05.091 -->  00:11:30.134] AU SPEAKER_02
[ 00:11:30.674 -->  00:11:35.213] AV SPEAKER_02
[ 00:11:35.567 -->  00:12:05.284] AW SPEAKER_02
[ 00:12:06.027 -->  00:12:42.426] AX SPEAKER_02
[ 00:12:42.544 -->  00:12:50.459] AY SPEAKER_01
[ 00:12:50.627 -->  00:13:19.281] AZ SPEAKER_02
[ 00:13:19.922 -->  00:13:21.880] BA SPEAKER_02
[ 00:13:22.656 -->  00:13:27.229] BB SPEAKER_02
[ 00:13:27.482 -->  00:13:52.542] BC SPEAKER_02
[ 00:13:53.065 -->  00:13:57.300] BD SPEAKER_02
[ 00:13:57.824 -->  00:14:00.675] BE SPEAKER_02
[ 00:14:00.861 -->  00:14:08.370] BF SPEAKER_02
[ 00:14:08.657 -->  00:14:22.832] BG SPEAKER_02
[ 00:14:21.263 -->  00:14:21.347] BH SPEAKER_01
[ 00:14:23.001 -->  00:15:20.207] BI SPEAKER_01
[ 00:15:20.342 -->  00:15:56.961] BJ SPEAKER_02
[ 00:15:57.619 -->  00:16:23.168] BK SPEAKER_02
[ 00:16:23.607 -->  00:16:42.929] BL SPEAKER_02
[ 00:16:43.435 -->  00:16:48.885] BM SPEAKER_02
[ 00:16:49.544 -->  00:17:00.242] BN SPEAKER_02
[ 00:17:00.479 -->  00:17:01.457] BO SPEAKER_02
[ 00:17:02.014 -->  00:17:04.866] BP SPEAKER_02
[ 00:17:05.220 -->  00:17:07.904] BQ SPEAKER_02
[ 00:17:08.730 -->  00:17:13.574] BR SPEAKER_02
[ 00:17:14.417 -->  00:17:18.687] BS SPEAKER_02
[ 00:17:19.041 -->  00:17:23.766] BT SPEAKER_02
[ 00:17:24.390 -->  00:17:27.647] BU SPEAKER_02
[ 00:17:28.170 -->  00:17:28.997] BV SPEAKER_02
[ 00:17:29.706 -->  00:17:32.102] BW SPEAKER_02
[ 00:17:32.204 -->  00:17:46.530] BX SPEAKER_02
[ 00:17:46.969 -->  00:17:51.559] BY SPEAKER_02
[ 00:17:51.762 -->  00:17:58.545] BZ SPEAKER_02
[ 00:17:59.085 -->  00:18:01.279] CA SPEAKER_02
[ 00:18:01.701 -->  00:18:13.969] CB SPEAKER_02
[ 00:18:14.897 -->  00:18:45.323] CC SPEAKER_02
[ 00:18:45.374 -->  00:19:04.155] CD SPEAKER_01
[ 00:19:04.628 -->  00:19:10.973] CE SPEAKER_02
[ 00:19:11.243 -->  00:19:20.288] CF SPEAKER_02
[ 00:19:20.524 -->  00:19:26.177] CG SPEAKER_02
[ 00:19:27.325 -->  00:19:46.208] CH SPEAKER_02
[ 00:19:46.579 -->  00:20:10.592] CI SPEAKER_02
[ 00:20:10.913 -->  00:20:22.067] CJ SPEAKER_02
[ 00:20:22.101 -->  00:20:44.427] CK SPEAKER_02
[ 00:20:44.646 -->  00:20:53.590] CL SPEAKER_02
[ 00:20:53.809 -->  00:21:09.182] CM SPEAKER_01
[ 00:21:09.182 -->  00:21:13.536] CN SPEAKER_02
[ 00:21:13.789 -->  00:21:24.724] CO SPEAKER_02
[ 00:21:24.893 -->  00:21:33.330] CP SPEAKER_01
[ 00:21:33.550 -->  00:21:46.999] CQ SPEAKER_01
[ 00:21:48.265 -->  00:21:57.698] CR SPEAKER_02
[ 00:21:57.985 -->  00:22:06.608] CS SPEAKER_02
[ 00:22:07.131 -->  00:22:08.650] CT SPEAKER_02
[ 00:22:09.105 -->  00:22:11.384] CU SPEAKER_02
[ 00:22:11.856 -->  00:22:17.779] CV SPEAKER_02
[ 00:22:18.994 -->  00:22:25.677] CW SPEAKER_02
[ 00:22:26.166 -->  00:22:33.304] CX SPEAKER_02
[ 00:22:33.692 -->  00:22:45.032] CY SPEAKER_02
[ 00:22:45.201 -->  00:22:46.551] CZ SPEAKER_02
[ 00:22:47.310 -->  00:22:51.462] DA SPEAKER_02
[ 00:22:52.525 -->  00:23:01.401] DB SPEAKER_02
[ 00:23:02.684 -->  00:23:04.320] DC SPEAKER_02
[ 00:23:05.097 -->  00:23:10.935] DD SPEAKER_02
[ 00:23:11.340 -->  00:23:18.006] DE SPEAKER_02
[ 00:23:18.074 -->  00:23:26.865] DF SPEAKER_02
[ 00:23:27.355 -->  00:23:30.426] DG SPEAKER_02
[ 00:23:30.764 -->  00:23:35.185] DH SPEAKER_02
[ 00:23:35.691 -->  00:23:39.859] DI SPEAKER_02
[ 00:23:40.264 -->  00:23:45.242] DJ SPEAKER_02
[ 00:23:45.985 -->  00:23:55.958] DK SPEAKER_02
[ 00:23:56.295 -->  00:24:02.826] DL SPEAKER_02
[ 00:24:03.619 -->  00:24:13.829] DM SPEAKER_02
[ 00:24:13.829 -->  00:24:36.998] DN SPEAKER_01
[ 00:24:37.386 -->  00:24:50.717] DO SPEAKER_02
[ 00:24:50.886 -->  00:24:52.236] DP SPEAKER_02
[ 00:24:52.709 -->  00:24:56.573] DQ SPEAKER_02
[ 00:24:57.569 -->  00:24:59.695] DR SPEAKER_02
[ 00:25:00.252 -->  00:25:04.420] DS SPEAKER_02
[ 00:25:04.589 -->  00:25:16.435] DT SPEAKER_02
[ 00:25:17.127 -->  00:25:19.860] DU SPEAKER_02
[ 00:25:20.299 -->  00:25:30.458] DV SPEAKER_02
[ 00:25:31.639 -->  00:25:45.983] DW SPEAKER_02
[ 00:25:46.354 -->  00:25:50.084] DX SPEAKER_02
[ 00:25:50.809 -->  00:26:00.512] DY SPEAKER_02
[ 00:26:01.019 -->  00:26:06.014] DZ SPEAKER_02
[ 00:26:06.452 -->  00:26:29.470] EA SPEAKER_02
[ 00:26:29.892 -->  00:26:33.385] EB SPEAKER_02
[ 00:26:33.908 -->  00:26:39.544] EC SPEAKER_02
[ 00:26:39.949 -->  00:27:02.376] ED SPEAKER_01
[ 00:27:02.815 -->  00:27:04.907] EE SPEAKER_02
[ 00:27:05.363 -->  00:27:44.412] EF SPEAKER_02
[ 00:27:44.901 -->  00:27:51.769] EG SPEAKER_02
[ 00:27:52.275 -->  00:27:57.591] EH SPEAKER_02
[ 00:27:58.249 -->  00:28:09.876] EI SPEAKER_02
[ 00:28:10.737 -->  00:28:17.790] EJ SPEAKER_02
[ 00:28:17.841 -->  00:28:23.140] EK SPEAKER_02
