[ 00:00:00.030 -->  00:00:04.097] A SPEAKER_01
[ 00:00:05.076 -->  00:00:06.055] B SPEAKER_01
[ 00:00:09.109 -->  00:00:19.032] D SPEAKER_01
[ 00:00:19.319 -->  00:00:19.470] F SPEAKER_01
[ 00:00:52.849 -->  00:01:14.061] H SPEAKER_01
[ 00:01:14.331 -->  00:01:31.780] I SPEAKER_01
[ 00:01:32.219 -->  00:02:00.349] J SPEAKER_01
[ 00:02:02.796 -->  00:02:04.332] K SPEAKER_01
[ 00:02:05.159 -->  00:02:05.834] L SPEAKER_02
[ 00:02:05.834 -->  00:02:05.850] M SPEAKER_01
[ 00:02:05.850 -->  00:02:05.867] N SPEAKER_02
[ 00:02:06.762 -->  00:02:42.689] O SPEAKER_01
[ 00:02:42.975 -->  00:02:46.047] Q SPEAKER_02
[ 00:02:46.182 -->  00:02:49.759] R SPEAKER_02
[ 00:02:50.333 -->  00:02:52.847] S SPEAKER_02
[ 00:02:53.370 -->  00:02:59.074] T SPEAKER_02
[ 00:02:59.378 -->  00:03:05.858] U SPEAKER_02
[ 00:03:06.330 -->  00:03:06.651] V SPEAKER_02
[ 00:03:06.719 -->  00:03:11.089] W SPEAKER_02
[ 00:03:11.460 -->  00:03:15.764] X SPEAKER_02
[ 00:03:16.000 -->  00:03:23.324] Y SPEAKER_02
[ 00:03:23.594 -->  00:03:27.424] Z SPEAKER_02
[ 00:03:27.677 -->  00:03:32.385] AA SPEAKER_02
[ 00:03:32.976 -->  00:03:43.945] AB SPEAKER_02
[ 00:03:44.400 -->  00:03:53.445] AC SPEAKER_02
[ 00:03:53.952 -->  00:04:06.760] AD SPEAKER_02
[ 00:04:07.536 -->  00:04:19.754] AE SPEAKER_02
[ 00:04:20.108 -->  00:04:22.470] AF SPEAKER_02
[ 00:04:23.095 -->  00:04:24.968] AG SPEAKER_02
[ 00:04:25.373 -->  00:04:29.541] AH SPEAKER_02
[ 00:04:29.693 -->  00:04:39.514] AI SPEAKER_02
[ 00:04:39.818 -->  00:05:00.692] AJ SPEAKER_02
[ 00:05:00.996 -->  00:05:12.083] AK SPEAKER_02
[ 00:05:12.353 -->  00:05:23.170] AL SPEAKER_02
[ 00:05:23.406 -->  00:05:36.788] AM SPEAKER_02
[ 00:05:37.193 -->  00:05:38.459] AN SPEAKER_02
[ 00:05:38.948 -->  00:05:48.229] AO SPEAKER_02
[ 00:05:48.482 -->  00:05:56.262] AP SPEAKER_02
[ 00:05:56.565 -->  00:05:57.764] AQ SPEAKER_02
[ 00:05:57.899 -->  00:05:59.400] AR SPEAKER_02
[ 00:05:59.856 -->  00:06:05.796] AS SPEAKER_02
[ 00:06:06.488 -->  00:06:08.597] AT SPEAKER_02
[ 00:06:08.783 -->  00:06:11.044] AU SPEAKER_02
[ 00:06:11.247 -->  00:06:12.546] AV SPEAKER_02
[ 00:06:12.698 -->  00:06:15.786] AW SPEAKER_02
[ 00:06:16.073 -->  00:06:17.727] AX SPEAKER_02
[ 00:06:18.402 -->  00:06:20.207] AY SPEAKER_02
[ 00:06:20.545 -->  00:06:23.312] AZ SPEAKER_02
[ 00:06:23.802 -->  00:06:33.302] BA SPEAKER_02
[ 00:06:33.555 -->  00:06:36.002] BB SPEAKER_02
[ 00:06:36.222 -->  00:06:52.202] BC SPEAKER_02
[ 00:06:52.624 -->  00:07:01.804] BD SPEAKER_02
[ 00:07:01.939 -->  00:07:36.162] BG SPEAKER_02
[ 00:07:36.567 -->  00:07:39.520] BH SPEAKER_02
[ 00:07:39.604 -->  00:07:47.789] BI SPEAKER_02
[ 00:07:48.092 -->  00:07:51.147] BK SPEAKER_02
[ 00:07:51.484 -->  00:07:57.289] BL SPEAKER_02
[ 00:07:57.660 -->  00:08:06.216] BM SPEAKER_02
[ 00:08:06.689 -->  00:08:13.320] BN SPEAKER_02
[ 00:08:13.641 -->  00:08:19.125] BO SPEAKER_02
[ 00:08:19.429 -->  00:08:22.146] BP SPEAKER_02
[ 00:08:22.517 -->  00:08:24.036] BQ SPEAKER_02
[ 00:08:24.137 -->  00:08:32.811] BR SPEAKER_02
[ 00:08:33.199 -->  00:08:48.589] BS SPEAKER_02
[ 00:08:48.927 -->  00:09:20.399] BT SPEAKER_02
[ 00:09:20.770 -->  00:09:23.200] BU SPEAKER_02
[ 00:09:23.672 -->  00:09:27.233] BV SPEAKER_02
[ 00:09:27.452 -->  00:09:30.405] BW SPEAKER_02
[ 00:09:30.996 -->  00:09:34.489] BX SPEAKER_02
[ 00:09:34.810 -->  00:09:40.193] BY SPEAKER_02
[ 00:09:40.682 -->  00:09:51.938] BZ SPEAKER_02
[ 00:09:52.208 -->  00:09:58.502] CA SPEAKER_02
[ 00:09:58.907 -->  00:10:03.818] CB SPEAKER_02
[ 00:10:04.037 -->  00:10:06.636] CC SPEAKER_02
[ 00:10:06.974 -->  00:10:09.724] CD SPEAKER_02
[ 00:10:09.859 -->  00:10:14.415] CE SPEAKER_01
[ 00:10:14.854 -->  00:10:17.217] CF SPEAKER_01
[ 00:10:17.369 -->  00:10:33.940] CG SPEAKER_01
[ 00:10:34.345 -->  00:10:44.706] CH SPEAKER_02
[ 00:10:45.162 -->  00:10:51.152] CI SPEAKER_02
[ 00:10:51.608 -->  00:10:55.776] CJ SPEAKER_02
[ 00:10:56.147 -->  00:10:57.869] CK SPEAKER_02
[ 00:10:58.004 -->  00:11:02.442] CL SPEAKER_02
[ 00:11:02.594 -->  00:11:04.433] CM SPEAKER_02
[ 00:11:04.754 -->  00:11:10.002] CN SPEAKER_02
[ 00:11:10.609 -->  00:11:13.967] CO SPEAKER_02
[ 00:11:14.372 -->  00:11:21.932] CP SPEAKER_02
[ 00:11:22.185 -->  00:11:25.729] CQ SPEAKER_02
[ 00:11:26.033 -->  00:11:29.222] CR SPEAKER_02
[ 00:11:29.475 -->  00:11:38.554] CS SPEAKER_02
[ 00:11:39.094 -->  00:11:44.376] CT SPEAKER_02
[ 00:11:44.562 -->  00:12:18.919] CU SPEAKER_02
[ 00:12:18.970 -->  00:12:30.934] CV SPEAKER_02
[ 00:12:31.238 -->  00:12:34.545] CW SPEAKER_02
[ 00:12:34.680 -->  00:12:37.937] CX SPEAKER_02
[ 00:12:38.359 -->  00:12:40.992] CY SPEAKER_02
[ 00:12:41.144 -->  00:12:41.700] CZ SPEAKER_02
[ 00:12:41.852 -->  00:12:58.913] DA SPEAKER_02
[ 00:12:59.301 -->  00:13:03.942] DB SPEAKER_02
[ 00:13:04.448 -->  00:13:12.531] DC SPEAKER_02
[ 00:13:12.801 -->  00:13:15.737] DD SPEAKER_02
[ 00:13:15.940 -->  00:13:17.189] DE SPEAKER_02
[ 00:13:17.560 -->  00:13:20.580] DF SPEAKER_02
[ 00:13:21.120 -->  00:13:32.899] DG SPEAKER_02
[ 00:13:33.304 -->  00:13:35.903] DH SPEAKER_02
[ 00:13:36.173 -->  00:13:39.379] DI SPEAKER_02
[ 00:13:39.869 -->  00:13:43.682] DJ SPEAKER_02
[ 00:13:43.969 -->  00:13:46.467] DK SPEAKER_02
[ 00:13:46.770 -->  00:13:53.065] DL SPEAKER_02
[ 00:13:53.318 -->  00:13:55.140] DM SPEAKER_02
[ 00:13:55.512 -->  00:13:59.899] DN SPEAKER_02
[ 00:14:00.625 -->  00:14:03.274] DO SPEAKER_02
[ 00:14:03.510 -->  00:14:06.447] DP SPEAKER_02
[ 00:14:06.835 -->  00:14:11.290] DQ SPEAKER_02
[ 00:14:11.391 -->  00:14:14.310] DR SPEAKER_02
[ 00:14:14.783 -->  00:14:20.622] DS SPEAKER_02
