[ 00:00:01.110 -->  00:00:05.009] A SPEAKER_01
[ 00:00:08.130 -->  00:00:08.164] C SPEAKER_01
[ 00:00:08.367 -->  00:00:18.694] E SPEAKER_01
[ 00:00:52.073 -->  00:01:01.557] G SPEAKER_01
[ 00:01:01.844 -->  00:01:30.194] H SPEAKER_01
[ 00:01:31.122 -->  00:01:41.129] I SPEAKER_01
[ 00:01:41.280 -->  00:01:51.338] J SPEAKER_01
[ 00:01:52.064 -->  00:02:02.037] K SPEAKER_01
[ 00:02:02.560 -->  00:02:16.144] L SPEAKER_01
[ 00:02:16.549 -->  00:02:26.759] M SPEAKER_01
[ 00:02:29.324 -->  00:03:01.150] N SPEAKER_01
[ 00:03:01.352 -->  00:03:06.432] O SPEAKER_02
[ 00:03:06.432 -->  00:03:06.449] P SPEAKER_01
[ 00:03:06.449 -->  00:03:06.735] Q SPEAKER_02
[ 00:03:06.735 -->  00:03:08.558] R SPEAKER_01
[ 00:03:09.419 -->  00:03:15.882] S SPEAKER_01
[ 00:03:15.882 -->  00:03:32.453] T SPEAKER_02
[ 00:03:32.655 -->  00:03:37.347] U SPEAKER_02
[ 00:03:37.650 -->  00:03:38.663] V SPEAKER_02
[ 00:03:39.119 -->  00:03:39.439] W SPEAKER_01
[ 00:03:39.675 -->  00:03:50.239] X SPEAKER_01
[ 00:03:50.712 -->  00:04:04.212] Y SPEAKER_02
[ 00:04:04.499 -->  00:04:08.954] Z SPEAKER_02
[ 00:04:09.173 -->  00:04:31.026] AA SPEAKER_02
[ 00:04:31.465 -->  00:04:42.400] AB SPEAKER_02
[ 00:04:43.632 -->  00:05:10.412] AC SPEAKER_02
[ 00:05:10.834 -->  00:07:40.465] AE SPEAKER_02
[ 00:07:40.718 -->  00:08:21.944] AF SPEAKER_02
[ 00:08:22.079 -->  00:08:45.771] AG SPEAKER_01
[ 00:08:45.923 -->  00:09:38.927] AH SPEAKER_02
[ 00:09:39.062 -->  00:09:48.765] AI SPEAKER_02
[ 00:09:49.187 -->  00:09:57.237] AJ SPEAKER_02
[ 00:09:57.372 -->  00:09:59.667] AK SPEAKER_02
[ 00:09:59.785 -->  00:10:18.364] AL SPEAKER_02
[ 00:10:18.735 -->  00:10:23.680] AM SPEAKER_02
[ 00:10:23.849 -->  00:10:33.788] AN SPEAKER_02
[ 00:10:34.024 -->  00:10:37.467] AO SPEAKER_02
[ 00:10:37.602 -->  00:11:20.599] AP SPEAKER_02
[ 00:11:21.055 -->  00:11:21.730] AQ SPEAKER_02
[ 00:11:22.439 -->  00:11:29.054] AR SPEAKER_02
[ 00:11:29.205 -->  00:11:35.095] AS SPEAKER_02
[ 00:11:35.331 -->  00:12:02.145] AT SPEAKER_02
[ 00:12:02.517 -->  00:12:07.225] AU SPEAKER_02
[ 00:12:07.309 -->  00:12:11.292] AV SPEAKER_02
[ 00:12:11.714 -->  00:12:27.407] AW SPEAKER_02
[ 00:12:27.779 -->  00:12:39.422] AX SPEAKER_01
[ 00:12:39.827 -->  00:12:41.633] AY SPEAKER_02
[ 00:12:41.684 -->  00:12:42.629] AZ SPEAKER_02
[ 00:12:43.017 -->  00:12:43.995] BA SPEAKER_02
[ 00:12:44.451 -->  00:12:45.329] BB SPEAKER_02
[ 00:12:45.565 -->  00:12:52.197] BC SPEAKER_02
[ 00:12:52.534 -->  00:13:06.203] BD SPEAKER_02
[ 00:13:06.794 -->  00:13:07.570] BE SPEAKER_02
[ 00:13:07.755 -->  00:13:16.986] BF SPEAKER_02
[ 00:13:17.391 -->  00:13:45.775] BG SPEAKER_02
[ 00:13:45.994 -->  00:14:47.807] BH SPEAKER_02
[ 00:14:48.229 -->  00:15:11.820] BI SPEAKER_02
[ 00:15:12.209 -->  00:15:48.726] BJ SPEAKER_02
[ 00:15:49.047 -->  00:16:15.743] BK SPEAKER_01
[ 00:16:15.979 -->  00:17:19.058] BL SPEAKER_02
[ 00:17:19.159 -->  00:17:21.707] BM SPEAKER_02
[ 00:17:21.977 -->  00:17:32.879] BN SPEAKER_02
[ 00:17:33.284 -->  00:17:51.002] BO SPEAKER_02
[ 00:17:51.222 -->  00:17:51.812] BP SPEAKER_02
[ 00:17:52.217 -->  00:17:53.804] BQ SPEAKER_02
[ 00:17:53.972 -->  00:18:05.785] BR SPEAKER_02
[ 00:18:06.426 -->  00:18:15.015] BS SPEAKER_02
[ 00:18:15.370 -->  00:18:16.770] BT SPEAKER_02
[ 00:18:17.310 -->  00:18:45.846] BU SPEAKER_02
[ 00:18:45.947 -->  00:18:47.837] BV SPEAKER_02
[ 00:18:48.192 -->  00:18:51.550] BW SPEAKER_02
[ 00:18:52.039 -->  00:19:12.053] BX SPEAKER_02
[ 00:19:12.154 -->  00:19:16.221] BY SPEAKER_02
[ 00:19:16.373 -->  00:20:11.200] BZ SPEAKER_02
[ 00:20:11.318 -->  00:20:20.751] CA SPEAKER_02
[ 00:20:21.257 -->  00:20:25.476] CB SPEAKER_02
[ 00:20:25.797 -->  00:21:39.726] CC SPEAKER_02
[ 00:21:40.199 -->  00:21:48.754] CD SPEAKER_02
[ 00:21:49.311 -->  00:21:51.285] CE SPEAKER_02
[ 00:21:51.792 -->  00:22:09.291] CF SPEAKER_02
[ 00:22:09.612 -->  00:23:13.534] CG SPEAKER_02
[ 00:23:13.787 -->  00:23:56.093] CH SPEAKER_02
[ 00:23:56.481 -->  00:24:10.673] CI SPEAKER_02
[ 00:24:11.095 -->  00:24:11.635] CJ SPEAKER_02
[ 00:24:12.107 -->  00:24:36.019] CK SPEAKER_02
[ 00:24:36.188 -->  00:24:40.322] CL SPEAKER_02
[ 00:24:40.727 -->  00:24:46.802] CM SPEAKER_02
[ 00:24:46.887 -->  00:25:20.502] CN SPEAKER_02
[ 00:25:21.025 -->  00:25:23.809] CO SPEAKER_02
[ 00:25:24.434 -->  00:25:50.489] CP SPEAKER_01
[ 00:25:50.742 -->  00:26:12.038] CQ SPEAKER_02
[ 00:26:12.359 -->  00:26:16.527] CR SPEAKER_02
[ 00:26:16.881 -->  00:26:35.258] CS SPEAKER_02
[ 00:26:35.325 -->  00:26:36.000] CT SPEAKER_02
[ 00:26:36.591 -->  00:26:57.432] CU SPEAKER_02
[ 00:26:57.803 -->  00:27:04.249] CV SPEAKER_02
[ 00:27:04.418 -->  00:27:07.962] CW SPEAKER_02
[ 00:27:08.215 -->  00:27:58.418] CX SPEAKER_01
[ 00:27:58.705 -->  00:28:00.679] CY SPEAKER_01
[ 00:28:00.966 -->  00:28:33.315] CZ SPEAKER_02
[ 00:28:33.754 -->  00:28:35.121] DA SPEAKER_02
[ 00:28:35.324 -->  00:28:37.484] DB SPEAKER_02
[ 00:28:37.703 -->  00:28:40.386] DC SPEAKER_02
[ 00:28:40.740 -->  00:28:45.094] DD SPEAKER_02
[ 00:28:45.330 -->  00:29:01.716] DE SPEAKER_02
[ 00:29:01.935 -->  00:29:03.049] DF SPEAKER_02
[ 00:29:03.319 -->  00:29:12.381] DG SPEAKER_02
[ 00:29:12.870 -->  00:29:36.681] DH SPEAKER_02
[ 00:29:37.120 -->  00:29:42.824] DI SPEAKER_02
[ 00:29:43.060 -->  00:30:01.015] DJ SPEAKER_02
[ 00:30:01.150 -->  00:30:04.980] DK SPEAKER_02
[ 00:30:05.132 -->  00:30:25.737] DL SPEAKER_02
[ 00:30:26.040 -->  00:30:33.516] DM SPEAKER_02
[ 00:30:34.005 -->  00:30:53.648] DN SPEAKER_02
[ 00:30:53.682 -->  00:31:16.952] DO SPEAKER_02
[ 00:31:17.121 -->  00:31:22.133] DP SPEAKER_02
[ 00:31:22.555 -->  00:31:57.874] DQ SPEAKER_02
[ 00:31:58.110 -->  00:32:01.519] DR SPEAKER_02
[ 00:32:01.924 -->  00:32:24.925] DS SPEAKER_02
[ 00:32:25.110 -->  00:32:26.882] DT SPEAKER_02
[ 00:32:27.203 -->  00:32:39.032] DU SPEAKER_01
[ 00:32:39.117 -->  00:32:42.559] DV SPEAKER_01
[ 00:32:42.863 -->  00:32:46.440] DW SPEAKER_02
[ 00:32:46.761 -->  00:33:08.226] DX SPEAKER_02
[ 00:33:08.260 -->  00:33:20.967] DY SPEAKER_02
[ 00:33:21.254 -->  00:33:26.704] DZ SPEAKER_02
[ 00:33:27.160 -->  00:33:30.130] EA SPEAKER_02
[ 00:33:30.552 -->  00:34:44.633] EB SPEAKER_02
[ 00:34:45.308 -->  00:35:21.960] EC SPEAKER_02
[ 00:35:22.146 -->  00:35:25.656] ED SPEAKER_02
[ 00:35:25.673 -->  00:35:25.707] EE SPEAKER_02
[ 00:35:25.757 -->  00:35:28.677] EF SPEAKER_02
