[ 00:02:40.748 -->  00:03:50.982] O SPEAKER_04
[ 00:03:50.982 -->  00:04:00.212] P SPEAKER_02
[ 00:04:00.314 -->  00:04:01.934] Q SPEAKER_02
[ 00:04:02.339 -->  00:04:33.034] R SPEAKER_02
[ 00:04:33.220 -->  00:04:44.999] S SPEAKER_02
[ 00:04:45.572 -->  00:04:56.507] T SPEAKER_02
[ 00:04:56.963 -->  00:05:05.282] V SPEAKER_02
[ 00:05:05.350 -->  00:05:08.337] W SPEAKER_02
[ 00:05:27.962 -->  00:06:14.976] AA SPEAKER_04
[ 00:07:06.951 -->  00:08:07.195] AC SPEAKER_04
[ 00:08:07.954 -->  00:08:41.670] AD SPEAKER_04
[ 00:08:42.278 -->  00:08:49.973] AE SPEAKER_02
[ 00:08:50.277 -->  00:08:58.309] AF SPEAKER_02
[ 00:08:58.697 -->  00:09:03.777] AG SPEAKER_02
[ 00:09:04.232 -->  00:09:17.699] AH SPEAKER_02
[ 00:09:17.935 -->  00:09:34.101] AI SPEAKER_02
[ 00:09:34.405 -->  00:09:38.674] AJ SPEAKER_02
[ 00:09:39.113 -->  00:09:46.268] AK SPEAKER_02
[ 00:10:37.551 -->  00:10:55.590] AN SPEAKER_02
[ 00:10:55.928 -->  00:10:58.814] AO SPEAKER_02
[ 00:10:59.067 -->  00:11:04.990] AP SPEAKER_02
[ 00:11:05.344 -->  00:11:07.319] AQ SPEAKER_02
[ 00:11:07.622 -->  00:11:10.947] AR SPEAKER_02
[ 00:11:11.082 -->  00:11:16.650] AS SPEAKER_02
[ 00:11:16.870 -->  00:11:53.438] AT SPEAKER_02
[ 00:11:53.725 -->  00:11:57.623] AU SPEAKER_02
[ 00:11:58.129 -->  00:12:02.820] AV SPEAKER_02
[ 00:12:18.750 -->  00:12:57.090] AX SPEAKER_04
[ 00:12:57.563 -->  00:13:09.156] AZ SPEAKER_02
[ 00:13:09.494 -->  00:13:13.847] BA SPEAKER_02
[ 00:13:14.387 -->  00:13:38.451] BB SPEAKER_02
[ 00:14:06.025 -->  00:14:30.713] BG SPEAKER_04
[ 00:14:31.034 -->  00:15:03.147] BH SPEAKER_04
[ 00:15:03.855 -->  00:15:10.555] BI SPEAKER_04
[ 00:15:11.112 -->  00:15:27.531] BJ SPEAKER_04
[ 00:15:27.987 -->  00:15:30.889] BK SPEAKER_02
[ 00:15:30.923 -->  00:15:30.974] BL SPEAKER_02
[ 00:15:31.109 -->  00:15:34.787] BM SPEAKER_02
[ 00:15:34.889 -->  00:15:38.550] BN SPEAKER_02
[ 00:15:38.837 -->  00:15:40.575] BO SPEAKER_02
[ 00:15:40.812 -->  00:15:47.140] BP SPEAKER_02
[ 00:15:47.275 -->  00:15:56.607] BQ SPEAKER_02
[ 00:15:57.062 -->  00:16:02.091] BR SPEAKER_02
[ 00:16:02.412 -->  00:16:24.062] BS SPEAKER_02
[ 00:16:51.079 -->  00:17:27.242] BX SPEAKER_04
[ 00:17:27.732 -->  00:17:48.404] BY SPEAKER_04
[ 00:17:49.095 -->  00:17:51.289] BZ SPEAKER_04
[ 00:17:51.492 -->  00:17:59.997] CA SPEAKER_04
[ 00:18:00.469 -->  00:18:50.672] CB SPEAKER_04
[ 00:18:51.499 -->  00:19:02.569] CC SPEAKER_04
[ 00:19:03.092 -->  00:19:19.680] CD SPEAKER_04
[ 00:19:20.035 -->  00:19:34.328] CE SPEAKER_04
[ 00:19:34.581 -->  00:19:58.932] CF SPEAKER_04
[ 00:19:59.455 -->  00:20:40.292] CG SPEAKER_04
[ 00:20:40.292 -->  00:20:44.140] CH SPEAKER_02
[ 00:20:44.427 -->  00:20:48.055] CI SPEAKER_02
[ 00:20:48.291 -->  00:20:56.037] CJ SPEAKER_02
[ 00:20:56.577 -->  00:21:01.403] CK SPEAKER_02
[ 00:21:01.842 -->  00:21:10.026] CL SPEAKER_02
[ 00:21:10.195 -->  00:21:15.966] CM SPEAKER_02
[ 00:21:16.371 -->  00:21:19.729] CN SPEAKER_02
[ 00:21:20.151 -->  00:21:47.775] CO SPEAKER_02
[ 00:21:48.450 -->  00:22:05.477] CP SPEAKER_02
[ 00:22:05.680 -->  00:22:22.707] CQ SPEAKER_02
[ 00:23:29.785 -->  00:23:49.832] CS SPEAKER_04
[ 00:23:50.322 -->  00:24:12.968] CT SPEAKER_04
[ 00:24:13.542 -->  00:24:41.014] CU SPEAKER_04
[ 00:24:41.672 -->  00:25:03.880] CV SPEAKER_04
[ 00:25:00.927 -->  00:25:01.247] CW SPEAKER_02
[ 00:25:04.200 -->  00:25:16.992] CX SPEAKER_02
[ 00:25:17.363 -->  00:25:23.657] CY SPEAKER_02
[ 00:25:24.045 -->  00:25:28.197] CZ SPEAKER_02
[ 00:25:28.484 -->  00:25:41.865] DA SPEAKER_02
[ 00:25:42.220 -->  00:25:45.460] DB SPEAKER_02
[ 00:25:45.966 -->  00:25:53.020] DC SPEAKER_02
[ 00:25:53.340 -->  00:25:57.559] DD SPEAKER_02
[ 00:25:57.947 -->  00:26:02.082] DE SPEAKER_02
[ 00:26:02.149 -->  00:26:09.287] DF SPEAKER_02
[ 00:26:36.490 -->  00:26:37.671] DI SPEAKER_04
[ 00:27:11.354 -->  00:27:58.300] DK SPEAKER_04
[ 00:27:58.654 -->  00:28:12.660] DL SPEAKER_04
[ 00:28:13.200 -->  00:28:58.324] DM SPEAKER_04
[ 00:28:58.915 -->  00:29:59.412] DN SPEAKER_04
[ 00:29:59.665 -->  00:30:12.034] DO SPEAKER_02
[ 00:30:12.254 -->  00:30:16.776] DP SPEAKER_02
[ 00:30:16.894 -->  00:30:48.214] DQ SPEAKER_02
[ 00:31:19.973 -->  00:32:40.349] DU SPEAKER_04
[ 00:32:40.703 -->  00:33:13.019] DV SPEAKER_04
[ 00:33:13.120 -->  00:33:17.963] DW SPEAKER_02
[ 00:33:18.351 -->  00:33:19.009] DX SPEAKER_02
[ 00:33:19.229 -->  00:33:22.384] DY SPEAKER_02
[ 00:33:22.772 -->  00:33:27.734] DZ SPEAKER_02
[ 00:33:28.223 -->  00:33:51.544] EA SPEAKER_02
[ 00:33:51.932 -->  00:33:54.734] EB SPEAKER_02
[ 00:33:54.784 -->  00:34:30.930] EC SPEAKER_02
[ 00:35:09.355 -->  00:35:18.113] EH SPEAKER_02
[ 00:35:33.250 -->  00:35:42.109] EK SPEAKER_02
[ 00:35:42.531 -->  00:35:48.150] EL SPEAKER_02
[ 00:35:48.454 -->  00:35:50.496] EM SPEAKER_02
[ 00:35:50.800 -->  00:35:53.432] EN SPEAKER_02
[ 00:35:53.753 -->  00:35:56.925] EO SPEAKER_02
[ 00:35:57.297 -->  00:36:20.162] EP SPEAKER_02
[ 00:36:20.618 -->  00:36:25.613] EQ SPEAKER_02
[ 00:36:26.355 -->  00:36:48.968] ER SPEAKER_02
[ 00:36:49.221 -->  00:36:53.389] ES SPEAKER_02
[ 00:36:53.693 -->  00:36:58.165] ET SPEAKER_02
[ 00:36:58.519 -->  00:37:06.518] EU SPEAKER_02
[ 00:37:48.081 -->  00:38:28.952] EY SPEAKER_04
