[ 00:00:00.030 -->  00:00:01.549] A SPEAKER_02
[ 00:00:02.039 -->  00:00:03.912] B SPEAKER_02
[ 00:00:06.038 -->  00:00:06.308] D SPEAKER_02
[ 00:00:06.477 -->  00:00:07.000] F SPEAKER_02
[ 00:00:07.135 -->  00:00:17.024] G SPEAKER_02
[ 00:00:17.327 -->  00:00:17.513] I SPEAKER_02
[ 00:00:50.790 -->  00:01:24.625] K SPEAKER_02
[ 00:01:24.945 -->  00:01:50.376] L SPEAKER_02
[ 00:01:52.755 -->  00:02:05.209] M SPEAKER_02
[ 00:02:05.783 -->  00:02:07.504] N SPEAKER_02
[ 00:02:08.247 -->  00:02:20.937] O SPEAKER_02
[ 00:02:21.342 -->  00:02:50.232] P SPEAKER_01
[ 00:02:50.924 -->  00:02:58.332] Q SPEAKER_01
[ 00:02:58.635 -->  00:03:03.057] R SPEAKER_01
[ 00:03:03.512 -->  00:03:19.544] S SPEAKER_01
[ 00:03:20.033 -->  00:03:22.699] T SPEAKER_02
[ 00:03:23.087 -->  00:03:53.682] U SPEAKER_02
[ 00:03:53.682 -->  00:04:04.279] V SPEAKER_01
[ 00:04:04.853 -->  00:04:31.026] W SPEAKER_01
[ 00:04:31.549 -->  00:04:38.282] X SPEAKER_01
[ 00:04:38.755 -->  00:04:51.242] Y SPEAKER_01
[ 00:04:51.681 -->  00:05:06.750] Z SPEAKER_01
[ 00:05:07.037 -->  00:05:49.427] AA SPEAKER_02
[ 00:05:49.883 -->  00:05:59.890] AB SPEAKER_01
[ 00:06:00.261 -->  00:06:09.610] AC SPEAKER_01
[ 00:06:09.795 -->  00:06:18.621] AD SPEAKER_01
[ 00:06:18.739 -->  00:06:36.188] AE SPEAKER_01
[ 00:06:36.424 -->  00:06:50.532] AF SPEAKER_01
[ 00:06:51.038 -->  00:06:52.152] AG SPEAKER_01
[ 00:06:52.810 -->  00:06:57.299] AH SPEAKER_01
[ 00:06:57.552 -->  00:07:16.030] AI SPEAKER_01
[ 00:07:16.587 -->  00:07:34.559] AJ SPEAKER_01
[ 00:07:34.778 -->  00:07:47.350] AK SPEAKER_01
[ 00:07:47.620 -->  00:08:03.870] AL SPEAKER_01
[ 00:08:04.292 -->  00:08:11.076] AM SPEAKER_01
[ 00:08:11.616 -->  00:09:00.435] AN SPEAKER_01
[ 00:09:01.144 -->  00:09:12.940] AP SPEAKER_02
[ 00:09:13.176 -->  00:09:21.023] AQ SPEAKER_02
[ 00:09:21.023 -->  00:10:03.430] AR SPEAKER_01
[ 00:10:03.970 -->  00:10:24.844] AS SPEAKER_02
[ 00:10:25.367 -->  00:10:30.177] AT SPEAKER_02
[ 00:10:30.480 -->  00:10:33.805] AU SPEAKER_01
[ 00:10:33.990 -->  00:10:47.288] AV SPEAKER_01
[ 00:10:47.474 -->  00:10:50.376] AW SPEAKER_01
[ 00:10:50.933 -->  00:10:52.705] AX SPEAKER_01
[ 00:10:52.958 -->  00:11:09.074] AY SPEAKER_01
[ 00:11:09.614 -->  00:11:18.912] AZ SPEAKER_01
[ 00:11:19.992 -->  00:11:27.788] BA SPEAKER_01
[ 00:11:28.210 -->  00:12:01.572] BB SPEAKER_01
[ 00:12:01.892 -->  00:12:29.719] BC SPEAKER_01
[ 00:12:30.074 -->  00:12:48.704] BD SPEAKER_01
[ 00:12:49.328 -->  00:13:46.534] BE SPEAKER_01
[ 00:13:46.990 -->  00:14:31.135] BF SPEAKER_01
[ 00:14:31.135 -->  00:15:03.805] BG SPEAKER_02
[ 00:15:04.125 -->  00:15:57.670] BH SPEAKER_01
[ 00:15:58.193 -->  00:16:12.959] BI SPEAKER_01
[ 00:16:13.769 -->  00:16:21.430] BJ SPEAKER_01
[ 00:16:21.734 -->  00:16:30.374] BK SPEAKER_01
[ 00:16:30.863 -->  00:16:49.290] BL SPEAKER_01
[ 00:16:49.510 -->  00:16:50.556] BM SPEAKER_01
[ 00:16:51.130 -->  00:16:58.099] BN SPEAKER_01
[ 00:16:58.470 -->  00:17:00.681] BO SPEAKER_01
[ 00:17:01.035 -->  00:17:14.485] BP SPEAKER_01
[ 00:17:14.789 -->  00:17:25.049] BQ SPEAKER_01
[ 00:17:25.369 -->  00:17:36.878] BR SPEAKER_01
[ 00:17:37.705 -->  00:17:46.598] BS SPEAKER_01
