[ 00:00:00.030 -->  00:00:04.452] A SPEAKER_00
[ 00:00:04.924 -->  00:00:05.987] B SPEAKER_00
[ 00:00:06.443 -->  00:00:06.645] C SPEAKER_00
[ 00:00:06.966 -->  00:00:06.983] E SPEAKER_00
[ 00:00:07.034 -->  00:00:08.957] G SPEAKER_00
[ 00:00:09.109 -->  00:00:19.470] H SPEAKER_00
[ 00:00:52.765 -->  00:01:32.640] J SPEAKER_00
[ 00:01:32.961 -->  00:01:35.830] K SPEAKER_00
[ 00:01:37.956 -->  00:02:08.466] L SPEAKER_00
[ 00:02:08.702 -->  00:02:32.479] M SPEAKER_02
[ 00:02:33.104 -->  00:03:11.005] N SPEAKER_02
[ 00:03:11.241 -->  00:03:41.025] O SPEAKER_02
[ 00:03:41.380 -->  00:04:31.600] P SPEAKER_02
[ 00:04:31.701 -->  00:05:49.292] Q SPEAKER_02
[ 00:05:49.444 -->  00:05:53.241] R SPEAKER_02
[ 00:05:53.528 -->  00:06:03.940] S SPEAKER_02
[ 00:06:04.125 -->  00:07:33.715] T SPEAKER_02
[ 00:07:33.917 -->  00:07:34.862] U SPEAKER_00
[ 00:07:35.014 -->  00:07:41.427] V SPEAKER_00
[ 00:07:41.410 -->  00:07:44.785] W SPEAKER_02
[ 00:07:46.135 -->  00:08:32.220] X SPEAKER_00
[ 00:08:32.524 -->  00:09:05.211] Y SPEAKER_02
[ 00:09:06.038 -->  00:09:07.219] Z SPEAKER_02
[ 00:09:07.725 -->  00:09:32.970] AA SPEAKER_00
[ 00:09:33.679 -->  00:10:31.932] AB SPEAKER_02
[ 00:10:31.999 -->  00:11:31.298] AC SPEAKER_02
[ 00:11:31.517 -->  00:11:41.220] AD SPEAKER_02
[ 00:11:41.220 -->  00:11:43.364] AE SPEAKER_00
[ 00:11:43.380 -->  00:12:25.484] AF SPEAKER_02
[ 00:12:25.889 -->  00:12:32.892] AG SPEAKER_02
[ 00:12:33.195 -->  00:12:36.773] AH SPEAKER_02
[ 00:12:36.959 -->  00:12:54.660] AI SPEAKER_02
[ 00:12:54.981 -->  00:13:21.019] AJ SPEAKER_02
[ 00:13:21.087 -->  00:13:21.795] AK SPEAKER_02
[ 00:13:22.150 -->  00:13:37.489] AL SPEAKER_02
[ 00:13:37.877 -->  00:14:12.792] AM SPEAKER_02
[ 00:14:12.910 -->  00:14:17.415] AN SPEAKER_02
[ 00:14:17.483 -->  00:14:42.407] AO SPEAKER_02
[ 00:14:42.424 -->  00:14:45.782] AP SPEAKER_02
[ 00:14:46.373 -->  00:14:48.668] AQ SPEAKER_02
[ 00:14:49.883 -->  00:15:16.022] AR SPEAKER_00
[ 00:15:16.022 -->  00:15:31.665] AS SPEAKER_02
[ 00:15:31.952 -->  00:15:35.344] AT SPEAKER_02
[ 00:15:35.580 -->  00:15:41.267] AU SPEAKER_02
[ 00:15:41.740 -->  00:16:03.036] AV SPEAKER_02
[ 00:16:03.272 -->  00:16:48.160] AW SPEAKER_02
[ 00:16:48.480 -->  00:17:01.305] AX SPEAKER_02
[ 00:17:01.525 -->  00:17:28.525] AY SPEAKER_02
[ 00:17:28.812 -->  00:17:36.827] AZ SPEAKER_02
[ 00:17:37.654 -->  00:17:45.518] BA SPEAKER_00
[ 00:17:45.754 -->  00:18:42.269] BB SPEAKER_00
[ 00:18:42.420 -->  00:18:43.146] BC SPEAKER_02
[ 00:18:43.230 -->  00:18:59.447] BD SPEAKER_02
[ 00:18:59.785 -->  00:19:02.502] BE SPEAKER_02
[ 00:19:02.822 -->  00:19:10.349] BF SPEAKER_02
[ 00:19:10.652 -->  00:19:12.239] BG SPEAKER_02
[ 00:19:12.525 -->  00:20:06.390] BH SPEAKER_02
[ 00:20:06.914 -->  00:20:11.031] BI SPEAKER_02
[ 00:20:11.284 -->  00:20:17.899] BJ SPEAKER_02
[ 00:20:17.933 -->  00:20:20.160] BK SPEAKER_02
[ 00:20:20.430 -->  00:20:27.299] BL SPEAKER_02
[ 00:20:27.619 -->  00:20:29.290] BM SPEAKER_02
[ 00:20:29.627 -->  00:20:55.682] BN SPEAKER_02
[ 00:20:56.189 -->  00:21:23.087] BO SPEAKER_02
[ 00:21:23.357 -->  00:21:36.081] BP SPEAKER_02
[ 00:21:36.503 -->  00:23:00.810] BQ SPEAKER_02
