[ 00:00:00.030 -->  00:00:01.448] A SPEAKER_01
[ 00:00:01.735 -->  00:00:03.135] B SPEAKER_01
[ 00:00:06.325 -->  00:00:16.686] D SPEAKER_01
[ 00:00:50.031 -->  00:00:55.229] G SPEAKER_01
[ 00:00:55.617 -->  00:01:04.830] H SPEAKER_01
[ 00:01:04.881 -->  00:01:17.959] I SPEAKER_01
[ 00:01:18.314 -->  00:01:32.421] J SPEAKER_01
[ 00:01:33.062 -->  00:01:50.528] K SPEAKER_01
[ 00:01:52.350 -->  00:02:20.228] L SPEAKER_01
[ 00:02:20.987 -->  00:05:56.498] M SPEAKER_03
[ 00:05:57.291 -->  00:06:10.589] N SPEAKER_01
[ 00:06:10.740 -->  00:06:10.757] O SPEAKER_01
[ 00:06:10.757 -->  00:06:12.107] P SPEAKER_03
[ 00:06:12.765 -->  00:06:40.103] Q SPEAKER_03
[ 00:06:40.339 -->  00:08:27.495] R SPEAKER_03
[ 00:08:28.086 -->  00:08:46.379] S SPEAKER_01
[ 00:08:47.509 -->  00:11:44.562] T SPEAKER_03
[ 00:11:45.254 -->  00:12:24.454] U SPEAKER_01
[ 00:12:25.095 -->  00:14:38.965] V SPEAKER_03
[ 00:14:39.758 -->  00:15:11.415] W SPEAKER_01
[ 00:15:12.209 -->  00:16:03.171] X SPEAKER_03
[ 00:16:03.255 -->  00:16:24.906] Y SPEAKER_03
[ 00:16:25.193 -->  00:17:03.668] Z SPEAKER_03
[ 00:17:03.837 -->  00:17:36.760] AA SPEAKER_03
[ 00:17:37.587 -->  00:17:47.610] AB SPEAKER_01
[ 00:17:48.302 -->  00:19:21.132] AC SPEAKER_03
[ 00:19:22.127 -->  00:19:59.995] AD SPEAKER_01
[ 00:20:00.788 -->  00:22:13.594] AE SPEAKER_03
[ 00:22:14.539 -->  00:22:44.594] AF SPEAKER_01
[ 00:22:45.235 -->  00:25:29.867] AG SPEAKER_03
[ 00:25:30.745 -->  00:25:43.097] AH SPEAKER_01
[ 00:25:43.705 -->  00:26:20.087] AI SPEAKER_03
[ 00:26:20.340 -->  00:26:57.837] AJ SPEAKER_03
[ 00:26:58.495 -->  00:27:34.725] AK SPEAKER_01
[ 00:27:35.232 -->  00:29:57.910] AL SPEAKER_03
[ 00:29:57.994 -->  00:30:31.592] AM SPEAKER_03
[ 00:30:31.845 -->  00:30:41.042] AN SPEAKER_03
[ 00:30:41.987 -->  00:31:10.759] AO SPEAKER_01
[ 00:31:11.384 -->  00:33:24.527] AP SPEAKER_03
[ 00:33:25.270 -->  00:34:07.525] AQ SPEAKER_01
[ 00:34:08.250 -->  00:34:43.671] AR SPEAKER_03
[ 00:34:44.110 -->  00:36:51.027] AS SPEAKER_03
[ 00:36:51.769 -->  00:37:12.272] AT SPEAKER_01
[ 00:37:12.964 -->  00:38:42.115] AU SPEAKER_03
[ 00:38:42.334 -->  00:39:03.107] AV SPEAKER_03
[ 00:39:03.428 -->  00:39:34.056] AW SPEAKER_03
[ 00:39:34.545 -->  00:40:05.376] AZ SPEAKER_01
[ 00:40:06.119 -->  00:41:27.557] BA SPEAKER_03
[ 00:41:28.283 -->  00:41:44.955] BB SPEAKER_01
[ 00:41:45.681 -->  00:41:45.732] BC SPEAKER_03
[ 00:41:45.732 -->  00:41:47.014] BD SPEAKER_01
[ 00:41:47.014 -->  00:41:47.115] BE SPEAKER_03
[ 00:41:47.132 -->  00:41:55.452] BF SPEAKER_03
[ 00:41:56.025 -->  00:42:59.104] BG SPEAKER_03
[ 00:42:59.796 -->  00:43:05.669] BH SPEAKER_01
[ 00:43:06.377 -->  00:43:08.655] BI SPEAKER_03
