[ 00:00:00.030 -->  00:00:01.026] A SPEAKER_01
[ 00:00:01.279 -->  00:00:02.882] B SPEAKER_01
[ 00:00:03.169 -->  00:00:05.785] C SPEAKER_01
[ 00:00:05.937 -->  00:00:16.230] D SPEAKER_01
[ 00:00:49.626 -->  00:00:56.106] G SPEAKER_01
[ 00:00:56.528 -->  00:01:06.130] H SPEAKER_01
[ 00:01:06.585 -->  00:01:15.428] I SPEAKER_01
[ 00:01:15.951 -->  00:01:28.034] J SPEAKER_01
[ 00:01:28.439 -->  00:02:02.813] K SPEAKER_01
[ 00:02:03.302 -->  00:02:10.710] L SPEAKER_01
[ 00:02:10.964 -->  00:02:14.355] M SPEAKER_01
[ 00:02:15.925 -->  00:02:35.112] N SPEAKER_01
[ 00:02:35.280 -->  00:02:38.352] O SPEAKER_02
[ 00:02:38.757 -->  00:02:42.857] P SPEAKER_02
[ 00:02:43.465 -->  00:02:50.147] Q SPEAKER_02
[ 00:02:50.620 -->  00:02:54.552] R SPEAKER_02
[ 00:02:55.244 -->  00:02:57.167] S SPEAKER_02
[ 00:02:57.724 -->  00:03:21.012] T SPEAKER_01
[ 00:03:21.315 -->  00:03:23.830] U SPEAKER_02
[ 00:03:24.404 -->  00:03:26.412] V SPEAKER_02
[ 00:03:26.665 -->  00:03:33.027] W SPEAKER_02
[ 00:03:33.719 -->  00:03:37.853] X SPEAKER_02
[ 00:03:38.528 -->  00:03:46.088] Y SPEAKER_02
[ 00:03:46.814 -->  00:03:50.543] Z SPEAKER_02
[ 00:03:51.184 -->  00:03:56.010] AA SPEAKER_02
[ 00:03:56.820 -->  00:03:59.858] AB SPEAKER_02
[ 00:04:00.280 -->  00:04:04.887] AC SPEAKER_02
[ 00:04:05.511 -->  00:04:09.291] AD SPEAKER_02
[ 00:04:09.629 -->  00:04:16.193] AE SPEAKER_02
[ 00:04:16.817 -->  00:04:19.298] AF SPEAKER_02
[ 00:04:19.905 -->  00:04:22.403] AG SPEAKER_02
[ 00:04:23.112 -->  00:04:26.284] AH SPEAKER_02
[ 00:04:26.841 -->  00:04:31.347] AI SPEAKER_02
[ 00:04:31.701 -->  00:04:33.827] AJ SPEAKER_02
[ 00:04:34.654 -->  00:04:37.590] AK SPEAKER_02
[ 00:04:37.962 -->  00:04:41.607] AL SPEAKER_02
[ 00:04:41.995 -->  00:04:44.543] AM SPEAKER_02
[ 00:04:44.779 -->  00:04:46.568] AN SPEAKER_02
[ 00:04:46.872 -->  00:04:52.221] AO SPEAKER_02
[ 00:04:52.424 -->  00:04:54.094] AP SPEAKER_02
[ 00:04:54.651 -->  00:04:58.836] AQ SPEAKER_02
[ 00:04:59.393 -->  00:05:22.343] AR SPEAKER_01
[ 00:05:22.613 -->  00:05:31.270] AS SPEAKER_02
[ 00:05:32.012 -->  00:05:32.974] AT SPEAKER_02
[ 00:05:33.379 -->  00:05:40.872] AU SPEAKER_02
[ 00:05:41.327 -->  00:05:49.866] AV SPEAKER_02
[ 00:05:50.676 -->  00:05:58.607] AW SPEAKER_02
[ 00:05:59.198 -->  00:06:03.906] AX SPEAKER_02
[ 00:06:04.395 -->  00:06:08.310] AY SPEAKER_02
[ 00:06:08.631 -->  00:06:10.859] AZ SPEAKER_02
[ 00:06:10.977 -->  00:06:19.414] BA SPEAKER_02
[ 00:06:19.954 -->  00:06:22.874] BB SPEAKER_02
[ 00:06:23.245 -->  00:06:24.629] BC SPEAKER_02
[ 00:06:25.253 -->  00:06:29.489] BD SPEAKER_02
[ 00:06:29.877 -->  00:06:33.724] BE SPEAKER_02
[ 00:06:33.994 -->  00:06:38.669] BF SPEAKER_02
[ 00:06:39.310 -->  00:06:41.301] BG SPEAKER_02
[ 00:06:41.622 -->  00:06:44.541] BH SPEAKER_02
[ 00:06:44.642 -->  00:06:45.503] BI SPEAKER_02
[ 00:06:45.655 -->  00:06:47.663] BJ SPEAKER_02
[ 00:06:48.152 -->  00:06:50.734] BK SPEAKER_02
[ 00:06:51.021 -->  00:06:51.038] BL SPEAKER_02
[ 00:06:51.055 -->  00:06:55.240] BM SPEAKER_02
[ 00:06:55.797 -->  00:06:58.581] BN SPEAKER_02
