[ 00:00:00.030 -->  00:00:01.026] A SPEAKER_03
[ 00:00:01.634 -->  00:00:03.287] B SPEAKER_03
[ 00:00:03.929 -->  00:00:04.604] C SPEAKER_03
[ 00:00:04.907 -->  00:00:05.481] D SPEAKER_03
[ 00:00:06.038 -->  00:00:06.578] G SPEAKER_03
[ 00:00:06.899 -->  00:00:07.405] H SPEAKER_03
[ 00:00:07.590 -->  00:00:17.918] I SPEAKER_03
[ 00:00:51.263 -->  00:01:01.202] K SPEAKER_03
[ 00:01:01.624 -->  00:01:10.821] L SPEAKER_03
[ 00:01:10.973 -->  00:01:28.304] M SPEAKER_03
[ 00:01:30.750 -->  00:02:27.720] N SPEAKER_03
[ 00:02:29.678 -->  00:03:14.515] P SPEAKER_03
[ 00:03:14.954 -->  00:03:25.264] Q SPEAKER_00
[ 00:03:25.821 -->  00:04:13.392] R SPEAKER_00
[ 00:04:13.712 -->  00:04:39.329] S SPEAKER_00
[ 00:04:39.632 -->  00:04:44.138] T SPEAKER_00
[ 00:04:44.560 -->  00:04:53.959] U SPEAKER_00
[ 00:04:54.381 -->  00:04:59.258] V SPEAKER_03
[ 00:05:00.878 -->  00:05:25.414] W SPEAKER_03
[ 00:05:26.089 -->  00:05:56.042] X SPEAKER_00
[ 00:05:56.127 -->  00:06:02.286] Y SPEAKER_00
[ 00:06:02.691 -->  00:06:04.176] Z SPEAKER_00
[ 00:06:04.463 -->  00:06:27.717] AA SPEAKER_00
[ 00:06:27.936 -->  00:06:35.530] AB SPEAKER_00
[ 00:06:35.682 -->  00:06:35.817] AC SPEAKER_00
[ 00:06:35.850 -->  00:06:36.627] AD SPEAKER_00
[ 00:06:36.964 -->  00:06:41.622] AE SPEAKER_00
[ 00:06:43.596 -->  00:06:59.256] AF SPEAKER_03
[ 00:06:59.745 -->  00:07:28.619] AG SPEAKER_00
[ 00:07:29.074 -->  00:07:47.282] AH SPEAKER_00
[ 00:07:47.637 -->  00:07:55.062] AI SPEAKER_00
[ 00:07:55.264 -->  00:07:59.753] AJ SPEAKER_00
[ 00:08:00.141 -->  00:08:01.137] AK SPEAKER_00
[ 00:08:01.187 -->  00:08:05.727] AL SPEAKER_00
[ 00:08:05.794 -->  00:08:18.248] AM SPEAKER_00
[ 00:08:18.349 -->  00:08:19.665] AN SPEAKER_00
[ 00:08:20.155 -->  00:08:23.209] AO SPEAKER_00
[ 00:08:24.002 -->  00:08:27.698] AP SPEAKER_00
[ 00:08:27.968 -->  00:08:28.525] AQ SPEAKER_00
[ 00:08:28.845 -->  00:08:40.641] AR SPEAKER_00
[ 00:08:41.097 -->  00:09:24.938] AS SPEAKER_03
[ 00:09:25.309 -->  00:09:32.025] AT SPEAKER_00
[ 00:09:32.380 -->  00:09:39.569] AU SPEAKER_00
[ 00:09:40.125 -->  00:09:43.399] AV SPEAKER_00
[ 00:09:43.619 -->  00:09:48.597] AW SPEAKER_00
[ 00:09:48.934 -->  00:10:10.720] AX SPEAKER_00
[ 00:10:11.091 -->  00:10:15.951] AY SPEAKER_00
[ 00:10:16.407 -->  00:10:48.537] AZ SPEAKER_00
[ 00:10:48.807 -->  00:11:16.245] BA SPEAKER_00
[ 00:11:16.870 -->  00:11:51.784] BB SPEAKER_03
[ 00:11:52.020 -->  00:12:07.191] BC SPEAKER_00
[ 00:12:07.545 -->  00:12:51.960] BD SPEAKER_00
[ 00:12:52.281 -->  00:12:55.217] BE SPEAKER_00
[ 00:12:55.656 -->  00:12:58.559] BF SPEAKER_00
[ 00:12:58.727 -->  00:13:18.252] BG SPEAKER_00
[ 00:13:18.285 -->  00:13:23.264] BH SPEAKER_00
[ 00:13:23.618 -->  00:14:09.096] BI SPEAKER_00
[ 00:14:09.585 -->  00:14:24.132] BJ SPEAKER_00
[ 00:14:24.554 -->  00:14:53.393] BK SPEAKER_00
[ 00:14:53.815 -->  00:15:01.020] BL SPEAKER_00
[ 00:15:01.257 -->  00:15:06.707] BM SPEAKER_00
[ 00:15:07.264 -->  00:15:46.448] BN SPEAKER_03
[ 00:15:46.853 -->  00:16:25.362] BO SPEAKER_00
[ 00:16:25.530 -->  00:17:14.620] BP SPEAKER_00
[ 00:17:14.957 -->  00:17:15.565] BQ SPEAKER_00
[ 00:17:15.818 -->  00:17:19.632] BR SPEAKER_00
[ 00:17:20.054 -->  00:17:32.018] BS SPEAKER_00
[ 00:17:32.389 -->  00:17:32.895] BT SPEAKER_00
[ 00:17:33.149 -->  00:17:35.207] BU SPEAKER_00
[ 00:17:35.967 -->  00:17:37.469] BV SPEAKER_00
[ 00:17:38.093 -->  00:17:41.974] BW SPEAKER_00
[ 00:17:42.278 -->  00:17:44.894] BX SPEAKER_00
[ 00:17:45.315 -->  00:17:47.172] BY SPEAKER_00
[ 00:17:47.627 -->  00:18:20.230] BZ SPEAKER_00
[ 00:18:20.517 -->  00:18:26.693] CA SPEAKER_00
[ 00:18:26.811 -->  00:18:31.334] CB SPEAKER_00
[ 00:18:31.688 -->  00:18:32.565] CC SPEAKER_00
[ 00:18:32.920 -->  00:18:34.540] CD SPEAKER_00
[ 00:18:34.844 -->  00:18:38.455] CE SPEAKER_00
[ 00:18:39.045 -->  00:18:41.864] CF SPEAKER_00
[ 00:18:42.319 -->  00:18:50.132] CG SPEAKER_00
[ 00:18:50.436 -->  00:18:59.414] CH SPEAKER_00
[ 00:18:59.464 -->  00:19:15.327] CI SPEAKER_00
[ 00:19:15.479 -->  00:19:47.558] CJ SPEAKER_00
[ 00:19:47.693 -->  00:20:06.779] CK SPEAKER_00
[ 00:20:07.200 -->  00:20:08.297] CL SPEAKER_00
[ 00:20:08.567 -->  00:20:10.120] CM SPEAKER_00
[ 00:20:10.424 -->  00:20:17.359] CN SPEAKER_00
[ 00:20:17.579 -->  00:20:18.962] CO SPEAKER_00
[ 00:20:19.249 -->  00:20:21.679] CP SPEAKER_00
[ 00:20:21.848 -->  00:20:37.103] CQ SPEAKER_00
[ 00:20:37.170 -->  00:20:38.790] CR SPEAKER_00
[ 00:20:39.195 -->  00:20:44.123] CS SPEAKER_00
[ 00:20:44.444 -->  00:20:48.662] CT SPEAKER_00
[ 00:20:49.185 -->  00:21:50.627] CU SPEAKER_03
[ 00:21:50.965 -->  00:22:19.163] CV SPEAKER_00
[ 00:22:19.349 -->  00:22:45.235] CW SPEAKER_00
[ 00:22:45.707 -->  00:22:57.351] CX SPEAKER_00
[ 00:22:57.722 -->  00:23:30.932] CY SPEAKER_00
[ 00:23:30.966 -->  00:23:30.983] CZ SPEAKER_00
[ 00:23:31.185 -->  00:24:19.414] DA SPEAKER_00
[ 00:24:19.583 -->  00:24:22.047] DB SPEAKER_00
[ 00:24:22.469 -->  00:24:30.670] DC SPEAKER_00
[ 00:24:31.058 -->  00:24:51.527] DD SPEAKER_00
[ 00:24:52.017 -->  00:25:13.364] DE SPEAKER_03
[ 00:25:13.735 -->  00:25:19.810] DF SPEAKER_00
[ 00:25:20.198 -->  00:25:30.644] DG SPEAKER_00
[ 00:25:30.964 -->  00:25:52.750] DH SPEAKER_00
[ 00:25:53.121 -->  00:26:01.795] DI SPEAKER_00
[ 00:26:02.082 -->  00:26:29.504] DJ SPEAKER_00
[ 00:26:30.060 -->  00:26:35.714] DK SPEAKER_00
[ 00:26:35.967 -->  00:26:41.974] DL SPEAKER_00
[ 00:26:42.329 -->  00:26:49.011] DM SPEAKER_00
[ 00:26:49.416 -->  00:27:15.960] DN SPEAKER_00
[ 00:27:16.214 -->  00:27:22.947] DO SPEAKER_00
[ 00:27:23.487 -->  00:27:29.359] DP SPEAKER_00
[ 00:27:29.714 -->  00:27:32.481] DQ SPEAKER_00
[ 00:27:32.987 -->  00:27:40.497] DR SPEAKER_00
[ 00:27:40.564 -->  00:27:45.087] DS SPEAKER_00
[ 00:27:45.475 -->  00:28:04.898] DT SPEAKER_00
[ 00:28:05.354 -->  00:28:06.805] DU SPEAKER_00
[ 00:28:07.294 -->  00:28:12.340] DV SPEAKER_00
[ 00:28:12.576 -->  00:28:42.782] DW SPEAKER_00
[ 00:28:43.120 -->  00:28:43.204] DX SPEAKER_00
[ 00:28:43.795 -->  00:28:56.181] DY SPEAKER_00
[ 00:28:56.772 -->  00:29:25.088] DZ SPEAKER_03
[ 00:29:25.476 -->  00:30:20.067] EA SPEAKER_00
