[ 00:03:11.393 -->  00:03:13.215] S SPEAKER_04
[ 00:03:13.300 -->  00:03:15.173] T SPEAKER_04
[ 00:03:15.460 -->  00:03:18.852] U SPEAKER_04
[ 00:03:19.122 -->  00:03:22.058] V SPEAKER_04
[ 00:03:22.260 -->  00:03:29.736] W SPEAKER_04
[ 00:03:30.023 -->  00:03:46.679] X SPEAKER_04
[ 00:03:47.151 -->  00:03:49.885] Y SPEAKER_04
[ 00:03:50.155 -->  00:04:00.229] Z SPEAKER_04
[ 00:04:00.938 -->  00:04:05.916] AA SPEAKER_04
[ 00:04:06.608 -->  00:04:14.320] AB SPEAKER_04
[ 00:04:14.674 -->  00:04:25.035] AC SPEAKER_04
[ 00:04:25.052 -->  00:04:33.557] AD SPEAKER_04
[ 00:04:34.350 -->  00:04:36.105] AE SPEAKER_04
[ 00:04:36.240 -->  00:04:41.100] AF SPEAKER_04
[ 00:04:41.286 -->  00:04:59.477] AG SPEAKER_04
[ 00:04:59.933 -->  00:05:02.110] AH SPEAKER_04
[ 00:05:02.549 -->  00:05:04.253] AI SPEAKER_04
[ 00:05:04.607 -->  00:05:10.294] AJ SPEAKER_04
[ 00:05:11.020 -->  00:05:11.779] AK SPEAKER_04
[ 00:05:12.032 -->  00:05:15.593] AL SPEAKER_04
[ 00:05:16.099 -->  00:05:21.516] AM SPEAKER_04
[ 00:05:21.972 -->  00:05:27.085] AN SPEAKER_04
[ 00:05:27.659 -->  00:05:30.645] AO SPEAKER_04
[ 00:05:31.000 -->  00:05:31.860] AP SPEAKER_04
[ 00:05:32.164 -->  00:05:33.109] AQ SPEAKER_04
[ 00:05:33.548 -->  00:05:37.379] AR SPEAKER_04
[ 00:05:37.969 -->  00:05:41.057] AS SPEAKER_04
[ 00:05:41.344 -->  00:05:47.757] AT SPEAKER_04
[ 00:05:48.280 -->  00:05:50.322] AU SPEAKER_04
[ 00:05:50.811 -->  00:05:55.199] AV SPEAKER_04
[ 00:05:55.485 -->  00:05:57.696] AW SPEAKER_04
[ 00:05:58.135 -->  00:06:01.155] AX SPEAKER_04
[ 00:06:01.425 -->  00:06:07.315] AY SPEAKER_04
[ 00:06:07.821 -->  00:06:12.630] AZ SPEAKER_04
[ 00:06:13.154 -->  00:06:17.237] BA SPEAKER_04
