[ 00:00:00.030 -->  00:00:01.043] A SPEAKER_02
[ 00:00:01.364 -->  00:00:04.047] B SPEAKER_02
[ 00:00:06.915 -->  00:00:17.310] D SPEAKER_02
[ 00:00:50.622 -->  00:01:00.561] F SPEAKER_02
[ 00:01:00.966 -->  00:01:27.595] G SPEAKER_02
[ 00:01:30.059 -->  00:02:05.175] H SPEAKER_02
[ 00:02:05.344 -->  00:02:40.005] I SPEAKER_02
[ 00:02:42.165 -->  00:02:59.496] J SPEAKER_02
[ 00:02:59.648 -->  00:03:01.994] K SPEAKER_03
[ 00:03:01.994 -->  00:03:05.841] L SPEAKER_02
[ 00:03:04.727 -->  00:03:07.427] M SPEAKER_03
[ 00:03:07.427 -->  00:03:43.135] N SPEAKER_02
[ 00:03:07.461 -->  00:03:07.562] O SPEAKER_03
[ 00:03:43.523 -->  00:05:14.699] P SPEAKER_03
[ 00:05:15.239 -->  00:05:36.535] Q SPEAKER_02
[ 00:05:36.839 -->  00:07:26.037] R SPEAKER_03
[ 00:07:26.408 -->  00:07:51.029] S SPEAKER_02
[ 00:07:51.400 -->  00:09:52.664] T SPEAKER_03
[ 00:09:53.069 -->  00:10:01.658] V SPEAKER_02
[ 00:10:01.979 -->  00:10:46.765] W SPEAKER_03
[ 00:10:47.170 -->  00:11:15.452] X SPEAKER_02
[ 00:11:16.043 -->  00:11:19.553] Y SPEAKER_02
[ 00:11:19.857 -->  00:13:18.944] Z SPEAKER_03
[ 00:13:19.112 -->  00:14:52.785] AA SPEAKER_03
[ 00:14:53.376 -->  00:15:29.725] AB SPEAKER_02
[ 00:15:30.164 -->  00:16:12.300] AC SPEAKER_03
[ 00:16:12.840 -->  00:18:11.168] AE SPEAKER_03
[ 00:18:11.590 -->  00:18:58.755] AF SPEAKER_02
[ 00:18:58.975 -->  00:19:09.184] AG SPEAKER_03
[ 00:19:09.252 -->  00:20:02.205] AH SPEAKER_03
[ 00:20:02.357 -->  00:20:19.755] AI SPEAKER_03
[ 00:20:20.245 -->  00:21:45.160] AJ SPEAKER_03
[ 00:21:45.345 -->  00:22:10.759] AK SPEAKER_03
[ 00:22:11.198 -->  00:22:33.625] AL SPEAKER_02
[ 00:22:33.996 -->  00:22:46.484] AM SPEAKER_03
[ 00:22:46.973 -->  00:25:01.635] AN SPEAKER_03
[ 00:25:02.108 -->  00:25:16.283] AP SPEAKER_02
[ 00:25:16.401 -->  00:25:20.097] AQ SPEAKER_02
[ 00:25:20.384 -->  00:27:03.287] AR SPEAKER_03
[ 00:27:03.794 -->  00:27:51.854] AS SPEAKER_02
[ 00:27:52.275 -->  00:31:25.862] AT SPEAKER_03
[ 00:31:26.284 -->  00:32:01.637] AU SPEAKER_02
[ 00:32:01.941 -->  00:32:03.409] AV SPEAKER_03
[ 00:32:03.915 -->  00:33:24.274] AW SPEAKER_03
[ 00:33:24.494 -->  00:33:49.064] AX SPEAKER_02
[ 00:33:49.384 -->  00:33:59.729] AY SPEAKER_03
[ 00:34:00.032 -->  00:34:51.349] AZ SPEAKER_03
[ 00:34:51.366 -->  00:34:58.504] BA SPEAKER_03
[ 00:34:59.129 -->  00:36:23.672] BB SPEAKER_03
[ 00:36:24.803 -->  00:37:06.855] BC SPEAKER_02
[ 00:37:07.125 -->  00:37:07.632] BD SPEAKER_03
[ 00:37:07.986 -->  00:38:33.728] BE SPEAKER_03
[ 00:38:33.981 -->  00:38:44.832] BF SPEAKER_03
[ 00:38:45.338 -->  00:39:11.410] BG SPEAKER_02
[ 00:39:08.592 -->  00:39:08.760] BH SPEAKER_03
[ 00:39:11.629 -->  00:39:24.539] BI SPEAKER_03
[ 00:39:24.741 -->  00:40:08.346] BJ SPEAKER_03
[ 00:40:08.751 -->  00:40:31.279] BK SPEAKER_02
[ 00:40:31.701 -->  00:41:58.709] BL SPEAKER_03
[ 00:41:59.198 -->  00:42:14.149] BM SPEAKER_02
[ 00:42:15.128 -->  00:42:28.037] BN SPEAKER_03
[ 00:42:28.172 -->  00:42:31.497] BO SPEAKER_03
[ 00:42:31.851 -->  00:42:34.028] BP SPEAKER_02
[ 00:42:35.479 -->  00:42:37.859] BQ SPEAKER_03
[ 00:42:38.112 -->  00:42:44.507] BR SPEAKER_02
[ 00:42:44.845 -->  00:42:45.773] BS SPEAKER_03
[ 00:42:45.959 -->  00:42:46.026] BT SPEAKER_03
[ 00:42:50.245 -->  00:43:11.946] BU SPEAKER_02
[ 00:43:12.672 -->  00:43:16.874] BV SPEAKER_02
[ 00:43:19.388 -->  00:43:30.188] BW SPEAKER_02
