[ 00:00:00.030 -->  00:00:01.347] A SPEAKER_01
[ 00:00:01.566 -->  00:00:02.207] B SPEAKER_01
[ 00:00:02.764 -->  00:00:03.912] C SPEAKER_01
[ 00:00:07.658 -->  00:00:18.019] F SPEAKER_01
[ 00:00:51.330 -->  00:01:01.270] H SPEAKER_01
[ 00:01:01.675 -->  00:01:10.838] I SPEAKER_01
[ 00:01:10.973 -->  00:01:28.287] J SPEAKER_01
[ 00:01:30.852 -->  00:01:55.523] K SPEAKER_01
[ 00:01:56.164 -->  00:02:10.474] L SPEAKER_01
[ 00:02:11.504 -->  00:02:26.522] M SPEAKER_01
[ 00:02:27.062 -->  00:02:29.999] N SPEAKER_01
[ 00:02:32.159 -->  00:02:58.129] O SPEAKER_01
[ 00:02:58.517 -->  00:02:59.327] P SPEAKER_04
[ 00:02:59.462 -->  00:03:02.567] Q SPEAKER_04
[ 00:03:02.989 -->  00:03:03.867] R SPEAKER_04
[ 00:03:03.951 -->  00:03:04.795] S SPEAKER_04
[ 00:03:05.031 -->  00:03:06.685] T SPEAKER_04
[ 00:03:06.972 -->  00:03:08.102] U SPEAKER_04
[ 00:03:08.423 -->  00:03:11.849] V SPEAKER_04
[ 00:03:12.102 -->  00:03:13.890] W SPEAKER_04
[ 00:03:14.093 -->  00:03:15.443] X SPEAKER_04
[ 00:03:15.865 -->  00:03:16.945] Y SPEAKER_04
[ 00:03:17.164 -->  00:03:21.231] Z SPEAKER_04
[ 00:03:21.400 -->  00:03:22.379] AA SPEAKER_04
[ 00:03:22.632 -->  00:03:24.184] AB SPEAKER_04
[ 00:03:24.792 -->  00:03:29.669] AC SPEAKER_04
[ 00:03:30.209 -->  00:03:31.761] AD SPEAKER_04
[ 00:03:32.250 -->  00:03:35.440] AE SPEAKER_04
[ 00:03:35.659 -->  00:03:36.992] AF SPEAKER_04
[ 00:03:37.499 -->  00:03:42.747] AG SPEAKER_04
[ 00:03:43.034 -->  00:03:44.839] AH SPEAKER_04
[ 00:03:45.126 -->  00:03:45.700] AI SPEAKER_04
[ 00:03:46.054 -->  00:03:50.475] AJ SPEAKER_04
[ 00:03:50.847 -->  00:03:51.235] AK SPEAKER_04
[ 00:03:51.589 -->  00:03:52.737] AL SPEAKER_04
[ 00:03:53.091 -->  00:03:55.774] AM SPEAKER_04
[ 00:03:56.061 -->  00:03:58.052] AN SPEAKER_04
[ 00:03:58.559 -->  00:04:01.799] AO SPEAKER_04
[ 00:04:02.119 -->  00:04:03.739] AP SPEAKER_04
[ 00:04:03.959 -->  00:04:05.140] AQ SPEAKER_04
[ 00:04:05.444 -->  00:04:06.591] AR SPEAKER_04
[ 00:04:07.114 -->  00:04:07.536] AS SPEAKER_04
[ 00:04:08.059 -->  00:04:11.856] AT SPEAKER_04
[ 00:04:12.227 -->  00:04:16.969] AU SPEAKER_04
[ 00:04:17.256 -->  00:04:22.302] AV SPEAKER_04
[ 00:04:22.909 -->  00:04:25.744] AW SPEAKER_04
[ 00:04:26.014 -->  00:04:26.824] AX SPEAKER_04
[ 00:04:27.111 -->  00:04:31.802] AY SPEAKER_04
[ 00:04:32.089 -->  00:04:37.506] AZ SPEAKER_04
[ 00:04:38.130 -->  00:04:38.569] BA SPEAKER_04
[ 00:04:38.907 -->  00:04:39.734] BB SPEAKER_04
[ 00:04:40.257 -->  00:04:47.361] BC SPEAKER_04
[ 00:04:47.665 -->  00:04:50.584] BD SPEAKER_04
[ 00:04:50.820 -->  00:04:55.360] BE SPEAKER_04
[ 00:04:55.815 -->  00:04:56.811] BF SPEAKER_04
[ 00:04:56.997 -->  00:04:58.009] BG SPEAKER_04
[ 00:04:58.178 -->  00:04:58.785] BH SPEAKER_04
