[ 00:00:00.030 -->  00:00:01.735] A SPEAKER_03
[ 00:00:02.039 -->  00:00:02.562] B SPEAKER_03
[ 00:00:03.338 -->  00:00:04.401] C SPEAKER_03
[ 00:00:06.021 -->  00:00:06.308] E SPEAKER_03
[ 00:00:06.848 -->  00:00:06.932] G SPEAKER_03
[ 00:00:07.101 -->  00:00:17.024] H SPEAKER_03
[ 00:00:17.243 -->  00:00:17.395] J SPEAKER_03
[ 00:00:50.757 -->  00:01:00.713] L SPEAKER_03
[ 00:01:01.118 -->  00:01:10.230] M SPEAKER_03
[ 00:01:10.568 -->  00:01:27.764] N SPEAKER_03
[ 00:01:30.295 -->  00:01:40.622] O SPEAKER_03
[ 00:01:40.673 -->  00:02:15.030] P SPEAKER_03
[ 00:02:15.554 -->  00:02:33.795] Q SPEAKER_03
[ 00:02:33.846 -->  00:02:36.715] R SPEAKER_03
[ 00:02:38.993 -->  00:02:46.317] S SPEAKER_03
[ 00:02:45.675 -->  00:02:46.047] T SPEAKER_02
[ 00:02:46.671 -->  00:03:00.559] U SPEAKER_03
[ 00:02:47.599 -->  00:02:48.257] V SPEAKER_02
[ 00:03:00.728 -->  00:03:10.347] W SPEAKER_02
[ 00:03:10.431 -->  00:03:22.446] X SPEAKER_03
[ 00:03:21.180 -->  00:03:25.939] Y SPEAKER_02
[ 00:03:23.222 -->  00:03:25.686] Z SPEAKER_03
[ 00:03:25.855 -->  00:03:50.324] AA SPEAKER_03
[ 00:03:26.125 -->  00:03:26.192] AB SPEAKER_02
[ 00:03:50.931 -->  00:03:52.770] AC SPEAKER_03
[ 00:03:53.159 -->  00:03:57.917] AD SPEAKER_02
[ 00:03:58.457 -->  00:03:59.504] AE SPEAKER_02
[ 00:03:59.858 -->  00:04:14.421] AF SPEAKER_02
[ 00:04:14.590 -->  00:04:16.581] AG SPEAKER_02
[ 00:04:17.509 -->  00:04:18.758] AH SPEAKER_02
[ 00:04:19.129 -->  00:04:27.162] AI SPEAKER_02
[ 00:04:27.634 -->  00:04:40.459] AJ SPEAKER_02
[ 00:04:40.864 -->  00:04:41.370] AK SPEAKER_02
[ 00:04:42.130 -->  00:05:02.447] AL SPEAKER_02
[ 00:05:03.595 -->  00:05:37.125] AM SPEAKER_03
[ 00:05:37.446 -->  00:05:43.302] AN SPEAKER_02
[ 00:05:43.572 -->  00:05:59.822] AO SPEAKER_02
[ 00:05:59.957 -->  00:06:17.777] AP SPEAKER_02
[ 00:06:18.756 -->  00:06:24.325] AQ SPEAKER_02
[ 00:06:24.595 -->  00:06:41.183] AR SPEAKER_02
[ 00:06:41.318 -->  00:06:42.027] AS SPEAKER_02
[ 00:06:42.364 -->  00:06:47.882] AT SPEAKER_02
[ 00:06:48.304 -->  00:06:50.633] AU SPEAKER_02
[ 00:06:50.785 -->  00:06:58.750] AV SPEAKER_02
