[ 00:00:00.030 -->  00:00:01.026] A SPEAKER_01
[ 00:00:01.701 -->  00:00:02.174] B SPEAKER_01
[ 00:00:02.579 -->  00:00:03.119] C SPEAKER_01
[ 00:00:05.025 -->  00:00:05.127] E SPEAKER_01
[ 00:00:05.970 -->  00:00:06.021] G SPEAKER_01
[ 00:00:06.190 -->  00:00:16.028] H SPEAKER_01
[ 00:00:16.399 -->  00:00:16.534] J SPEAKER_01
[ 00:00:49.862 -->  00:00:59.835] L SPEAKER_01
[ 00:01:00.207 -->  00:01:09.353] M SPEAKER_01
[ 00:01:09.640 -->  00:01:26.819] N SPEAKER_01
[ 00:01:29.350 -->  00:01:34.665] O SPEAKER_01
[ 00:01:35.273 -->  00:01:42.209] P SPEAKER_01
[ 00:01:42.749 -->  00:02:00.619] Q SPEAKER_01
[ 00:02:00.990 -->  00:02:22.320] R SPEAKER_01
[ 00:02:22.945 -->  00:02:35.399] S SPEAKER_01
[ 00:02:36.293 -->  00:02:48.207] T SPEAKER_01
[ 00:02:48.359 -->  00:02:48.392] U SPEAKER_01
[ 00:02:48.932 -->  00:02:49.101] W SPEAKER_01
[ 00:02:49.101 -->  00:02:49.270] X SPEAKER_03
[ 00:02:49.742 -->  00:02:49.776] Y SPEAKER_01
[ 00:02:50.232 -->  00:02:53.910] Z SPEAKER_01
[ 00:02:54.383 -->  00:02:54.417] AA SPEAKER_03
[ 00:02:54.417 -->  00:03:16.540] AB SPEAKER_01
[ 00:03:17.046 -->  00:03:19.037] AC SPEAKER_03
[ 00:03:19.037 -->  00:03:19.071] AD SPEAKER_01
[ 00:03:19.544 -->  00:03:24.775] AE SPEAKER_01
[ 00:03:24.927 -->  00:03:33.854] AF SPEAKER_03
[ 00:03:34.529 -->  00:03:43.624] AG SPEAKER_03
[ 00:03:43.894 -->  00:03:47.944] AH SPEAKER_03
[ 00:03:48.332 -->  00:03:50.914] AI SPEAKER_03
[ 00:03:51.387 -->  00:03:54.222] AJ SPEAKER_03
[ 00:03:54.390 -->  00:04:00.415] AK SPEAKER_03
[ 00:04:00.837 -->  00:04:02.693] AL SPEAKER_03
[ 00:04:02.879 -->  00:04:06.895] AM SPEAKER_03
[ 00:04:07.182 -->  00:04:08.987] AN SPEAKER_03
[ 00:04:09.291 -->  00:04:10.574] AO SPEAKER_03
[ 00:04:11.097 -->  00:04:12.987] AP SPEAKER_03
[ 00:04:13.442 -->  00:04:16.142] AQ SPEAKER_03
[ 00:04:16.750 -->  00:04:18.387] AR SPEAKER_03
[ 00:04:18.825 -->  00:04:26.436] AS SPEAKER_03
[ 00:04:26.909 -->  00:04:31.887] AT SPEAKER_03
[ 00:04:32.460 -->  00:04:36.375] AU SPEAKER_03
[ 00:04:36.814 -->  00:04:37.759] AV SPEAKER_03
