[ 00:00:00.030 -->  00:00:01.026] A SPEAKER_01
[ 00:00:01.515 -->  00:00:03.979] B SPEAKER_01
[ 00:00:07.287 -->  00:00:17.665] E SPEAKER_01
[ 00:00:50.959 -->  00:01:00.932] G SPEAKER_01
[ 00:01:01.304 -->  00:01:10.433] H SPEAKER_01
[ 00:01:10.754 -->  00:01:27.932] I SPEAKER_01
[ 00:01:30.565 -->  00:02:27.484] J SPEAKER_01
[ 00:02:29.712 -->  00:02:42.537] K SPEAKER_01
[ 00:02:42.975 -->  00:02:44.849] L SPEAKER_03
[ 00:02:45.422 -->  00:03:00.188] M SPEAKER_01
[ 00:03:00.576 -->  00:03:07.984] N SPEAKER_03
[ 00:03:08.355 -->  00:03:09.722] O SPEAKER_03
[ 00:03:09.975 -->  00:03:19.054] P SPEAKER_03
[ 00:03:19.105 -->  00:03:19.814] Q SPEAKER_03
[ 00:03:19.965 -->  00:03:21.585] R SPEAKER_03
[ 00:03:21.839 -->  00:03:29.280] S SPEAKER_03
[ 00:03:29.500 -->  00:03:33.634] T SPEAKER_03
[ 00:03:33.972 -->  00:03:37.262] U SPEAKER_03
[ 00:03:37.634 -->  00:03:45.278] V SPEAKER_03
[ 00:03:45.599 -->  00:03:52.399] W SPEAKER_03
[ 00:03:52.467 -->  00:03:55.369] X SPEAKER_03
[ 00:03:55.774 -->  00:03:57.968] Y SPEAKER_03
[ 00:03:58.508 -->  00:03:59.740] Z SPEAKER_03
[ 00:04:00.212 -->  00:04:03.689] AA SPEAKER_03
[ 00:04:04.094 -->  00:04:06.389] AB SPEAKER_03
[ 00:04:06.557 -->  00:04:10.489] AC SPEAKER_03
[ 00:04:11.063 -->  00:04:16.227] AD SPEAKER_01
[ 00:04:16.750 -->  00:04:25.997] AE SPEAKER_03
[ 00:04:26.200 -->  00:04:39.767] AF SPEAKER_03
[ 00:04:40.004 -->  00:04:42.366] AG SPEAKER_03
[ 00:04:42.636 -->  00:04:44.408] AH SPEAKER_03
[ 00:04:44.745 -->  00:04:46.737] AI SPEAKER_03
[ 00:04:47.175 -->  00:04:49.521] AJ SPEAKER_03
[ 00:04:49.825 -->  00:04:53.183] AK SPEAKER_03
[ 00:04:53.757 -->  00:04:55.292] AL SPEAKER_03
[ 00:04:55.714 -->  00:04:58.819] AM SPEAKER_03
[ 00:04:59.123 -->  00:05:00.979] AN SPEAKER_03
[ 00:05:01.165 -->  00:05:06.514] AO SPEAKER_03
[ 00:05:06.970 -->  00:05:09.670] AP SPEAKER_03
[ 00:05:09.805 -->  00:05:18.850] AQ SPEAKER_03
[ 00:05:19.255 -->  00:05:28.047] AR SPEAKER_03
[ 00:05:28.418 -->  00:05:31.945] AT SPEAKER_03
[ 00:05:32.147 -->  00:05:39.555] AU SPEAKER_03
[ 00:05:39.960 -->  00:05:41.884] AV SPEAKER_03
[ 00:05:42.289 -->  00:05:44.972] AW SPEAKER_03
[ 00:05:45.209 -->  00:05:46.002] AX SPEAKER_03
[ 00:05:46.339 -->  00:05:54.962] AY SPEAKER_03
