[ 00:00:00.030 -->  00:00:03.760] A SPEAKER_01
[ 00:00:06.983 -->  00:00:17.277] C SPEAKER_01
[ 00:00:50.655 -->  00:01:00.595] E SPEAKER_01
[ 00:01:01.017 -->  00:01:10.349] F SPEAKER_01
[ 00:01:10.382 -->  00:01:27.629] G SPEAKER_01
[ 00:01:30.177 -->  00:02:36.630] H SPEAKER_01
[ 00:02:38.959 -->  00:02:42.570] I SPEAKER_01
[ 00:02:43.043 -->  00:02:45.557] J SPEAKER_03
[ 00:02:46.064 -->  00:03:25.686] K SPEAKER_01
[ 00:03:26.024 -->  00:03:31.862] L SPEAKER_03
[ 00:03:32.082 -->  00:03:40.283] M SPEAKER_03
[ 00:03:40.806 -->  00:04:03.638] N SPEAKER_03
[ 00:04:03.908 -->  00:04:05.528] O SPEAKER_03
[ 00:04:05.595 -->  00:04:21.441] P SPEAKER_03
[ 00:04:21.947 -->  00:04:29.305] Q SPEAKER_03
[ 00:04:29.659 -->  00:04:36.915] R SPEAKER_01
[ 00:04:37.388 -->  00:05:05.468] S SPEAKER_03
[ 00:05:05.670 -->  00:05:12.083] T SPEAKER_03
[ 00:05:12.319 -->  00:05:17.500] U SPEAKER_03
[ 00:05:17.736 -->  00:05:32.046] V SPEAKER_03
[ 00:05:32.232 -->  00:05:36.332] W SPEAKER_03
[ 00:05:36.687 -->  00:05:37.227] X SPEAKER_03
[ 00:05:37.615 -->  00:06:09.374] Y SPEAKER_01
[ 00:06:09.711 -->  00:06:10.167] Z SPEAKER_03
[ 00:06:10.454 -->  00:06:14.790] AA SPEAKER_03
[ 00:06:15.044 -->  00:06:20.072] AB SPEAKER_03
[ 00:06:20.427 -->  00:06:23.498] AC SPEAKER_03
[ 00:06:23.532 -->  00:07:02.817] AD SPEAKER_03
[ 00:07:03.441 -->  00:07:13.313] AE SPEAKER_03
[ 00:07:13.667 -->  00:07:30.036] AF SPEAKER_03
[ 00:07:30.340 -->  00:07:38.879] AG SPEAKER_03
[ 00:07:38.946 -->  00:07:42.625] AH SPEAKER_03
[ 00:07:42.895 -->  00:07:45.055] AI SPEAKER_03
[ 00:07:45.257 -->  00:07:47.451] AJ SPEAKER_03
[ 00:07:47.974 -->  00:08:00.985] AK SPEAKER_03
[ 00:08:01.508 -->  00:08:39.612] AL SPEAKER_01
[ 00:08:40.000 -->  00:08:42.396] AM SPEAKER_03
[ 00:08:42.784 -->  00:08:44.050] AN SPEAKER_03
[ 00:08:44.134 -->  00:08:51.053] AO SPEAKER_03
[ 00:08:51.222 -->  00:10:04.932] AP SPEAKER_03
[ 00:10:05.168 -->  00:10:06.872] AQ SPEAKER_03
[ 00:10:06.923 -->  00:11:10.052] AR SPEAKER_03
[ 00:11:10.086 -->  00:12:08.693] AS SPEAKER_03
[ 00:12:09.115 -->  00:12:28.015] AT SPEAKER_01
[ 00:12:28.521 -->  00:12:33.668] AU SPEAKER_03
[ 00:12:33.870 -->  00:13:13.425] AV SPEAKER_03
[ 00:13:13.780 -->  00:13:14.455] AW SPEAKER_03
[ 00:13:14.674 -->  00:13:16.665] AX SPEAKER_03
[ 00:13:16.935 -->  00:13:20.715] AY SPEAKER_03
[ 00:13:20.969 -->  00:13:21.812] AZ SPEAKER_03
[ 00:13:22.184 -->  00:13:25.609] BA SPEAKER_03
[ 00:13:25.980 -->  00:13:27.398] BB SPEAKER_03
[ 00:13:27.584 -->  00:13:39.599] BC SPEAKER_03
[ 00:13:39.750 -->  00:13:43.598] BD SPEAKER_03
[ 00:13:43.935 -->  00:13:53.554] BE SPEAKER_03
[ 00:13:53.807 -->  00:13:54.668] BF SPEAKER_03
[ 00:13:54.955 -->  00:13:57.030] BG SPEAKER_03
[ 00:13:57.182 -->  00:14:00.186] BH SPEAKER_03
[ 00:14:00.439 -->  00:14:01.620] BI SPEAKER_03
[ 00:14:02.009 -->  00:14:03.072] BJ SPEAKER_03
[ 00:14:03.342 -->  00:14:04.506] BK SPEAKER_03
[ 00:14:04.692 -->  00:14:09.383] BL SPEAKER_03
[ 00:14:09.602 -->  00:14:12.117] BM SPEAKER_03
[ 00:14:12.336 -->  00:14:27.338] BN SPEAKER_03
[ 00:14:27.945 -->  00:14:44.922] BO SPEAKER_01
[ 00:14:45.546 -->  00:14:51.638] BP SPEAKER_03
[ 00:14:51.959 -->  00:14:52.988] BQ SPEAKER_03
[ 00:14:53.072 -->  00:15:14.335] BR SPEAKER_03
[ 00:15:14.470 -->  00:15:36.745] BS SPEAKER_03
[ 00:15:36.812 -->  00:16:01.298] BT SPEAKER_03
[ 00:16:01.889 -->  00:16:08.250] BU SPEAKER_03
[ 00:16:08.504 -->  00:16:15.591] BV SPEAKER_03
[ 00:16:15.962 -->  00:16:34.373] BW SPEAKER_03
[ 00:16:34.896 -->  00:16:55.146] BX SPEAKER_01
[ 00:16:55.585 -->  00:17:08.646] BY SPEAKER_03
[ 00:17:08.781 -->  00:17:12.089] BZ SPEAKER_03
[ 00:17:12.696 -->  00:17:17.084] CA SPEAKER_03
[ 00:17:17.354 -->  00:18:13.176] CB SPEAKER_03
[ 00:18:13.598 -->  00:18:17.614] CC SPEAKER_03
[ 00:18:17.969 -->  00:18:19.538] CD SPEAKER_03
[ 00:18:19.707 -->  00:18:20.584] CE SPEAKER_03
[ 00:18:20.837 -->  00:18:24.702] CF SPEAKER_03
[ 00:18:24.870 -->  00:18:26.187] CG SPEAKER_03
[ 00:18:26.575 -->  00:18:27.149] CH SPEAKER_03
[ 00:18:27.452 -->  00:18:31.435] CI SPEAKER_03
[ 00:18:31.671 -->  00:18:35.164] CJ SPEAKER_03
[ 00:18:35.485 -->  00:18:37.965] CK SPEAKER_03
[ 00:18:38.084 -->  00:18:59.160] CL SPEAKER_03
[ 00:18:59.532 -->  00:19:05.927] CM SPEAKER_03
[ 00:19:06.197 -->  00:19:17.132] CN SPEAKER_03
[ 00:19:17.622 -->  00:19:28.135] CO SPEAKER_01
[ 00:19:28.557 -->  00:19:29.620] CP SPEAKER_03
[ 00:19:30.025 -->  00:19:37.315] CQ SPEAKER_03
[ 00:19:37.585 -->  00:19:39.947] CR SPEAKER_03
[ 00:19:40.285 -->  00:19:41.230] CS SPEAKER_03
[ 00:19:41.500 -->  00:20:06.728] CT SPEAKER_03
[ 00:20:07.133 -->  00:20:07.673] CU SPEAKER_03
[ 00:20:07.808 -->  00:21:52.298] CV SPEAKER_03
[ 00:21:52.686 -->  00:22:09.983] CW SPEAKER_01
[ 00:22:10.304 -->  00:22:31.954] CX SPEAKER_03
[ 00:22:32.258 -->  00:22:36.308] CY SPEAKER_03
[ 00:22:36.831 -->  00:22:38.164] CZ SPEAKER_03
[ 00:22:38.451 -->  00:22:42.653] DA SPEAKER_03
[ 00:22:42.872 -->  00:22:53.369] DB SPEAKER_03
[ 00:22:53.639 -->  00:22:55.630] DC SPEAKER_03
[ 00:22:56.069 -->  00:23:50.389] DD SPEAKER_03
[ 00:23:50.609 -->  00:24:02.742] DE SPEAKER_03
[ 00:24:03.180 -->  00:24:19.262] DF SPEAKER_01
[ 00:24:19.532 -->  00:24:20.055] DG SPEAKER_03
[ 00:24:20.359 -->  00:24:25.034] DH SPEAKER_03
[ 00:24:25.523 -->  00:24:52.439] DI SPEAKER_03
[ 00:24:52.607 -->  00:25:06.293] DJ SPEAKER_03
[ 00:25:06.344 -->  00:25:07.322] DK SPEAKER_03
[ 00:25:07.407 -->  00:25:19.557] DL SPEAKER_03
[ 00:25:19.810 -->  00:25:20.603] DM SPEAKER_03
[ 00:25:20.755 -->  00:25:23.657] DN SPEAKER_03
[ 00:25:23.910 -->  00:25:32.027] DO SPEAKER_03
[ 00:25:32.061 -->  00:25:36.617] DP SPEAKER_03
[ 00:25:36.702 -->  00:25:41.646] DQ SPEAKER_03
[ 00:25:41.933 -->  00:25:54.522] DR SPEAKER_03
[ 00:25:54.775 -->  00:26:31.495] DS SPEAKER_03
[ 00:26:32.102 -->  00:26:33.857] DT SPEAKER_03
[ 00:26:34.043 -->  00:26:42.767] DU SPEAKER_03
[ 00:26:43.105 -->  00:26:43.712] DV SPEAKER_03
[ 00:26:43.965 -->  00:26:47.189] DW SPEAKER_03
[ 00:26:47.459 -->  00:26:50.445] DX SPEAKER_03
[ 00:26:50.901 -->  00:26:54.225] DY SPEAKER_03
[ 00:26:54.563 -->  00:27:18.087] DZ SPEAKER_03
[ 00:27:18.205 -->  00:27:20.129] EA SPEAKER_03
[ 00:27:20.365 -->  00:27:25.174] EB SPEAKER_03
[ 00:27:25.579 -->  00:27:26.339] EC SPEAKER_03
[ 00:27:26.575 -->  00:27:30.068] ED SPEAKER_03
[ 00:27:30.321 -->  00:27:32.684] EE SPEAKER_03
