[ 00:00:00.030 -->  00:00:03.135] A SPEAKER_01
[ 00:00:04.030 -->  00:00:06.004] C SPEAKER_01
[ 00:00:06.139 -->  00:00:16.028] D SPEAKER_01
[ 00:00:16.365 -->  00:00:16.517] F SPEAKER_01
[ 00:00:49.829 -->  00:00:59.785] H SPEAKER_01
[ 00:01:00.190 -->  00:01:09.302] I SPEAKER_01
[ 00:01:09.640 -->  00:01:26.954] J SPEAKER_01
[ 00:01:29.384 -->  00:02:22.776] K SPEAKER_01
[ 00:02:24.801 -->  00:02:51.261] L SPEAKER_01
[ 00:02:51.531 -->  00:03:00.002] M SPEAKER_02
[ 00:03:00.424 -->  00:03:21.974] N SPEAKER_01
[ 00:03:22.328 -->  00:06:08.732] O SPEAKER_02
[ 00:06:08.850 -->  00:06:43.242] P SPEAKER_02
[ 00:06:43.292 -->  00:07:51.366] R SPEAKER_02
[ 00:07:51.704 -->  00:07:55.703] S SPEAKER_02
[ 00:07:55.838 -->  00:09:04.452] T SPEAKER_02
[ 00:09:04.907 -->  00:09:30.051] U SPEAKER_01
[ 00:09:30.389 -->  00:11:04.787] V SPEAKER_02
[ 00:11:06.644 -->  00:11:15.773] W SPEAKER_01
[ 00:11:16.195 -->  00:11:19.418] X SPEAKER_02
[ 00:11:19.722 -->  00:12:10.954] Y SPEAKER_02
[ 00:12:11.258 -->  00:12:17.924] Z SPEAKER_02
[ 00:12:18.075 -->  00:12:39.625] AA SPEAKER_02
[ 00:12:39.861 -->  00:12:42.510] AB SPEAKER_02
[ 00:12:43.388 -->  00:12:47.354] AC SPEAKER_01
[ 00:12:47.910 -->  00:13:32.899] AD SPEAKER_02
[ 00:13:34.013 -->  00:13:55.849] AE SPEAKER_01
[ 00:13:56.474 -->  00:15:35.530] AF SPEAKER_02
[ 00:15:35.614 -->  00:15:51.308] AG SPEAKER_02
[ 00:15:51.662 -->  00:16:08.099] AH SPEAKER_02
[ 00:16:08.335 -->  00:16:12.824] AI SPEAKER_02
[ 00:16:13.262 -->  00:16:18.510] AJ SPEAKER_01
[ 00:16:19.236 -->  00:16:23.117] AK SPEAKER_02
[ 00:16:23.185 -->  00:17:09.844] AL SPEAKER_02
[ 00:17:10.097 -->  00:17:39.274] AM SPEAKER_02
[ 00:17:39.696 -->  00:18:38.084] AN SPEAKER_02
[ 00:18:38.185 -->  00:18:44.429] AO SPEAKER_02
[ 00:18:44.648 -->  00:19:52.924] AP SPEAKER_02
[ 00:19:53.363 -->  00:20:29.037] AQ SPEAKER_02
[ 00:20:29.577 -->  00:20:59.850] AR SPEAKER_01
[ 00:21:00.222 -->  00:21:18.345] AS SPEAKER_02
[ 00:21:18.464 -->  00:22:24.344] AT SPEAKER_02
[ 00:22:24.681 -->  00:22:46.095] AU SPEAKER_02
[ 00:22:46.602 -->  00:23:14.783] AV SPEAKER_01
[ 00:23:15.154 -->  00:23:53.899] AW SPEAKER_02
[ 00:23:54.102 -->  00:24:05.796] AX SPEAKER_02
[ 00:24:05.914 -->  00:25:01.416] AY SPEAKER_02
[ 00:25:01.433 -->  00:25:08.487] AZ SPEAKER_02
[ 00:25:08.655 -->  00:25:11.305] BA SPEAKER_02
[ 00:25:11.423 -->  00:25:11.895] BB SPEAKER_02
[ 00:25:12.115 -->  00:25:24.889] BC SPEAKER_02
[ 00:25:25.210 -->  00:25:26.830] BD SPEAKER_02
[ 00:25:26.847 -->  00:25:27.488] BE SPEAKER_02
[ 00:25:27.674 -->  00:25:36.685] BF SPEAKER_02
[ 00:25:36.904 -->  00:25:46.759] BG SPEAKER_02
[ 00:25:46.793 -->  00:26:00.985] BH SPEAKER_02
[ 00:26:01.255 -->  00:26:13.523] BI SPEAKER_02
[ 00:26:13.844 -->  00:26:44.674] BJ SPEAKER_01
[ 00:26:45.113 -->  00:26:49.146] BK SPEAKER_02
[ 00:26:49.365 -->  00:27:47.129] BL SPEAKER_02
[ 00:27:47.399 -->  00:28:07.176] BM SPEAKER_02
[ 00:28:07.632 -->  00:28:28.590] BN SPEAKER_01
[ 00:28:28.962 -->  00:29:07.690] BO SPEAKER_02
[ 00:29:07.740 -->  00:29:07.791] BP SPEAKER_02
[ 00:29:07.909 -->  00:29:23.468] BQ SPEAKER_02
[ 00:29:24.075 -->  00:30:17.164] BR SPEAKER_02
[ 00:30:17.535 -->  00:30:26.985] BS SPEAKER_01
[ 00:30:27.390 -->  00:30:33.938] BT SPEAKER_02
[ 00:30:34.191 -->  00:30:36.115] BU SPEAKER_02
[ 00:30:36.503 -->  00:30:42.004] BV SPEAKER_02
[ 00:30:42.139 -->  00:30:43.455] BW SPEAKER_02
[ 00:30:43.911 -->  00:31:47.412] BX SPEAKER_02
