[ 00:00:00.030 -->  00:00:00.047] A SPEAKER_02
[ 00:00:00.132 -->  00:00:01.026] B SPEAKER_02
[ 00:00:01.650 -->  00:00:04.384] C SPEAKER_02
[ 00:00:04.890 -->  00:00:05.245] D SPEAKER_02
[ 00:00:05.852 -->  00:00:05.987] F SPEAKER_02
[ 00:00:08.485 -->  00:00:18.812] I SPEAKER_02
[ 00:00:52.157 -->  00:01:02.130] K SPEAKER_02
[ 00:01:02.519 -->  00:01:11.749] L SPEAKER_02
[ 00:01:11.884 -->  00:01:29.097] M SPEAKER_02
[ 00:01:31.695 -->  00:01:36.792] N SPEAKER_02
[ 00:01:37.332 -->  00:01:45.955] O SPEAKER_02
[ 00:01:46.174 -->  00:02:20.363] P SPEAKER_02
[ 00:02:20.768 -->  00:02:32.817] Q SPEAKER_02
[ 00:02:34.892 -->  00:02:54.180] R SPEAKER_02
[ 00:02:54.299 -->  00:02:54.839] S SPEAKER_02
[ 00:02:54.839 -->  00:02:54.906] T SPEAKER_04
[ 00:02:54.906 -->  00:02:54.974] U SPEAKER_02
[ 00:02:54.974 -->  00:03:00.087] V SPEAKER_04
[ 00:03:00.272 -->  00:03:04.154] W SPEAKER_04
[ 00:03:04.491 -->  00:03:09.132] X SPEAKER_04
[ 00:03:09.402 -->  00:03:39.945] Y SPEAKER_02
[ 00:03:40.418 -->  00:03:46.425] Z SPEAKER_04
[ 00:03:46.814 -->  00:03:47.573] AA SPEAKER_04
[ 00:03:48.299 -->  00:03:52.720] AB SPEAKER_04
[ 00:03:53.412 -->  00:03:54.272] AC SPEAKER_04
[ 00:03:54.880 -->  00:04:04.245] AD SPEAKER_04
[ 00:04:04.482 -->  00:04:08.498] AE SPEAKER_04
[ 00:04:08.937 -->  00:04:09.713] AF SPEAKER_04
[ 00:04:10.152 -->  00:04:18.387] AG SPEAKER_04
[ 00:04:18.690 -->  00:04:19.534] AH SPEAKER_04
[ 00:04:19.956 -->  00:04:21.779] AI SPEAKER_04
[ 00:04:22.150 -->  00:04:32.376] AJ SPEAKER_04
[ 00:04:33.000 -->  00:04:34.266] AK SPEAKER_04
[ 00:04:34.671 -->  00:04:38.552] AL SPEAKER_04
[ 00:04:38.721 -->  00:04:42.957] AM SPEAKER_04
[ 00:04:43.480 -->  00:04:51.580] AN SPEAKER_04
[ 00:04:51.968 -->  00:05:01.249] AO SPEAKER_04
[ 00:05:01.975 -->  00:05:04.827] AP SPEAKER_04
[ 00:05:04.995 -->  00:05:06.295] AQ SPEAKER_04
[ 00:05:06.531 -->  00:05:08.624] AR SPEAKER_04
[ 00:05:08.860 -->  00:05:10.699] AS SPEAKER_04
[ 00:05:11.121 -->  00:05:12.134] AT SPEAKER_04
[ 00:05:12.252 -->  00:05:14.918] AU SPEAKER_04
[ 00:05:15.053 -->  00:05:25.499] AV SPEAKER_04
[ 00:05:25.769 -->  00:05:28.249] AX SPEAKER_04
[ 00:05:28.384 -->  00:05:29.937] AY SPEAKER_04
[ 00:05:30.156 -->  00:05:38.526] AZ SPEAKER_04
[ 00:05:38.661 -->  00:05:48.077] BA SPEAKER_04
[ 00:05:48.432 -->  00:06:06.606] BB SPEAKER_04
[ 00:06:06.859 -->  00:06:11.095] BC SPEAKER_04
[ 00:06:11.483 -->  00:06:16.107] BD SPEAKER_04
[ 00:06:16.630 -->  00:06:43.917] BE SPEAKER_02
[ 00:06:21.068 -->  00:06:21.878] BF SPEAKER_04
[ 00:06:44.406 -->  00:06:51.190] BG SPEAKER_04
[ 00:06:51.510 -->  00:07:00.049] BH SPEAKER_04
[ 00:07:00.522 -->  00:07:02.209] BI SPEAKER_04
[ 00:07:02.631 -->  00:07:07.930] BJ SPEAKER_04
