[ 00:00:00.030 -->  00:00:00.047] A SPEAKER_00
[ 00:00:00.182 -->  00:00:01.026] B SPEAKER_00
[ 00:00:01.718 -->  00:00:05.734] C SPEAKER_00
[ 00:00:06.207 -->  00:00:06.882] D SPEAKER_00
[ 00:00:07.219 -->  00:00:07.911] F SPEAKER_00
[ 00:00:08.029 -->  00:00:08.147] H SPEAKER_00
[ 00:00:08.215 -->  00:00:08.400] J SPEAKER_00
[ 00:00:08.603 -->  00:00:08.670] L SPEAKER_00
[ 00:00:08.907 -->  00:00:19.268] N SPEAKER_00
[ 00:00:52.596 -->  00:01:02.519] P SPEAKER_00
[ 00:01:02.957 -->  00:01:29.552] Q SPEAKER_00
[ 00:01:32.151 -->  00:01:38.209] R SPEAKER_00
[ 00:01:38.530 -->  00:02:10.710] S SPEAKER_00
[ 00:02:12.820 -->  00:02:38.031] T SPEAKER_00
[ 00:02:38.520 -->  00:02:39.752] U SPEAKER_02
[ 00:02:40.174 -->  00:02:40.782] V SPEAKER_02
[ 00:02:41.254 -->  00:02:45.017] W SPEAKER_02
[ 00:02:45.237 -->  00:02:46.705] X SPEAKER_02
[ 00:02:47.329 -->  00:02:49.506] Y SPEAKER_02
[ 00:02:49.995 -->  00:02:51.312] Z SPEAKER_02
[ 00:02:51.734 -->  00:02:52.493] AA SPEAKER_02
[ 00:02:53.100 -->  00:02:53.539] AB SPEAKER_02
[ 00:02:54.197 -->  00:02:56.172] AC SPEAKER_02
[ 00:02:56.594 -->  00:02:57.252] AD SPEAKER_02
[ 00:02:57.404 -->  00:02:58.619] AE SPEAKER_02
[ 00:02:59.192 -->  00:03:01.605] AF SPEAKER_02
[ 00:03:02.010 -->  00:03:02.770] AG SPEAKER_02
[ 00:03:02.972 -->  00:03:03.647] AH SPEAKER_02
[ 00:03:04.221 -->  00:03:08.322] AI SPEAKER_02
[ 00:03:08.693 -->  00:03:12.152] AJ SPEAKER_02
[ 00:03:12.574 -->  00:03:16.607] AK SPEAKER_02
[ 00:03:16.995 -->  00:03:19.122] AL SPEAKER_02
[ 00:03:19.425 -->  00:03:19.695] AM SPEAKER_02
[ 00:03:20.033 -->  00:03:22.649] AN SPEAKER_02
[ 00:03:23.054 -->  00:03:23.594] AO SPEAKER_02
[ 00:03:24.015 -->  00:03:25.534] AP SPEAKER_02
[ 00:03:25.939 -->  00:03:36.402] AQ SPEAKER_02
[ 00:03:36.621 -->  00:03:37.380] AR SPEAKER_02
[ 00:03:37.802 -->  00:03:39.034] AS SPEAKER_02
[ 00:03:39.119 -->  00:03:39.945] AT SPEAKER_02
[ 00:03:40.334 -->  00:03:42.780] AU SPEAKER_02
[ 00:03:42.814 -->  00:03:45.109] AV SPEAKER_02
[ 00:03:45.514 -->  00:03:46.932] AW SPEAKER_02
[ 00:03:46.965 -->  00:03:46.982] AX SPEAKER_02
[ 00:03:46.999 -->  00:03:47.033] AY SPEAKER_02
[ 00:03:47.100 -->  00:03:47.995] AZ SPEAKER_02
[ 00:03:48.400 -->  00:03:49.345] BA SPEAKER_02
[ 00:03:49.480 -->  00:03:50.121] BB SPEAKER_02
[ 00:03:50.492 -->  00:03:52.062] BC SPEAKER_02
[ 00:03:52.214 -->  00:03:54.188] BD SPEAKER_02
[ 00:03:54.458 -->  00:03:56.095] BE SPEAKER_02
[ 00:03:56.500 -->  00:03:57.546] BF SPEAKER_02
[ 00:03:57.765 -->  00:03:58.626] BG SPEAKER_02
[ 00:03:58.980 -->  00:04:05.190] BH SPEAKER_02
[ 00:04:05.427 -->  00:04:07.688] BI SPEAKER_02
[ 00:04:07.958 -->  00:04:12.075] BJ SPEAKER_02
[ 00:04:12.430 -->  00:04:14.826] BK SPEAKER_02
[ 00:04:15.164 -->  00:04:16.851] BL SPEAKER_02
[ 00:04:17.391 -->  00:04:21.458] BM SPEAKER_02
[ 00:04:22.015 -->  00:04:29.642] BN SPEAKER_02
[ 00:04:30.165 -->  00:04:31.026] BO SPEAKER_00
[ 00:04:31.634 -->  00:04:34.536] BP SPEAKER_02
[ 00:04:35.397 -->  00:04:36.645] BQ SPEAKER_00
[ 00:04:36.797 -->  00:04:38.130] BR SPEAKER_02
[ 00:04:38.468 -->  00:04:58.735] BS SPEAKER_00
[ 00:04:59.275 -->  00:05:02.110] BT SPEAKER_02
[ 00:05:02.346 -->  00:05:07.611] BU SPEAKER_02
[ 00:05:07.797 -->  00:05:08.404] BV SPEAKER_02
[ 00:05:08.927 -->  00:05:10.767] BW SPEAKER_02
[ 00:05:10.952 -->  00:05:12.471] BX SPEAKER_02
[ 00:05:12.825 -->  00:05:14.226] BY SPEAKER_02
[ 00:05:14.361 -->  00:05:15.863] BZ SPEAKER_02
[ 00:05:16.302 -->  00:05:17.550] CA SPEAKER_02
[ 00:05:17.837 -->  00:05:18.782] CB SPEAKER_02
[ 00:05:19.137 -->  00:05:20.959] CC SPEAKER_02
[ 00:05:21.263 -->  00:05:21.938] CD SPEAKER_02
[ 00:05:22.360 -->  00:05:23.980] CE SPEAKER_02
[ 00:05:24.334 -->  00:05:26.123] CF SPEAKER_02
[ 00:05:26.325 -->  00:05:29.009] CG SPEAKER_02
[ 00:05:29.498 -->  00:05:31.776] CH SPEAKER_02
[ 00:05:32.097 -->  00:05:33.042] CI SPEAKER_02
[ 00:05:33.329 -->  00:05:34.459] CJ SPEAKER_02
[ 00:05:34.814 -->  00:05:49.664] CK SPEAKER_02
[ 00:05:49.731 -->  00:05:52.448] CL SPEAKER_02
[ 00:05:52.802 -->  00:05:54.203] CM SPEAKER_02
[ 00:05:54.389 -->  00:05:55.907] CN SPEAKER_02
[ 00:05:56.245 -->  00:05:58.253] CO SPEAKER_02
[ 00:05:58.506 -->  00:05:59.957] CP SPEAKER_02
[ 00:06:00.261 -->  00:06:01.729] CQ SPEAKER_02
[ 00:06:02.016 -->  00:06:02.455] CR SPEAKER_02
[ 00:06:02.792 -->  00:06:06.032] CS SPEAKER_02
[ 00:06:06.319 -->  00:06:09.559] CT SPEAKER_02
[ 00:06:09.779 -->  00:06:13.238] CU SPEAKER_02
[ 00:06:13.491 -->  00:06:16.815] CV SPEAKER_02
[ 00:06:17.254 -->  00:06:29.944] CW SPEAKER_00
[ 00:06:30.518 -->  00:06:35.209] CX SPEAKER_02
[ 00:06:35.631 -->  00:06:42.904] CY SPEAKER_02
[ 00:06:43.444 -->  00:06:46.499] CZ SPEAKER_02
[ 00:06:46.583 -->  00:06:55.189] DA SPEAKER_02
[ 00:06:56.235 -->  00:07:01.365] DB SPEAKER_00
[ 00:07:01.855 -->  00:07:24.417] DC SPEAKER_02
[ 00:07:24.805 -->  00:07:26.543] DD SPEAKER_00
[ 00:07:27.032 -->  00:07:31.335] DE SPEAKER_02
[ 00:07:31.707 -->  00:07:36.600] DF SPEAKER_02
[ 00:07:36.870 -->  00:07:39.739] DG SPEAKER_02
[ 00:07:39.942 -->  00:07:42.996] DH SPEAKER_02
[ 00:07:43.452 -->  00:08:06.250] DI SPEAKER_00
[ 00:08:06.368 -->  00:08:12.713] DJ SPEAKER_00
[ 00:08:13.253 -->  00:08:14.114] DK SPEAKER_02
[ 00:08:14.519 -->  00:08:18.535] DL SPEAKER_02
[ 00:08:18.805 -->  00:08:23.597] DM SPEAKER_02
[ 00:08:23.867 -->  00:08:28.930] DN SPEAKER_02
[ 00:08:29.301 -->  00:08:39.831] DO SPEAKER_02
[ 00:08:40.135 -->  00:08:42.210] DP SPEAKER_02
[ 00:08:42.801 -->  00:08:44.404] DQ SPEAKER_02
[ 00:08:44.742 -->  00:08:47.627] DR SPEAKER_02
[ 00:08:48.218 -->  00:08:49.939] DS SPEAKER_02
[ 00:08:50.226 -->  00:08:51.475] DT SPEAKER_02
[ 00:08:51.762 -->  00:08:52.875] DU SPEAKER_02
[ 00:08:52.977 -->  00:08:53.027] DV SPEAKER_02
[ 00:08:53.095 -->  00:08:54.749] DW SPEAKER_02
[ 00:08:54.951 -->  00:08:55.035] DX SPEAKER_02
[ 00:08:55.086 -->  00:08:56.537] DY SPEAKER_02
[ 00:08:56.588 -->  00:09:00.098] DZ SPEAKER_02
[ 00:09:00.402 -->  00:09:04.030] EA SPEAKER_02
[ 00:09:04.165 -->  00:09:04.469] EB SPEAKER_02
[ 00:09:04.772 -->  00:09:09.160] EC SPEAKER_02
[ 00:09:09.531 -->  00:09:11.303] ED SPEAKER_02
[ 00:09:11.708 -->  00:09:12.889] EE SPEAKER_02
[ 00:09:13.058 -->  00:09:18.525] EF SPEAKER_02
[ 00:09:18.998 -->  00:09:22.575] EG SPEAKER_02
[ 00:09:23.031 -->  00:09:25.444] EH SPEAKER_02
[ 00:09:25.680 -->  00:09:29.697] EI SPEAKER_02
[ 00:09:30.237 -->  00:09:32.785] EJ SPEAKER_02
[ 00:09:32.970 -->  00:09:34.574] EK SPEAKER_02
[ 00:09:34.658 -->  00:09:36.514] EL SPEAKER_02
[ 00:09:36.531 -->  00:09:38.337] EM SPEAKER_02
[ 00:09:38.590 -->  00:09:40.851] EN SPEAKER_02
[ 00:09:41.610 -->  00:09:46.032] EO SPEAKER_02
[ 00:09:46.538 -->  00:09:49.980] EP SPEAKER_02
[ 00:09:50.487 -->  00:10:30.632] EQ SPEAKER_00
[ 00:10:31.020 -->  00:10:33.045] ER SPEAKER_02
[ 00:10:33.484 -->  00:10:37.197] ES SPEAKER_02
[ 00:10:37.770 -->  00:10:44.402] ET SPEAKER_02
[ 00:10:44.925 -->  00:10:52.047] EU SPEAKER_02
[ 00:10:52.350 -->  00:10:53.565] EV SPEAKER_02
[ 00:10:53.819 -->  00:10:54.797] EW SPEAKER_02
[ 00:10:55.253 -->  00:10:56.502] EX SPEAKER_02
[ 00:10:56.856 -->  00:11:08.129] EY SPEAKER_02
[ 00:11:08.280 -->  00:11:11.352] EZ SPEAKER_02
[ 00:11:11.470 -->  00:11:17.933] FA SPEAKER_02
[ 00:11:18.389 -->  00:11:24.059] FB SPEAKER_02
[ 00:11:24.497 -->  00:11:29.914] FC SPEAKER_02
[ 00:11:30.454 -->  00:11:56.391] FD SPEAKER_00
[ 00:11:56.813 -->  00:12:06.381] FE SPEAKER_02
[ 00:12:06.719 -->  00:12:07.799] FF SPEAKER_02
[ 00:12:08.035 -->  00:12:11.663] FG SPEAKER_02
[ 00:12:11.714 -->  00:12:13.452] FH SPEAKER_02
[ 00:12:13.806 -->  00:12:17.654] FI SPEAKER_02
[ 00:12:17.940 -->  00:12:19.274] FJ SPEAKER_02
[ 00:12:19.560 -->  00:12:23.627] FK SPEAKER_02
[ 00:12:23.999 -->  00:12:25.433] FL SPEAKER_02
[ 00:12:25.534 -->  00:12:29.145] FM SPEAKER_02
[ 00:12:29.635 -->  00:12:34.748] FN SPEAKER_02
[ 00:12:35.085 -->  00:12:36.300] FO SPEAKER_02
[ 00:12:36.689 -->  00:12:46.139] FP SPEAKER_02
[ 00:12:46.662 -->  00:12:47.691] FQ SPEAKER_02
[ 00:12:48.164 -->  00:12:52.534] FR SPEAKER_02
[ 00:12:52.855 -->  00:12:55.234] FS SPEAKER_02
[ 00:12:55.639 -->  00:12:59.402] FT SPEAKER_02
[ 00:12:59.959 -->  00:13:03.267] FU SPEAKER_02
[ 00:13:03.689 -->  00:13:04.769] FV SPEAKER_02
[ 00:13:04.904 -->  00:13:06.473] FW SPEAKER_02
[ 00:13:06.945 -->  00:13:07.367] FX SPEAKER_02
[ 00:13:07.519 -->  00:13:16.092] FY SPEAKER_02
[ 00:13:16.665 -->  00:13:20.682] FZ SPEAKER_00
[ 00:13:21.272 -->  00:13:24.090] GA SPEAKER_02
[ 00:13:24.310 -->  00:13:24.951] GB SPEAKER_02
[ 00:13:25.019 -->  00:13:26.149] GC SPEAKER_02
[ 00:13:26.554 -->  00:13:30.047] GD SPEAKER_02
[ 00:13:30.199 -->  00:13:43.581] GE SPEAKER_02
[ 00:13:44.189 -->  00:13:55.765] GF SPEAKER_00
[ 00:13:56.288 -->  00:14:04.455] GG SPEAKER_02
[ 00:14:04.557 -->  00:14:16.369] GH SPEAKER_02
[ 00:14:16.639 -->  00:14:20.402] GI SPEAKER_02
[ 00:14:20.740 -->  00:14:28.030] GJ SPEAKER_02
[ 00:14:28.469 -->  00:14:29.228] GK SPEAKER_02
[ 00:14:29.650 -->  00:14:33.059] GL SPEAKER_02
[ 00:14:33.345 -->  00:14:34.510] GM SPEAKER_02
[ 00:14:34.915 -->  00:14:51.182] GN SPEAKER_02
[ 00:14:51.689 -->  00:15:02.691] GO SPEAKER_00
[ 00:15:03.214 -->  00:15:05.104] GP SPEAKER_02
[ 00:15:05.762 -->  00:15:08.175] GQ SPEAKER_02
[ 00:15:08.412 -->  00:15:11.618] GR SPEAKER_02
[ 00:15:12.057 -->  00:15:13.289] GS SPEAKER_02
[ 00:15:13.710 -->  00:15:14.942] GT SPEAKER_02
[ 00:15:15.212 -->  00:15:17.187] GU SPEAKER_02
[ 00:15:17.474 -->  00:15:19.364] GV SPEAKER_02
[ 00:15:19.735 -->  00:15:22.604] GW SPEAKER_02
[ 00:15:22.857 -->  00:15:26.114] GX SPEAKER_02
[ 00:15:26.265 -->  00:15:28.020] GY SPEAKER_02
[ 00:15:28.341 -->  00:15:30.653] GZ SPEAKER_02
[ 00:15:30.923 -->  00:15:39.445] HA SPEAKER_02
[ 00:15:39.968 -->  00:16:12.452] HB SPEAKER_00
[ 00:16:12.824 -->  00:16:17.954] HC SPEAKER_02
[ 00:16:18.122 -->  00:16:32.550] HD SPEAKER_02
[ 00:16:32.719 -->  00:16:47.704] HE SPEAKER_02
[ 00:16:48.160 -->  00:16:48.582] HF SPEAKER_02
[ 00:16:48.784 -->  00:16:50.573] HG SPEAKER_02
[ 00:16:50.995 -->  00:16:57.188] HH SPEAKER_02
[ 00:16:57.644 -->  00:17:00.158] HI SPEAKER_02
[ 00:17:00.411 -->  00:17:00.985] HJ SPEAKER_02
[ 00:17:01.373 -->  00:17:02.672] HK SPEAKER_02
[ 00:17:02.976 -->  00:17:04.815] HL SPEAKER_02
[ 00:17:04.950 -->  00:17:06.807] HM SPEAKER_02
[ 00:17:06.992 -->  00:17:08.207] HN SPEAKER_02
[ 00:17:08.444 -->  00:17:09.270] HO SPEAKER_02
[ 00:17:09.557 -->  00:17:13.337] HP SPEAKER_02
[ 00:17:13.658 -->  00:17:18.417] HQ SPEAKER_02
[ 00:17:18.670 -->  00:17:28.896] HR SPEAKER_02
[ 00:17:29.318 -->  00:17:57.702] HS SPEAKER_00
[ 00:17:58.090 -->  00:18:02.359] HT SPEAKER_02
[ 00:18:02.612 -->  00:18:06.173] HU SPEAKER_02
[ 00:18:06.662 -->  00:18:08.603] HV SPEAKER_02
[ 00:18:09.092 -->  00:18:14.155] HW SPEAKER_02
[ 00:18:14.442 -->  00:18:15.269] HX SPEAKER_02
[ 00:18:15.690 -->  00:18:16.939] HY SPEAKER_02
[ 00:18:17.226 -->  00:18:19.774] HZ SPEAKER_02
[ 00:18:20.145 -->  00:18:21.293] IA SPEAKER_02
[ 00:18:21.529 -->  00:18:22.019] IB SPEAKER_02
[ 00:18:22.407 -->  00:18:27.182] IC SPEAKER_02
[ 00:18:27.402 -->  00:18:28.583] ID SPEAKER_02
[ 00:18:28.819 -->  00:18:31.249] IE SPEAKER_02
[ 00:18:31.452 -->  00:18:32.498] IF SPEAKER_02
[ 00:18:32.768 -->  00:18:34.422] IG SPEAKER_02
[ 00:18:34.962 -->  00:18:35.654] IH SPEAKER_02
[ 00:18:36.092 -->  00:18:38.725] II SPEAKER_02
[ 00:18:39.096 -->  00:18:40.024] IJ SPEAKER_02
[ 00:18:40.311 -->  00:18:42.370] IK SPEAKER_02
[ 00:18:42.657 -->  00:18:44.024] IL SPEAKER_02
[ 00:18:44.310 -->  00:18:46.335] IM SPEAKER_02
[ 00:18:46.622 -->  00:18:48.074] IN SPEAKER_02
[ 00:18:48.209 -->  00:18:50.622] IO SPEAKER_02
[ 00:18:50.892 -->  00:18:52.056] IP SPEAKER_02
[ 00:18:52.225 -->  00:18:57.557] IQ SPEAKER_02
[ 00:18:57.794 -->  00:18:58.553] IR SPEAKER_02
[ 00:18:58.755 -->  00:19:00.240] IS SPEAKER_02
[ 00:19:00.696 -->  00:19:01.557] IT SPEAKER_02
[ 00:19:01.995 -->  00:19:02.721] IU SPEAKER_02
[ 00:19:03.177 -->  00:19:04.493] IV SPEAKER_02
[ 00:19:04.763 -->  00:19:08.492] IW SPEAKER_02
[ 00:19:08.560 -->  00:19:11.530] IX SPEAKER_02
[ 00:19:11.901 -->  00:19:13.589] IY SPEAKER_02
[ 00:19:13.842 -->  00:19:14.196] IZ SPEAKER_02
[ 00:19:14.702 -->  00:19:17.622] JA SPEAKER_02
[ 00:19:18.111 -->  00:19:23.376] JB SPEAKER_02
[ 00:19:23.747 -->  00:19:24.237] JC SPEAKER_02
[ 00:19:24.625 -->  00:19:28.557] JD SPEAKER_02
[ 00:19:29.114 -->  00:19:36.623] JE SPEAKER_00
[ 00:19:37.230 -->  00:19:39.812] JF SPEAKER_02
[ 00:19:40.217 -->  00:19:43.035] JG SPEAKER_02
[ 00:19:43.440 -->  00:19:43.930] JH SPEAKER_02
[ 00:19:44.520 -->  00:19:48.165] JI SPEAKER_02
[ 00:19:48.587 -->  00:19:49.752] JJ SPEAKER_02
[ 00:19:50.106 -->  00:19:52.553] JK SPEAKER_02
[ 00:19:52.975 -->  00:19:53.886] JL SPEAKER_02
[ 00:19:54.308 -->  00:19:55.118] JM SPEAKER_02
[ 00:19:55.439 -->  00:19:56.721] JN SPEAKER_02
[ 00:19:57.126 -->  00:19:58.476] JO SPEAKER_02
[ 00:19:58.729 -->  00:20:00.079] JP SPEAKER_02
[ 00:20:00.535 -->  00:20:02.661] JQ SPEAKER_02
