[ 00:00:00.030 -->  00:00:04.148] A SPEAKER_02
[ 00:00:07.962 -->  00:00:18.272] C SPEAKER_02
[ 00:00:51.634 -->  00:01:01.590] F SPEAKER_02
[ 00:01:01.979 -->  00:01:11.327] G SPEAKER_02
[ 00:01:11.395 -->  00:01:28.590] H SPEAKER_02
[ 00:01:31.223 -->  00:01:37.669] I SPEAKER_02
[ 00:01:39.306 -->  00:01:44.385] J SPEAKER_02
[ 00:01:45.567 -->  00:01:50.072] K SPEAKER_02
[ 00:01:52.131 -->  00:01:58.662] L SPEAKER_02
[ 00:01:59.944 -->  00:02:11.858] M SPEAKER_02
[ 00:02:13.630 -->  00:02:30.387] N SPEAKER_02
[ 00:02:31.973 -->  00:02:34.977] O SPEAKER_02
[ 00:02:37.035 -->  00:02:58.956] R SPEAKER_02
[ 00:02:59.260 -->  00:03:06.044] S SPEAKER_04
[ 00:03:06.955 -->  00:03:06.972] T SPEAKER_04
[ 00:03:06.972 -->  00:03:14.768] U SPEAKER_02
[ 00:03:15.443 -->  00:03:16.776] V SPEAKER_02
[ 00:03:17.198 -->  00:03:54.036] Y SPEAKER_02
[ 00:03:54.441 -->  00:03:55.977] AA SPEAKER_02
[ 00:03:55.977 -->  00:03:58.508] AB SPEAKER_04
[ 00:03:59.082 -->  00:04:12.464] AC SPEAKER_04
[ 00:04:13.493 -->  00:04:14.033] AD SPEAKER_04
[ 00:04:14.826 -->  00:04:34.148] AE SPEAKER_04
[ 00:04:34.789 -->  00:04:47.749] AF SPEAKER_04
[ 00:04:49.015 -->  00:05:38.273] AG SPEAKER_04
[ 00:05:39.285 -->  00:05:44.635] AH SPEAKER_04
[ 00:05:44.736 -->  00:05:54.524] AI SPEAKER_04
[ 00:05:55.131 -->  00:06:05.425] AJ SPEAKER_04
[ 00:06:06.319 -->  00:06:09.239] AK SPEAKER_04
[ 00:06:10.116 -->  00:06:10.774] AM SPEAKER_04
[ 00:06:11.348 -->  00:06:21.051] AN SPEAKER_04
[ 00:06:21.659 -->  00:06:35.834] AP SPEAKER_04
[ 00:06:36.542 -->  00:06:53.738] AQ SPEAKER_04
[ 00:06:54.464 -->  00:07:02.243] AR SPEAKER_04
[ 00:07:02.952 -->  00:07:12.250] AW SPEAKER_04
[ 00:07:12.790 -->  00:07:26.526] AX SPEAKER_04
[ 00:07:27.842 -->  00:07:56.749] AY SPEAKER_02
[ 00:07:57.120 -->  00:07:58.977] AZ SPEAKER_02
[ 00:07:58.977 -->  00:08:01.525] BA SPEAKER_04
[ 00:08:02.470 -->  00:08:31.529] BB SPEAKER_04
[ 00:08:32.777 -->  00:08:36.220] BC SPEAKER_04
[ 00:08:36.726 -->  00:08:42.396] BD SPEAKER_04
[ 00:08:42.936 -->  00:08:55.930] BE SPEAKER_04
[ 00:08:56.267 -->  00:09:06.544] BF SPEAKER_04
[ 00:09:07.067 -->  00:09:13.362] BG SPEAKER_04
[ 00:09:14.796 -->  00:09:28.684] BH SPEAKER_04
[ 00:09:28.836 -->  00:09:30.929] BI SPEAKER_04
[ 00:09:31.840 -->  00:09:40.193] BJ SPEAKER_04
[ 00:09:40.969 -->  00:09:45.070] BK SPEAKER_04
[ 00:09:45.222 -->  00:09:51.584] BL SPEAKER_04
[ 00:09:52.444 -->  00:10:13.015] BM SPEAKER_04
[ 00:10:14.837 -->  00:10:27.679] BN SPEAKER_02
[ 00:10:27.797 -->  00:10:35.830] BO SPEAKER_02
[ 00:10:36.100 -->  00:11:04.230] BP SPEAKER_02
[ 00:11:06.407 -->  00:11:06.424] BQ SPEAKER_02
[ 00:11:06.424 -->  00:11:06.458] BR SPEAKER_04
[ 00:11:06.458 -->  00:11:06.964] BS SPEAKER_02
[ 00:11:06.964 -->  00:11:34.943] BT SPEAKER_04
[ 00:11:35.061 -->  00:11:38.487] BU SPEAKER_04
[ 00:11:38.858 -->  00:11:59.226] BV SPEAKER_04
[ 00:12:00.171 -->  00:12:14.329] BW SPEAKER_04
[ 00:12:15.004 -->  00:12:41.009] BX SPEAKER_04
[ 00:12:41.700 -->  00:12:58.660] BY SPEAKER_04
[ 00:12:59.655 -->  00:13:02.862] BZ SPEAKER_04
[ 00:13:03.840 -->  00:13:22.167] CA SPEAKER_04
[ 00:13:22.555 -->  00:13:25.829] CB SPEAKER_04
[ 00:13:26.723 -->  00:13:29.710] CC SPEAKER_04
[ 00:13:30.182 -->  00:13:44.408] CD SPEAKER_04
[ 00:13:45.100 -->  00:13:51.917] CE SPEAKER_04
[ 00:13:52.660 -->  00:14:02.430] CF SPEAKER_04
[ 00:14:04.962 -->  00:14:10.750] CG SPEAKER_04
[ 00:14:11.610 -->  00:14:12.707] CH SPEAKER_04
[ 00:14:13.686 -->  00:14:24.925] CI SPEAKER_04
[ 00:14:25.380 -->  00:14:27.186] CJ SPEAKER_04
[ 00:14:27.254 -->  00:14:40.365] CK SPEAKER_04
[ 00:14:40.770 -->  00:14:51.047] CL SPEAKER_04
[ 00:14:51.655 -->  00:15:09.289] CM SPEAKER_04
[ 00:15:09.576 -->  00:15:20.967] CN SPEAKER_04
[ 00:15:21.338 -->  00:15:26.012] CO SPEAKER_04
[ 00:15:27.362 -->  00:15:30.569] CP SPEAKER_04
[ 00:15:30.636 -->  00:15:42.837] CQ SPEAKER_04
[ 00:15:43.799 -->  00:15:53.046] CR SPEAKER_04
[ 00:15:53.282 -->  00:16:13.245] CS SPEAKER_04
[ 00:16:13.617 -->  00:16:14.950] CT SPEAKER_04
[ 00:16:15.760 -->  00:16:19.034] CU SPEAKER_04
[ 00:16:21.109 -->  00:16:44.565] CV SPEAKER_02
[ 00:16:45.274 -->  00:17:25.977] CW SPEAKER_02
[ 00:17:25.977 -->  00:17:49.737] CX SPEAKER_04
[ 00:17:50.429 -->  00:18:00.300] CY SPEAKER_04
[ 00:18:00.452 -->  00:18:10.932] CZ SPEAKER_04
[ 00:18:11.286 -->  00:18:14.509] DA SPEAKER_04
[ 00:18:14.897 -->  00:18:17.310] DB SPEAKER_04
[ 00:18:17.817 -->  00:18:47.820] DC SPEAKER_04
[ 00:18:49.305 -->  00:19:05.016] DD SPEAKER_04
[ 00:19:06.619 -->  00:19:09.977] DE SPEAKER_04
[ 00:19:10.838 -->  00:19:31.425] DF SPEAKER_04
[ 00:19:31.493 -->  00:19:57.177] DG SPEAKER_04
[ 00:19:57.447 -->  00:20:10.238] DH SPEAKER_04
[ 00:20:10.997 -->  00:20:18.119] DI SPEAKER_04
[ 00:20:19.047 -->  00:20:22.607] DK SPEAKER_04
[ 00:20:23.130 -->  00:20:26.910] DL SPEAKER_04
[ 00:20:27.805 -->  00:20:40.343] DM SPEAKER_04
[ 00:20:40.697 -->  00:21:15.359] DO SPEAKER_04
[ 00:21:15.865 -->  00:21:40.637] DP SPEAKER_04
[ 00:21:40.975 -->  00:21:50.475] DQ SPEAKER_04
[ 00:21:51.032 -->  00:21:58.829] DR SPEAKER_04
[ 00:22:01.157 -->  00:22:12.413] DS SPEAKER_02
[ 00:22:13.206 -->  00:22:35.970] DT SPEAKER_02
[ 00:22:35.970 -->  00:22:39.278] DU SPEAKER_04
[ 00:22:39.953 -->  00:22:53.689] DV SPEAKER_04
[ 00:22:54.179 -->  00:22:59.309] DW SPEAKER_04
[ 00:22:59.747 -->  00:23:11.155] DX SPEAKER_04
[ 00:23:12.083 -->  00:23:15.593] DY SPEAKER_04
[ 00:23:16.369 -->  00:23:22.461] DZ SPEAKER_04
[ 00:23:24.064 -->  00:23:30.527] EA SPEAKER_04
[ 00:23:31.692 -->  00:23:41.142] EB SPEAKER_04
[ 00:23:41.850 -->  00:23:49.073] EC SPEAKER_04
