[ 00:00:00.030 -->  00:00:01.026] A SPEAKER_00
[ 00:00:01.414 -->  00:00:04.030] B SPEAKER_00
[ 00:00:06.527 -->  00:00:16.872] D SPEAKER_00
[ 00:00:50.200 -->  00:01:00.139] F SPEAKER_00
[ 00:01:00.544 -->  00:01:09.842] G SPEAKER_00
[ 00:01:09.944 -->  00:01:09.960] H SPEAKER_00
[ 00:01:09.977 -->  00:01:27.173] I SPEAKER_00
[ 00:01:29.789 -->  00:02:17.680] J SPEAKER_00
[ 00:02:19.924 -->  00:02:24.869] K SPEAKER_00
[ 00:02:25.155 -->  00:02:29.442] L SPEAKER_00
[ 00:02:28.024 -->  00:02:28.193] O SPEAKER_03
[ 00:02:30.539 -->  00:02:36.276] P SPEAKER_00
[ 00:02:36.698 -->  00:02:56.307] Q SPEAKER_03
[ 00:02:56.475 -->  00:03:17.839] R SPEAKER_03
[ 00:03:18.025 -->  00:03:40.317] T SPEAKER_03
[ 00:03:41.059 -->  00:03:53.884] U SPEAKER_00
[ 00:03:54.458 -->  00:04:16.834] V SPEAKER_03
[ 00:04:17.070 -->  00:04:29.609] W SPEAKER_03
[ 00:04:29.710 -->  00:04:34.080] X SPEAKER_03
[ 00:04:34.266 -->  00:04:47.631] Y SPEAKER_03
[ 00:04:47.800 -->  00:04:48.306] Z SPEAKER_03
[ 00:04:48.593 -->  00:05:02.144] AA SPEAKER_03
[ 00:05:02.734 -->  00:05:13.635] AB SPEAKER_03
[ 00:05:14.597 -->  00:05:25.617] AC SPEAKER_03
[ 00:05:25.853 -->  00:05:33.345] AD SPEAKER_03
[ 00:05:33.666 -->  00:05:34.189] AE SPEAKER_03
[ 00:05:34.544 -->  00:05:36.822] AF SPEAKER_03
[ 00:05:37.227 -->  00:05:40.230] AG SPEAKER_03
[ 00:05:40.770 -->  00:05:58.287] AH SPEAKER_03
[ 00:05:58.793 -->  00:06:01.898] AI SPEAKER_03
[ 00:06:02.219 -->  00:06:07.045] AJ SPEAKER_03
[ 00:06:07.551 -->  00:06:08.125] AK SPEAKER_03
[ 00:06:08.277 -->  00:06:14.132] AL SPEAKER_03
[ 00:06:14.234 -->  00:06:19.127] AM SPEAKER_03
[ 00:06:19.262 -->  00:06:22.722] AN SPEAKER_03
[ 00:06:23.211 -->  00:06:27.531] AO SPEAKER_03
[ 00:06:27.987 -->  00:06:29.117] AP SPEAKER_03
[ 00:06:29.674 -->  00:06:30.164] AQ SPEAKER_03
[ 00:06:30.467 -->  00:06:37.015] AR SPEAKER_03
[ 00:06:37.319 -->  00:06:38.939] AS SPEAKER_03
[ 00:06:39.462 -->  00:06:44.305] AT SPEAKER_03
[ 00:06:44.862 -->  00:06:48.237] AU SPEAKER_03
[ 00:06:48.355 -->  00:06:51.510] AV SPEAKER_03
[ 00:06:52.067 -->  00:07:01.804] AW SPEAKER_03
[ 00:07:02.074 -->  00:07:03.374] AX SPEAKER_03
[ 00:07:03.677 -->  00:07:13.870] AY SPEAKER_03
[ 00:07:14.241 -->  00:07:15.355] AZ SPEAKER_03
[ 00:07:15.507 -->  00:07:21.447] BA SPEAKER_03
[ 00:07:21.801 -->  00:07:31.251] BB SPEAKER_03
[ 00:07:31.740 -->  00:07:32.297] BC SPEAKER_03
[ 00:07:32.618 -->  00:07:41.325] BD SPEAKER_03
[ 00:07:41.798 -->  00:07:41.815] BF SPEAKER_03
[ 00:07:41.916 -->  00:07:44.312] BG SPEAKER_03
[ 00:07:44.582 -->  00:07:46.810] BH SPEAKER_03
[ 00:07:47.029 -->  00:07:50.944] BI SPEAKER_03
[ 00:07:51.231 -->  00:07:51.788] BJ SPEAKER_03
[ 00:07:52.530 -->  00:07:59.382] BK SPEAKER_00
[ 00:07:59.770 -->  00:08:04.613] BL SPEAKER_03
[ 00:08:04.967 -->  00:08:06.537] BM SPEAKER_03
[ 00:08:06.689 -->  00:08:12.662] BN SPEAKER_03
[ 00:08:13.000 -->  00:08:16.932] BO SPEAKER_03
[ 00:08:17.387 -->  00:08:24.492] BP SPEAKER_03
[ 00:08:25.184 -->  00:08:47.239] BQ SPEAKER_03
[ 00:08:47.577 -->  00:08:51.475] BR SPEAKER_03
[ 00:08:51.812 -->  00:08:56.875] BS SPEAKER_03
[ 00:08:57.179 -->  00:09:07.455] BT SPEAKER_03
[ 00:09:07.776 -->  00:09:12.248] BU SPEAKER_03
[ 00:09:12.417 -->  00:09:29.157] BV SPEAKER_03
[ 00:09:29.579 -->  00:09:31.064] BW SPEAKER_03
[ 00:09:31.232 -->  00:09:42.319] BX SPEAKER_03
[ 00:09:42.758 -->  00:09:44.699] BY SPEAKER_03
[ 00:09:44.952 -->  00:09:48.310] BZ SPEAKER_03
[ 00:09:48.968 -->  00:10:02.232] CA SPEAKER_03
[ 00:10:02.451 -->  00:10:12.205] CB SPEAKER_03
[ 00:10:12.812 -->  00:10:15.006] CC SPEAKER_03
[ 00:10:15.428 -->  00:10:23.984] CD SPEAKER_03
[ 00:10:24.372 -->  00:10:28.523] CE SPEAKER_03
[ 00:10:29.130 -->  00:10:35.340] CF SPEAKER_03
[ 00:10:33.906 -->  00:10:34.007] CG SPEAKER_00
[ 00:10:34.024 -->  00:10:34.260] CI SPEAKER_00
[ 00:10:35.897 -->  00:10:37.230] CJ SPEAKER_03
[ 00:10:37.889 -->  00:10:39.525] CK SPEAKER_03
[ 00:10:39.627 -->  00:10:41.027] CL SPEAKER_03
[ 00:10:41.483 -->  00:10:52.199] CM SPEAKER_03
[ 00:10:52.553 -->  00:10:56.130] CN SPEAKER_03
[ 00:10:56.805 -->  00:10:59.843] CO SPEAKER_03
[ 00:11:00.248 -->  00:11:11.183] CP SPEAKER_03
[ 00:11:11.959 -->  00:11:15.874] CQ SPEAKER_03
[ 00:11:16.094 -->  00:11:19.654] CR SPEAKER_03
[ 00:11:19.924 -->  00:11:25.544] CS SPEAKER_03
[ 00:11:25.932 -->  00:11:34.200] CT SPEAKER_03
[ 00:11:34.875 -->  00:11:48.848] CU SPEAKER_03
[ 00:11:49.118 -->  00:11:58.669] CV SPEAKER_03
[ 00:11:58.990 -->  00:12:20.067] CW SPEAKER_03
[ 00:12:20.556 -->  00:12:29.567] CX SPEAKER_03
[ 00:12:30.057 -->  00:12:49.649] CY SPEAKER_00
[ 00:12:49.851 -->  00:12:57.529] CZ SPEAKER_00
[ 00:12:57.934 -->  00:13:17.779] DA SPEAKER_03
[ 00:13:18.134 -->  00:13:24.394] DB SPEAKER_03
[ 00:13:24.765 -->  00:13:43.463] DC SPEAKER_03
[ 00:13:44.003 -->  00:13:55.512] DD SPEAKER_00
[ 00:13:55.900 -->  00:14:13.568] DE SPEAKER_03
[ 00:14:13.703 -->  00:14:31.675] DF SPEAKER_03
[ 00:14:24.891 -->  00:14:25.110] DG SPEAKER_00
[ 00:14:25.178 -->  00:14:25.296] DI SPEAKER_00
[ 00:14:31.827 -->  00:14:45.563] DJ SPEAKER_03
[ 00:14:45.715 -->  00:15:03.231] DK SPEAKER_03
[ 00:15:03.569 -->  00:15:17.862] DL SPEAKER_03
[ 00:15:18.199 -->  00:15:23.363] DM SPEAKER_03
[ 00:15:23.802 -->  00:15:32.138] DN SPEAKER_03
[ 00:15:32.492 -->  00:15:33.893] DO SPEAKER_03
[ 00:15:34.382 -->  00:15:43.225] DP SPEAKER_03
[ 00:15:43.596 -->  00:15:45.351] DQ SPEAKER_03
[ 00:15:45.705 -->  00:15:58.362] DR SPEAKER_03
[ 00:15:59.037 -->  00:16:12.959] DS SPEAKER_03
[ 00:16:13.262 -->  00:16:30.390] DT SPEAKER_03
[ 00:16:31.150 -->  00:16:46.236] DU SPEAKER_03
[ 00:16:46.455 -->  00:17:00.293] DV SPEAKER_03
[ 00:17:00.360 -->  00:17:14.637] DW SPEAKER_03
[ 00:17:15.447 -->  00:17:34.279] DX SPEAKER_00
[ 00:17:34.515 -->  00:17:39.747] DY SPEAKER_03
[ 00:17:40.169 -->  00:17:41.620] DZ SPEAKER_03
[ 00:17:41.789 -->  00:17:42.531] EA SPEAKER_03
[ 00:17:42.750 -->  00:18:04.131] EB SPEAKER_03
[ 00:18:04.620 -->  00:18:06.983] EC SPEAKER_03
[ 00:18:07.253 -->  00:18:18.846] ED SPEAKER_03
[ 00:18:18.981 -->  00:18:25.579] EE SPEAKER_03
[ 00:18:25.799 -->  00:18:31.536] EF SPEAKER_03
[ 00:18:32.009 -->  00:18:42.066] EG SPEAKER_03
[ 00:18:42.319 -->  00:18:53.187] EH SPEAKER_03
[ 00:18:53.710 -->  00:19:00.612] EI SPEAKER_03
[ 00:19:00.764 -->  00:19:11.108] EJ SPEAKER_03
[ 00:19:11.834 -->  00:19:12.930] EK SPEAKER_03
[ 00:19:13.200 -->  00:19:44.892] EL SPEAKER_03
[ 00:19:45.179 -->  00:20:00.045] EM SPEAKER_03
[ 00:20:00.130 -->  00:20:02.020] EN SPEAKER_03
[ 00:20:02.290 -->  00:20:11.352] EO SPEAKER_03
[ 00:20:11.655 -->  00:20:21.477] EP SPEAKER_03
[ 00:20:21.848 -->  00:20:38.588] EQ SPEAKER_03
[ 00:20:38.892 -->  00:20:46.705] ER SPEAKER_03
[ 00:20:46.840 -->  00:20:50.434] ES SPEAKER_03
[ 00:20:50.839 -->  00:21:09.773] ET SPEAKER_03
[ 00:21:09.959 -->  00:21:20.961] EU SPEAKER_03
[ 00:21:21.180 -->  00:21:46.274] EV SPEAKER_03
[ 00:21:46.628 -->  00:21:48.029] EW SPEAKER_03
[ 00:21:48.450 -->  00:21:49.024] EX SPEAKER_03
[ 00:21:49.294 -->  00:22:01.039] EY SPEAKER_03
[ 00:22:01.309 -->  00:22:03.992] EZ SPEAKER_03
[ 00:22:04.195 -->  00:22:12.194] FA SPEAKER_03
[ 00:22:12.464 -->  00:22:12.936] FB SPEAKER_03
[ 00:22:13.324 -->  00:22:17.155] FC SPEAKER_03
[ 00:22:17.459 -->  00:22:26.892] FD SPEAKER_03
[ 00:22:27.364 -->  00:22:31.380] FE SPEAKER_03
