[ 00:00:00.030 -->  00:00:02.072] A SPEAKER_00
[ 00:00:02.072 -->  00:00:02.140] B SPEAKER_03
[ 00:00:02.140 -->  00:00:02.832] C SPEAKER_00
[ 00:00:03.405 -->  00:00:07.320] D SPEAKER_00
[ 00:00:10.442 -->  00:00:20.837] F SPEAKER_00
[ 00:00:53.929 -->  00:01:01.388] H SPEAKER_00
[ 00:01:01.624 -->  00:01:04.442] I SPEAKER_00
[ 00:01:04.847 -->  00:01:05.624] J SPEAKER_00
[ 00:01:06.164 -->  00:01:09.539] K SPEAKER_00
[ 00:01:09.606 -->  00:01:44.655] L SPEAKER_00
[ 00:01:46.849 -->  00:02:49.675] O SPEAKER_00
[ 00:02:52.729 -->  00:03:17.097] Q SPEAKER_00
[ 00:03:17.502 -->  00:03:22.244] R SPEAKER_03
[ 00:03:22.733 -->  00:03:23.256] S SPEAKER_03
[ 00:03:22.834 -->  00:04:05.545] T SPEAKER_00
[ 00:03:25.787 -->  00:03:26.108] U SPEAKER_03
[ 00:04:06.186 -->  00:04:13.459] V SPEAKER_03
[ 00:04:13.797 -->  00:04:47.057] W SPEAKER_03
[ 00:04:47.226 -->  00:04:58.971] X SPEAKER_03
[ 00:04:59.275 -->  00:05:42.171] Y SPEAKER_03
[ 00:05:42.205 -->  00:05:57.713] Z SPEAKER_03
[ 00:05:58.152 -->  00:06:13.407] AA SPEAKER_03
[ 00:06:13.727 -->  00:06:39.732] AB SPEAKER_03
[ 00:06:39.799 -->  00:07:01.045] AC SPEAKER_03
[ 00:07:01.332 -->  00:07:13.718] AD SPEAKER_03
[ 00:07:13.920 -->  00:07:56.226] AE SPEAKER_03
[ 00:07:56.378 -->  00:08:28.491] AF SPEAKER_03
[ 00:08:28.677 -->  00:08:35.174] AG SPEAKER_03
[ 00:08:31.984 -->  00:08:32.018] AH SPEAKER_00
[ 00:08:35.444 -->  00:08:38.954] AI SPEAKER_03
[ 00:08:39.915 -->  00:09:24.229] AJ SPEAKER_00
[ 00:09:25.022 -->  00:10:28.962] AK SPEAKER_03
[ 00:10:29.282 -->  00:11:28.919] AL SPEAKER_03
[ 00:11:29.155 -->  00:12:01.538] AM SPEAKER_03
[ 00:12:01.673 -->  00:12:43.270] AN SPEAKER_03
[ 00:12:43.827 -->  00:13:35.042] AO SPEAKER_00
[ 00:13:35.599 -->  00:13:39.750] AP SPEAKER_03
[ 00:13:39.953 -->  00:14:18.951] AQ SPEAKER_03
[ 00:14:18.985 -->  00:14:19.052] AR SPEAKER_03
[ 00:14:19.069 -->  00:14:30.797] AS SPEAKER_03
[ 00:14:30.831 -->  00:14:44.736] AT SPEAKER_03
[ 00:14:44.972 -->  00:15:51.156] AU SPEAKER_03
[ 00:15:51.477 -->  00:16:00.302] AV SPEAKER_03
[ 00:16:00.471 -->  00:16:27.893] AW SPEAKER_03
[ 00:16:28.062 -->  00:16:44.262] AX SPEAKER_03
[ 00:16:44.447 -->  00:17:13.979] AY SPEAKER_03
[ 00:17:14.249 -->  00:17:24.711] AZ SPEAKER_03
[ 00:17:24.897 -->  00:17:37.502] BA SPEAKER_03
[ 00:17:37.755 -->  00:17:47.054] BB SPEAKER_03
[ 00:17:47.374 -->  00:17:57.820] BC SPEAKER_03
[ 00:17:58.157 -->  00:18:26.136] BD SPEAKER_03
[ 00:18:26.490 -->  00:18:35.400] BE SPEAKER_03
[ 00:18:35.468 -->  00:19:38.142] BF SPEAKER_03
[ 00:19:38.479 -->  00:19:57.210] BG SPEAKER_03
[ 00:19:57.683 -->  00:20:48.139] BH SPEAKER_00
[ 00:20:48.949 -->  00:22:09.274] BI SPEAKER_03
[ 00:22:09.392 -->  00:22:45.066] BJ SPEAKER_03
[ 00:22:45.285 -->  00:24:16.984] BK SPEAKER_03
[ 00:24:17.271 -->  00:24:23.042] BL SPEAKER_03
[ 00:24:23.279 -->  00:24:27.379] BM SPEAKER_03
[ 00:24:28.122 -->  00:24:45.925] BN SPEAKER_00
[ 00:24:46.532 -->  00:25:33.985] BO SPEAKER_03
[ 00:25:34.221 -->  00:26:01.238] BP SPEAKER_03
[ 00:26:01.305 -->  00:26:03.955] BQ SPEAKER_03
[ 00:26:04.005 -->  00:26:10.367] BR SPEAKER_03
[ 00:26:10.874 -->  00:26:20.526] BS SPEAKER_03
[ 00:26:20.914 -->  00:26:32.406] BT SPEAKER_03
[ 00:26:32.811 -->  00:26:35.629] BU SPEAKER_03
[ 00:26:35.865 -->  00:26:58.039] BV SPEAKER_03
[ 00:26:58.377 -->  00:27:04.148] BW SPEAKER_03
[ 00:27:04.334 -->  00:27:12.079] BX SPEAKER_03
[ 00:27:12.332 -->  00:27:34.844] BY SPEAKER_03
[ 00:27:34.995 -->  00:28:18.415] BZ SPEAKER_03
[ 00:28:18.550 -->  00:28:33.315] CA SPEAKER_03
[ 00:28:33.484 -->  00:29:03.471] CB SPEAKER_03
[ 00:29:03.640 -->  00:29:54.484] CC SPEAKER_03
[ 00:29:54.906 -->  00:30:10.110] CD SPEAKER_03
[ 00:30:10.769 -->  00:31:10.455] CE SPEAKER_00
[ 00:31:11.164 -->  00:31:22.015] CF SPEAKER_03
[ 00:31:22.386 -->  00:32:03.629] CG SPEAKER_03
[ 00:32:03.797 -->  00:32:10.193] CH SPEAKER_03
[ 00:32:10.362 -->  00:32:57.764] CI SPEAKER_03
[ 00:32:58.337 -->  00:33:48.794] CJ SPEAKER_00
[ 00:33:49.587 -->  00:33:51.375] CK SPEAKER_03
[ 00:33:51.443 -->  00:34:08.504] CL SPEAKER_03
[ 00:34:08.892 -->  00:34:58.639] CM SPEAKER_03
[ 00:34:59.078 -->  00:35:19.615] CN SPEAKER_03
[ 00:35:19.817 -->  00:35:22.872] CO SPEAKER_00
[ 00:35:23.040 -->  00:35:56.301] CP SPEAKER_03
[ 00:35:56.470 -->  00:37:56.991] CQ SPEAKER_03
[ 00:37:57.278 -->  00:38:11.132] CR SPEAKER_03
[ 00:38:11.689 -->  00:39:14.481] CS SPEAKER_00
[ 00:39:15.089 -->  00:39:49.041] CT SPEAKER_03
[ 00:39:49.345 -->  00:40:22.707] CU SPEAKER_03
[ 00:40:22.909 -->  00:41:04.995] CV SPEAKER_03
[ 00:41:05.384 -->  00:41:12.741] CW SPEAKER_03
[ 00:41:13.028 -->  00:41:37.412] CX SPEAKER_03
[ 00:41:37.969 -->  00:41:53.376] CY SPEAKER_03
[ 00:41:53.612 -->  00:42:09.930] CZ SPEAKER_03
[ 00:42:10.200 -->  00:42:41.976] DA SPEAKER_03
