[ 00:00:00.030 -->  00:00:04.992] A SPEAKER_01
[ 00:00:08.130 -->  00:00:18.475] E SPEAKER_01
[ 00:00:51.617 -->  00:00:59.076] G SPEAKER_01
[ 00:00:59.329 -->  00:01:02.097] H SPEAKER_01
[ 00:01:02.535 -->  00:01:03.261] I SPEAKER_01
[ 00:01:03.869 -->  00:01:42.158] J SPEAKER_01
[ 00:01:44.571 -->  00:01:49.380] K SPEAKER_01
[ 00:01:49.482 -->  00:02:21.510] L SPEAKER_01
[ 00:02:21.764 -->  00:02:30.387] M SPEAKER_01
[ 00:02:32.040 -->  00:02:46.739] N SPEAKER_01
[ 00:02:46.840 -->  00:03:01.656] O SPEAKER_00
[ 00:03:01.740 -->  00:03:01.757] P SPEAKER_00
[ 00:03:01.757 -->  00:03:17.805] Q SPEAKER_01
[ 00:03:17.974 -->  00:04:07.317] R SPEAKER_00
[ 00:04:07.469 -->  00:04:28.427] S SPEAKER_00
[ 00:04:28.647 -->  00:04:52.744] T SPEAKER_00
[ 00:04:53.217 -->  00:05:36.450] U SPEAKER_00
[ 00:05:36.855 -->  00:06:06.437] V SPEAKER_00
[ 00:06:06.893 -->  00:06:20.072] W SPEAKER_00
[ 00:06:20.663 -->  00:06:37.926] X SPEAKER_00
[ 00:06:38.314 -->  00:06:55.189] Y SPEAKER_01
[ 00:06:55.544 -->  00:07:05.601] Z SPEAKER_00
[ 00:07:05.820 -->  00:07:25.885] AA SPEAKER_00
[ 00:07:26.138 -->  00:07:53.408] AB SPEAKER_00
[ 00:07:53.560 -->  00:07:59.466] AC SPEAKER_00
[ 00:07:59.618 -->  00:08:06.891] AD SPEAKER_00
[ 00:08:07.144 -->  00:08:13.270] AE SPEAKER_00
[ 00:08:13.607 -->  00:08:35.055] AF SPEAKER_00
[ 00:08:35.309 -->  00:09:04.080] AG SPEAKER_00
[ 00:09:04.401 -->  00:09:18.576] AH SPEAKER_00
[ 00:09:18.914 -->  00:09:30.135] AI SPEAKER_00
[ 00:09:30.389 -->  00:09:49.795] AJ SPEAKER_00
[ 00:09:50.166 -->  00:09:57.574] AK SPEAKER_01
[ 00:09:58.283 -->  00:10:09.994] AL SPEAKER_01
[ 00:10:10.382 -->  00:10:18.516] AM SPEAKER_00
[ 00:10:18.803 -->  00:10:20.828] AN SPEAKER_00
[ 00:10:21.064 -->  00:11:00.855] AO SPEAKER_00
[ 00:11:01.176 -->  00:11:05.344] AP SPEAKER_00
[ 00:11:06.053 -->  00:11:28.328] AQ SPEAKER_00
[ 00:11:28.564 -->  00:11:33.171] AR SPEAKER_00
[ 00:11:33.795 -->  00:11:52.375] AS SPEAKER_00
[ 00:11:53.320 -->  00:12:03.394] AT SPEAKER_00
[ 00:12:03.428 -->  00:12:17.805] AU SPEAKER_00
[ 00:12:18.531 -->  00:12:40.148] AV SPEAKER_00
[ 00:12:40.519 -->  00:12:42.460] AW SPEAKER_00
[ 00:12:42.662 -->  00:12:45.717] AX SPEAKER_00
[ 00:12:46.172 -->  00:12:54.846] AY SPEAKER_00
[ 00:12:55.116 -->  00:13:06.524] AZ SPEAKER_00
[ 00:13:07.047 -->  00:13:18.454] BA SPEAKER_00
[ 00:13:18.623 -->  00:13:40.020] BB SPEAKER_00
[ 00:13:40.476 -->  00:14:33.750] BC SPEAKER_00
[ 00:14:33.987 -->  00:15:17.659] BD SPEAKER_00
[ 00:15:18.047 -->  00:15:42.719] BE SPEAKER_01
[ 00:15:42.938 -->  00:15:52.894] BF SPEAKER_00
