[ 00:00:00.030 -->  00:00:04.064] A SPEAKER_02
[ 00:00:07.152 -->  00:00:17.024] E SPEAKER_02
[ 00:00:17.344 -->  00:00:17.445] G SPEAKER_02
[ 00:00:50.622 -->  00:00:58.131] I SPEAKER_02
[ 00:00:58.266 -->  00:01:01.135] J SPEAKER_02
[ 00:01:01.557 -->  00:01:02.282] K SPEAKER_02
[ 00:01:02.856 -->  00:01:41.247] L SPEAKER_02
[ 00:01:43.542 -->  00:01:48.250] M SPEAKER_02
[ 00:01:48.959 -->  00:01:55.084] N SPEAKER_02
[ 00:01:55.574 -->  00:02:05.817] O SPEAKER_02
[ 00:02:06.188 -->  00:02:16.617] P SPEAKER_02
[ 00:02:16.971 -->  00:02:25.560] Q SPEAKER_02
[ 00:02:26.472 -->  00:02:49.759] R SPEAKER_02
[ 00:02:52.054 -->  00:03:38.916] S SPEAKER_02
[ 00:03:38.916 -->  00:03:38.933] T SPEAKER_00
[ 00:03:39.270 -->  00:05:05.535] U SPEAKER_00
[ 00:05:05.789 -->  00:08:06.722] V SPEAKER_00
[ 00:08:07.448 -->  00:08:30.398] W SPEAKER_02
[ 00:08:30.685 -->  00:08:30.702] X SPEAKER_02
[ 00:08:30.702 -->  00:09:57.540] Y SPEAKER_00
[ 00:09:57.962 -->  00:09:57.979] Z SPEAKER_00
[ 00:09:57.979 -->  00:10:16.879] AA SPEAKER_02
[ 00:10:17.335 -->  00:11:24.784] AB SPEAKER_00
[ 00:11:24.852 -->  00:11:58.973] AC SPEAKER_00
[ 00:11:59.597 -->  00:12:20.826] AD SPEAKER_02
[ 00:12:21.130 -->  00:13:49.605] AE SPEAKER_00
[ 00:13:49.808 -->  00:13:49.977] AF SPEAKER_00
[ 00:13:49.977 -->  00:14:09.366] AG SPEAKER_02
[ 00:14:10.024 -->  00:15:17.541] AH SPEAKER_00
[ 00:15:18.132 -->  00:15:20.258] AI SPEAKER_00
[ 00:15:20.528 -->  00:15:21.827] AJ SPEAKER_00
[ 00:15:22.165 -->  00:15:30.990] AK SPEAKER_00
[ 00:15:31.362 -->  00:16:47.670] AL SPEAKER_00
[ 00:16:48.261 -->  00:17:10.080] AM SPEAKER_02
[ 00:17:10.536 -->  00:19:12.660] AN SPEAKER_00
[ 00:19:13.133 -->  00:19:56.400] AO SPEAKER_02
[ 00:19:56.822 -->  00:21:33.246] AP SPEAKER_00
[ 00:21:33.246 -->  00:21:33.280] AQ SPEAKER_02
[ 00:21:33.685 -->  00:22:20.513] AR SPEAKER_02
[ 00:22:20.513 -->  00:22:20.614] AS SPEAKER_00
[ 00:22:20.935 -->  00:22:20.952] AT SPEAKER_00
[ 00:22:20.952 -->  00:22:21.036] AU SPEAKER_02
[ 00:22:21.036 -->  00:24:44.575] AV SPEAKER_00
[ 00:24:45.250 -->  00:24:55.155] AW SPEAKER_02
[ 00:24:55.409 -->  00:25:06.225] AX SPEAKER_02
[ 00:25:06.681 -->  00:25:57.272] AY SPEAKER_00
[ 00:25:57.795 -->  00:28:38.648] AZ SPEAKER_00
[ 00:28:39.340 -->  00:29:32.024] BA SPEAKER_02
[ 00:29:32.024 -->  00:31:59.865] BB SPEAKER_00
[ 00:31:59.984 -->  00:32:34.139] BC SPEAKER_00
[ 00:32:34.139 -->  00:32:34.223] BD SPEAKER_02
[ 00:32:34.341 -->  00:32:34.392] BE SPEAKER_02
[ 00:32:34.392 -->  00:32:34.965] BF SPEAKER_00
[ 00:32:34.965 -->  00:33:05.864] BG SPEAKER_02
[ 00:33:06.269 -->  00:35:44.084] BH SPEAKER_00
[ 00:35:44.522 -->  00:36:17.412] BI SPEAKER_02
[ 00:36:17.665 -->  00:38:45.085] BJ SPEAKER_00
[ 00:38:45.692 -->  00:38:45.760] BK SPEAKER_00
[ 00:38:45.760 -->  00:39:13.553] BL SPEAKER_02
[ 00:39:14.093 -->  00:41:22.866] BM SPEAKER_00
[ 00:41:22.950 -->  00:42:11.314] BN SPEAKER_00
[ 00:42:11.770 -->  00:42:18.705] BO SPEAKER_02
[ 00:42:19.127 -->  00:42:39.040] BP SPEAKER_02
[ 00:42:39.546 -->  00:44:10.975] BQ SPEAKER_00
[ 00:44:10.975 -->  00:44:29.925] BR SPEAKER_02
[ 00:44:30.584 -->  00:47:28.969] BS SPEAKER_00
[ 00:47:28.969 -->  00:47:29.307] BT SPEAKER_02
[ 00:47:29.779 -->  00:47:29.813] BU SPEAKER_00
[ 00:47:29.813 -->  00:47:44.427] BV SPEAKER_02
[ 00:47:45.051 -->  00:49:34.384] BW SPEAKER_00
[ 00:49:34.654 -->  00:49:34.688] BX SPEAKER_02
[ 00:49:34.688 -->  00:49:34.705] BY SPEAKER_00
[ 00:49:34.705 -->  00:49:53.470] BZ SPEAKER_02
[ 00:49:53.740 -->  00:49:54.854] CA SPEAKER_02
