[ 00:00:00.030 -->  00:00:02.123] A SPEAKER_00
[ 00:00:02.157 -->  00:00:02.882] B SPEAKER_02
[ 00:00:03.169 -->  00:00:07.135] C SPEAKER_00
[ 00:00:10.071 -->  00:00:20.432] E SPEAKER_00
[ 00:00:53.558 -->  00:01:01.067] G SPEAKER_00
[ 00:01:01.236 -->  00:01:04.020] H SPEAKER_00
[ 00:01:04.493 -->  00:01:05.219] I SPEAKER_00
[ 00:01:05.809 -->  00:01:23.039] J SPEAKER_00
[ 00:01:23.089 -->  00:01:44.234] K SPEAKER_00
[ 00:01:46.461 -->  00:01:52.182] M SPEAKER_00
[ 00:01:52.384 -->  00:02:41.237] N SPEAKER_00
[ 00:02:44.427 -->  00:02:59.057] R SPEAKER_00
[ 00:02:59.142 -->  00:03:02.837] S SPEAKER_02
[ 00:03:03.192 -->  00:03:08.271] T SPEAKER_00
[ 00:03:08.406 -->  00:03:18.565] U SPEAKER_02
[ 00:03:19.054 -->  00:03:29.145] V SPEAKER_02
[ 00:03:29.449 -->  00:03:49.041] W SPEAKER_02
[ 00:03:49.328 -->  00:03:54.424] X SPEAKER_02
[ 00:03:54.441 -->  00:04:11.755] Y SPEAKER_02
[ 00:04:12.177 -->  00:04:23.061] Z SPEAKER_00
[ 00:04:23.415 -->  00:04:28.275] AA SPEAKER_00
[ 00:04:28.950 -->  00:05:03.072] AB SPEAKER_02
[ 00:05:03.510 -->  00:05:17.145] AC SPEAKER_02
[ 00:05:17.432 -->  00:05:48.617] AD SPEAKER_02
[ 00:05:48.820 -->  00:06:01.982] AE SPEAKER_02
[ 00:06:02.691 -->  00:06:26.822] AF SPEAKER_02
[ 00:06:27.092 -->  00:07:12.992] AG SPEAKER_00
[ 00:07:13.684 -->  00:07:19.725] AH SPEAKER_02
[ 00:07:20.012 -->  00:07:24.923] AI SPEAKER_02
[ 00:07:25.159 -->  00:07:31.470] AJ SPEAKER_02
[ 00:07:31.943 -->  00:07:50.624] AK SPEAKER_02
[ 00:07:51.096 -->  00:08:10.300] AL SPEAKER_02
[ 00:08:10.536 -->  00:08:14.384] AM SPEAKER_02
[ 00:08:14.637 -->  00:08:18.062] AN SPEAKER_02
[ 00:08:18.450 -->  00:08:49.973] AO SPEAKER_02
[ 00:08:50.125 -->  00:08:54.985] AP SPEAKER_02
[ 00:08:55.305 -->  00:09:07.017] AQ SPEAKER_02
[ 00:09:07.506 -->  00:09:23.942] AR SPEAKER_02
[ 00:09:24.094 -->  00:09:33.325] AS SPEAKER_02
[ 00:09:33.460 -->  00:09:38.640] AT SPEAKER_02
[ 00:09:39.332 -->  00:09:44.834] AU SPEAKER_02
[ 00:09:45.036 -->  00:09:51.668] AV SPEAKER_02
[ 00:09:52.073 -->  00:09:55.718] AW SPEAKER_00
[ 00:09:55.971 -->  00:10:23.359] AX SPEAKER_00
[ 00:10:23.849 -->  00:10:28.034] AY SPEAKER_02
[ 00:10:28.793 -->  00:10:40.724] AZ SPEAKER_02
[ 00:10:40.825 -->  00:11:12.668] BA SPEAKER_02
[ 00:11:13.242 -->  00:11:17.376] BB SPEAKER_02
[ 00:11:18.085 -->  00:11:59.344] BC SPEAKER_00
[ 00:11:59.800 -->  00:12:14.363] BD SPEAKER_02
[ 00:12:14.667 -->  00:12:28.926] BE SPEAKER_02
[ 00:12:29.382 -->  00:13:03.807] BF SPEAKER_02
[ 00:13:04.397 -->  00:13:21.914] BI SPEAKER_00
[ 00:13:22.251 -->  00:13:23.112] BJ SPEAKER_02
[ 00:13:23.382 -->  00:13:43.665] BK SPEAKER_02
[ 00:13:43.902 -->  00:13:59.376] BL SPEAKER_02
[ 00:13:59.494 -->  00:14:12.100] BM SPEAKER_02
[ 00:14:12.235 -->  00:14:13.180] BN SPEAKER_02
[ 00:14:13.585 -->  00:14:19.305] BO SPEAKER_02
[ 00:14:19.592 -->  00:14:50.558] BP SPEAKER_02
[ 00:14:51.165 -->  00:15:25.253] BQ SPEAKER_02
[ 00:15:25.877 -->  00:15:57.315] BR SPEAKER_00
[ 00:15:57.687 -->  00:16:11.507] BS SPEAKER_02
[ 00:16:11.845 -->  00:16:35.234] BT SPEAKER_02
[ 00:16:35.504 -->  00:16:43.519] BU SPEAKER_02
[ 00:16:43.874 -->  00:16:51.214] BV SPEAKER_02
[ 00:16:51.434 -->  00:16:55.720] BW SPEAKER_02
[ 00:16:56.091 -->  00:16:58.369] BX SPEAKER_02
[ 00:16:58.437 -->  00:17:08.157] BY SPEAKER_02
[ 00:17:08.477 -->  00:17:38.582] BZ SPEAKER_02
[ 00:17:38.903 -->  00:17:42.345] CA SPEAKER_02
[ 00:17:42.936 -->  00:18:13.733] CB SPEAKER_00
[ 00:18:14.070 -->  00:18:25.832] CC SPEAKER_02
[ 00:18:25.967 -->  00:18:30.760] CD SPEAKER_00
[ 00:18:31.131 -->  00:18:34.034] CE SPEAKER_00
[ 00:18:34.489 -->  00:18:44.260] CF SPEAKER_02
[ 00:18:44.783 -->  00:19:18.989] CG SPEAKER_02
[ 00:18:51.263 -->  00:18:51.634] CH SPEAKER_00
[ 00:19:01.641 -->  00:19:01.793] CI SPEAKER_00
[ 00:19:01.827 -->  00:19:01.979] CK SPEAKER_00
[ 00:19:19.140 -->  00:19:28.405] CL SPEAKER_02
[ 00:19:19.984 -->  00:19:20.018] CM SPEAKER_00
[ 00:19:23.325 -->  00:19:24.068] CN SPEAKER_00
[ 00:19:28.827 -->  00:19:39.627] CO SPEAKER_02
[ 00:19:40.268 -->  00:19:52.350] CP SPEAKER_00
[ 00:19:52.772 -->  00:20:03.994] CQ SPEAKER_02
[ 00:20:04.416 -->  00:20:09.276] CR SPEAKER_02
[ 00:20:09.327 -->  00:20:19.705] CS SPEAKER_02
[ 00:20:20.076 -->  00:20:21.240] CT SPEAKER_02
[ 00:20:21.578 -->  00:20:27.045] CU SPEAKER_02
[ 00:20:27.282 -->  00:20:34.656] CV SPEAKER_02
[ 00:20:35.044 -->  00:20:43.667] CW SPEAKER_02
[ 00:20:44.039 -->  00:20:46.367] CX SPEAKER_02
[ 00:20:46.857 -->  00:20:49.607] CY SPEAKER_02
[ 00:20:50.114 -->  00:21:01.268] CZ SPEAKER_00
[ 00:21:01.926 -->  00:21:09.689] DA SPEAKER_02
[ 00:21:10.127 -->  00:21:15.089] DB SPEAKER_02
[ 00:21:15.257 -->  00:21:27.104] DC SPEAKER_02
[ 00:21:27.272 -->  00:21:28.622] DD SPEAKER_02
[ 00:21:29.027 -->  00:21:30.529] DE SPEAKER_02
[ 00:21:30.614 -->  00:21:33.617] DF SPEAKER_02
[ 00:21:34.090 -->  00:21:40.519] DG SPEAKER_02
[ 00:21:40.924 -->  00:21:42.527] DH SPEAKER_02
[ 00:21:42.848 -->  00:21:44.772] DI SPEAKER_02
[ 00:21:45.126 -->  00:21:48.805] DJ SPEAKER_02
[ 00:21:49.058 -->  00:21:53.327] DK SPEAKER_02
[ 00:21:53.429 -->  00:21:54.644] DL SPEAKER_02
[ 00:21:55.099 -->  00:22:04.009] DM SPEAKER_02
[ 00:22:04.110 -->  00:22:05.714] DN SPEAKER_02
[ 00:22:05.967 -->  00:22:09.156] DO SPEAKER_02
[ 00:22:09.544 -->  00:22:51.074] DP SPEAKER_02
[ 00:22:51.225 -->  00:22:54.989] DQ SPEAKER_02
[ 00:22:55.495 -->  00:23:08.725] DR SPEAKER_02
[ 00:23:08.860 -->  00:23:17.095] DS SPEAKER_02
[ 00:23:17.365 -->  00:23:19.727] DT SPEAKER_02
[ 00:23:20.099 -->  00:23:36.619] DU SPEAKER_00
[ 00:23:36.839 -->  00:23:45.411] DV SPEAKER_02
[ 00:23:45.850 -->  00:23:51.030] DW SPEAKER_02
[ 00:23:51.317 -->  00:23:55.485] DY SPEAKER_02
[ 00:23:55.874 -->  00:24:02.995] DZ SPEAKER_02
[ 00:24:03.687 -->  00:24:30.197] EA SPEAKER_00
[ 00:24:30.518 -->  00:24:37.099] EB SPEAKER_02
[ 00:24:37.538 -->  00:24:43.107] EC SPEAKER_02
[ 00:24:43.512 -->  00:24:53.991] ED SPEAKER_02
[ 00:24:54.227 -->  00:24:58.075] EE SPEAKER_02
[ 00:24:58.125 -->  00:25:01.585] EF SPEAKER_02
[ 00:25:01.770 -->  00:25:03.407] EG SPEAKER_02
[ 00:25:03.458 -->  00:25:09.820] EH SPEAKER_02
[ 00:25:09.989 -->  00:25:27.977] EI SPEAKER_02
[ 00:25:28.197 -->  00:25:31.184] EK SPEAKER_02
[ 00:25:31.690 -->  00:25:34.120] EL SPEAKER_02
[ 00:25:34.221 -->  00:25:53.408] EM SPEAKER_02
[ 00:25:53.425 -->  00:25:58.335] EN SPEAKER_02
[ 00:25:58.875 -->  00:26:01.727] EO SPEAKER_02
[ 00:26:01.913 -->  00:26:03.060] EP SPEAKER_02
[ 00:26:03.330 -->  00:26:06.604] EQ SPEAKER_02
[ 00:26:06.942 -->  00:26:19.851] ER SPEAKER_02
[ 00:26:20.172 -->  00:26:42.514] ES SPEAKER_02
[ 00:26:42.970 -->  00:27:00.604] ET SPEAKER_02
[ 00:27:00.908 -->  00:27:19.049] EU SPEAKER_00
[ 00:27:19.420 -->  00:27:22.103] EV SPEAKER_02
[ 00:27:22.272 -->  00:27:48.597] EW SPEAKER_02
[ 00:27:37.814 -->  00:27:38.168] EX SPEAKER_00
[ 00:27:38.303 -->  00:27:38.387] EZ SPEAKER_00
[ 00:27:48.664 -->  00:27:54.300] FA SPEAKER_02
[ 00:27:54.503 -->  00:27:55.988] FB SPEAKER_02
[ 00:27:56.292 -->  00:28:09.404] FC SPEAKER_02
[ 00:28:06.569 -->  00:28:06.788] FD SPEAKER_00
[ 00:28:09.809 -->  00:28:51.760] FE SPEAKER_02
[ 00:28:52.317 -->  00:29:02.847] FF SPEAKER_02
[ 00:28:58.476 -->  00:28:58.679] FG SPEAKER_00
[ 00:28:58.712 -->  00:28:58.898] FI SPEAKER_00
[ 00:29:03.269 -->  00:29:09.074] FJ SPEAKER_02
[ 00:29:09.293 -->  00:29:19.992] FK SPEAKER_02
[ 00:29:20.582 -->  00:29:22.540] FL SPEAKER_02
[ 00:29:22.945 -->  00:29:26.033] FM SPEAKER_02
[ 00:29:26.219 -->  00:29:38.149] FN SPEAKER_02
[ 00:29:38.217 -->  00:30:00.846] FO SPEAKER_02
[ 00:30:01.251 -->  00:30:05.048] FP SPEAKER_02
[ 00:30:05.470 -->  00:30:10.667] FQ SPEAKER_00
[ 00:30:10.937 -->  00:30:23.425] FR SPEAKER_00
[ 00:30:23.965 -->  00:30:36.655] FS SPEAKER_02
[ 00:30:36.992 -->  00:30:46.341] FT SPEAKER_02
[ 00:30:46.510 -->  00:30:49.767] FU SPEAKER_02
[ 00:30:50.273 -->  00:31:22.487] FV SPEAKER_00
[ 00:31:22.808 -->  00:31:30.604] FW SPEAKER_02
[ 00:31:31.110 -->  00:32:19.424] FX SPEAKER_02
[ 00:32:19.508 -->  00:32:19.525] FY SPEAKER_02
[ 00:32:19.626 -->  00:32:26.950] FZ SPEAKER_02
