[ 00:00:00.098 -->  00:00:01.229] A SPEAKER_01
[ 00:00:01.617 -->  00:00:01.904] B SPEAKER_02
[ 00:00:02.241 -->  00:00:06.055] C SPEAKER_01
[ 00:00:09.413 -->  00:00:19.740] G SPEAKER_01
[ 00:00:52.883 -->  00:01:00.359] I SPEAKER_01
[ 00:01:00.612 -->  00:01:03.362] J SPEAKER_01
[ 00:01:03.835 -->  00:01:04.544] K SPEAKER_01
[ 00:01:05.134 -->  00:01:22.330] L SPEAKER_01
[ 00:01:22.448 -->  00:01:43.525] M SPEAKER_01
[ 00:01:45.837 -->  00:02:35.922] N SPEAKER_01
[ 00:02:38.959 -->  00:02:42.351] O SPEAKER_01
[ 00:02:42.705 -->  00:03:01.302] P SPEAKER_01
[ 00:03:01.572 -->  00:03:05.031] Q SPEAKER_02
[ 00:03:05.504 -->  00:03:22.665] R SPEAKER_01
[ 00:03:23.138 -->  00:03:34.377] S SPEAKER_02
[ 00:03:34.562 -->  00:03:40.249] T SPEAKER_02
[ 00:03:40.485 -->  00:04:02.777] U SPEAKER_02
[ 00:04:03.233 -->  00:04:14.708] V SPEAKER_02
[ 00:04:14.877 -->  00:04:17.982] W SPEAKER_02
[ 00:04:18.353 -->  00:04:19.619] X SPEAKER_02
[ 00:04:20.024 -->  00:04:44.189] Y SPEAKER_02
[ 00:04:44.492 -->  00:04:48.745] Z SPEAKER_02
[ 00:04:48.981 -->  00:04:58.920] AA SPEAKER_02
[ 00:04:59.494 -->  00:05:08.759] AB SPEAKER_02
[ 00:05:09.130 -->  00:05:32.637] AC SPEAKER_02
[ 00:05:32.721 -->  00:06:04.277] AD SPEAKER_02
[ 00:06:04.851 -->  00:06:06.404] AE SPEAKER_02
[ 00:06:06.572 -->  00:06:14.048] AF SPEAKER_02
[ 00:06:14.419 -->  00:06:17.288] AG SPEAKER_02
[ 00:06:17.423 -->  00:06:18.773] AH SPEAKER_02
[ 00:06:19.060 -->  00:06:22.232] AI SPEAKER_02
[ 00:06:22.772 -->  00:06:43.005] AJ SPEAKER_02
[ 00:06:43.326 -->  00:06:45.621] AK SPEAKER_02
[ 00:06:45.756 -->  00:06:48.675] AL SPEAKER_02
[ 00:06:48.979 -->  00:07:04.032] AM SPEAKER_02
[ 00:07:04.352 -->  00:07:11.777] AN SPEAKER_02
[ 00:07:12.047 -->  00:07:12.959] AO SPEAKER_02
[ 00:07:13.347 -->  00:07:21.160] AP SPEAKER_02
[ 00:07:21.666 -->  00:07:25.800] AQ SPEAKER_02
[ 00:07:26.087 -->  00:07:37.664] AR SPEAKER_02
[ 00:07:37.883 -->  00:08:00.782] AS SPEAKER_02
[ 00:08:00.968 -->  00:08:03.600] AT SPEAKER_02
[ 00:08:03.972 -->  00:08:11.346] AU SPEAKER_02
[ 00:08:11.565 -->  00:08:22.214] AV SPEAKER_02
[ 00:08:22.484 -->  00:08:36.591] AW SPEAKER_02
[ 00:08:37.047 -->  00:08:40.135] AX SPEAKER_02
[ 00:08:40.337 -->  00:08:53.027] AY SPEAKER_02
[ 00:08:53.449 -->  00:09:00.604] AZ SPEAKER_02
[ 00:09:00.739 -->  00:09:15.471] BA SPEAKER_02
[ 00:09:15.876 -->  00:09:35.012] BB SPEAKER_01
[ 00:09:35.417 -->  00:10:15.597] BC SPEAKER_02
[ 00:10:16.137 -->  00:10:19.815] BD SPEAKER_02
[ 00:10:20.069 -->  00:10:45.229] BE SPEAKER_02
[ 00:10:45.820 -->  00:10:47.271] BF SPEAKER_02
[ 00:10:47.541 -->  00:10:48.385] BG SPEAKER_02
[ 00:10:48.739 -->  00:10:50.798] BH SPEAKER_02
[ 00:10:50.950 -->  00:10:52.604] BI SPEAKER_02
[ 00:10:52.755 -->  00:10:52.958] BJ SPEAKER_02
[ 00:10:53.549 -->  00:10:57.818] BK SPEAKER_02
[ 00:10:58.122 -->  00:11:58.551] BL SPEAKER_02
[ 00:11:58.703 -->  00:12:03.377] BM SPEAKER_02
[ 00:12:03.597 -->  00:12:04.508] BN SPEAKER_02
[ 00:12:04.812 -->  00:12:17.654] BO SPEAKER_02
[ 00:12:17.890 -->  00:13:11.974] BP SPEAKER_02
[ 00:13:12.565 -->  00:13:27.685] BQ SPEAKER_01
[ 00:13:28.107 -->  00:15:01.915] BR SPEAKER_02
[ 00:15:01.999 -->  00:15:54.497] BT SPEAKER_02
[ 00:15:54.767 -->  00:15:55.915] BU SPEAKER_02
[ 00:15:56.370 -->  00:15:59.054] BV SPEAKER_02
[ 00:15:59.374 -->  00:16:02.310] BW SPEAKER_02
[ 00:16:02.901 -->  00:16:16.165] BX SPEAKER_02
[ 00:16:16.890 -->  00:16:24.839] BZ SPEAKER_02
[ 00:16:24.974 -->  00:17:05.507] CA SPEAKER_02
[ 00:17:05.609 -->  00:17:31.731] CB SPEAKER_02
[ 00:17:32.541 -->  00:18:23.149] CC SPEAKER_01
[ 00:18:23.554 -->  00:18:34.810] CD SPEAKER_02
[ 00:18:34.995 -->  00:18:53.676] CE SPEAKER_02
[ 00:18:53.912 -->  00:20:28.294] CF SPEAKER_02
[ 00:20:28.632 -->  00:20:42.199] CH SPEAKER_02
[ 00:20:42.705 -->  00:21:05.048] CI SPEAKER_02
[ 00:21:05.740 -->  00:21:24.015] CJ SPEAKER_01
[ 00:21:24.539 -->  00:21:35.845] CK SPEAKER_02
[ 00:21:36.165 -->  00:22:26.453] CL SPEAKER_02
[ 00:22:26.655 -->  00:22:34.030] CM SPEAKER_02
[ 00:22:34.350 -->  00:22:55.596] CN SPEAKER_02
[ 00:22:55.815 -->  00:23:23.811] CO SPEAKER_02
[ 00:23:24.132 -->  00:23:28.840] CP SPEAKER_02
[ 00:23:29.245 -->  00:23:31.135] CQ SPEAKER_02
[ 00:23:31.253 -->  00:23:39.117] CR SPEAKER_02
[ 00:23:39.302 -->  00:23:47.706] CS SPEAKER_02
[ 00:23:48.077 -->  00:23:57.797] CT SPEAKER_02
[ 00:23:58.017 -->  00:24:06.572] CU SPEAKER_02
[ 00:24:07.062 -->  00:24:11.432] CV SPEAKER_02
[ 00:24:11.820 -->  00:24:21.524] CW SPEAKER_02
[ 00:24:22.080 -->  00:24:26.384] CX SPEAKER_02
[ 00:24:27.244 -->  00:24:49.435] CY SPEAKER_01
[ 00:24:49.907 -->  00:24:59.425] CZ SPEAKER_02
[ 00:24:59.796 -->  00:25:15.574] DA SPEAKER_02
[ 00:25:15.794 -->  00:25:21.902] DB SPEAKER_02
[ 00:25:22.425 -->  00:25:25.379] DC SPEAKER_02
[ 00:25:25.497 -->  00:25:39.233] DD SPEAKER_02
[ 00:25:39.554 -->  00:26:22.551] DE SPEAKER_02
[ 00:26:22.770 -->  00:26:26.044] DF SPEAKER_02
[ 00:26:26.652 -->  00:26:58.022] DG SPEAKER_01
[ 00:26:58.562 -->  00:27:05.363] DH SPEAKER_02
[ 00:27:05.852 -->  00:27:13.446] DI SPEAKER_02
[ 00:27:13.733 -->  00:27:25.765] DJ SPEAKER_02
[ 00:27:25.883 -->  00:27:28.937] DL SPEAKER_02
[ 00:27:29.309 -->  00:27:31.435] DM SPEAKER_02
[ 00:27:31.755 -->  00:27:50.065] DN SPEAKER_02
[ 00:27:50.369 -->  00:27:53.305] DO SPEAKER_02
[ 00:27:53.929 -->  00:28:17.942] DP SPEAKER_02
[ 00:28:18.449 -->  00:28:29.535] DQ SPEAKER_01
[ 00:28:30.160 -->  00:28:35.526] DR SPEAKER_02
[ 00:28:35.880 -->  00:28:39.829] DS SPEAKER_02
[ 00:28:40.065 -->  00:28:40.859] DT SPEAKER_02
[ 00:28:41.213 -->  00:28:58.189] DU SPEAKER_02
[ 00:28:58.611 -->  00:29:13.275] DV SPEAKER_02
[ 00:29:13.799 -->  00:29:28.665] DW SPEAKER_02
[ 00:29:28.716 -->  00:29:55.514] DX SPEAKER_02
[ 00:29:55.699 -->  00:29:59.209] DY SPEAKER_02
[ 00:29:59.462 -->  00:30:12.996] DZ SPEAKER_02
[ 00:30:13.283 -->  00:30:24.876] EA SPEAKER_02
[ 00:30:25.399 -->  00:30:35.490] EB SPEAKER_01
[ 00:30:36.098 -->  00:30:37.836] EC SPEAKER_02
[ 00:30:37.971 -->  00:30:40.148] ED SPEAKER_02
[ 00:30:40.553 -->  00:30:59.385] EE SPEAKER_02
[ 00:30:59.807 -->  00:31:02.744] EF SPEAKER_02
[ 00:31:03.064 -->  00:31:14.033] EG SPEAKER_02
[ 00:31:14.404 -->  00:31:16.379] EH SPEAKER_02
[ 00:31:16.598 -->  00:31:25.373] EI SPEAKER_02
[ 00:31:25.559 -->  00:31:52.035] EJ SPEAKER_02
[ 00:31:52.289 -->  00:32:25.549] EL SPEAKER_02
[ 00:32:25.971 -->  00:32:30.679] EM SPEAKER_02
[ 00:32:30.915 -->  00:32:32.384] EN SPEAKER_02
[ 00:32:32.721 -->  00:33:07.180] EO SPEAKER_02
[ 00:33:07.652 -->  00:33:24.696] EQ SPEAKER_02
[ 00:33:24.797 -->  00:33:34.349] ER SPEAKER_02
[ 00:33:34.872 -->  00:33:50.700] ES SPEAKER_02
[ 00:33:51.240 -->  00:34:15.524] ET SPEAKER_01
[ 00:34:16.013 -->  00:34:51.299] EU SPEAKER_02
[ 00:34:51.434 -->  00:35:09.507] EV SPEAKER_02
[ 00:35:09.726 -->  00:35:18.096] EW SPEAKER_02
[ 00:35:18.349 -->  00:35:33.402] EX SPEAKER_02
[ 00:35:34.009 -->  00:35:54.141] EY SPEAKER_01
[ 00:35:54.580 -->  00:36:25.495] EZ SPEAKER_02
[ 00:36:25.799 -->  00:36:33.156] FA SPEAKER_02
[ 00:36:33.460 -->  00:36:48.377] FB SPEAKER_02
[ 00:36:49.272 -->  00:36:54.030] FC SPEAKER_01
[ 00:36:54.587 -->  00:37:03.700] FD SPEAKER_02
[ 00:37:04.155 -->  00:37:08.459] FE SPEAKER_02
[ 00:37:09.117 -->  00:37:11.125] FF SPEAKER_02
[ 00:37:11.749 -->  00:37:39.779] FG SPEAKER_02
[ 00:37:39.914 -->  00:38:08.787] FH SPEAKER_02
[ 00:38:09.141 -->  00:38:26.624] FI SPEAKER_02
[ 00:38:27.079 -->  00:38:36.040] FJ SPEAKER_02
[ 00:38:36.377 -->  00:38:39.820] FK SPEAKER_02
[ 00:38:40.157 -->  00:38:42.402] FL SPEAKER_02
[ 00:38:42.638 -->  00:38:45.304] FM SPEAKER_02
[ 00:38:45.557 -->  00:38:49.455] FN SPEAKER_02
[ 00:38:49.776 -->  00:38:58.163] FO SPEAKER_02
[ 00:38:58.585 -->  00:39:07.495] FP SPEAKER_02
[ 00:39:07.866 -->  00:39:16.810] FQ SPEAKER_02
[ 00:39:17.417 -->  00:39:32.318] FR SPEAKER_02
[ 00:39:32.622 -->  00:39:36.115] FS SPEAKER_02
[ 00:39:36.790 -->  00:39:50.594] FT SPEAKER_02
[ 00:39:50.965 -->  00:40:01.275] FU SPEAKER_02
[ 00:40:01.478 -->  00:40:04.431] FV SPEAKER_02
[ 00:40:04.988 -->  00:40:24.563] FW SPEAKER_02
[ 00:40:24.765 -->  00:40:32.916] FX SPEAKER_02
[ 00:40:33.270 -->  00:41:03.595] FY SPEAKER_02
[ 00:41:04.169 -->  00:41:34.004] FZ SPEAKER_01
[ 00:41:34.476 -->  00:41:52.752] GA SPEAKER_02
[ 00:41:53.022 -->  00:42:02.759] GB SPEAKER_02
[ 00:42:02.894 -->  00:42:23.363] GC SPEAKER_02
[ 00:42:23.532 -->  00:42:27.143] GD SPEAKER_02
[ 00:42:27.464 -->  00:42:52.236] GE SPEAKER_02
[ 00:42:52.540 -->  00:43:44.582] GF SPEAKER_02
[ 00:43:44.785 -->  00:43:46.979] GG SPEAKER_02
[ 00:43:47.232 -->  00:43:53.121] GH SPEAKER_02
[ 00:43:53.509 -->  00:44:31.377] GI SPEAKER_01
[ 00:44:31.714 -->  00:44:38.886] GJ SPEAKER_02
[ 00:44:39.308 -->  00:44:48.235] GK SPEAKER_02
[ 00:44:48.674 -->  00:45:01.482] GL SPEAKER_02
[ 00:45:01.836 -->  00:45:08.957] GM SPEAKER_02
[ 00:45:09.227 -->  00:45:23.301] GO SPEAKER_02
[ 00:45:23.622 -->  00:45:28.060] GP SPEAKER_02
[ 00:45:28.313 -->  00:45:32.970] GQ SPEAKER_02
[ 00:45:33.443 -->  00:45:35.249] GR SPEAKER_02
[ 00:45:35.738 -->  00:46:19.680] GS SPEAKER_02
[ 00:46:20.170 -->  00:46:25.418] GT SPEAKER_01
[ 00:46:25.874 -->  00:46:37.551] GU SPEAKER_02
[ 00:46:37.990 -->  00:46:45.854] GV SPEAKER_01
[ 00:46:46.309 -->  00:47:19.418] GW SPEAKER_02
[ 00:47:19.975 -->  00:47:38.470] GX SPEAKER_01
[ 00:47:38.925 -->  00:47:47.599] GY SPEAKER_02
[ 00:47:48.156 -->  00:47:50.856] GZ SPEAKER_02
[ 00:47:51.312 -->  00:47:53.404] HA SPEAKER_02
[ 00:47:53.674 -->  00:47:58.635] HB SPEAKER_02
[ 00:47:59.091 -->  00:48:09.132] HC SPEAKER_02
[ 00:48:09.570 -->  00:48:18.565] HD SPEAKER_02
[ 00:48:18.818 -->  00:48:19.932] HE SPEAKER_02
[ 00:48:20.151 -->  00:48:30.293] HF SPEAKER_02
