[ 00:00:00.030 -->  00:00:01.296] A SPEAKER_00
[ 00:00:01.600 -->  00:00:07.050] B SPEAKER_00
[ 00:00:07.607 -->  00:00:07.894] C SPEAKER_02
[ 00:00:07.911 -->  00:00:07.945] D SPEAKER_02
[ 00:00:08.147 -->  00:00:08.704] E SPEAKER_02
[ 00:00:09.497 -->  00:00:09.784] F SPEAKER_02
[ 00:00:10.037 -->  00:00:20.382] G SPEAKER_00
[ 00:00:22.592 -->  00:00:22.609] H SPEAKER_00
[ 00:00:53.524 -->  00:01:04.054] J SPEAKER_00
[ 00:01:04.442 -->  00:01:05.202] K SPEAKER_00
[ 00:01:05.775 -->  00:01:44.149] L SPEAKER_00
[ 00:01:46.410 -->  00:01:56.029] N SPEAKER_00
[ 00:01:56.400 -->  00:02:21.477] O SPEAKER_00
[ 00:02:22.118 -->  00:02:40.343] P SPEAKER_00
[ 00:02:40.714 -->  00:02:43.650] Q SPEAKER_00
[ 00:02:46.755 -->  00:02:51.092] R SPEAKER_00
[ 00:02:51.430 -->  00:03:16.405] S SPEAKER_00
[ 00:03:17.232 -->  00:03:22.159] T SPEAKER_00
[ 00:03:22.615 -->  00:03:44.029] U SPEAKER_00
[ 00:03:44.029 -->  00:03:54.593] V SPEAKER_02
[ 00:03:55.200 -->  00:04:14.775] W SPEAKER_02
[ 00:04:14.894 -->  00:04:21.593] X SPEAKER_02
[ 00:04:21.779 -->  00:04:26.774] Y SPEAKER_02
[ 00:04:27.229 -->  00:04:41.252] Z SPEAKER_02
[ 00:04:41.860 -->  00:04:47.783] AA SPEAKER_02
[ 00:04:48.458 -->  00:04:53.149] AB SPEAKER_02
[ 00:04:53.436 -->  00:04:58.127] AC SPEAKER_02
[ 00:04:58.279 -->  00:05:04.590] AD SPEAKER_02
[ 00:05:04.810 -->  00:05:08.421] AE SPEAKER_02
[ 00:05:08.556 -->  00:05:23.963] AF SPEAKER_02
[ 00:05:24.250 -->  00:05:29.751] AG SPEAKER_02
[ 00:05:30.426 -->  00:05:50.710] AH SPEAKER_02
[ 00:05:50.980 -->  00:05:52.110] AI SPEAKER_02
[ 00:05:52.634 -->  00:06:04.514] AJ SPEAKER_02
[ 00:06:04.817 -->  00:06:06.100] AK SPEAKER_02
[ 00:06:06.741 -->  00:07:10.545] AL SPEAKER_02
[ 00:07:10.748 -->  00:07:27.741] AM SPEAKER_02
[ 00:07:27.960 -->  00:07:33.175] AN SPEAKER_02
[ 00:07:34.491 -->  00:07:44.059] AO SPEAKER_00
[ 00:07:44.059 -->  00:07:45.949] AP SPEAKER_02
[ 00:07:45.949 -->  00:07:48.447] AQ SPEAKER_00
[ 00:07:48.649 -->  00:07:49.915] AR SPEAKER_00
[ 00:07:50.539 -->  00:08:03.854] AS SPEAKER_00
[ 00:08:04.208 -->  00:08:10.789] AT SPEAKER_02
[ 00:08:11.076 -->  00:08:14.012] AU SPEAKER_02
[ 00:08:14.586 -->  00:08:16.544] AV SPEAKER_02
[ 00:08:16.594 -->  00:08:18.231] AW SPEAKER_02
[ 00:08:18.754 -->  00:08:23.479] AX SPEAKER_02
[ 00:08:23.749 -->  00:08:31.056] AY SPEAKER_02
[ 00:08:31.697 -->  00:08:38.937] AZ SPEAKER_02
[ 00:08:39.915 -->  00:08:44.860] BA SPEAKER_02
[ 00:08:45.501 -->  00:08:45.737] BB SPEAKER_02
[ 00:08:46.142 -->  00:08:53.770] BC SPEAKER_02
[ 00:08:54.006 -->  00:08:55.744] BD SPEAKER_02
[ 00:08:56.537 -->  00:09:11.522] BE SPEAKER_02
[ 00:09:12.012 -->  00:09:17.412] BF SPEAKER_02
[ 00:09:17.665 -->  00:09:18.374] BG SPEAKER_02
[ 00:09:18.627 -->  00:09:21.428] BH SPEAKER_02
[ 00:09:22.002 -->  00:09:26.069] BI SPEAKER_02
[ 00:09:26.609 -->  00:09:45.458] BJ SPEAKER_02
[ 00:09:45.542 -->  00:10:02.029] BK SPEAKER_02
[ 00:10:02.029 -->  00:10:02.670] BL SPEAKER_00
[ 00:10:03.177 -->  00:10:03.194] BM SPEAKER_02
[ 00:10:03.194 -->  00:10:23.022] BN SPEAKER_00
[ 00:10:23.275 -->  00:10:35.222] BO SPEAKER_00
[ 00:10:35.442 -->  00:10:35.965] BP SPEAKER_00
[ 00:10:35.965 -->  00:10:50.444] BQ SPEAKER_02
[ 00:10:51.439 -->  00:11:03.252] BR SPEAKER_02
[ 00:11:03.522 -->  00:11:24.919] BS SPEAKER_02
[ 00:11:25.274 -->  00:11:53.759] BT SPEAKER_02
[ 00:11:54.096 -->  00:11:59.294] BU SPEAKER_02
[ 00:11:59.699 -->  00:12:01.994] BV SPEAKER_02
[ 00:12:03.023 -->  00:12:18.919] BW SPEAKER_02
[ 00:12:19.493 -->  00:12:21.737] BX SPEAKER_02
[ 00:12:21.990 -->  00:12:22.986] BY SPEAKER_02
[ 00:12:23.205 -->  00:12:38.595] BZ SPEAKER_02
[ 00:12:38.595 -->  00:12:38.612] CA SPEAKER_00
[ 00:12:39.422 -->  00:12:49.665] CB SPEAKER_00
[ 00:12:49.817 -->  00:13:02.558] CC SPEAKER_00
[ 00:13:03.149 -->  00:13:34.418] CD SPEAKER_02
[ 00:13:34.519 -->  00:14:12.100] CE SPEAKER_02
[ 00:14:12.572 -->  00:14:20.217] CF SPEAKER_02
[ 00:14:20.774 -->  00:14:34.425] CG SPEAKER_02
[ 00:14:34.999 -->  00:14:39.015] CH SPEAKER_02
[ 00:14:39.977 -->  00:14:56.127] CI SPEAKER_02
[ 00:14:56.616 -->  00:14:57.274] CJ SPEAKER_02
[ 00:14:57.612 -->  00:15:00.312] CK SPEAKER_02
[ 00:15:00.632 -->  00:15:13.964] CL SPEAKER_02
[ 00:15:14.571 -->  00:15:53.046] CM SPEAKER_02
[ 00:15:53.620 -->  00:15:56.438] CN SPEAKER_02
[ 00:15:57.197 -->  00:16:00.741] CO SPEAKER_02
[ 00:16:01.382 -->  00:16:03.441] CP SPEAKER_02
[ 00:16:03.745 -->  00:16:13.819] CQ SPEAKER_02
[ 00:16:14.747 -->  00:16:15.389] CR SPEAKER_00
[ 00:16:15.861 -->  00:16:50.033] CS SPEAKER_00
[ 00:16:50.674 -->  00:17:01.845] CT SPEAKER_02
[ 00:17:02.082 -->  00:17:46.193] CU SPEAKER_02
[ 00:17:47.087 -->  00:18:21.529] CV SPEAKER_02
[ 00:18:23.453 -->  00:18:37.105] CW SPEAKER_02
[ 00:18:37.425 -->  00:18:56.933] CX SPEAKER_02
[ 00:18:57.254 -->  00:19:09.522] CY SPEAKER_02
