[ 00:00:00.030 -->  00:00:01.482] A SPEAKER_00
[ 00:00:01.735 -->  00:00:02.224] B SPEAKER_02
[ 00:00:02.224 -->  00:00:02.241] C SPEAKER_00
[ 00:00:02.477 -->  00:00:06.477] D SPEAKER_00
[ 00:00:09.464 -->  00:00:19.774] G SPEAKER_00
[ 00:00:52.950 -->  00:01:00.409] I SPEAKER_00
[ 00:01:00.662 -->  00:01:03.464] J SPEAKER_00
[ 00:01:03.885 -->  00:01:04.628] K SPEAKER_00
[ 00:01:05.202 -->  00:01:43.474] L SPEAKER_00
[ 00:01:45.904 -->  00:01:51.135] N SPEAKER_00
[ 00:01:51.389 -->  00:02:14.187] O SPEAKER_00
[ 00:02:14.879 -->  00:02:27.889] P SPEAKER_00
[ 00:02:28.142 -->  00:02:36.546] Q SPEAKER_00
[ 00:02:39.179 -->  00:02:55.058] R SPEAKER_00
[ 00:02:55.379 -->  00:02:56.273] S SPEAKER_02
[ 00:02:56.830 -->  00:03:05.031] T SPEAKER_00
[ 00:03:05.318 -->  00:03:05.807] U SPEAKER_02
[ 00:03:06.212 -->  00:03:12.254] V SPEAKER_02
[ 00:03:12.692 -->  00:03:17.637] W SPEAKER_02
[ 00:03:18.008 -->  00:03:21.855] X SPEAKER_02
[ 00:03:22.024 -->  00:03:27.002] Y SPEAKER_02
[ 00:03:27.441 -->  00:03:30.563] Z SPEAKER_02
[ 00:03:30.816 -->  00:03:33.280] AA SPEAKER_02
[ 00:03:33.533 -->  00:03:36.587] AB SPEAKER_02
[ 00:03:37.026 -->  00:03:42.359] AC SPEAKER_02
[ 00:03:42.848 -->  00:03:49.007] AD SPEAKER_02
[ 00:03:49.547 -->  00:04:14.337] AE SPEAKER_00
[ 00:04:14.792 -->  00:04:15.737] AF SPEAKER_02
[ 00:04:15.974 -->  00:04:20.125] AG SPEAKER_02
[ 00:04:20.142 -->  00:04:21.863] AH SPEAKER_02
[ 00:04:22.352 -->  00:04:23.449] AI SPEAKER_02
[ 00:04:23.618 -->  00:04:26.504] AJ SPEAKER_02
[ 00:04:26.672 -->  00:04:28.799] AK SPEAKER_02
[ 00:04:29.153 -->  00:04:35.160] AL SPEAKER_02
[ 00:04:35.430 -->  00:04:39.784] AM SPEAKER_02
[ 00:04:39.970 -->  00:04:45.252] AN SPEAKER_02
[ 00:04:45.674 -->  00:04:52.626] AO SPEAKER_02
[ 00:04:52.643 -->  00:04:55.360] AP SPEAKER_02
[ 00:04:55.849 -->  00:04:56.170] AQ SPEAKER_02
