[ 00:00:00.030 -->  00:00:06.814] A SPEAKER_00
[ 00:00:10.020 -->  00:00:20.365] C SPEAKER_00
[ 00:00:22.592 -->  00:00:22.609] D SPEAKER_00
[ 00:00:53.524 -->  00:01:01.101] F SPEAKER_00
[ 00:01:01.152 -->  00:01:04.037] G SPEAKER_00
[ 00:01:04.459 -->  00:01:05.185] H SPEAKER_00
[ 00:01:05.775 -->  00:01:44.250] I SPEAKER_00
[ 00:01:44.335 -->  00:01:44.352] J SPEAKER_00
[ 00:01:44.959 -->  00:01:44.976] M SPEAKER_00
[ 00:01:46.394 -->  00:02:35.230] O SPEAKER_00
[ 00:02:38.605 -->  00:02:54.417] P SPEAKER_00
[ 00:02:54.788 -->  00:02:56.172] Q SPEAKER_00
[ 00:02:56.627 -->  00:03:15.443] R SPEAKER_00
[ 00:03:16.000 -->  00:03:21.788] S SPEAKER_03
[ 00:03:22.125 -->  00:03:23.712] T SPEAKER_03
[ 00:03:23.931 -->  00:03:35.288] U SPEAKER_03
[ 00:03:35.676 -->  00:04:00.685] V SPEAKER_03
[ 00:04:01.073 -->  00:04:04.296] W SPEAKER_03
[ 00:04:04.549 -->  00:04:15.400] X SPEAKER_03
[ 00:04:15.602 -->  00:04:36.190] Y SPEAKER_03
[ 00:04:36.375 -->  00:04:54.128] Z SPEAKER_03
[ 00:04:54.735 -->  00:05:38.290] AA SPEAKER_00
[ 00:05:38.779 -->  00:05:39.977] AB SPEAKER_00
[ 00:05:39.977 -->  00:06:17.254] AC SPEAKER_03
[ 00:06:16.748 -->  00:06:17.102] AD SPEAKER_00
[ 00:06:17.457 -->  00:06:58.497] AE SPEAKER_03
[ 00:06:58.784 -->  00:07:13.971] AF SPEAKER_03
[ 00:07:14.258 -->  00:08:22.484] AG SPEAKER_03
[ 00:08:23.091 -->  00:09:37.628] AH SPEAKER_00
[ 00:09:38.168 -->  00:09:48.749] AI SPEAKER_03
[ 00:09:44.243 -->  00:09:44.496] AJ SPEAKER_00
[ 00:09:48.951 -->  00:10:15.276] AK SPEAKER_03
[ 00:10:15.529 -->  00:10:46.782] AL SPEAKER_03
[ 00:10:46.917 -->  00:10:54.932] AM SPEAKER_03
[ 00:10:55.236 -->  00:11:11.993] AN SPEAKER_03
[ 00:11:12.195 -->  00:11:41.912] AO SPEAKER_03
[ 00:11:41.929 -->  00:12:00.104] AP SPEAKER_03
[ 00:12:00.475 -->  00:12:51.842] AQ SPEAKER_03
[ 00:12:51.960 -->  00:12:59.706] AR SPEAKER_03
[ 00:13:00.432 -->  00:13:37.540] AS SPEAKER_00
[ 00:13:38.063 -->  00:13:38.130] AT SPEAKER_00
[ 00:13:38.130 -->  00:13:38.873] AU SPEAKER_03
[ 00:13:38.873 -->  00:13:38.974] AV SPEAKER_00
[ 00:13:38.974 -->  00:13:54.111] AW SPEAKER_03
[ 00:13:54.297 -->  00:14:09.012] AX SPEAKER_03
[ 00:14:09.265 -->  00:14:14.901] AY SPEAKER_03
