[ 00:00:00.030 -->  00:00:06.932] A SPEAKER_02
[ 00:00:10.071 -->  00:00:20.432] E SPEAKER_02
[ 00:00:53.575 -->  00:01:01.084] H SPEAKER_02
[ 00:01:01.253 -->  00:01:04.054] I SPEAKER_02
[ 00:01:04.493 -->  00:01:05.235] J SPEAKER_02
[ 00:01:05.809 -->  00:01:23.022] K SPEAKER_02
[ 00:01:23.089 -->  00:01:44.284] L SPEAKER_02
[ 00:01:46.478 -->  00:02:04.062] M SPEAKER_02
[ 00:02:04.197 -->  00:02:32.057] N SPEAKER_02
[ 00:02:34.285 -->  00:02:43.465] R SPEAKER_02
[ 00:02:44.157 -->  00:02:45.186] S SPEAKER_01
[ 00:02:45.726 -->  00:02:56.442] T SPEAKER_02
[ 00:02:56.880 -->  00:03:00.914] U SPEAKER_01
[ 00:03:01.470 -->  00:03:03.462] V SPEAKER_01
[ 00:03:03.664 -->  00:03:05.115] W SPEAKER_01
[ 00:03:05.622 -->  00:03:08.490] X SPEAKER_01
[ 00:03:08.929 -->  00:03:12.608] Y SPEAKER_01
[ 00:03:13.047 -->  00:03:16.034] Z SPEAKER_01
[ 00:03:16.557 -->  00:03:18.734] AA SPEAKER_01
[ 00:03:18.852 -->  00:03:21.906] AB SPEAKER_01
[ 00:03:22.514 -->  00:03:25.399] AC SPEAKER_01
[ 00:03:25.551 -->  00:03:31.761] AD SPEAKER_01
[ 00:03:32.183 -->  00:03:32.942] AE SPEAKER_01
[ 00:03:33.229 -->  00:03:36.030] AF SPEAKER_01
[ 00:03:36.233 -->  00:03:39.389] AG SPEAKER_01
[ 00:03:40.013 -->  00:03:45.480] AH SPEAKER_01
[ 00:03:46.004 -->  00:03:47.910] AI SPEAKER_01
[ 00:03:48.366 -->  00:03:55.521] AJ SPEAKER_01
[ 00:03:55.521 -->  00:04:14.202] AK SPEAKER_02
[ 00:04:14.556 -->  00:04:40.864] AL SPEAKER_01
[ 00:04:41.286 -->  00:04:44.762] AM SPEAKER_01
[ 00:04:45.134 -->  00:04:48.711] AN SPEAKER_01
[ 00:04:49.555 -->  00:05:00.237] AO SPEAKER_02
[ 00:05:00.659 -->  00:05:01.705] AP SPEAKER_01
[ 00:05:02.076 -->  00:05:03.274] AQ SPEAKER_01
[ 00:05:03.747 -->  00:05:12.572] AR SPEAKER_01
[ 00:05:12.927 -->  00:05:13.602] AS SPEAKER_01
[ 00:05:14.091 -->  00:05:16.335] AT SPEAKER_01
[ 00:05:16.808 -->  00:05:26.882] AU SPEAKER_01
[ 00:05:27.372 -->  00:05:29.565] AV SPEAKER_01
[ 00:05:29.886 -->  00:05:30.359] AW SPEAKER_01
[ 00:05:30.713 -->  00:05:32.249] AX SPEAKER_01
[ 00:05:32.569 -->  00:05:37.497] AY SPEAKER_01
[ 00:05:38.003 -->  00:05:38.543] AZ SPEAKER_01
[ 00:05:38.712 -->  00:05:51.570] BA SPEAKER_01
[ 00:05:52.026 -->  00:05:52.566] BB SPEAKER_01
[ 00:05:52.904 -->  00:05:57.544] BC SPEAKER_01
[ 00:05:57.983 -->  00:06:00.970] BD SPEAKER_01
[ 00:06:01.088 -->  00:06:03.990] BE SPEAKER_01
[ 00:06:04.412 -->  00:06:05.475] BF SPEAKER_01
[ 00:06:05.796 -->  00:06:07.619] BG SPEAKER_01
[ 00:06:08.091 -->  00:06:31.176] BH SPEAKER_02
[ 00:06:31.615 -->  00:06:37.791] BI SPEAKER_01
[ 00:06:38.247 -->  00:06:50.059] BJ SPEAKER_01
[ 00:06:50.430 -->  00:06:51.004] BK SPEAKER_01
[ 00:06:51.190 -->  00:06:54.666] BL SPEAKER_01
[ 00:06:54.835 -->  00:06:54.885] BM SPEAKER_01
[ 00:06:54.936 -->  00:07:07.694] BN SPEAKER_01
[ 00:07:07.980 -->  00:07:14.123] BO SPEAKER_01
[ 00:07:14.545 -->  00:07:31.740] BP SPEAKER_02
[ 00:07:32.348 -->  00:07:37.579] BQ SPEAKER_02
[ 00:07:37.967 -->  00:07:41.680] BR SPEAKER_02
[ 00:07:42.389 -->  00:07:43.553] BS SPEAKER_01
[ 00:07:43.907 -->  00:07:46.759] BT SPEAKER_01
[ 00:07:46.827 -->  00:07:48.464] BU SPEAKER_01
[ 00:07:48.885 -->  00:07:49.999] BV SPEAKER_01
[ 00:07:50.438 -->  00:07:52.699] BW SPEAKER_01
[ 00:07:53.087 -->  00:07:56.412] BX SPEAKER_01
[ 00:07:56.783 -->  00:07:58.656] BY SPEAKER_01
[ 00:07:59.162 -->  00:08:01.829] BZ SPEAKER_01
[ 00:08:02.250 -->  00:08:13.540] CA SPEAKER_01
[ 00:08:14.080 -->  00:08:16.004] CB SPEAKER_01
[ 00:08:16.274 -->  00:08:35.950] CC SPEAKER_01
[ 00:08:36.524 -->  00:08:43.746] CD SPEAKER_01
[ 00:08:44.084 -->  00:08:45.299] CE SPEAKER_01
[ 00:08:45.670 -->  00:08:55.964] CF SPEAKER_01
[ 00:08:56.588 -->  00:08:59.372] CG SPEAKER_01
[ 00:08:59.828 -->  00:09:07.624] CH SPEAKER_01
[ 00:09:07.962 -->  00:09:17.226] CI SPEAKER_01
[ 00:09:17.766 -->  00:09:21.799] CJ SPEAKER_01
[ 00:09:22.305 -->  00:09:24.482] CK SPEAKER_01
[ 00:09:24.972 -->  00:09:34.017] CL SPEAKER_01
[ 00:09:34.658 -->  00:09:41.897] CM SPEAKER_01
[ 00:09:42.353 -->  00:10:20.018] CN SPEAKER_02
[ 00:10:20.558 -->  00:10:25.334] CO SPEAKER_02
[ 00:10:25.671 -->  00:10:26.869] CP SPEAKER_01
[ 00:10:27.342 -->  00:10:36.269] CQ SPEAKER_01
[ 00:10:36.927 -->  00:10:41.939] CR SPEAKER_01
[ 00:10:41.972 -->  00:10:44.318] CS SPEAKER_01
[ 00:10:44.892 -->  00:10:52.182] CT SPEAKER_01
[ 00:10:52.890 -->  00:10:56.316] CU SPEAKER_01
[ 00:10:56.873 -->  00:10:58.881] CV SPEAKER_01
[ 00:10:59.725 -->  00:11:00.332] CW SPEAKER_01
[ 00:11:00.720 -->  00:11:02.121] CX SPEAKER_01
[ 00:11:02.543 -->  00:11:05.057] CY SPEAKER_01
[ 00:11:05.243 -->  00:11:09.360] CZ SPEAKER_01
[ 00:11:09.749 -->  00:11:13.427] DA SPEAKER_01
[ 00:11:13.664 -->  00:11:18.017] DB SPEAKER_01
[ 00:11:18.422 -->  00:11:20.025] DC SPEAKER_01
[ 00:11:20.380 -->  00:11:28.497] DD SPEAKER_01
[ 00:11:28.885 -->  00:11:39.229] DE SPEAKER_01
[ 00:11:39.617 -->  00:11:40.714] DF SPEAKER_01
[ 00:11:41.052 -->  00:11:42.149] DG SPEAKER_01
[ 00:11:42.689 -->  00:11:48.764] DH SPEAKER_01
[ 00:11:49.624 -->  00:11:52.442] DI SPEAKER_01
[ 00:11:52.982 -->  00:11:53.657] DJ SPEAKER_01
[ 00:11:54.113 -->  00:12:02.027] DK SPEAKER_01
[ 00:12:02.618 -->  00:12:28.740] DL SPEAKER_01
[ 00:12:29.247 -->  00:12:31.238] DM SPEAKER_01
[ 00:12:31.508 -->  00:12:35.642] DN SPEAKER_01
[ 00:12:36.216 -->  00:13:42.214] DO SPEAKER_02
[ 00:13:42.585 -->  00:13:46.973] DP SPEAKER_01
[ 00:13:47.395 -->  00:13:52.356] DQ SPEAKER_01
[ 00:13:52.829 -->  00:13:53.672] DR SPEAKER_01
[ 00:13:53.976 -->  00:13:54.685] DS SPEAKER_01
[ 00:13:55.427 -->  00:13:58.043] DT SPEAKER_01
[ 00:13:58.245 -->  00:14:04.371] DU SPEAKER_01
[ 00:14:04.759 -->  00:14:14.496] DV SPEAKER_01
[ 00:14:15.087 -->  00:14:17.230] DW SPEAKER_01
[ 00:14:17.736 -->  00:14:24.807] DX SPEAKER_01
[ 00:14:25.532 -->  00:14:27.929] DY SPEAKER_01
[ 00:14:28.047 -->  00:14:30.730] DZ SPEAKER_01
[ 00:14:31.135 -->  00:14:32.957] EA SPEAKER_01
[ 00:14:32.974 -->  00:14:34.206] EB SPEAKER_01
[ 00:14:34.712 -->  00:14:38.054] EC SPEAKER_01
[ 00:14:38.610 -->  00:14:40.298] ED SPEAKER_01
[ 00:14:40.804 -->  00:14:49.259] EE SPEAKER_01
[ 00:14:49.782 -->  00:14:51.503] EF SPEAKER_01
[ 00:14:51.925 -->  00:15:00.261] EG SPEAKER_01
[ 00:15:00.885 -->  00:15:02.775] EH SPEAKER_01
[ 00:15:03.248 -->  00:15:08.294] EI SPEAKER_01
[ 00:15:08.732 -->  00:15:13.609] EJ SPEAKER_01
[ 00:15:14.250 -->  00:15:14.672] EK SPEAKER_01
[ 00:15:15.297 -->  00:15:18.891] EL SPEAKER_01
[ 00:15:19.094 -->  00:15:20.629] EM SPEAKER_01
[ 00:15:20.832 -->  00:15:25.962] EN SPEAKER_01
[ 00:15:26.468 -->  00:15:29.927] EO SPEAKER_01
[ 00:15:30.518 -->  00:15:33.724] EP SPEAKER_01
[ 00:15:33.809 -->  00:15:35.142] EQ SPEAKER_01
[ 00:15:35.412 -->  00:15:56.084] ER SPEAKER_01
[ 00:15:56.505 -->  00:15:59.425] ES SPEAKER_01
[ 00:15:59.830 -->  00:16:00.336] ET SPEAKER_01
[ 00:16:00.674 -->  00:16:02.243] EU SPEAKER_01
[ 00:16:02.715 -->  00:16:04.251] EV SPEAKER_01
[ 00:16:04.791 -->  00:16:10.815] EW SPEAKER_01
[ 00:16:11.052 -->  00:16:15.186] EX SPEAKER_01
