[ 00:00:00.030 -->  00:00:00.570] A SPEAKER_01
[ 00:00:00.672 -->  00:00:01.144] B SPEAKER_01
[ 00:00:01.785 -->  00:00:03.304] C SPEAKER_01
[ 00:00:03.929 -->  00:00:04.587] D SPEAKER_01
[ 00:00:07.827 -->  00:00:18.120] H SPEAKER_01
[ 00:00:51.297 -->  00:00:58.924] J SPEAKER_01
[ 00:00:58.975 -->  00:01:01.860] K SPEAKER_01
[ 00:01:02.215 -->  00:01:02.991] L SPEAKER_01
[ 00:01:03.548 -->  00:01:06.906] M SPEAKER_01
[ 00:01:06.974 -->  00:01:42.023] N SPEAKER_01
[ 00:01:44.183 -->  00:02:04.079] P SPEAKER_01
[ 00:02:04.399 -->  00:02:14.271] Q SPEAKER_01
[ 00:02:14.457 -->  00:02:21.409] R SPEAKER_01
[ 00:02:22.067 -->  00:02:37.221] S SPEAKER_01
[ 00:02:37.643 -->  00:02:50.873] T SPEAKER_01
[ 00:02:51.194 -->  00:03:23.965] U SPEAKER_01
[ 00:03:23.003 -->  00:03:33.364] V SPEAKER_00
[ 00:03:33.617 -->  00:03:41.093] W SPEAKER_00
[ 00:03:40.300 -->  00:03:46.257] X SPEAKER_01
[ 00:03:41.312 -->  00:03:41.430] Y SPEAKER_00
[ 00:03:46.577 -->  00:04:06.827] Z SPEAKER_01
[ 00:04:07.215 -->  00:04:08.009] AA SPEAKER_01
[ 00:04:08.211 -->  00:04:08.262] AB SPEAKER_01
[ 00:04:08.262 -->  00:04:24.360] AC SPEAKER_00
[ 00:04:24.749 -->  00:04:32.106] AD SPEAKER_00
[ 00:04:32.579 -->  00:04:45.842] AE SPEAKER_00
[ 00:04:46.365 -->  00:04:47.108] AF SPEAKER_00
[ 00:04:47.310 -->  00:04:51.563] AG SPEAKER_00
[ 00:04:51.884 -->  00:05:17.567] AH SPEAKER_00
[ 00:05:18.242 -->  00:05:26.899] AI SPEAKER_00
[ 00:05:27.422 -->  00:07:28.889] AJ SPEAKER_00
[ 00:07:29.108 -->  00:07:32.736] AK SPEAKER_00
[ 00:07:32.922 -->  00:07:36.702] AL SPEAKER_00
[ 00:07:36.921 -->  00:07:48.885] AM SPEAKER_00
[ 00:07:49.358 -->  00:07:51.045] AN SPEAKER_00
[ 00:07:51.231 -->  00:08:04.512] AO SPEAKER_00
[ 00:08:05.001 -->  00:08:17.252] AP SPEAKER_00
[ 00:08:17.269 -->  00:08:30.415] AQ SPEAKER_00
[ 00:08:30.955 -->  00:08:47.999] AR SPEAKER_00
[ 00:08:48.252 -->  00:09:15.252] AS SPEAKER_00
[ 00:09:15.707 -->  00:09:20.044] AT SPEAKER_00
[ 00:09:20.534 -->  00:09:58.705] AU SPEAKER_00
[ 00:09:58.840 -->  00:10:56.451] AV SPEAKER_00
[ 00:10:56.789 -->  00:11:34.504] AW SPEAKER_00
[ 00:11:34.960 -->  00:11:48.156] AX SPEAKER_00
[ 00:11:48.494 -->  00:11:53.067] AY SPEAKER_00
[ 00:11:53.370 -->  00:12:57.040] AZ SPEAKER_00
[ 00:12:57.344 -->  00:13:50.567] BB SPEAKER_00
[ 00:13:50.905 -->  00:13:57.317] BC SPEAKER_00
[ 00:13:57.790 -->  00:14:08.404] BD SPEAKER_00
[ 00:14:08.860 -->  00:14:14.682] BE SPEAKER_00
[ 00:14:15.559 -->  00:14:19.002] BF SPEAKER_00
[ 00:14:19.407 -->  00:14:25.330] BG SPEAKER_00
[ 00:14:25.853 -->  00:14:27.760] BH SPEAKER_00
[ 00:14:28.300 -->  00:14:34.780] BI SPEAKER_00
[ 00:14:34.847 -->  00:14:41.530] BJ SPEAKER_00
[ 00:14:42.053 -->  00:14:44.837] BK SPEAKER_00
[ 00:14:45.006 -->  00:14:51.317] BL SPEAKER_00
[ 00:14:51.790 -->  00:14:59.670] BM SPEAKER_00
[ 00:15:00.008 -->  00:15:16.259] BN SPEAKER_00
[ 00:15:16.410 -->  00:15:19.752] BO SPEAKER_00
[ 00:15:19.937 -->  00:15:42.499] BP SPEAKER_00
[ 00:15:43.309 -->  00:15:52.742] BQ SPEAKER_00
[ 00:15:53.198 -->  00:16:08.031] BR SPEAKER_00
[ 00:16:08.082 -->  00:16:37.545] BS SPEAKER_00
[ 00:16:38.136 -->  00:16:58.605] BT SPEAKER_00
[ 00:16:59.145 -->  00:17:02.504] BU SPEAKER_00
[ 00:17:03.027 -->  00:17:07.988] BV SPEAKER_00
