[ 00:03:02.213 -->  00:03:13.182] P SPEAKER_03
[ 00:03:13.283 -->  00:03:24.859] Q SPEAKER_03
[ 00:03:58.204 -->  00:04:04.448] S SPEAKER_01
[ 00:04:04.954 -->  00:04:09.240] T SPEAKER_01
[ 00:04:09.629 -->  00:04:14.084] U SPEAKER_01
[ 00:04:14.472 -->  00:04:17.020] V SPEAKER_01
[ 00:04:17.256 -->  00:04:21.374] W SPEAKER_01
[ 00:04:21.559 -->  00:04:22.251] X SPEAKER_01
[ 00:04:22.403 -->  00:04:23.601] Y SPEAKER_01
[ 00:04:23.837 -->  00:04:27.499] Z SPEAKER_01
[ 00:04:28.444 -->  00:04:29.457] AA SPEAKER_01
[ 00:04:29.625 -->  00:04:31.701] AB SPEAKER_01
[ 00:04:32.241 -->  00:04:37.725] AC SPEAKER_01
[ 00:04:38.164 -->  00:04:57.452] AD SPEAKER_01
[ 00:04:57.959 -->  00:04:58.836] AE SPEAKER_01
[ 00:04:59.174 -->  00:05:03.831] AF SPEAKER_01
[ 00:05:04.371 -->  00:05:09.906] AG SPEAKER_01
[ 00:05:10.176 -->  00:05:13.467] AH SPEAKER_01
[ 00:05:13.804 -->  00:05:30.662] AI SPEAKER_01
[ 00:05:31.067 -->  00:05:31.725] AJ SPEAKER_01
[ 00:05:32.232 -->  00:05:36.619] AK SPEAKER_01
[ 00:05:36.822 -->  00:05:41.429] AL SPEAKER_01
[ 00:05:42.087 -->  00:05:48.044] AM SPEAKER_01
[ 00:05:48.786 -->  00:05:49.343] AN SPEAKER_01
[ 00:05:49.562 -->  00:06:00.413] AO SPEAKER_01
[ 00:06:00.750 -->  00:06:01.425] AP SPEAKER_01
[ 00:06:01.729 -->  00:06:07.214] AQ SPEAKER_01
[ 00:06:12.495 -->  00:06:24.814] AS SPEAKER_03
[ 00:06:25.067 -->  00:06:32.762] AT SPEAKER_03
[ 00:06:33.218 -->  00:06:56.775] AU SPEAKER_03
[ 00:06:57.467 -->  00:07:42.000] AV SPEAKER_03
[ 00:07:42.709 -->  00:07:51.720] AW SPEAKER_03
[ 00:07:52.210 -->  00:07:56.766] AX SPEAKER_03
[ 00:07:57.053 -->  00:08:02.925] AY SPEAKER_03
[ 00:08:33.638 -->  00:08:37.114] BA SPEAKER_01
[ 00:08:37.317 -->  00:09:24.516] BB SPEAKER_01
[ 00:09:24.870 -->  00:09:27.840] BC SPEAKER_01
[ 00:09:28.229 -->  00:10:00.409] BD SPEAKER_01
[ 00:10:00.443 -->  00:10:04.459] BE SPEAKER_01
[ 00:10:04.898 -->  00:10:45.179] BF SPEAKER_01
[ 00:11:05.952 -->  00:11:25.037] BI SPEAKER_03
[ 00:11:25.392 -->  00:11:30.522] BJ SPEAKER_03
[ 00:11:30.657 -->  00:11:37.170] BL SPEAKER_03
[ 00:11:37.508 -->  00:11:59.817] BM SPEAKER_03
[ 00:11:59.969 -->  00:12:03.597] BN SPEAKER_03
[ 00:12:04.187 -->  00:12:07.849] BO SPEAKER_03
[ 00:12:08.575 -->  00:12:52.281] BP SPEAKER_03
[ 00:12:52.787 -->  00:13:05.174] BQ SPEAKER_03
[ 00:13:05.342 -->  00:13:13.324] BR SPEAKER_03
[ 00:13:13.695 -->  00:13:25.964] BS SPEAKER_03
[ 00:13:26.149 -->  00:13:40.510] BT SPEAKER_03
[ 00:13:40.544 -->  00:13:44.931] BU SPEAKER_03
[ 00:13:45.134 -->  00:13:47.715] BV SPEAKER_03
[ 00:13:48.087 -->  00:14:16.116] BW SPEAKER_03
[ 00:14:16.521 -->  00:14:18.529] BX SPEAKER_03
[ 00:15:51.375 -->  00:15:55.054] BZ SPEAKER_03
[ 00:15:55.122 -->  00:15:58.750] CA SPEAKER_03
[ 00:15:59.290 -->  00:16:00.184] CB SPEAKER_03
[ 00:16:00.758 -->  00:16:06.597] CC SPEAKER_03
[ 00:16:06.732 -->  00:16:23.961] CD SPEAKER_03
[ 00:16:24.315 -->  00:16:44.295] CE SPEAKER_03
[ 00:16:44.835 -->  00:17:10.384] CF SPEAKER_03
[ 00:17:10.570 -->  00:17:18.839] CG SPEAKER_03
[ 00:17:19.345 -->  00:17:44.725] CH SPEAKER_03
[ 00:17:45.197 -->  00:17:46.564] CI SPEAKER_03
