[ 00:00:00.030 -->  00:00:08.755] A SPEAKER_00
[ 00:00:09.295 -->  00:00:09.514] B SPEAKER_00
[ 00:00:09.531 -->  00:00:09.548] C SPEAKER_00
[ 00:00:10.645 -->  00:00:10.679] E SPEAKER_00
[ 00:00:11.657 -->  00:00:22.002] G SPEAKER_00
[ 00:00:55.144 -->  00:01:02.586] I SPEAKER_00
[ 00:01:02.822 -->  00:01:05.640] J SPEAKER_00
[ 00:01:06.062 -->  00:01:06.822] K SPEAKER_00
[ 00:01:07.379 -->  00:01:24.507] L SPEAKER_00
[ 00:01:24.726 -->  00:01:45.719] M SPEAKER_00
[ 00:01:48.014 -->  00:02:03.100] P SPEAKER_00
[ 00:02:03.674 -->  00:02:18.625] Q SPEAKER_00
[ 00:02:19.064 -->  00:02:25.712] R SPEAKER_00
[ 00:02:26.303 -->  00:02:43.110] S SPEAKER_00
[ 00:02:43.195 -->  00:02:43.212] T SPEAKER_00
[ 00:02:45.675 -->  00:03:00.272] V SPEAKER_00
[ 00:03:00.728 -->  00:03:12.709] X SPEAKER_00
[ 00:03:12.709 -->  00:04:32.292] Y SPEAKER_01
[ 00:04:32.393 -->  00:05:49.697] Z SPEAKER_01
[ 00:05:37.480 -->  00:05:37.514] AA SPEAKER_00
[ 00:05:37.530 -->  00:05:37.733] AB SPEAKER_00
[ 00:05:50.001 -->  00:06:20.039] AC SPEAKER_01
[ 00:06:20.039 -->  00:06:20.764] AD SPEAKER_00
[ 00:06:21.591 -->  00:06:21.608] AE SPEAKER_01
[ 00:06:21.608 -->  00:06:57.180] AF SPEAKER_00
[ 00:06:57.518 -->  00:06:59.965] AG SPEAKER_00
[ 00:06:59.965 -->  00:09:23.250] AH SPEAKER_01
[ 00:09:23.757 -->  00:10:23.680] AI SPEAKER_01
[ 00:10:24.237 -->  00:10:48.030] AJ SPEAKER_01
[ 00:10:48.030 -->  00:10:49.110] AK SPEAKER_00
[ 00:10:49.684 -->  00:10:49.701] AL SPEAKER_01
[ 00:10:49.701 -->  00:11:02.610] AM SPEAKER_00
[ 00:11:03.167 -->  00:11:40.022] AN SPEAKER_01
[ 00:11:40.022 -->  00:11:41.744] AO SPEAKER_00
[ 00:11:42.503 -->  00:12:03.023] AP SPEAKER_00
[ 00:12:03.715 -->  00:12:55.808] AQ SPEAKER_01
[ 00:12:56.230 -->  00:14:06.767] AR SPEAKER_01
[ 00:14:07.155 -->  00:14:14.699] AS SPEAKER_01
[ 00:14:14.935 -->  00:14:51.756] AT SPEAKER_01
[ 00:14:52.043 -->  00:15:24.882] AU SPEAKER_01
[ 00:15:24.882 -->  00:15:24.899] AV SPEAKER_00
[ 00:15:25.506 -->  00:15:38.517] AW SPEAKER_00
[ 00:15:39.276 -->  00:15:39.968] AX SPEAKER_00
[ 00:15:39.968 -->  00:16:31.437] AY SPEAKER_01
[ 00:16:32.095 -->  00:16:48.261] AZ SPEAKER_00
[ 00:16:48.565 -->  00:17:39.207] BA SPEAKER_01
[ 00:16:59.854 -->  00:16:59.871] BB SPEAKER_00
[ 00:16:59.955 -->  00:17:00.158] BD SPEAKER_00
[ 00:17:39.510 -->  00:18:25.495] BE SPEAKER_01
[ 00:18:25.680 -->  00:18:48.360] BF SPEAKER_01
[ 00:18:48.732 -->  00:19:53.650] BG SPEAKER_01
[ 00:19:54.443 -->  00:20:18.405] BH SPEAKER_00
[ 00:20:18.945 -->  00:20:19.570] BI SPEAKER_00
[ 00:20:19.570 -->  00:20:19.688] BJ SPEAKER_01
[ 00:20:19.688 -->  00:20:19.705] BK SPEAKER_00
[ 00:20:19.890 -->  00:20:19.941] BL SPEAKER_00
[ 00:20:19.941 -->  00:22:13.341] BM SPEAKER_01
[ 00:22:13.729 -->  00:22:43.632] BN SPEAKER_01
[ 00:22:43.800 -->  00:23:16.335] BO SPEAKER_01
[ 00:23:16.538 -->  00:23:58.860] BP SPEAKER_01
[ 00:23:59.434 -->  00:24:44.558] BQ SPEAKER_01
[ 00:24:44.879 -->  00:24:50.886] BR SPEAKER_01
[ 00:24:50.886 -->  00:24:50.954] BS SPEAKER_00
[ 00:24:51.375 -->  00:25:17.279] BT SPEAKER_00
[ 00:25:15.692 -->  00:25:15.895] BU SPEAKER_01
[ 00:25:15.929 -->  00:25:15.945] BV SPEAKER_01
[ 00:25:15.979 -->  00:25:16.114] BW SPEAKER_01
[ 00:25:17.751 -->  00:25:26.897] BX SPEAKER_00
[ 00:25:27.235 -->  00:25:27.977] BY SPEAKER_00
[ 00:25:27.977 -->  00:27:51.702] BZ SPEAKER_01
[ 00:27:52.275 -->  00:27:52.292] CA SPEAKER_01
[ 00:27:52.292 -->  00:27:53.035] CB SPEAKER_00
[ 00:27:53.744 -->  00:28:36.977] CC SPEAKER_00
[ 00:28:36.977 -->  00:29:07.842] CD SPEAKER_01
[ 00:29:08.027 -->  00:30:18.599] CE SPEAKER_01
[ 00:30:19.695 -->  00:31:10.185] CF SPEAKER_00
[ 00:31:10.658 -->  00:31:10.962] CG SPEAKER_00
[ 00:31:10.962 -->  00:31:48.340] CH SPEAKER_01
[ 00:31:48.762 -->  00:33:31.260] CI SPEAKER_01
[ 00:33:32.020 -->  00:33:56.151] CJ SPEAKER_01
[ 00:33:56.286 -->  00:34:05.534] CK SPEAKER_01
[ 00:34:06.023 -->  00:34:15.287] CL SPEAKER_01
[ 00:34:15.827 -->  00:35:13.692] CM SPEAKER_01
[ 00:35:14.670 -->  00:35:40.219] CN SPEAKER_00
[ 00:35:40.270 -->  00:35:49.652] CO SPEAKER_00
[ 00:35:50.024 -->  00:35:50.969] CP SPEAKER_00
[ 00:35:50.969 -->  00:36:55.482] CQ SPEAKER_01
[ 00:36:55.988 -->  00:37:23.781] CR SPEAKER_01
[ 00:37:24.152 -->  00:37:48.554] CS SPEAKER_01
[ 00:37:48.807 -->  00:38:27.029] CT SPEAKER_01
[ 00:38:27.029 -->  00:38:29.307] CU SPEAKER_00
[ 00:38:30.083 -->  00:38:45.186] CV SPEAKER_00
[ 00:38:45.743 -->  00:38:47.970] CW SPEAKER_00
[ 00:38:47.970 -->  00:39:15.764] CX SPEAKER_01
[ 00:39:15.966 -->  00:39:18.599] CY SPEAKER_01
[ 00:39:18.599 -->  00:39:19.493] CZ SPEAKER_00
[ 00:39:19.662 -->  00:39:41.903] DA SPEAKER_00
[ 00:39:42.645 -->  00:39:42.966] DB SPEAKER_00
[ 00:39:42.966 -->  00:40:18.336] DC SPEAKER_01
[ 00:40:18.539 -->  00:41:33.025] DD SPEAKER_01
[ 00:41:33.025 -->  00:41:34.172] DE SPEAKER_00
[ 00:41:35.202 -->  00:41:48.094] DF SPEAKER_00
[ 00:41:48.786 -->  00:41:59.333] DG SPEAKER_01
[ 00:41:59.569 -->  00:42:33.505] DH SPEAKER_01
[ 00:42:05.914 -->  00:42:06.353] DI SPEAKER_00
[ 00:42:33.825 -->  00:44:12.966] DJ SPEAKER_01
[ 00:44:13.742 -->  00:44:33.975] DK SPEAKER_00
[ 00:44:33.975 -->  00:45:52.630] DL SPEAKER_01
[ 00:44:59.069 -->  00:44:59.625] DM SPEAKER_00
[ 00:45:53.119 -->  00:46:53.312] DN SPEAKER_01
[ 00:46:53.549 -->  00:47:09.495] DO SPEAKER_01
[ 00:47:10.019 -->  00:48:22.109] DP SPEAKER_01
[ 00:48:22.379 -->  00:50:05.350] DQ SPEAKER_01
[ 00:50:06.244 -->  00:50:16.892] DR SPEAKER_00
[ 00:50:17.365 -->  00:51:13.542] DS SPEAKER_00
[ 00:51:14.183 -->  00:51:17.440] DT SPEAKER_00
[ 00:51:17.440 -->  00:51:17.524] DU SPEAKER_01
[ 00:51:17.524 -->  00:51:17.541] DV SPEAKER_00
[ 00:51:17.541 -->  00:51:17.558] DW SPEAKER_01
[ 00:51:17.558 -->  00:51:17.592] DX SPEAKER_00
[ 00:51:18.098 -->  00:51:18.132] DY SPEAKER_00
[ 00:51:18.132 -->  00:52:30.357] DZ SPEAKER_01
[ 00:51:45.486 -->  00:51:45.773] EA SPEAKER_00
[ 00:52:30.576 -->  00:54:46.943] EB SPEAKER_01
[ 00:52:58.538 -->  00:52:58.977] EC SPEAKER_00
[ 00:54:47.989 -->  00:54:50.014] ED SPEAKER_00
[ 00:54:50.267 -->  00:55:04.172] EE SPEAKER_00
[ 00:55:05.100 -->  00:55:05.117] EF SPEAKER_00
[ 00:55:05.117 -->  00:55:15.327] EG SPEAKER_01
[ 00:55:15.833 -->  00:55:39.525] EH SPEAKER_01
[ 00:55:39.897 -->  00:57:12.068] EI SPEAKER_01
[ 00:57:12.659 -->  00:58:00.482] EJ SPEAKER_01
[ 00:58:00.719 -->  00:58:10.050] EK SPEAKER_01
[ 00:58:10.894 -->  00:58:23.044] EL SPEAKER_00
[ 00:58:23.534 -->  00:59:23.119] EM SPEAKER_01
[ 00:59:23.963 -->  00:59:29.127] EN SPEAKER_00
