[ 00:00:00.030 -->  00:00:03.422] A SPEAKER_02
[ 00:00:06.899 -->  00:00:17.226] D SPEAKER_02
[ 00:00:50.605 -->  00:00:58.620] G SPEAKER_02
[ 00:00:59.228 -->  00:01:10.922] H SPEAKER_02
[ 00:01:11.715 -->  00:01:23.747] I SPEAKER_02
[ 00:01:24.254 -->  00:01:41.719] J SPEAKER_02
[ 00:01:42.242 -->  00:01:48.942] K SPEAKER_02
[ 00:01:48.975 -->  00:01:51.962] L SPEAKER_02
[ 00:01:55.101 -->  00:02:18.034] M SPEAKER_02
[ 00:02:18.659 -->  00:02:31.973] N SPEAKER_02
[ 00:02:32.260 -->  00:02:32.277] O SPEAKER_02
[ 00:02:32.277 -->  00:02:48.932] P SPEAKER_01
[ 00:02:49.523 -->  00:03:51.775] Q SPEAKER_01
[ 00:03:52.669 -->  00:04:07.384] R SPEAKER_02
[ 00:04:07.755 -->  00:04:42.366] S SPEAKER_01
[ 00:04:42.957 -->  00:06:14.284] T SPEAKER_01
[ 00:06:14.976 -->  00:06:37.386] U SPEAKER_01
[ 00:06:37.673 -->  00:06:40.373] V SPEAKER_01
[ 00:06:40.862 -->  00:06:40.896] W SPEAKER_01
[ 00:06:40.896 -->  00:06:51.139] X SPEAKER_02
[ 00:06:51.662 -->  00:07:02.834] Y SPEAKER_02
[ 00:07:03.576 -->  00:07:17.498] Z SPEAKER_02
[ 00:07:18.190 -->  00:07:18.831] AA SPEAKER_01
[ 00:07:19.000 -->  00:07:58.369] AB SPEAKER_01
[ 00:07:58.977 -->  00:08:13.641] AC SPEAKER_01
[ 00:08:13.995 -->  00:08:52.167] AD SPEAKER_01
[ 00:08:52.538 -->  00:09:13.109] AE SPEAKER_01
[ 00:09:13.665 -->  00:09:20.179] AF SPEAKER_01
[ 00:09:21.057 -->  00:09:37.037] AG SPEAKER_01
[ 00:09:37.881 -->  00:10:09.910] AH SPEAKER_02
[ 00:10:10.703 -->  00:11:10.829] AI SPEAKER_01
[ 00:11:11.520 -->  00:11:45.625] AJ SPEAKER_01
[ 00:11:46.249 -->  00:12:19.037] AK SPEAKER_02
[ 00:12:19.037 -->  00:12:21.636] AL SPEAKER_01
[ 00:12:22.497 -->  00:12:42.426] AM SPEAKER_01
[ 00:12:43.101 -->  00:13:47.952] AN SPEAKER_01
[ 00:13:48.795 -->  00:13:52.930] AO SPEAKER_01
[ 00:13:53.520 -->  00:14:33.227] AP SPEAKER_01
[ 00:14:34.037 -->  00:14:41.918] AQ SPEAKER_01
[ 00:14:42.576 -->  00:14:44.652] AR SPEAKER_01
[ 00:14:45.377 -->  00:15:11.972] AS SPEAKER_01
[ 00:15:11.972 -->  00:15:12.394] AT SPEAKER_02
[ 00:15:12.597 -->  00:15:22.722] AU SPEAKER_02
[ 00:15:23.160 -->  00:15:39.816] AV SPEAKER_02
[ 00:15:40.103 -->  00:15:44.001] AW SPEAKER_01
[ 00:15:44.170 -->  00:17:18.602] AX SPEAKER_01
[ 00:17:18.990 -->  00:17:38.582] AY SPEAKER_01
[ 00:17:38.987 -->  00:18:44.074] AZ SPEAKER_01
[ 00:18:44.243 -->  00:19:37.500] BA SPEAKER_01
[ 00:19:38.429 -->  00:20:04.264] BB SPEAKER_02
[ 00:20:05.040 -->  00:20:20.110] BC SPEAKER_02
[ 00:20:20.835 -->  00:20:46.975] BD SPEAKER_01
[ 00:20:47.734 -->  00:22:23.972] BE SPEAKER_01
[ 00:22:23.972 -->  00:22:24.023] BF SPEAKER_02
[ 00:22:24.023 -->  00:22:24.462] BG SPEAKER_01
[ 00:22:24.462 -->  00:22:24.479] BH SPEAKER_02
[ 00:22:25.390 -->  00:22:37.793] BI SPEAKER_02
[ 00:22:37.962 -->  00:22:47.918] BJ SPEAKER_02
[ 00:22:48.930 -->  00:23:45.411] BK SPEAKER_01
[ 00:23:45.951 -->  00:24:34.517] BL SPEAKER_01
[ 00:24:35.479 -->  00:24:54.227] BM SPEAKER_02
[ 00:24:54.649 -->  00:25:37.647] BN SPEAKER_02
[ 00:25:38.069 -->  00:25:38.980] BO SPEAKER_01
[ 00:25:39.672 -->  00:26:13.928] BP SPEAKER_01
[ 00:26:14.333 -->  00:26:35.022] BQ SPEAKER_01
[ 00:26:35.241 -->  00:27:08.704] BR SPEAKER_01
[ 00:27:09.396 -->  00:27:48.124] BS SPEAKER_01
[ 00:27:48.833 -->  00:27:48.968] BT SPEAKER_01
[ 00:27:48.968 -->  00:27:51.111] BU SPEAKER_02
[ 00:27:51.280 -->  00:27:52.748] BV SPEAKER_02
[ 00:27:53.372 -->  00:28:18.314] BW SPEAKER_02
[ 00:28:18.465 -->  00:28:20.879] BX SPEAKER_02
[ 00:28:21.739 -->  00:28:33.585] BY SPEAKER_02
[ 00:28:34.564 -->  00:29:57.893] BZ SPEAKER_01
[ 00:29:58.416 -->  00:30:11.157] CA SPEAKER_01
[ 00:30:11.528 -->  00:30:21.585] CB SPEAKER_01
[ 00:30:22.058 -->  00:30:41.599] CC SPEAKER_02
[ 00:30:41.751 -->  00:30:41.785] CD SPEAKER_02
[ 00:30:41.785 -->  00:30:46.459] CE SPEAKER_01
[ 00:30:46.679 -->  00:30:51.100] CF SPEAKER_01
[ 00:30:51.488 -->  00:31:53.436] CG SPEAKER_01
[ 00:31:54.314 -->  00:32:27.625] CH SPEAKER_01
[ 00:32:28.418 -->  00:32:28.435] CI SPEAKER_01
[ 00:32:28.435 -->  00:32:31.540] CJ SPEAKER_02
[ 00:32:31.979 -->  00:32:34.392] CK SPEAKER_02
[ 00:32:34.712 -->  00:32:35.033] CL SPEAKER_02
[ 00:32:35.033 -->  00:35:06.587] CM SPEAKER_01
[ 00:35:07.617 -->  00:35:13.692] CN SPEAKER_01
[ 00:35:14.029 -->  00:35:19.244] CO SPEAKER_02
[ 00:35:19.800 -->  00:35:56.942] CP SPEAKER_02
[ 00:35:57.820 -->  00:36:02.967] CQ SPEAKER_02
[ 00:36:02.967 -->  00:36:07.287] CR SPEAKER_01
[ 00:36:07.911 -->  00:36:22.137] CS SPEAKER_01
[ 00:36:22.407 -->  00:36:31.823] CT SPEAKER_01
[ 00:36:32.177 -->  00:37:08.965] CU SPEAKER_01
[ 00:37:08.965 -->  00:37:09.657] CV SPEAKER_02
[ 00:37:10.332 -->  00:37:27.274] CW SPEAKER_02
[ 00:37:27.764 -->  00:37:32.674] CX SPEAKER_02
[ 00:37:33.214 -->  00:37:41.027] CY SPEAKER_02
[ 00:37:41.989 -->  00:37:42.023] CZ SPEAKER_02
[ 00:37:42.023 -->  00:37:43.272] DA SPEAKER_01
[ 00:37:43.710 -->  00:37:49.937] DB SPEAKER_01
[ 00:37:50.207 -->  00:38:11.453] DC SPEAKER_01
[ 00:38:11.875 -->  00:38:14.136] DD SPEAKER_01
[ 00:38:14.490 -->  00:38:17.460] DE SPEAKER_01
[ 00:38:18.051 -->  00:38:37.575] DF SPEAKER_01
[ 00:38:37.575 -->  00:38:37.592] DG SPEAKER_02
[ 00:38:37.592 -->  00:38:37.896] DH SPEAKER_01
[ 00:38:37.896 -->  00:38:38.537] DI SPEAKER_02
[ 00:38:39.060 -->  00:38:39.077] DJ SPEAKER_01
[ 00:38:39.077 -->  00:38:45.608] DK SPEAKER_02
[ 00:38:44.427 -->  00:38:45.524] DL SPEAKER_01
[ 00:38:46.300 -->  00:38:48.527] DM SPEAKER_02
[ 00:38:48.595 -->  00:39:04.154] DN SPEAKER_02
[ 00:39:04.879 -->  00:39:13.097] DO SPEAKER_02
[ 00:39:14.177 -->  00:39:15.021] DP SPEAKER_02
[ 00:39:15.645 -->  00:39:28.808] DQ SPEAKER_02
[ 00:39:29.145 -->  00:39:29.179] DR SPEAKER_02
[ 00:39:29.179 -->  00:40:23.264] DS SPEAKER_01
[ 00:40:23.854 -->  00:40:35.464] DT SPEAKER_02
[ 00:40:36.291 -->  00:40:36.308] DU SPEAKER_01
[ 00:40:36.308 -->  00:40:37.034] DV SPEAKER_02
[ 00:40:37.034 -->  00:40:39.413] DW SPEAKER_01
[ 00:40:40.409 -->  00:40:47.412] DX SPEAKER_01
[ 00:40:48.053 -->  00:40:55.596] DY SPEAKER_01
[ 00:40:56.288 -->  00:41:04.084] DZ SPEAKER_01
[ 00:41:04.827 -->  00:41:17.922] EA SPEAKER_01
[ 00:41:18.124 -->  00:41:24.520] EB SPEAKER_01
[ 00:41:25.313 -->  00:41:25.330] EC SPEAKER_01
[ 00:41:25.330 -->  00:41:50.102] ED SPEAKER_02
[ 00:41:33.987 -->  00:41:34.577] EE SPEAKER_01
[ 00:41:50.220 -->  00:43:38.879] EF SPEAKER_01
[ 00:43:39.621 -->  00:44:05.339] EG SPEAKER_02
[ 00:44:06.199 -->  00:44:23.091] EH SPEAKER_01
[ 00:44:23.715 -->  00:44:46.294] EI SPEAKER_01
[ 00:44:46.649 -->  00:45:10.105] EJ SPEAKER_01
[ 00:45:10.712 -->  00:45:13.041] EK SPEAKER_01
[ 00:45:13.446 -->  00:45:27.857] EL SPEAKER_01
[ 00:45:28.431 -->  00:45:28.499] EM SPEAKER_01
[ 00:45:28.499 -->  00:45:28.600] EN SPEAKER_02
[ 00:45:28.600 -->  00:45:28.718] EO SPEAKER_01
[ 00:45:28.718 -->  00:45:28.937] EP SPEAKER_02
[ 00:45:28.937 -->  00:45:28.971] EQ SPEAKER_01
[ 00:45:28.971 -->  00:45:30.220] ER SPEAKER_02
[ 00:45:30.220 -->  00:45:31.131] ES SPEAKER_01
[ 00:45:31.131 -->  00:45:31.199] ET SPEAKER_02
[ 00:45:31.199 -->  00:45:33.038] EU SPEAKER_01
