[ 00:00:00.368 -->  00:00:01.127] A SPEAKER_02
[ 00:00:01.819 -->  00:00:02.376] B SPEAKER_02
[ 00:00:02.646 -->  00:00:06.983] C SPEAKER_02
[ 00:00:07.287 -->  00:00:09.126] D SPEAKER_01
[ 00:00:09.312 -->  00:00:09.767] E SPEAKER_01
[ 00:00:09.953 -->  00:00:20.314] F SPEAKER_02
[ 00:00:53.524 -->  00:01:45.837] I SPEAKER_02
[ 00:01:48.959 -->  00:02:03.302] J SPEAKER_02
[ 00:02:03.522 -->  00:02:33.036] K SPEAKER_02
[ 00:02:33.036 -->  00:02:50.434] L SPEAKER_01
[ 00:02:50.552 -->  00:03:10.583] M SPEAKER_02
[ 00:03:10.937 -->  00:03:28.335] N SPEAKER_01
[ 00:03:28.859 -->  00:03:53.901] O SPEAKER_01
[ 00:03:54.222 -->  00:04:04.313] P SPEAKER_01
[ 00:04:04.836 -->  00:05:01.047] Q SPEAKER_01
[ 00:05:01.755 -->  00:05:14.344] R SPEAKER_01
[ 00:05:14.496 -->  00:05:29.852] S SPEAKER_01
[ 00:05:30.224 -->  00:05:31.405] T SPEAKER_01
[ 00:05:31.827 -->  00:05:34.898] U SPEAKER_01
[ 00:05:35.269 -->  00:05:45.344] V SPEAKER_01
[ 00:05:45.394 -->  00:05:54.102] W SPEAKER_01
[ 00:05:55.013 -->  00:06:22.772] X SPEAKER_02
[ 00:06:23.127 -->  00:06:28.611] Y SPEAKER_01
[ 00:06:28.797 -->  00:06:30.720] Z SPEAKER_01
[ 00:06:30.957 -->  00:06:48.119] AA SPEAKER_01
[ 00:06:48.389 -->  00:07:23.134] AB SPEAKER_01
[ 00:07:23.573 -->  00:08:11.937] AC SPEAKER_01
[ 00:08:12.240 -->  00:08:43.476] AD SPEAKER_01
[ 00:08:43.560 -->  00:08:58.596] AE SPEAKER_01
[ 00:08:58.883 -->  00:09:08.367] AF SPEAKER_01
[ 00:09:08.805 -->  00:09:17.125] AG SPEAKER_01
[ 00:09:17.462 -->  00:09:50.183] AH SPEAKER_01
[ 00:09:50.284 -->  00:09:52.427] AI SPEAKER_01
[ 00:09:53.102 -->  00:09:55.448] AJ SPEAKER_01
[ 00:09:55.802 -->  00:09:57.962] AK SPEAKER_01
[ 00:09:58.334 -->  00:10:04.155] AL SPEAKER_01
[ 00:10:05.084 -->  00:10:07.058] AM SPEAKER_01
[ 00:10:07.564 -->  00:10:19.140] AN SPEAKER_01
[ 00:10:19.782 -->  00:10:24.962] AO SPEAKER_01
[ 00:10:25.452 -->  00:10:26.785] AP SPEAKER_01
[ 00:10:27.460 -->  00:10:50.798] AQ SPEAKER_01
[ 00:10:51.152 -->  00:10:53.279] AR SPEAKER_01
[ 00:10:54.055 -->  00:11:42.621] AS SPEAKER_02
[ 00:11:43.060 -->  00:13:25.221] AT SPEAKER_01
[ 00:13:25.390 -->  00:13:34.317] AU SPEAKER_01
[ 00:13:34.958 -->  00:13:44.054] AV SPEAKER_01
[ 00:13:44.256 -->  00:14:12.404] AW SPEAKER_01
[ 00:14:12.437 -->  00:14:16.032] AX SPEAKER_01
[ 00:14:16.352 -->  00:14:21.044] AY SPEAKER_01
[ 00:14:21.516 -->  00:14:34.392] AZ SPEAKER_01
[ 00:14:34.476 -->  00:14:46.795] BA SPEAKER_01
[ 00:14:47.200 -->  00:14:49.799] BB SPEAKER_01
[ 00:14:50.069 -->  00:14:51.419] BC SPEAKER_01
[ 00:14:51.722 -->  00:15:05.155] BD SPEAKER_01
[ 00:15:05.610 -->  00:15:12.765] BE SPEAKER_01
[ 00:15:12.884 -->  00:15:15.077] BF SPEAKER_01
[ 00:15:15.128 -->  00:15:17.642] BG SPEAKER_01
[ 00:15:17.963 -->  00:15:19.229] BH SPEAKER_01
[ 00:15:19.262 -->  00:15:21.979] BI SPEAKER_01
[ 00:15:22.165 -->  00:15:25.945] BJ SPEAKER_01
[ 00:15:26.316 -->  00:15:32.054] BK SPEAKER_01
[ 00:15:32.475 -->  00:16:13.667] BL SPEAKER_01
[ 00:16:13.937 -->  00:16:16.671] BM SPEAKER_01
[ 00:16:16.992 -->  00:16:23.202] BN SPEAKER_01
[ 00:16:23.792 -->  00:16:46.506] BO SPEAKER_02
[ 00:16:46.979 -->  00:16:57.340] BP SPEAKER_02
[ 00:16:57.694 -->  00:17:06.756] BQ SPEAKER_02
[ 00:17:06.992 -->  00:18:59.481] BR SPEAKER_01
[ 00:19:00.021 -->  00:19:05.590] BS SPEAKER_01
[ 00:19:06.130 -->  00:19:21.014] BT SPEAKER_01
[ 00:19:21.452 -->  00:19:26.954] BU SPEAKER_01
[ 00:19:27.308 -->  00:19:30.025] BV SPEAKER_01
[ 00:19:30.329 -->  00:19:35.475] BW SPEAKER_01
[ 00:19:36.150 -->  00:20:03.640] BX SPEAKER_01
[ 00:20:03.910 -->  00:20:06.374] BY SPEAKER_01
[ 00:20:06.930 -->  00:20:15.857] BZ SPEAKER_01
[ 00:20:16.380 -->  00:20:29.577] CA SPEAKER_01
[ 00:20:29.948 -->  00:20:32.108] CB SPEAKER_01
[ 00:20:32.243 -->  00:20:32.969] CC SPEAKER_01
[ 00:20:33.374 -->  00:20:42.064] CD SPEAKER_01
[ 00:20:42.503 -->  00:20:46.131] CE SPEAKER_01
[ 00:20:46.435 -->  00:20:51.582] CF SPEAKER_01
[ 00:20:51.970 -->  00:20:55.615] CG SPEAKER_01
[ 00:20:55.665 -->  00:21:07.275] CH SPEAKER_01
[ 00:21:08.069 -->  00:21:26.985] CI SPEAKER_02
[ 00:21:27.289 -->  00:22:04.482] CJ SPEAKER_02
[ 00:22:05.140 -->  00:22:40.189] CK SPEAKER_01
[ 00:22:40.560 -->  00:22:42.214] CL SPEAKER_01
[ 00:22:42.771 -->  00:23:02.903] CM SPEAKER_01
[ 00:23:03.089 -->  00:23:11.999] CN SPEAKER_01
[ 00:23:12.302 -->  00:23:27.557] CO SPEAKER_01
[ 00:23:27.878 -->  00:23:47.858] CP SPEAKER_01
[ 00:23:48.381 -->  00:23:50.474] CQ SPEAKER_01
[ 00:23:50.541 -->  00:23:52.617] CR SPEAKER_01
[ 00:23:53.174 -->  00:24:09.812] CS SPEAKER_01
[ 00:24:10.150 -->  00:24:28.965] CT SPEAKER_01
[ 00:24:29.168 -->  00:24:35.277] CU SPEAKER_01
[ 00:24:35.935 -->  00:24:37.605] CV SPEAKER_01
[ 00:24:37.960 -->  00:24:57.113] CW SPEAKER_01
[ 00:24:57.653 -->  00:25:00.134] CX SPEAKER_01
[ 00:25:00.522 -->  00:25:05.027] CY SPEAKER_01
[ 00:25:05.483 -->  00:25:13.887] CZ SPEAKER_01
[ 00:25:14.190 -->  00:25:16.283] DA SPEAKER_01
[ 00:25:16.755 -->  00:25:43.148] DB SPEAKER_01
[ 00:25:44.160 -->  00:26:22.163] DC SPEAKER_02
[ 00:26:22.838 -->  00:26:26.264] DD SPEAKER_01
[ 00:26:26.753 -->  00:26:48.741] DE SPEAKER_01
[ 00:26:49.264 -->  00:26:53.719] DF SPEAKER_01
[ 00:26:54.647 -->  00:26:56.470] DG SPEAKER_01
[ 00:26:56.622 -->  00:27:08.046] DH SPEAKER_01
[ 00:27:08.519 -->  00:27:19.150] DI SPEAKER_01
[ 00:27:19.487 -->  00:27:28.229] DJ SPEAKER_01
[ 00:27:28.684 -->  00:27:50.790] DK SPEAKER_01
[ 00:27:51.094 -->  00:27:58.907] DL SPEAKER_01
[ 00:27:58.975 -->  00:28:35.239] DM SPEAKER_01
[ 00:28:35.762 -->  00:29:07.470] DN SPEAKER_01
[ 00:29:07.926 -->  00:29:30.657] DO SPEAKER_01
[ 00:29:31.484 -->  00:30:00.525] DP SPEAKER_02
[ 00:30:00.863 -->  00:30:09.368] DQ SPEAKER_02
[ 00:30:09.587 -->  00:30:15.190] DR SPEAKER_01
[ 00:30:15.359 -->  00:30:49.210] DS SPEAKER_01
[ 00:30:49.649 -->  00:30:55.150] DT SPEAKER_01
[ 00:30:55.504 -->  00:30:56.922] DU SPEAKER_01
[ 00:30:57.293 -->  00:31:13.493] DV SPEAKER_01
[ 00:31:13.729 -->  00:31:18.505] DW SPEAKER_01
[ 00:31:19.011 -->  00:31:19.703] DX SPEAKER_01
[ 00:31:20.243 -->  00:31:59.089] DY SPEAKER_01
[ 00:31:59.376 -->  00:32:14.850] DZ SPEAKER_01
[ 00:32:14.901 -->  00:32:18.225] EA SPEAKER_01
[ 00:32:18.529 -->  00:32:46.660] EB SPEAKER_01
[ 00:32:47.217 -->  00:32:50.642] EC SPEAKER_01
[ 00:32:51.267 -->  00:32:58.337] ED SPEAKER_01
[ 00:32:58.877 -->  00:33:04.210] EE SPEAKER_01
[ 00:33:04.362 -->  00:33:29.860] EF SPEAKER_01
[ 00:33:30.130 -->  00:33:37.521] EG SPEAKER_01
[ 00:33:38.112 -->  00:33:46.262] EH SPEAKER_01
[ 00:33:47.376 -->  00:34:16.367] EI SPEAKER_01
[ 00:34:16.654 -->  00:34:24.670] EJ SPEAKER_01
[ 00:34:24.990 -->  00:34:27.134] EK SPEAKER_01
