[ 00:00:00.334 -->  00:00:03.422] A SPEAKER_01
[ 00:00:06.915 -->  00:00:17.260] C SPEAKER_01
[ 00:00:50.588 -->  00:01:12.205] E SPEAKER_01
[ 00:01:12.762 -->  00:01:22.887] F SPEAKER_01
[ 00:01:23.477 -->  00:01:40.352] G SPEAKER_01
[ 00:01:40.960 -->  00:01:52.452] H SPEAKER_01
[ 00:01:52.485 -->  00:01:55.388] I SPEAKER_01
[ 00:01:58.358 -->  00:02:16.077] J SPEAKER_01
[ 00:02:16.634 -->  00:02:24.143] K SPEAKER_02
[ 00:02:24.818 -->  00:02:41.355] L SPEAKER_02
[ 00:02:42.047 -->  00:02:48.561] M SPEAKER_02
[ 00:02:48.848 -->  00:03:14.633] N SPEAKER_02
[ 00:03:15.038 -->  00:03:37.954] O SPEAKER_02
[ 00:03:38.646 -->  00:03:54.087] P SPEAKER_01
[ 00:03:54.255 -->  00:04:05.815] Q SPEAKER_01
[ 00:04:05.950 -->  00:04:20.226] R SPEAKER_01
[ 00:04:20.732 -->  00:04:22.049] S SPEAKER_02
[ 00:04:22.437 -->  00:04:24.614] T SPEAKER_02
[ 00:04:25.052 -->  00:04:36.764] U SPEAKER_02
[ 00:04:37.371 -->  00:04:54.499] V SPEAKER_02
[ 00:04:55.259 -->  00:05:07.847] W SPEAKER_02
[ 00:05:08.320 -->  00:05:09.029] X SPEAKER_02
[ 00:05:09.400 -->  00:05:18.141] Y SPEAKER_02
[ 00:05:18.630 -->  00:05:20.166] Z SPEAKER_02
[ 00:05:21.297 -->  00:05:22.849] AA SPEAKER_02
[ 00:05:23.001 -->  00:05:23.828] AB SPEAKER_02
[ 00:05:24.098 -->  00:05:29.734] AC SPEAKER_02
[ 00:05:29.920 -->  00:05:38.982] AD SPEAKER_02
[ 00:05:39.437 -->  00:05:43.184] AE SPEAKER_02
[ 00:05:43.875 -->  00:05:46.508] AF SPEAKER_02
[ 00:05:46.710 -->  00:05:53.427] AG SPEAKER_02
[ 00:05:54.321 -->  00:05:56.616] AH SPEAKER_02
[ 00:05:57.173 -->  00:05:58.658] AI SPEAKER_02
[ 00:05:58.810 -->  00:06:02.573] AJ SPEAKER_02
[ 00:06:03.096 -->  00:06:06.657] AK SPEAKER_02
[ 00:06:07.315 -->  00:06:10.369] AL SPEAKER_02
[ 00:06:12.209 -->  00:06:15.786] AM SPEAKER_02
[ 00:06:17.085 -->  00:06:20.933] AN SPEAKER_02
[ 00:06:21.169 -->  00:06:31.497] AO SPEAKER_02
[ 00:06:31.784 -->  00:06:33.657] AP SPEAKER_02
[ 00:06:34.281 -->  00:06:47.410] AQ SPEAKER_02
[ 00:06:48.017 -->  00:07:13.212] AR SPEAKER_01
[ 00:07:13.971 -->  00:07:14.376] AS SPEAKER_02
[ 00:07:14.865 -->  00:07:16.502] AT SPEAKER_02
[ 00:07:16.907 -->  00:07:27.235] AU SPEAKER_02
[ 00:07:27.606 -->  00:07:36.972] AV SPEAKER_02
[ 00:07:37.512 -->  00:07:38.187] AW SPEAKER_02
[ 00:07:38.760 -->  00:07:39.300] AX SPEAKER_02
[ 00:07:40.178 -->  00:07:52.632] AY SPEAKER_02
[ 00:07:52.969 -->  00:07:55.585] AZ SPEAKER_02
[ 00:07:55.804 -->  00:08:03.398] BA SPEAKER_02
[ 00:08:04.124 -->  00:08:09.794] BB SPEAKER_02
[ 00:08:10.367 -->  00:08:24.593] BC SPEAKER_02
[ 00:08:25.065 -->  00:08:29.723] BD SPEAKER_02
[ 00:08:30.246 -->  00:08:34.870] BE SPEAKER_02
[ 00:08:36.270 -->  00:08:38.549] BF SPEAKER_02
[ 00:08:38.987 -->  00:08:44.590] BG SPEAKER_02
[ 00:08:44.809 -->  00:08:50.985] BH SPEAKER_02
[ 00:08:51.576 -->  00:08:51.998] BI SPEAKER_02
[ 00:08:52.622 -->  00:08:56.774] BJ SPEAKER_02
[ 00:08:57.870 -->  00:09:01.819] BK SPEAKER_02
[ 00:09:02.916 -->  00:09:05.667] BL SPEAKER_02
[ 00:09:06.207 -->  00:09:12.619] BM SPEAKER_02
[ 00:09:13.328 -->  00:09:14.205] BN SPEAKER_02
[ 00:09:14.847 -->  00:09:18.593] BO SPEAKER_02
[ 00:09:19.133 -->  00:09:21.630] BP SPEAKER_02
[ 00:09:22.035 -->  00:09:26.777] BQ SPEAKER_02
[ 00:09:27.047 -->  00:09:31.384] BR SPEAKER_02
[ 00:09:31.739 -->  00:09:33.156] BS SPEAKER_02
[ 00:09:33.764 -->  00:09:36.801] BT SPEAKER_02
[ 00:09:37.189 -->  00:09:40.497] BU SPEAKER_02
[ 00:09:41.087 -->  00:09:53.609] BV SPEAKER_02
[ 00:09:53.963 -->  00:09:59.076] BW SPEAKER_02
[ 00:09:59.312 -->  00:10:08.813] BX SPEAKER_02
[ 00:10:10.585 -->  00:10:12.762] BY SPEAKER_02
[ 00:10:13.454 -->  00:10:15.428] BZ SPEAKER_02
[ 00:10:16.491 -->  00:10:19.832] CA SPEAKER_02
[ 00:10:20.541 -->  00:10:31.375] CB SPEAKER_02
[ 00:10:32.084 -->  00:10:34.632] CC SPEAKER_02
[ 00:10:35.391 -->  00:10:38.091] CD SPEAKER_02
[ 00:10:38.159 -->  00:10:40.960] CE SPEAKER_02
[ 00:10:41.736 -->  00:10:42.344] CF SPEAKER_02
[ 00:10:42.647 -->  00:10:44.757] CG SPEAKER_02
[ 00:10:44.925 -->  00:10:50.275] CH SPEAKER_02
[ 00:10:50.764 -->  00:10:59.100] CI SPEAKER_02
[ 00:11:00.062 -->  00:11:01.227] CJ SPEAKER_02
[ 00:11:01.564 -->  00:11:03.589] CK SPEAKER_02
[ 00:11:03.994 -->  00:11:06.188] CL SPEAKER_02
[ 00:11:07.487 -->  00:11:20.329] CM SPEAKER_02
[ 00:11:20.599 -->  00:11:21.291] CN SPEAKER_02
[ 00:11:22.405 -->  00:11:24.126] CO SPEAKER_02
[ 00:11:25.645 -->  00:11:27.197] CP SPEAKER_02
[ 00:11:27.552 -->  00:11:33.357] CQ SPEAKER_02
[ 00:11:33.930 -->  00:11:41.305] CR SPEAKER_02
