[ 00:00:00.030 -->  00:00:00.368] A SPEAKER_03
[ 00:00:00.705 -->  00:00:04.435] B SPEAKER_03
[ 00:00:07.776 -->  00:00:18.137] D SPEAKER_03
[ 00:00:51.398 -->  00:01:00.089] F SPEAKER_03
[ 00:01:00.645 -->  00:01:16.052] G SPEAKER_03
[ 00:01:16.997 -->  00:01:38.580] H SPEAKER_03
[ 00:01:39.272 -->  00:01:54.156] I SPEAKER_03
[ 00:01:57.430 -->  00:02:10.002] J SPEAKER_03
[ 00:02:10.592 -->  00:02:12.044] K SPEAKER_01
[ 00:02:12.280 -->  00:02:13.005] L SPEAKER_01
[ 00:02:13.579 -->  00:02:26.067] M SPEAKER_03
[ 00:02:26.505 -->  00:02:29.256] N SPEAKER_03
[ 00:02:29.847 -->  00:02:44.123] O SPEAKER_01
[ 00:02:44.376 -->  00:02:51.345] P SPEAKER_01
[ 00:02:51.953 -->  00:02:53.050] Q SPEAKER_01
[ 00:02:53.387 -->  00:03:07.664] R SPEAKER_01
[ 00:03:08.254 -->  00:03:21.062] S SPEAKER_01
[ 00:03:21.400 -->  00:03:28.184] T SPEAKER_01
[ 00:03:28.437 -->  00:03:30.698] U SPEAKER_01
[ 00:03:31.019 -->  00:03:41.009] V SPEAKER_01
[ 00:03:41.110 -->  00:03:52.973] W SPEAKER_01
[ 00:03:53.310 -->  00:04:08.397] X SPEAKER_01
[ 00:04:08.819 -->  00:04:11.789] Y SPEAKER_01
[ 00:04:12.059 -->  00:04:12.548] Z SPEAKER_01
[ 00:04:13.004 -->  00:04:16.429] AA SPEAKER_01
[ 00:04:16.497 -->  00:04:20.867] AB SPEAKER_01
[ 00:04:21.424 -->  00:04:26.858] AC SPEAKER_01
[ 00:04:26.976 -->  00:04:27.516] AD SPEAKER_01
[ 00:04:27.938 -->  00:04:30.908] AE SPEAKER_01
[ 00:04:31.195 -->  00:04:32.376] AF SPEAKER_01
[ 00:04:33.119 -->  00:04:34.570] AG SPEAKER_03
[ 00:04:34.739 -->  00:04:47.024] AH SPEAKER_03
[ 00:04:48.272 -->  00:05:08.624] AJ SPEAKER_03
[ 00:05:08.843 -->  00:05:18.630] AK SPEAKER_03
[ 00:05:19.187 -->  00:05:27.861] AL SPEAKER_01
[ 00:05:28.182 -->  00:05:42.357] AM SPEAKER_01
[ 00:05:42.762 -->  00:05:44.601] AN SPEAKER_01
[ 00:05:45.090 -->  00:05:53.730] AO SPEAKER_01
[ 00:05:54.169 -->  00:05:58.034] AP SPEAKER_01
[ 00:05:58.118 -->  00:06:06.825] AQ SPEAKER_01
[ 00:06:07.095 -->  00:06:12.833] AR SPEAKER_01
[ 00:06:13.137 -->  00:06:13.930] AS SPEAKER_01
[ 00:06:14.537 -->  00:06:17.052] AT SPEAKER_01
[ 00:06:17.119 -->  00:06:31.024] AU SPEAKER_01
[ 00:06:31.446 -->  00:06:39.107] AV SPEAKER_01
[ 00:06:39.512 -->  00:06:57.569] AW SPEAKER_01
[ 00:06:57.923 -->  00:06:59.779] AX SPEAKER_01
[ 00:07:00.218 -->  00:07:02.513] AY SPEAKER_01
[ 00:07:03.171 -->  00:07:04.622] AZ SPEAKER_03
[ 00:07:04.690 -->  00:07:11.625] BA SPEAKER_03
[ 00:07:11.963 -->  00:07:21.885] BB SPEAKER_03
[ 00:07:22.864 -->  00:07:28.737] BC SPEAKER_03
[ 00:07:29.260 -->  00:07:53.121] BD SPEAKER_01
[ 00:07:53.610 -->  00:07:57.897] BE SPEAKER_01
[ 00:07:58.150 -->  00:08:12.747] BF SPEAKER_01
[ 00:08:13.084 -->  00:08:23.024] BG SPEAKER_01
[ 00:08:23.294 -->  00:08:26.129] BH SPEAKER_01
[ 00:08:26.264 -->  00:08:42.970] BI SPEAKER_01
[ 00:08:43.797 -->  00:09:09.008] BJ SPEAKER_03
[ 00:09:09.649 -->  00:09:36.109] BK SPEAKER_03
[ 00:09:36.497 -->  00:10:04.155] BL SPEAKER_01
[ 00:10:04.476 -->  00:10:09.539] BM SPEAKER_01
[ 00:10:10.264 -->  00:10:13.842] BN SPEAKER_01
[ 00:10:14.095 -->  00:10:37.990] BO SPEAKER_01
[ 00:10:38.580 -->  00:10:49.785] BP SPEAKER_01
[ 00:10:50.089 -->  00:10:56.114] BQ SPEAKER_01
[ 00:10:56.552 -->  00:10:57.497] BR SPEAKER_01
[ 00:10:57.700 -->  00:10:59.927] BS SPEAKER_01
[ 00:10:59.961 -->  00:11:03.488] BT SPEAKER_01
[ 00:11:03.741 -->  00:11:11.605] BU SPEAKER_01
[ 00:11:11.909 -->  00:11:19.367] BV SPEAKER_01
[ 00:11:19.924 -->  00:11:32.985] BW SPEAKER_01
[ 00:11:33.542 -->  00:11:49.371] BX SPEAKER_03
[ 00:11:49.827 -->  00:11:59.648] BY SPEAKER_01
[ 00:11:59.884 -->  00:12:06.330] BZ SPEAKER_01
[ 00:12:06.516 -->  00:12:18.599] CA SPEAKER_01
[ 00:12:18.835 -->  00:12:40.148] CB SPEAKER_01
[ 00:12:40.300 -->  00:13:05.562] CC SPEAKER_01
[ 00:13:06.000 -->  00:13:22.555] CD SPEAKER_01
[ 00:13:22.859 -->  00:13:29.879] CE SPEAKER_01
[ 00:13:30.250 -->  00:13:52.120] CF SPEAKER_01
[ 00:13:52.710 -->  00:13:58.364] CG SPEAKER_01
[ 00:13:58.718 -->  00:14:08.084] CH SPEAKER_01
[ 00:14:08.522 -->  00:14:11.054] CJ SPEAKER_01
[ 00:14:11.357 -->  00:14:24.149] CK SPEAKER_01
[ 00:14:24.672 -->  00:14:29.768] CL SPEAKER_01
[ 00:14:30.713 -->  00:15:19.043] CM SPEAKER_03
[ 00:15:19.718 -->  00:15:23.734] CN SPEAKER_01
[ 00:15:24.207 -->  00:15:26.384] CO SPEAKER_01
[ 00:15:26.991 -->  00:15:32.425] CP SPEAKER_01
[ 00:15:32.982 -->  00:15:51.021] CQ SPEAKER_01
[ 00:15:51.409 -->  00:15:58.716] CR SPEAKER_01
[ 00:15:58.902 -->  00:16:02.429] CV SPEAKER_01
[ 00:16:02.597 -->  00:16:06.377] CW SPEAKER_01
[ 00:16:06.512 -->  00:16:07.204] CX SPEAKER_01
[ 00:16:07.204 -->  00:16:07.221] CY SPEAKER_03
[ 00:16:07.997 -->  00:16:17.363] CZ SPEAKER_03
[ 00:16:17.920 -->  00:16:46.337] DA SPEAKER_03
[ 00:16:46.624 -->  00:16:53.205] DB SPEAKER_03
[ 00:16:53.695 -->  00:16:54.758] DC SPEAKER_01
[ 00:16:54.893 -->  00:17:01.812] DD SPEAKER_01
[ 00:17:02.504 -->  00:17:06.638] DE SPEAKER_01
[ 00:17:07.127 -->  00:17:12.156] DF SPEAKER_01
[ 00:17:12.612 -->  00:17:18.569] DG SPEAKER_01
[ 00:17:19.007 -->  00:17:21.134] DH SPEAKER_01
[ 00:17:21.623 -->  00:17:23.361] DI SPEAKER_01
[ 00:17:23.732 -->  00:17:57.060] DJ SPEAKER_01
[ 00:17:57.162 -->  00:18:13.092] DK SPEAKER_01
[ 00:18:13.362 -->  00:18:17.142] DL SPEAKER_01
[ 00:18:17.699 -->  00:18:23.639] DM SPEAKER_01
[ 00:18:23.723 -->  00:18:29.376] DN SPEAKER_01
[ 00:18:29.916 -->  00:18:33.679] DO SPEAKER_01
[ 00:18:33.966 -->  00:18:37.577] DP SPEAKER_01
[ 00:18:37.780 -->  00:18:44.091] DQ SPEAKER_01
[ 00:18:44.209 -->  00:19:00.645] DR SPEAKER_01
[ 00:19:01.152 -->  00:19:15.411] DS SPEAKER_01
[ 00:19:15.681 -->  00:19:18.297] DT SPEAKER_01
[ 00:19:18.803 -->  00:19:21.132] DU SPEAKER_01
[ 00:19:21.537 -->  00:19:30.059] DV SPEAKER_01
