[ 00:00:00.030 -->  00:00:02.950] A SPEAKER_01
[ 00:00:05.042 -->  00:00:05.312] C SPEAKER_01
[ 00:00:05.700 -->  00:00:05.835] F SPEAKER_01
[ 00:00:06.038 -->  00:00:06.240] H SPEAKER_01
[ 00:00:06.359 -->  00:00:16.720] I SPEAKER_01
[ 00:00:50.014 -->  00:00:55.330] K SPEAKER_01
[ 00:00:55.853 -->  00:01:05.084] L SPEAKER_01
[ 00:01:05.674 -->  00:01:37.230] M SPEAKER_01
[ 00:01:40.285 -->  00:01:59.100] N SPEAKER_01
[ 00:01:59.370 -->  00:02:03.032] O SPEAKER_02
[ 00:02:03.657 -->  00:02:18.895] P SPEAKER_01
[ 00:02:19.182 -->  00:02:23.569] Q SPEAKER_02
[ 00:02:24.042 -->  00:02:29.222] R SPEAKER_02
[ 00:02:29.391 -->  00:03:10.262] S SPEAKER_02
[ 00:03:10.988 -->  00:03:14.025] T SPEAKER_02
[ 00:03:14.211 -->  00:03:36.520] U SPEAKER_02
[ 00:03:36.790 -->  00:03:41.346] V SPEAKER_02
[ 00:03:41.734 -->  00:03:55.757] W SPEAKER_02
[ 00:03:56.500 -->  00:04:03.503] X SPEAKER_02
[ 00:04:04.313 -->  00:04:07.080] Y SPEAKER_02
[ 00:04:07.553 -->  00:04:12.379] Z SPEAKER_02
[ 00:04:13.105 -->  00:04:19.146] AA SPEAKER_02
[ 00:04:19.551 -->  00:04:43.564] AB SPEAKER_02
[ 00:04:44.205 -->  00:05:00.000] AC SPEAKER_01
[ 00:05:00.270 -->  00:05:00.878] AD SPEAKER_02
[ 00:05:01.148 -->  00:05:09.130] AE SPEAKER_02
[ 00:05:10.109 -->  00:05:10.935] AF SPEAKER_02
[ 00:05:11.307 -->  00:05:12.859] AG SPEAKER_02
[ 00:05:13.349 -->  00:05:16.184] AH SPEAKER_02
[ 00:05:16.200 -->  00:05:19.002] AI SPEAKER_02
[ 00:05:19.829 -->  00:05:23.912] AJ SPEAKER_02
[ 00:05:24.655 -->  00:05:28.215] AK SPEAKER_02
[ 00:05:28.620 -->  00:05:42.188] AL SPEAKER_02
[ 00:05:42.407 -->  00:05:47.588] AM SPEAKER_02
[ 00:05:48.330 -->  00:05:51.537] AN SPEAKER_02
[ 00:05:52.212 -->  00:05:59.721] AO SPEAKER_02
[ 00:06:00.008 -->  00:06:14.807] AP SPEAKER_02
[ 00:06:15.263 -->  00:06:16.984] AQ SPEAKER_02
[ 00:06:17.558 -->  00:06:20.106] AR SPEAKER_02
[ 00:06:20.832 -->  00:06:23.481] AS SPEAKER_02
[ 00:06:24.072 -->  00:06:24.899] AT SPEAKER_02
[ 00:06:25.574 -->  00:06:28.139] AU SPEAKER_02
[ 00:06:29.472 -->  00:06:31.969] AV SPEAKER_02
[ 00:06:32.492 -->  00:06:41.571] AW SPEAKER_02
[ 00:06:41.740 -->  00:06:48.929] AX SPEAKER_02
[ 00:06:49.553 -->  00:06:50.920] AY SPEAKER_02
[ 00:06:51.156 -->  00:07:04.167] AZ SPEAKER_02
[ 00:07:04.538 -->  00:07:11.474] BA SPEAKER_02
[ 00:07:11.879 -->  00:07:14.207] BB SPEAKER_02
[ 00:07:14.849 -->  00:07:18.055] BC SPEAKER_02
[ 00:07:18.612 -->  00:07:25.497] BD SPEAKER_02
[ 00:07:26.020 -->  00:07:27.285] BE SPEAKER_02
[ 00:07:27.387 -->  00:07:32.382] BF SPEAKER_02
[ 00:07:33.225 -->  00:07:40.364] BG SPEAKER_02
[ 00:07:40.819 -->  00:07:43.739] BH SPEAKER_02
[ 00:07:44.025 -->  00:07:45.072] BI SPEAKER_02
[ 00:07:45.966 -->  00:07:51.518] BJ SPEAKER_01
[ 00:07:52.260 -->  00:08:00.360] BK SPEAKER_01
